A	'ə	ə
esguard	ə z ɣ w 'a r t	ə z ɣ w 'a r
esment	ə z m 'e n	e z m 'e n
espectacular	ə s p ə k t ə k u l 'a r	ə s p ə k t ə k u l 'a
espectre	ə s p 'e k t ɾ ə	ə s p 'ɛ k t ɾ ə
espinavessa	ə s p i n ə β 'ɛ s ə	ə s p i n ə β 'e s ə
espona	ə s p 'ɔ n ə	ə s p 'o n ə
esposa	ə s p 'ɔ z ə	ə s p 'o z ə
esprémer	ə s p ɾ 'e m ə	ə s p ɾ 'e m ə r
esquetx	ə s k 'e t ʃ	ə s k 'ɛ tʃ
esquitx	ə s k 'i t ʃ	ə s k 'i tʃ
essa	'ɛ s ə	'e s ə
esser	ə s 'ɛ	ə s 'e
ésser	'e s ə r	'e s ə
est	'e s t	'ɛ s t
esta	'e s t ə	'ɛ s t ə
estabeig	ə s t ə β 'ɛ t ʃ	ə s t ə β 'ɛ tʃ
estament	ə s t ə m 'e n	ɛ s t ə m 'e n
estàndard	ə s t 'a n d ə r t	ə s t 'a n d ə ɾ ð
estendre	ə s t 'e n d ɾ ə	ə s t 'ɛ n d ɾ ə
Ester	ə s t 'e r	ə s t 'e
estiueig	ə s t i w 'ɛ t ʃ	ə s t i w 'ɛ tʃ
estofa	ə s t 'o f ə	ə s t 'ɔ f ə
estoig	ə s t 'ɔ t ʃ	ə s t 'ɔ tʃ
estos	'e s t u s	'ɛ s t u s
estramoni	ə s t ɾ ə m 'ɔ n i	ə s t ɾ ə m 'o n i
estrateg	ə s t ɾ ə t 'ɛ k	ə s t ɾ ə t 'ɛ ɣ
esvoranc	ə z β u ɾ 'a ŋ	ə z β u ɾ 'a n s
ets	'e t s	'ɛ t s
eufoni	ə w f 'ɔ n i	ə w f 'o n i
evidentment	ə β i ð ə m m 'e n	ə β i ð ə n m 'e n
evolucionis	ə β u l u s i 'ɔ n i s	ə β u l u s i 'o n i s
excepte	ə k s 'e p t ə	ə k s 'ɛ p t ə
exclosa	ə k s k l 'ɔ z ə	ə k s k l 'o z ə
excloses	ə k s k l 'ɔ z ə s	ə k s k l 'o z ə s
exclosos	ə k s k l 'ɔ z u s	ə k s k l 'o z u s
expresses	ə k s p ɾ 'e s ə s	ə k s p ɾ 'ɛ s ə s
expressos	ə k s p ɾ 'e s u s	ə k s p ɾ 'ɛ s u s
extens	ə k s t 'ɛ n s	ə k s t 'e n s
exterior	ə k s t ə ɾ i 'o r	ə k s t ə ɾ i 'o
extrem	ə k s t ɾ 'e m	ə k s t ɾ 'ɛ m
extrema	ə k s t ɾ 'e m ə	ə k s t ɾ 'ɛ m ə
extret	ə k s t ɾ 'e t	ə k s t ɾ 'ɛ t
extreta	ə k s t ɾ 'e t ə	ə k s t ɾ 'ɛ t ə
extretes	ə k s t ɾ 'e t ə s	ə k s t ɾ 'ɛ t ə s
extrets	ə k s t ɾ 'e t s	ə k s t ɾ 'ɛ t s
fagosoma	f ə ɣ u z 'ɔ m ə	f ə ɣ u z 'o m ə
faig	f 'a t ʃ	f 'a tʃ
familiar	f ə m i l i 'a r	f ə m i l i 'a
fantasia	f ə n t ə z 'i ə	f ə n t ə s 'i ə
fantasies	f ə n t ə z 'i ə s	f ə n t ə s 'i ə s
faquir	f ə k 'i r	f ə k 'i
far	f 'a r	f 'a
farigola	f ə ɾ i ɣ 'o l ə	f ə ɾ i ɣ 'ɔ l ə
favor	f ə β 'o r	f ə β 'o
feble	f 'e b b l ə	f 'ɛ b b l ə
febles	f 'e b b l ə s	f 'ɛ b b l ə s
febre	f 'e β ɾ ə	f 'ɛ β ɾ ə
febres	f 'e β ɾ ə s	f 'ɛ β ɾ ə s
fecund	f ə k 'u n	f ə k 'u n d
feix	f 'e ʃ	f 'ɛ ʃ
feldspat	f ə l t s p 'a t	f ə l s p 'a t
fèmur	f 'ɛ m u r	f 'ɛ m u
fen	f 'e n	f 'ɛ n
Fènix	f 'ɛ n i k s	f 'ɛ n ʃ
fènix	f 'ɛ n i k s	f 'ɛ n ʃ
fens	f 'ɛ n s	f 'e n s
feren	f 'e ɾ ə n	f 'ɛ ɾ ə n
fes	f 'e s	f 'ɛ s
Fes	f 'e s	f 'ɛ s
fessin	f 'e s i n	f 'ɛ s i n
fessis	f 'e s i s	f 'ɛ s i s
festa	f 'e s t ə	f 'ɛ s t ə
festeig	f ə s t 'ɛ t ʃ	f ə s t 'ɛ tʃ
festes	f 'e s t ə s	f 'ɛ s t ə s
fet	f 'e t	f 'ɛ t
feta	f 'e t ə	f 'ɛ t ə
fetes	f 'e t ə s	f 'ɛ t ə s
fetge	f 'e d ʒ ə	f 'ɛ d ʒ ə
fets	f 'e t s	f 'ɛ t s
finestra	f i n 'e s t ɾ ə	f i n 'ɛ s t ɾ ə
fletxa	f l 'e t ʃ ə	f l 'ɛ t ʃ ə
fletxes	f l 'e t ʃ ə s	f l 'ɛ t ʃ ə s
flor	f l 'ɔ	f l 'o
flora	f l 'ɔ ɾ ə	f l 'o ɾ ə
flors	f l 'ɔ s	f l 'o s
foca	f 'o k ə	f 'ɔ k ə
focus	f 'o k u s	f 'ɔ k u s
folla	f 'o ʎ ə	f 'ɔ ʎ ə
folles	f 'o ʎ ə s	f 'ɔ ʎ ə s
folre	f 'o l r ə	f 'ɔ l r ə
fonda	f 'o n d ə	f 'ɔ n d ə
fondes	f 'o n d ə s	f 'ɔ n d ə s
fondo	f 'o n d u	f 'ɔ n d u
fondos	f 'o n d u s	f 'ɔ n d u s
fondre	f 'o n d ɾ ə	f 'ɔ n d ɾ ə
font	f 'ɔ n	f 'o n
foques	f 'o k ə s	f 'ɔ k ə s
fora	f 'ɔ ɾ ə	f 'o ɾ ə
forca	f 'o r k ə	f 'ɔ r k ə
foren	f 'o ɾ ə n	f 'ɔ ɾ ə n
forma	f 'o r m ə	f 'ɔ r m ə
formen	f 'o r m ə n	f 'ɔ r m ə n
formes	f 'o r m ə s	f 'ɔ r m ə s
formi	f 'o r m i	f 'ɔ r m i
formigueig	f u r m i ɣ 'ɛ t ʃ	f u r m i ɣ 'ɛ tʃ
formin	f 'o r m i n	f 'ɔ r m i n
formo	f 'o r m u	f 'ɔ r m u
forques	f 'o r k ə s	f 'ɔ r k ə s
fort	f 'ɔ r t	f 'o r t
fosca	f 'o s k ə	f 'ɔ s k ə
foscos	f 'o s k u s	f 'ɔ s k u s
fosques	f 'o s k ə s	f 'ɔ s k ə s
fossin	f 'o s i n	f 'ɔ s i n
fossis	f 'o s i s	f 'ɔ s i s
foten	f 'o t ə n	f 'ɔ t ə n
foti	f 'o t i	f 'ɔ t i
fotin	f 'o t i n	f 'ɔ t i n
fotis	f 'o t i s	f 'ɔ t i s
foto	f 'o t u	f 'ɔ t u
fotos	f 'o t u s	f 'ɔ t u s
fotre	f 'o t ɾ ə	f 'ɔ t ɾ ə
franctirador	f ɾ ə ŋ t i ɾ ə ð 'o	f ɾ ə ŋ k t i ɾ ə ð 'o
frankfurt	f ɾ ə ŋ k f 'u r t	f ɾ ə ŋ f 'u r t
fred	f ɾ 'ɛ t	f ɾ 'e t
frens	f ɾ 'ɛ n s	f ɾ 'e n s
fressa	f ɾ 'ɛ s ə	f ɾ 'e s ə
fuig	f 'u t ʃ	f 'u tʃ
funicular	f u n i k u l 'a r	f u n i k u l 'a
furor	f u ɾ 'o r	f u ɾ 'o
gemec	ʒ ə m 'e k	ʒ ə m 'ɛ k
gemma	ʒ 'e m m ə	ʒ 'ɛ m m ə
Gemma	ʒ 'e m m ə	ʒ 'ɛ m m ə
gespa	ʒ 'e s p ə	ʒ 'ɛ s p ə
gest	ʒ 'e s t	ʒ 'ɛ s t
gesta	ʒ 'e s t ə	ʒ 'ɛ s t ə
gestes	ʒ 'e s t ə s	ʒ 'ɛ s t ə s
gestos	ʒ 'e s t u s	ʒ 'ɛ s t u s
ginebra	ʒ i n 'e β ɾ ə	ʒ i n 'ɛ β ɾ ə
Ginebra	ʒ i n 'e β ɾ ə	ʒ i n 'ɛ β ɾ ə
ginesta	ʒ i n 'e s t ə	ʒ i n 'ɛ s t ə
gir	ʒ 'i r	ʒ 'i
Haia	'a j ə	i 'a j ə
haig	'a t ʃ	'a tʃ
hàmster	'a m s t ə r	'a m s t ə
haver	ə β 'ɛ	ə β 'e
he	'e	'ɛ
helicòpter	ə l i k 'ɔ p t ə r	ə l i k 'ɔ p t ə
hemangioma	ə m ə n ʒ i 'ɔ m ə	ə m ə n ʒ i 'o m ə
heroi	ə ɾ 'ɔ j	ə ɾ 'o i
heroic	ə ɾ 'ɔ j k	ə ɾ 'o i k
hevea	ə β 'ɛ ə	ə β 'e ə
hi	'i	i
híbrid	'i β ɾ i t	'i β ɾ i ð
hieràtic	j ə ɾ 'a t i k	i ə ɾ 'a t i k
hieràtics	j ə ɾ 'a t i k s	i ə ɾ 'a t i k s
hipnotisme	i b n u t 'i z m ə	i p n u t 'i z m ə
hitlerià	i l l ə ɾ i 'a	i b b l ə ɾ i 'a
hom	'ɔ m	u m
homes	'ɔ m ə s	u m ə s
honest	u n 'e s t	u n 'ɛ s t
honor	u n 'o r	u n 'o
honors	u n 'o r s	u n 'o s
honra	'o n r ə	'ɔ n r ə
hora	'ɔ ɾ ə	ə 'o ɾ ə
hores	'ɔ ɾ ə s	ə 'o ɾ ə s
hort	'ɔ r t	ə r t
hostessa	u s t 'ɛ s ə	u s t 'e s ə
húmer	'u m ə r	u m ə r
humor	u m 'o r	u m 'o
humus	'u m u s	u m u s
i	'i	i
iaia	j 'a j ə	i 'a j ə
iaies	j 'a j ə s	i 'a j ə s
iaio	j 'a j u	i 'a j u
iber	i β 'e r	i β 'e
iemenita	j ə m ə n 'i t ə	i ə m ə n 'i t ə
immens	i m m 'ɛ n s	i m m 'e n s
immers	i m m 'ɛ r s	i m m 'e s
imparell	i m p ə ɾ 'ɛ ʎ	i m p ə ɾ 'e ʎ
imperfecta	i m p ə r f 'e k t ə	i m p ə r f 'ɛ k t ə
imperfecte	i m p ə r f 'e k t ə	i m p ə r f 'ɛ k t ə
imperfectes	i m p ə r f 'e k t ə s	i m p ə r f 'ɛ k t ə s
imposes	i m p 'ɔ z ə s	i m p 'o z ə s
impremta	i m p ɾ 'e m t ə	i m p ɾ 'ɛ m t ə
imprudentment	i m p ɾ u ð ə m m 'e n	i m p ɾ u ð ə n m 'e n
independentment	i n d ə p ə n d ə m m 'e n	i n d ə p ə n d ə n m 'e n
inodor	i n u ð 'o r	i n u ð 'o
inquiet	i ŋ k i 'e t	i ŋ k i 'ɛ t
insecte	i n s 'e k t ə	i n s 'ɛ k t ə
insistentment	i n s i s t ə m m 'e n	i n s i s t ə n m 'e n
insular	i n s u l 'a r	i n s u l 'a
insulinoma	i n s u l i n 'ɔ m ə	i n s u l i n 'o m ə
insult	i n s 'u l	i n s 'u l t
intens	i n t 'ɛ n s	i n t 'e n s
interior	i n t ə ɾ i 'o r	i n t ə ɾ i 'o
intermitentment	i n t ə r m i t ə m m 'e n	i n t ə r m i t ə n m 'e n
interrompre	i n t ə r 'o m p ɾ ə	i n t ə r 'ɔ m p ɾ ə
invers	i m b 'ɛ r s	i m b 'e s
iònica	j 'ɔ n i k ə	i 'ɔ n i k ə
irregular	i r ə ɣ u l 'a r	i r ə ɣ u l 'a
jaguar	ʒ ə ɣ w 'a r	ʒ ə ɣ w 'a
jazz	ʒ 'a s	ʒ 'a z
jonc	ʒ 'o ŋ	ʒ 'o n s
jove	ʒ 'o β ə	ʒ 'ɔ β ə
joves	ʒ 'o β ə s	ʒ 'ɔ β ə s
jueu	ʒ u 'e w	ʒ u 'ɛ w
jutgessa	ʒ u d ʒ 'ɛ s ə	ʒ u d ʒ 'e s ə
khmer	k m 'e r	k m 'e
la	l 'ə	l ə
labor	l ə β 'o r	l ə β 'o
lacrosse	l ə k ɾ 'o s ə	l ə k ɾ 'ɔ s ə
lema	l 'e m ə	l 'ɛ m ə
lemes	l 'e m ə s	l 'ɛ m ə s
lepra	l 'e p ɾ ə	l 'ɛ p ɾ ə
les	l 'ə s	l ə s
li	l 'i	l i
licor	l i k 'o r	l i k 'o
líquid	l 'i k i t	l 'i k i ð
lisosoma	l i z u z 'ɔ m ə	l i z u z 'o m ə
llagosta	ʎ ə ɣ 'o s t ə	ʎ ə ɣ 'ɔ s t ə
llar	ʎ 'a r	ʎ 'a
llarg	ʎ 'a r k	ʎ 'a r
llargs	ʎ 'a r k s	ʎ 'a r s
llebeig	ʎ ə β 'ɛ t ʃ	ʎ ə β 'ɛ tʃ
llebre	ʎ 'e β ɾ ə	ʎ 'ɛ β ɾ ə
llega	ʎ 'e ɣ ə	ʎ 'ɛ ɣ ə
llegenda	ʎ ə ʒ 'e n d ə	ʎ ə ʒ 'ɛ n d ə
llegendes	ʎ ə ʒ 'e n d ə s	ʎ ə ʒ 'ɛ n d ə s
llegües	ʎ 'e ɣ w ə s	ʎ 'ɛ ɣ w ə s
llei	ʎ 'e j	ʎ 'ɛ j
Lleida	ʎ 'e j ð ə	ʎ 'ɛ j ð ə
lleig	ʎ 'e t ʃ	ʎ 'ɛ tʃ
lleis	ʎ 'e j s	ʎ 'ɛ j s
lleixa	ʎ 'e ʃ ə	ʎ 'ɛ ʃ ə
llenços	ʎ 'e n s u s	ʎ 'ɛ n s u s
llenja	ʎ 'e ɲ ə	ʎ 'ɛ ɲ ə
lleopard	ʎ ə u p 'a r t	ʎ ə u p 'a r
llepa	ʎ 'e p ə	ʎ 'ɛ p ə
llepen	ʎ 'e p ə n	ʎ 'ɛ p ə n
llest	ʎ 'e s t	ʎ 'ɛ s t
llesta	ʎ 'e s t ə	ʎ 'ɛ s t ə
llestes	ʎ 'e s t ə s	ʎ 'ɛ s t ə s
llestos	ʎ 'e s t u s	ʎ 'ɛ s t u s
llet	ʎ 'e t	ʎ 'ɛ t
lletges	ʎ 'e d ʒ ə s	ʎ 'ɛ d ʒ ə s
lletja	ʎ 'e d ʒ ə	ʎ 'ɛ d ʒ ə
lletjos	ʎ 'e d ʒ u s	ʎ 'ɛ d ʒ u s
lleu	ʎ 'e w	ʎ 'ɛ w
lleus	ʎ 'e w s	ʎ 'ɛ w s
lleva	ʎ 'e β ə	ʎ 'ɛ β ə
lleves	ʎ 'e β ə s	ʎ 'ɛ β ə s
llevo	ʎ 'e β u	ʎ 'ɛ β u
lloba	ʎ 'o β ə	ʎ 'ɔ β ə
lloen	ʎ 'o ə n	ʎ 'ɔ ə n
llop	ʎ 'o p	ʎ 'ɔ p
llosa	ʎ 'ɔ z ə	ʎ 'o z ə
lloses	ʎ 'ɔ z ə s	ʎ 'o z ə s
Londres	l 'o n d ɾ ə s	l 'ɔ n d ɾ ə s
lumbar	l u m b 'a r	l u m b 'a
lunar	l u n 'a r	l u n 'a
ma	m 'ə	m ə
macedoni	m ə s ə ð 'ɔ n i	m ə s ə ð 'o n i
Madrid	m ə ð ɾ 'i t	m ə ð ɾ 'i ð
Mahoma	m ə 'ɔ m ə	m ə j m ə
maig	m 'a t ʃ	m 'a tʃ
maldestre	m ə l d 'e s t ɾ ə	m ə l d 'ɛ s t ɾ ə
malifeta	m ə l i f 'e t ə	m ə l i f 'ɛ t ə
malnom	m ə l n 'ɔ m	m ə l n 'o m
malson	m ə l s 'ɔ n	m ə l s 'o n
mànager	m 'a n ə ʒ ə r	m 'a n ə ʒ ə
manc	m 'a ŋ	m 'a n s
maneig	m ə n 'ɛ t ʃ	m ə n 'ɛ tʃ
manifest	m ə n i f 'e s t	m ə n i f 'ɛ s t
manifesti	m ə n i f 'e s t i	m ə n i f 'ɛ s t i
Manresa	m ə n r 'ɛ z ə	m ə n 'ɛ z ə
mareig	m ə ɾ 'ɛ t ʃ	m ə ɾ 'ɛ tʃ
mart	m 'a r t	m 'a r
Mart	m 'a r t	m 'a r
màrtir	m 'a r t i r	m 'a r t i
mastodont	m ə s t u ð 'ɔ n	m ə s t u ð 'o n
matallops	m ə t ə ʎ 'o p s	m ə t ə ʎ 'ɔ p s
mateix	m ə t 'e ʃ	m ə t 'ɛ ʃ
matx	m 'a t ʃ	m 'a tʃ
me	m 'ə	m ə
membre	m 'e m b ɾ ə	m 'ɛ m b ɾ ə
membres	m 'e m b ɾ ə s	m 'ɛ m b ɾ ə s
mencionis	m ə n s i 'ɔ n i s	m ə n s i 'o n i s
mengen	m 'e n ʒ ə n	m 'ɛ n ʒ ə n
menges	m 'e n ʒ ə s	m 'ɛ n ʒ ə s
mengi	m 'e n ʒ i	m 'ɛ n ʒ i
mengin	m 'e n ʒ i n	m 'ɛ n ʒ i n
menja	m 'e n ʒ ə	m 'ɛ n ʒ ə
menjo	m 'e n ʒ u	m 'ɛ n ʒ u
menor	m ə n 'o r	m ə n 'o
mentre	m 'e n t ɾ ə	m 'ɛ n t ɾ ə
mer	m 'e r	m 'e
mero	m 'e ɾ u	m 'ɛ ɾ u
mes	m 'e s	m 'ɛ s
mesos	m 'e z u s	m 'ɛ z u s
mestressa	m ə s t ɾ 'ɛ s ə	m ə s t ɾ 'e s ə
metge	m 'e d ʒ ə	m 'ɛ d ʒ ə
metges	m 'e d ʒ ə s	m 'ɛ d ʒ ə s
metgessa	m ə d ʒ 'ɛ s ə	m ə d ʒ 'e s ə
metxa	m 'e t ʃ ə	m 'ɛ t ʃ ə
meu	m 'e w	m 'ɛ w
meus	m 'e w s	m 'ɛ w s
meva	m 'e β ə	m 'ɛ β ə
meves	m 'e β ə s	m 'ɛ β ə s
mig	m 'i t ʃ	m 'i tʃ
militar	m i l i t 'a r	m i l i t 'a
mocs	m 'o k s	m 'ɔ k s
modest	m u ð 'e s t	m u ð 'ɛ s t
moher	m u 'ɛ r	m u tʃ r
molecular	m u l ə k u l 'a r	m u l ə k u l 'a
moll	m 'ɔ ʎ	m 'o ʎ
molsa	m 'o l s ə	m 'ɔ l s ə
molta	m 'o l t ə	m 'ɔ l t ə
moltes	m 'o l t ə s	m 'ɔ l t ə s
Mon	m 'u n	m u n
monocroma	m u n u k ɾ 'ɔ m ə	m u n u k ɾ 'o m ə
monocromes	m u n u k ɾ 'ɔ m ə s	m u n u k ɾ 'o m ə s
Montblanc	m u m b l 'a ŋ	m u n b b l 'a ŋ
Montcada	m u ŋ k 'a ð ə	m u n k 'a ð ə
mora	m 'ɔ ɾ ə	m 'o ɾ ə
mores	m 'ɔ ɾ ə s	m 'o ɾ ə s
morro	m 'o r u	m 'ɔ r u
morros	m 'o r u s	m 'ɔ r u s
mort	m 'ɔ r t	m 'o r t
mosca	m 'o s k ə	m 'ɔ s k ə
mosques	m 'o s k ə s	m 'ɔ s k ə s
mossa	m 'o s ə	m 'ɔ s ə
mosso	m 'o s u	m 'ɔ s u
mossos	m 'o s u s	m 'ɔ s u s
mot	m 'o t	m 'ɔ t
moto	m 'o t u	m 'ɔ t u
motor	m u t 'o r	m u t 'o
motors	m u t 'o r s	m u t 'o s
motos	m 'o t u s	m 'ɔ t u s
mou	m 'ɔ w	m 'o w
mous	m 'ɔ w s	m 'o w s
multivers	m u l t i β 'ɛ r s	m u l t i β 'e s
muscular	m u s k u l 'a r	m u s k u l 'a
neboda	n ə β 'o ð ə	n ə β 'ɔ ð ə
nebot	n ə β 'o t	n ə β 'ɔ t
neda	n 'e ð ə	n 'ɛ ð ə
neden	n 'e ð ə n	n 'ɛ ð ə n
nedes	n 'e ð ə s	n 'ɛ ð ə s
nega	n 'e ɣ ə	n 'ɛ ɣ ə
neguen	n 'e ɣ ə n	n 'ɛ ɣ ə n
negues	n 'e ɣ ə s	n 'ɛ ɣ ə s
negui	n 'e ɣ i	n 'ɛ ɣ i
neguin	n 'e ɣ i n	n 'ɛ ɣ i n
nens	n 'ɛ n s	n 'e n s
neu	n 'e w	n 'ɛ w
neus	n 'e w s	n 'ɛ w s
neva	n 'e β ə	n 'ɛ β ə
nicens	n i s 'ɛ n s	n i s 'e n s
nihoni	n i 'ɔ n i	n i ə n i
noi	n 'ɔ j	n 'o i
nois	n 'ɔ j s	n 'o i s
nom	n 'ɔ m	n 'o m
noms	n 'ɔ m s	n 'o m s
nora	n 'ɔ ɾ ə	n 'o ɾ ə
nord	n 'ɔ r t	n 'o r
nores	n 'ɔ ɾ ə s	n 'o ɾ ə s
nosa	n 'ɔ z ə	n 'o z ə
noses	n 'ɔ z ə s	n 'o z ə s
nou	n 'ɔ w	n 'o w
nous	n 'ɔ w s	n 'o w s
novembre	n u β 'e m b ɾ ə	n u β 'ɛ m b ɾ ə
nuclear	n u k l e 'a r	n u k l e 'a
o	'ɔ	'o
objecte	u b ʒ 'e k t ə	u b ʒ 'ɛ k t ə
obscens	u p s 'ɛ n s	u p s 'e n s
ocular	u k u l 'a r	u k u l 'a
Odessa	u ð 'ɛ s ə	u ð 'e s ə
oest	u 'e s t	u 'ɛ s t
oi	'ɔ j	'o i
ombra	'o m b ɾ ə	'ɔ m b ɾ ə
ombreig	u m b ɾ 'ɛ t ʃ	u m b ɾ 'ɛ tʃ
ombres	'o m b ɾ ə s	'ɔ m b ɾ ə s
omple	'o m p l ə	'ɔ m p l ə
omplen	'o m p l ə n	'ɔ m p l ə n
omples	'o m p l ə s	'ɔ m p l ə s
omplo	'o m p l u	'ɔ m p l u
oncle	'o ŋ k l ə	'ɔ ŋ k l ə
oncles	'o ŋ k l ə s	'ɔ ŋ k l ə s
onzes	'o n z ə s	'ɔ n z ə s
opta	'o p t ə	'ɔ p t ə
opten	'o p t ə n	'ɔ p t ə n
opto	'o p t u	'ɔ p t u
or	'ɔ r	'o
orca	'o r k ə	'ɔ r k ə
orella	u ɾ 'ɛ ʎ ə	u ɾ 'e ʎ ə
ores	'ɔ ɾ ə s	'o ɾ ə s
ormeig	u r m 'ɛ t ʃ	u r m 'ɛ tʃ
ornament	u r n ə m 'e n	ɔ r n ə m 'e n
orques	'o r k ə s	'ɔ r k ə s
orquestra	u r k 'e s t ɾ ə	u r k 'ɛ s t ɾ ə
ortodox	u r t u ð 'ɔ k s	u r t u ð 'o k s
ortodoxa	u r t u ð 'o k s ə	u r t u ð 'ɔ k s ə
os	'ɔ s	'o s
ou	'ɔ w	'o w
ous	'ɔ w s	'o w s
ovella	u β 'ɛ ʎ ə	u β 'e ʎ ə
ovelles	u β 'ɛ ʎ ə s	u β 'e ʎ ə s
pacientment	p ə s i ə m m 'e n	p ə s i ə n m 'e n
pakistanès	p ə k i s t ə n 'ɛ s	p ə z i s t ə n 'ɛ s
pakistanesa	p ə k i s t ə n 'ɛ z ə	p ə z i s t ə n 'ɛ z ə
pakistaneses	p ə k i s t ə n 'ɛ z ə s	p ə z i s t ə n 'ɛ z ə s
pakistanesos	p ə k i s t ə n 'ɛ z u s	p ə z i s t ə n 'ɛ z u s
pandemoni	p ə n d ə m 'ɔ n i	p ə n d ə m 'o n i
parallamps	p ə ɾ ə ʎ 'a m s	p ə ɾ ə ʎ 'a m p s
paranoic	p ə ɾ ə n 'ɔ j k	p ə ɾ ə n 'o i k
parell	p ə ɾ 'ɛ ʎ	p ə ɾ 'e ʎ
parella	p ə ɾ 'ɛ ʎ ə	p ə ɾ 'e ʎ ə
parer	p ə ɾ 'ɛ	p ə ɾ 'e
parlessin	p ə r l 'e s i n	p ə r l 'ɛ s i n
parpelleig	p ə r p ə ʎ 'ɛ t ʃ	p ə r p ə ʎ 'ɛ tʃ
part	p 'a r t	p 'a r
particular	p ə r t i k u l 'a r	p ə r t i k u l 'a
passaport	p ə s ə p 'ɔ r t	p ə s ə p 'o r t
passaports	p ə s ə p 'ɔ r s	p ə s ə p 'o r t s
passatemps	p ə s ə t 'e m s	p ə s ə t 'ɛ m p s
passeig	p ə s 'ɛ t ʃ	p ə s 'ɛ tʃ
pastitx	p ə s t 'i t ʃ	p ə s t 'i tʃ
patrimoni	p ə t ɾ i m 'ɔ n i	p ə t ɾ i m 'o n i
peculiar	p ə k u l i 'a r	p ə k u l i 'a
pedra	p 'e ð ɾ ə	p 'ɛ ð ɾ ə
pedres	p 'e ð ɾ ə s	p 'ɛ ð ɾ ə s
pega	p 'e ɣ ə	p 'ɛ ɣ ə
pego	p 'e ɣ u	p 'ɛ ɣ u
peguen	p 'e ɣ ə n	p 'ɛ ɣ ə n
pegues	p 'e ɣ ə s	p 'ɛ ɣ ə s
peix	p 'e ʃ	p 'ɛ ʃ
peixos	p 'e ʃ u s	p 'ɛ ʃ u s
pendeloc	p ə n d ə l 'o k	p ə n d ə l 'ɔ k
penetra	p ə n 'e t ɾ ə	p ə n 'ɛ t ɾ ə
pengen	p 'e n ʒ ə n	p 'ɛ n ʒ ə n
penges	p 'e n ʒ ə s	p 'ɛ n ʒ ə s
pengi	p 'e n ʒ i	p 'ɛ n ʒ i
pengin	p 'e n ʒ i n	p 'ɛ n ʒ i n
peninsular	p ə n i n s u l 'a r	p ə n i n s u l 'a
penja	p 'e n ʒ ə	p 'ɛ n ʒ ə
penjo	p 'e n ʒ u	p 'ɛ n ʒ u
penombra	p ə n 'o m b ɾ ə	p ə n 'ɔ m b ɾ ə
pens	p 'ɛ n s	p 'e n s
per	p 'ə r	p ə r
pera	p 'ɛ ɾ ə	p 'e ɾ ə
Pere	p 'e ɾ ə	p 'ɛ ɾ ə
perfecta	p ə r f 'e k t ə	p ə r f 'ɛ k t ə
perfecte	p ə r f 'e k t ə	p ə r f 'ɛ k t ə
perfectes	p ə r f 'e k t ə s	p ə r f 'ɛ k t ə s
perfet	p ə r f 'e t	p ə r f 'ɛ t
perpendicular	p ə r p ə n d i k u l 'a r	p ə r p ə n d i k u l 'a
pesa	p 'e z ə	p 'ɛ z ə
pesen	p 'e z ə n	p 'ɛ z ə n
peses	p 'e z ə s	p 'ɛ z ə s
pesi	p 'e z i	p 'ɛ z i
peso	p 'e z u	p 'ɛ z u
pessebre	p ə s 'e β ɾ ə	p ə s 'ɛ β ɾ ə
pesta	p 'e s t ə	p 'ɛ s t ə
petges	p 'e d ʒ ə s	p 'ɛ d ʒ ə s
petja	p 'e d ʒ ə	p 'ɛ d ʒ ə
pirateig	p i ɾ ə t 'ɛ t ʃ	p i ɾ ə t 'ɛ tʃ
plaer	p l ə 'ɛ	p l ə 'e
plàncton	p l 'a ŋ k t o n	p l 'a ŋ t u n
plataforma	p l ə t ə f 'o r m ə	p l ə t ə f 'ɔ r m ə
plens	p l 'ɛ n s	p l 'e n s
plomo	p l 'o m u	p l 'ɔ m u
plor	p l 'ɔ	p l 'o
plora	p l 'ɔ ɾ ə	p l 'o ɾ ə
plores	p l 'ɔ ɾ ə s	p l 'o ɾ ə s
plou	p l 'ɔ w	p l 'o w
plovisqueig	p l u β i s k 'ɛ t ʃ	p l u β i s k 'ɛ tʃ
plutoni	p l u t 'ɔ n i	p l u t 'o n i
poblen	p 'o b b l ə n	p 'ɔ b b l ə n
poder	p u ð 'ɛ	p u ð 'e
podi	p 'o ð i	p 'ɔ ð i
podis	p 'o ð i s	p 'ɔ ð i s
poetessa	p u ə t 'ɛ s ə	p u ə t 'e s ə
polar	p u l 'a r	p u l 'a
polla	p 'o ʎ ə	p 'ɔ ʎ ə
poloni	p u l 'ɔ n i	p u l 'o n i
polpa	p 'o l p ə	p 'ɔ l p ə
pols	p 'o l s	p 'ɔ l s
poltre	p 'o l t ɾ ə	p 'ɔ l t ɾ ə
polze	p 'o l z ə	p 'ɔ l z ə
pon	p 'ɔ n	p 'o n
pons	p 'ɔ n s	p 'o n s
pont	p 'ɔ n	p 'o n
Pont	p 'ɔ n	p 'o n
pop	p 'o p	p 'ɔ p
popa	p 'o p ə	p 'ɔ p ə
popular	p u p u l 'a r	p u p u l 'a
porc	p 'ɔ r k	p 'o r k
porpra	p 'o r p ɾ ə	p 'ɔ r p ɾ ə
porro	p 'o r u	p 'ɔ r u
porros	p 'o r u s	p 'ɔ r u s
port	p 'ɔ r t	p 'o r t
