A	'a	 a 
definirem	d e f i n i ɾ 'ɛ m	 d e f i n i ɾ 'e m 
defora	d e f 'ɔ ɾ a	 d e f 'o ɾ a 
deixadesa	d e j ʃ a ð 'e z a	 d e j ʃ a ð 'ɛ z a 
deixeble	d e j ʃ 'e β l e	 d e j ʃ 'ɛ β l e 
deler	d e l 'ɛ ɾ	 d e l 'e ɾ 
delicadesa	d e l i k a ð 'e z a	 d e l i k a ð 'ɛ z a 
dempeus	d e m p 'e w s	 d e m p 'ɛ w s 
Dénia	d 'e n i a	 d e n 'i a 
dens	d 'e n s	 d 'ɛ n s 
densa	d 'e n s a	 d 'ɛ n s a 
denses	d 'e n s e s	 d 'ɛ n s e s 
densos	d 'e n s o s	 d 'ɛ n s o s 
dependre	d e p 'e n d ɾ e	 d e p 'ɛ n d ɾ e 
desa	d 'e z a	 d 'ɛ z a 
desatendre	d e z a t 'e n d ɾ e	 d e z a t 'ɛ n d ɾ e 
descompte	d e s k 'o m t e	 d e s k 'ɔ m p t e 
descontentem	d e s k o n t e n t 'ɛ m	 d e s k o n t e n t 'e m 
descuit	d e s k w 'i t	 d e s k u 'i t 
desembeinar	d e z e m b e j n 'a ɾ	 d e z e m b e i n 'a ɾ 
desembre	d e z 'e m b ɾ e	 d e z 'ɛ m b ɾ e 
deshidratar	d e s i ð ɾ a t 'a ɾ	 d e z i ð ɾ a t 'a ɾ 
deshonest	d e s o n 'e s t	 d e z o n 'ɛ s t 
desig	d e z 'i t ʃ	 d e z 'i ɣ 
desigs	d e z 'i t ʃ s	 d e z 'i d ʒ s 
desmai	d e z m 'a j	 d e z m 'a i 
deso	d 'e z o	 d 'ɛ z o 
desordre	d e z 'o ɾ ð ɾ e	 d e z 'ɔ ɾ ð ɾ e 
despendre	d e s p 'e n d ɾ e	 d e s p 'ɛ n d ɾ e 
despesa	d e s p 'e z a	 d e s p 'ɛ z a 
despeses	d e s p 'e z e s	 d e s p 'ɛ z e s 
destra	d 'e s t ɾ a	 d 'ɛ s t ɾ a 
destres	d 'e s t ɾ e s	 d 'ɛ s t ɾ e s 
destruir	d e s t ɾ w 'i ɾ	 d e s t ɾ u 'i ɾ 
desvetllada	d e z v e l l 'a ð a	 d e z v e ʎ l 'a ð a 
desvetllades	d e z v e l l 'a ð e s	 d e z v e ʎ l 'a ð e s 
desvetllament	d e z v e l l a m 'e n t	 d e z v e l ʎ a m 'e n t 
desvetllar	d e z v e l l 'a ɾ	 d e z v e ʎ l 'a ɾ 
desvetllat	d e z v e l l 'a t	 d e z v e ʎ l 'a t 
desvetllats	d e z v e l l 'a t s	 d e z v e ʎ l 'a t s 
detectivesc	d e t e k t i v 'e s k	 d e t e k t i v 'ɛ s k 
detectivesca	d e t e k t i v 'e s k a	 d e t e k t i v 'ɛ s k a 
detona	d e t 'ɔ n a	 d e t 'o n a 
detones	d e t 'ɔ n e s	 d e t 'o n e s 
detono	d e t 'ɔ n o	 d e t 'o n o 
deu	d 'e w	 d 'ɛ w 
deure	d 'e w ɾ e	 d 'ɛ w ɾ e 
deus	d 'e w s	 d 'ɛ w s 
deute	d 'e w t e	 d 'ɛ w t e 
devers	d e v 'ɛ ɾ s	 d e v 'e ɾ s 
difondre	d i f 'o n d ɾ e	 d i f 'ɔ n d ɾ e 
dijous	d i d ʒ 'ɔ w s	 d i d ʒ o 'u s 
diluir	d i l w 'i ɾ	 d i l u 'i ɾ 
dimecres	d i m 'e k ɾ e s	 d i m 'ɛ k ɾ e s 
dimoni	d i m 'ɔ n i	 d i m 'o n i 
dimonis	d i m 'ɔ n i s	 d i m 'o n i s 
dinou	d i n 'ɔ w	 d i n 'o w 
discoteca	d i s k o t 'e k a	 d i s k o t 'ɛ k a 
disminuir	d i z m i n w 'i ɾ	 d i z m i n u 'i ɾ 
dispers	d i s p 'ɛ ɾ s	 d i s p 'e ɾ s 
displicent	d i s p l i s 'e n t	 d i s p l i k 'e n t 
disseny	d i s 'e ɲ	 d i s 'ɛ ɲ 
dissequem	d i s e k 'ɛ m	 d i s e k 'e m 
dissolt	d i s 'ɔ l t	 d i s 'o l t 
dissort	d i s 'ɔ ɾ t	 d i s 'o ɾ t 
distendre	d i s t 'e n d ɾ e	 d i s t 'ɛ n d ɾ e 
distreure	d i s t ɾ 'e w ɾ e	 d i s t ɾ 'ɛ w ɾ e 
distribuir	d i s t ɾ i β w 'i ɾ	 d i s t ɾ i β u 'i ɾ 
diumenge	d i w m 'e n d ʒ e	 d i w m 'ɛ n d ʒ e 
divendres	d i v 'e n d ɾ e s	 d i v 'ɛ n d ɾ e s 
divers	d i v 'ɛ ɾ s	 d i v 'e ɾ s 
divuit	d i v w 'i t	 d i v i 'i t 
Djibouti	d d ʒ i β 'ɔ w t i	 d d ʒ i β o 'u t i 
dobla	d 'o β l a	 d 'ɔ β l a 
doble	d 'o β l e	 d 'ɔ β l e 
doblen	d 'o β l e n	 d 'ɔ β l e n 
dobles	d 'o β l e s	 d 'ɔ β l e s 
dodecaedre	d o ð e k a 'e ð ɾ e	 d o ð e k a 'ɛ ð ɾ e 
dogma	d 'o g m a	 d 'ɔ g m a 
dogmes	d 'o g m e s	 d 'ɔ g m e s 
dolça	d 'o l s a	 d 'ɔ l s a 
dolces	d 'o l s e s	 d 'ɔ l s e s 
dolços	d 'o l s o s	 d 'ɔ l s o s 
doler	d o l 'ɛ ɾ	 d o l 'e ɾ 
domem	d o m 'ɛ m	 d o m 'e m 
dona	d 'ɔ n a	 d 'o n a 
donen	d 'o n e n	 d 'ɔ n e n 
dones	d 'ɔ n e s	 d 'o n e s 
dònut	d 'ɔ n u t	 d o n 'u t 
dopa	d 'o p a	 d 'ɔ p a 
dotze	d 'o d z e	 d 'ɔ d z e 
drapaire	d ɾ a p 'a j ɾ e	 d ɾ a p a 'i ɾ e 
dropo	d ɾ 'o p o	 d ɾ 'ɔ p o 
dropos	d ɾ 'o p o s	 d ɾ 'ɔ p o s 
duaner	d u a n 'e ɾ	 d w a n 'e ɾ 
duresa	d u ɾ 'e z a	 d u ɾ 'ɛ z a 
e	'e	 k 
Ebre	'e β ɾ e	 'ɛ β ɾ e 
eco	'e k o	 'ɛ k o 
efluir	e f l w 'i ɾ	 a f l u 'i ɾ 
ego	'e ɣ o	 'ɛ ɣ o 
ei	'e j	 'ɛ i 
eina	'e j n a	 d ʒ 'i n a 
Eivissa	e j v 'i s a	 e i v 'i s a 
eixe	'e j ʃ e	 'ɛ j ʃ e 
elàstic	e l 'a s t i k	 a l 'a s t i k 
elàstica	e l 'a s t i k a	 a l 'a s t i k a 
elàstics	e l 'a s t i k s	 a l 'a s t i k s 
elàstiques	e l 'a s t i k e s	 a l 'a s t i k e s 
elèctrica	e l 'ɛ k t ɾ i k a	 e l e k t ɾ 'i k a 
elèctrics	e l 'ɛ k t ɾ i k s	 e l e k t ɾ 'i k s 
elèctrode	e l 'ɛ k t ɾ o ð e	 e l e k t ɾ 'ɔ ð e 
element	e l e m 'e n t	 ɛ l e m 'e n t 
Elies	e l 'i e s	 a l 'i e s 
el·lipsoide	e l i p s 'ɔ j ð e	 e l i p s o 'i ð e 
Eloi	e l 'ɔ j	 a l 'o i 
eloqüent	e l o k w 'e n t	 e l o k 'e n t 
emanar	e m a n 'a ɾ	 a m a n 'a ɾ 
emancipació	e m a n s i p a s i 'o	 a m a n s i p a s i 'o 
emasculada	a m a s k u l 'a ð a	 e m a s k u l 'a ð a 
emasculades	a m a s k u l 'a ð e s	 e m a s k u l 'a ð e s 
emascular	a m a s k u l 'a ɾ	 e m a s k u l 'a ɾ 
emasculat	a m a s k u l 'a t	 e m a s k u l 'a t 
emasculats	a m a s k u l 'a t s	 e m a s k u l 'a t s 
emboirar	a m b o j ɾ 'a ɾ	 a m b o i ɾ 'a ɾ 
embruixar	a m b ɾ u j ʃ 'a ɾ	 a m b ɾ i ʃ 'a ɾ 
emèrit	e m 'ɛ ɾ i t	 a m 'ɛ ɾ i t 
emèrita	e m 'ɛ ɾ i t a	 a m 'ɛ ɾ i t a 
emèrites	e m 'ɛ ɾ i t e s	 a m 'ɛ ɾ i t e s 
emèrits	e m 'ɛ ɾ i t s	 a m 'ɛ ɾ i t s 
emesa	e m 'e z a	 e m 'ɛ z a 
emeses	e m 'e z e s	 e m 'ɛ z e s 
emesos	e m 'e z o s	 e m 'ɛ z o s 
emetre	e m 'e t ɾ e	 e m 'ɛ t ɾ e 
emigres	e m 'i ɣ ɾ e s	 a m 'i ɣ ɾ e s 
emigri	e m 'i ɣ ɾ i	 a m 'i ɣ ɾ i 
emigro	e m 'i ɣ ɾ o	 a m 'i ɣ ɾ o 
Emili	e m 'i l i	 a m 'i l i 
Emília	e m 'i l i a	 a m 'i l i a 
emissari	e m i s 'a ɾ i	 a m i s 'a ɾ i 
emissió	e m i s i 'o	 a m i s i 'o 
emissor	e m i s 'o ɾ	 a m i s 'o ɾ 
emissora	e m i s 'o ɾ a	 a m i s 'o ɾ a 
empait	a m p 'a j t	 a m p a 'i t 
empaitar	a m p a j t 'a ɾ	 a m p a i t 'a ɾ 
empesa	a m p 'e z a	 a m p 'ɛ z a 
empeses	a m p 'e z e s	 a m p 'ɛ z e s 
empesos	a m p 'e z o s	 a m p 'ɛ z o s 
empra	'e m p ɾ a	 ' a m p ɾ a 
empremta	a m p ɾ 'e m t a	 a m p ɾ 'ɛ m t a 
empren	'e m p ɾ e n	 ' a m p ɾ e n 
empresa	a m p ɾ 'e z a	 a m p ɾ 'ɛ z a 
emula	e m 'u l a	 a m 'u l a 
emulació	e m u l a s i 'o	 a m u l a s i 'o 
emulada	e m u l 'a ð a	 a m u l 'a ð a 
emular	e m u l 'a ɾ	 a m u l 'a ɾ 
emulares	e m u l 'a ɾ e s	 a m u l 'a ɾ e s 
emularia	e m u l a ɾ 'i a	 a m u l a ɾ 'i a 
emulava	e m u l 'a v a	 a m u l 'a v a 
emulsió	e m u l s i 'o	 a m u l s i 'o 
emulsionar	e m u l s i o n 'a ɾ	 a m u l s i o n 'a ɾ 
en	'e n	 e n 
enagos	e n 'a ɣ o s	 a n 'a ɣ o s 
enaltir	e n a l t 'i ɾ	 a n a l t 'i ɾ 
encèfal	a n s 'ɛ f a l	 a n s e f 'a l 
encendre	a n s 'e n d ɾ e	 a n s 'ɛ n d ɾ e 
encens	a n s 'e n s	 a n s 'ɛ n s 
encesa	a n s 'e z a	 a n s 'ɛ z a 
enceses	a n s 'e z e s	 a n s 'ɛ z e s 
encesos	a n s 'e z o s	 a n s 'ɛ z o s 
endarrere	a n d a r 'e ɾ e	 a n d a r 'ɛ ɾ e 
ene	'e n e	 'ɛ n e 
ènema	'ɛ n e m a	 d n 'e m a 
engruixir	a ŋ g ɾ u j ʃ 'i ɾ	 a ŋ g ɾ u i ʃ 'i ɾ 
enlairament	a n l a j ɾ a m 'e n t	 a n l a i ɾ a m 'e n t 
enmig	a m m 'i t ʃ	 a n m 'i ɣ 
enorme	e n 'o ɾ m e	 a n 'ɔ ɾ m e 
enormes	e n 'o ɾ m e s	 a n 'ɔ ɾ m e s 
enormitat	e n o ɾ m i t 'a t	 a n o ɾ m i t 'a t 
enquesta	a ŋ k 'e s t a	 a ŋ k 'ɛ s t a 
ensems	a n s 'e m s	 a n s 'ɛ m s 
entendre	a n t 'e n d ɾ e	 a n t 'ɛ n d ɾ e 
entesa	a n t 'e z a	 a n t 'ɛ z a 
enteses	a n t 'e z e s	 a n t 'ɛ z e s 
entesos	a n t 'e z o s	 a n t 'ɛ z o s 
entre	'e n t ɾ e	 ' a n t ɾ e 
entren	'e n t ɾ e n	 ' a n t ɾ e n 
entres	'e n t ɾ e s	 ' a n t ɾ e s 
entro	'e n t ɾ o	 ' a n t ɾ o 
ep	'e p	 'ɛ p 
èpsilon	'ɛ p s i l o n	 ɛ p s i l 'o n 
eqüestre	e k w 'e s t ɾ e	 e k 'ɛ s t ɾ e 
equivoco	e k i v 'o k o	 e k i v 'ɔ k o 
eren	'e ɾ e n	 'ɛ ɾ e n 
éreu	'e ɾ e w	 ' e ɾ e w 
erm	'e ɾ m	 'ɛ ɾ m 
ermini	e ɾ m 'i n i	 a ɾ m 'i n i 
erroni	e r 'ɔ n i	 e r 'o n i 
es	'e s	 e s 
Esaú	a z a 'u	 a z 'a t 
escairada	a s k a j ɾ 'a ð a	 a s k a i ɾ 'a ð a 
escairades	a s k a j ɾ 'a ð e s	 a s k a i ɾ 'a ð e s 
escairar	a s k a j ɾ 'a ɾ	 a s k a i ɾ 'a ɾ 
escairat	a s k a j ɾ 'a t	 a s k a i ɾ 'a t 
escairats	a s k a j ɾ 'a t s	 a s k a i ɾ 'a t s 
escassesa	a s k a s 'e z a	 a s k a s 'ɛ z a 
escil·la	a s 'i l a	 a s k 'i l a 
escletxa	a s k l 'e t ʃ a	 a s k l 'ɛ t ʃ a 
escoceses	a s k o s 'e z e s	 a s k o s 'ɛ z e s 
escocesos	a s k o s 'e z o s	 a s k o s 'ɛ z o s 
escolta	a s k 'o l t a	 a s k 'ɔ l t a 
escombra	a s k 'o m b ɾ a	 a s k 'ɔ m b ɾ a 
escomesa	a s k o m 'e z a	 a s k o m 'ɛ z a 
escometre	a s k o m 'e t ɾ e	 a s k o m 'ɛ t ɾ e 
escuixar	a s k u j ʃ 'a ɾ	 a s k u i ʃ 'a ɾ 
esglai	a z ɣ l 'a j	 a z ɣ l 'a i 
esma	'e z m a	 a z m a 
esment	a z m 'e n t	 e z m 'e n t 
espai	a s p 'a j	 a s p 'a i 
espais	a s p 'a j s	 a s p 'a i s 
espardenya	a s p a ɾ ð 'e ɲ a	 a s p a ɾ ð 'ɛ ɲ a 
espectre	a s p 'e k t ɾ e	 a s p 'ɛ k t ɾ e 
espetec	a s p e t 'e k	 a s p e t 'ɛ k 
esplai	a s p l 'a j	 a s p l 'a i 
esplèndids	a s p l 'ɛ n d i t s	 a s p l e n d i 'a s 
espona	a s p 'ɔ n a	 a s p 'o n a 
esquetx	a s k 'e t ʃ	 a s k 'ɛ t ʃ 
essencialisme	e s e n s i a l 'i z m e	 a s e n s i a l 'i z m e 
essencialista	e s e n s i a l 'i s t a	 a s e n s i a l 'i s t a 
ésser	'e s e ɾ	 ' e s e ɾ 
est	'e s t	 'a s t 
esta	'e s t a	 a s t a 
estai	a s t 'a j	 a s t 'a i 
estàndard	a s t 'a n d a ɾ t	 a s t a n d 'a ɾ t 
estàndards	a s t 'a n d a ɾ t s	 a s t 'a n d a ɾ s 
estanyol	a s t a ɲ 'o l	 a s t a ɲ 'ɔ l 
estendre	a s t 'e n d ɾ e	 a s t 'ɛ n d ɾ e 
estepa	a s t 'e p a	 a s t 'ɛ p a 
esteperol	a s t e p e ɾ 'o l	 a s t e p e ɾ 'ɔ l 
estesa	a s t 'e z a	 a s t 'ɛ z a 
esteses	a s t 'e z e s	 a s t 'ɛ z e s 
estesos	a s t 'e z o s	 a s t 'ɛ z o s 
estómac	a s t 'o m a k	 a s t o m 'a k 
estos	'e s t o s	 a s t o s 
estramoni	a s t ɾ a m 'ɔ n i	 a s t ɾ a m 'o n i 
estrateg	a s t ɾ a t 'e k	 a s t ɾ a t 'ɛ g 
estri	'ɛ s t ɾ i	 a s t ɾ i 
estris	'ɛ s t ɾ i s	 a s t ɾ i s 
eta	'ɛ t a	 'e t a 
età	e t 'a	 a t 'a 
etcètera	e t s 'ɛ t e ɾ a	 a t s 'ɛ t e ɾ a 
etíop	e t 'i o p	 a t 'i o p 
ètnia	'ɛ d n i a	 'ɛ t n i a 
ètnic	'ɛ d n i k	 'ɛ t n i k 
eucaliptus	e w k a l 'i p t u s	 a w k a l 'i p t u s 
eudiòmetre	e w ð i 'ɔ m e t ɾ e	 ɛ w ð i 'ɔ m e t ɾ e 
eudiòmetres	e w ð i 'ɔ m e t ɾ e s	 ɛ w ð i 'ɔ m e t ɾ e s 
eufoni	e w f 'ɔ n i	 e w f 'o n i 
Eulàlia	e w l 'a l i a	 e u l 'a l i a 
euro	'e w ɾ o	 'ɛ w ɾ o 
europeu	e w ɾ o p 'e w	 e w ɾ o p 'ɛ w 
èuscar	'ɛ w s k a ɾ	 ɛ w s k 'a ɾ 
évol	'e v o l	 d v o l 
exabrupte	e g z a β ɾ 'u p t e	 e k s a β ɾ 'u p t e 
exemple	e g z 'e m p l e	 e g z 'ɛ m p l e 
exempt	e g z 'e m t	 e g z 'ɛ m p t 
exemptar	e g z e m t 'a ɾ	 e g z e m p t 'a ɾ 
exhaust	e g z 'a w s t	 e g z 'e w s t 
exili	e g z 'i l i	 e k s 'i l i 
exotòxic	e g z o t 'ɔ k s i k	 e k s o t 'ɔ k s i k 
expresses	e k s p ɾ 'e s e s	 e k s p ɾ 'ɛ s e s 
expressos	e k s p ɾ 'e s o s	 e k s p ɾ 'ɛ s o s 
extens	e k s t 'e n s	 e k s t 'ɛ n s 
extensa	e k s t 'e n s a	 e k s t 'ɛ n s a 
extenses	e k s t 'e n s e s	 e k s t 'ɛ n s e s 
extensos	e k s t 'e n s o s	 e k s t 'ɛ n s o s 
extra	'e k s t ɾ a	 'ɛ k s t ɾ a 
extremeny	e k s t ɾ e m 'e ɲ	 e k s t ɾ e m 'ɛ ɲ 
extremenya	e k s t ɾ e m 'e ɲ a	 e k s t ɾ e m 'ɛ ɲ a 
extreure	e k s t ɾ 'e w ɾ e	 e k s t ɾ 'ɛ w ɾ e 
Ezequiel	e z e k i 'ɛ l	 d z e k i 'ɛ l 
Fàbregas	f 'a β ɾ e ɣ a s	 f a β ɾ e ɣ 'a s 
fageda	f a d ʒ 'e ð a	 f a d ʒ 'ɛ ð a 
fagosoma	f a ɣ o z 'ɔ m a	 f a ɣ o z 'o m a 
fajol	f a d ʒ 'o l	 f a d ʒ 'ɔ l 
faltem	f a l t 'ɛ m	 f a l t 'e m 
fatxenda	f a t ʃ 'e n d a	 f a t ʃ 'ɛ n d a 
fe	f 'e	 f 'ɛ 
feble	f 'e β l e	 f 'ɛ β l e 
febles	f 'e β l e s	 f 'ɛ β l e s 
feblesa	f e β l 'e z a	 f e β l 'ɛ z a 
febre	f 'e β ɾ e	 f 'ɛ β ɾ e 
febres	f 'e β ɾ e s	 f 'ɛ β ɾ e s 
feina	f 'e j n a	 f 'ɛ j n a 
feinada	f e j n 'a ð a	 f e i n 'a ð a 
feiner	f e j n 'e ɾ	 f e i n 'e ɾ 
fen	f 'e n	 f 'ɛ n 
feren	f 'e ɾ e n	 f 'ɛ ɾ e n 
ferm	f 'e ɾ m	 f 'ɛ ɾ m 
ferma	f 'e ɾ m a	 f 'ɛ ɾ m a 
fermes	f 'e ɾ m e s	 f 'ɛ ɾ m e s 
ferms	f 'e ɾ m s	 f 'ɛ ɾ m s 
fes	f 'e s	 f 'ɛ s 
Fes	f 'e s	 f 'ɛ s 
fesol	f e z 'o l	 f e z 'ɔ l 
fessin	f 'e s i n	 f 'ɛ s i n 
fessis	f 'e s i s	 f 'ɛ s i s 
festa	f 'e s t a	 f 'ɛ s t a 
festes	f 'e s t e s	 f 'ɛ s t e s 
feu	f 'e w	 f 'ɛ w 
feus	f 'e w s	 f 'ɛ w s 
fillol	f i ʎ 'o l	 f i ʎ 'ɔ l 
fímbria	f 'i m b ɾ i a	 f i m b ɾ 'i a 
finestra	f i n 'e s t ɾ a	 f i n 'ɛ s t ɾ a 
finlandesa	f i n l a n d 'e z a	 f i n l a n d 'ɛ z a 
finlandesos	f i n l a n d 'e z o s	 f i n l a n d 'ɛ z o s 
flairada	f l a j ɾ 'a ð a	 f l a i ɾ 'a ð a 
flairades	f l a j ɾ 'a ð e s	 f l a i ɾ 'a ð e s 
flairar	f l a j ɾ 'a ɾ	 f l a i ɾ 'a ɾ 
flairat	f l a j ɾ 'a t	 f l a i ɾ 'a t 
flairats	f l a j ɾ 'a t s	 f l a i ɾ 'a t s 
fleca	f l 'e k a	 f l 'ɛ k a 
flegma	f l 'e g m a	 f l 'ɛ g m a 
fleques	f l 'e k e s	 f l 'ɛ k e s 
fletxa	f l 'e t ʃ a	 f l 'ɛ t ʃ a 
fletxes	f l 'e t ʃ e s	 f l 'ɛ t ʃ e s 
floricol	f l o ɾ i k 'o l	 f l o ɾ i k 'ɔ l 
floristeria	f l o ɾ i s t e ɾ 'i a	 f l 'ɔ ɾ 'i s t e ɾ 'i a 
fluid	f l w 'i t	 f l s 'i t 
fluir	f l w 'i ɾ	 f l u 'i ɾ 
fluixesa	f l u j ʃ 'e z a	 f l u j ʃ 'ɛ z a 
fluorescents	f l u o ɾ e s 'e n s	 f l u o ɾ e s 'e n t s 
folla	f 'o ʎ a	 f 'ɔ ʎ a 
folles	f 'o ʎ e s	 f 'ɔ ʎ e s 
fonda	f 'o n d a	 f 'ɔ n d a 
fondes	f 'o n d e s	 f 'ɔ n d e s 
fondo	f 'o n d o	 f 'ɔ n d o 
fondos	f 'o n d o s	 f 'ɔ n d o s 
fondre	f 'o n d ɾ e	 f 'ɔ n d ɾ e 
fonen	f 'o n e n	 f 'ɔ n e n 
fora	f 'ɔ ɾ a	 f 'o ɾ a 
forca	f 'o ɾ k a	 f 'ɔ ɾ k a 
foren	f 'o ɾ e n	 f 'ɔ ɾ e n 
forma	f 'o ɾ m a	 f 'ɔ ɾ m a 
formen	f 'o ɾ m e n	 f 'ɔ ɾ m e n 
formes	f 'o ɾ m e s	 f 'ɔ ɾ m e s 
formo	f 'o ɾ m o	 f 'ɔ ɾ m o 
forques	f 'o ɾ k e s	 f 'ɔ ɾ k e s 
fort	f 'ɔ ɾ t	 f 'o ɾ t 
fortalesa	f o ɾ t a l 'e z a	 f o ɾ t a l 'ɛ z a 
fosca	f 'o s k a	 f 'ɔ s k a 
foscos	f 'o s k o s	 f 'ɔ s k o s 
fosques	f 'o s k e s	 f 'ɔ s k e s 
foten	f 'o t e n	 f 'ɔ t e n 
fotesa	f o t 'e z a	 f o t 'ɛ z a 
foto	f 'o t o	 f 'ɔ t o 
fotoelèctrica	f o t o e l 'ɛ k t ɾ i k a	 f o t o e l e k t ɾ 'i k a 
fotoelèctrics	f o t o e l 'ɛ k t ɾ i k s	 f o t o e l e k t ɾ 'i k s 
fotos	f 'o t o s	 f 'ɔ t o s 
fotovoltaic	f o t o v o l t 'a j k	 f o t o v o l t 'a i k 
fotovoltaics	f o t o v o l t 'a j k s	 f o t o v o l t a 'i k s 
fotovoltaiques	f o t o v o l t 'a j k e s	 f o t o v o l t 'a i k e s 
fotre	f 'o t ɾ e	 f 'ɔ t ɾ e 
francesa	f ɾ a n s 'e z a	 f ɾ a n s 'ɛ z a 
Francesc	f ɾ a n s 'e s k	 f ɾ a n s 'ɛ s k 
franceses	f ɾ a n s 'e z e s	 f ɾ a n s 'ɛ z e s 
francesos	f ɾ a n s 'e z o s	 f ɾ a n s 'ɛ z o s 
franquesa	f ɾ a ŋ k 'e z a	 f ɾ a ŋ k 'ɛ z a 
fre	f ɾ 'e	 f ɾ 'ɛ 
frec	f ɾ 'e k	 f ɾ 'ɛ k 
freda	f ɾ 'e ð a	 f ɾ 'ɛ ð a 
fredes	f ɾ 'e ð e s	 f ɾ 'ɛ ð e s 
freds	f ɾ 'e t s	 f ɾ 'ɛ d s 
frega	f ɾ 'e ɣ a	 f ɾ 'ɛ ɣ a 
frego	f ɾ 'e ɣ o	 f ɾ 'ɛ ɣ o 
freguen	f ɾ 'e ɣ e n	 f ɾ 'ɛ ɣ e n 
fregues	f ɾ 'e ɣ e s	 f ɾ 'ɛ ɣ e s 
frenen	f ɾ 'e n e n	 f ɾ 'ɛ n e n 
freno	f ɾ 'e n o	 f ɾ 'ɛ n o 
frens	f ɾ 'e n s	 f ɾ 'ɛ n s 
freqüentar	f ɾ e k w e n t 'a ɾ	 f ɾ e k e n t 'a ɾ 
fresa	f ɾ 'e z a	 f ɾ 'ɛ z a 
fresc	f ɾ 'e s k	 f ɾ 'ɛ s k 
fresca	f ɾ 'e s k a	 f ɾ 'ɛ s k a 
frescos	f ɾ 'e s k o s	 f ɾ 'ɛ s k o s 
fresques	f ɾ 'e s k e s	 f ɾ 'ɛ s k e s 
fruit	f ɾ w 'i t	 f ɾ u 'i t 
fruita	f ɾ w 'i t a	 f ɾ d ʒ 'i t a 
fui	f w 'i	 f 'u i 
fuita	f w 'i t a	 f 'u j t a 
fumerol	f u m e ɾ 'o l	 f u m e ɾ 'ɔ l 
futbol	f u d b 'ɔ l	 f u t b 'ɔ l 
futbolí	f u d b o l 'i	 f u t b o l 'i 
futbolista	f u d b o l 'i s t a	 f u t b o l 'i s t a 
gai	g 'a j	 g 'a i 
gaita	g 'a j t a	 g a 'i t a 
gaiter	g a j t 'e ɾ	 g a i t 'e ɾ 
galilea	g a l i l 'ɛ a	 g a l i l 'e a 
Galileu	g a l i l 'e w	 g a l i l 'ɛ w 
gallec	g a ʎ 'e k	 g a ʎ 'ɛ k 
galleda	g a ʎ 'e ð a	 g a ʎ 'ɛ ð a 
gal·lesos	g a l 'e z o s	 g a l 'ɛ z o s 
ganyol	g a ɲ 'o l	 g a ɲ 'ɔ l 
gasela	g a z 'ɛ l a	 g a s 'ɛ l a 
gasoil	g a z 'ɔ j l	 g a z o 'i l 
gegantesc	d ʒ e ɣ a n t 'e s k	 d ʒ e ɣ a n t 'ɛ s k 
gemec	d ʒ e m 'e k	 d ʒ e m 'ɛ k 
gemma	d ʒ 'e m m a	 d ʒ 'ɛ m m a 
Gemma	d ʒ 'e m m a	 d ʒ 'ɛ m m a 
genovesa	d ʒ e n o v 'e z a	 d ʒ e n o v 'ɛ z a 
gens	d ʒ 'e n s	 d ʒ 'ɛ n s 
geocèntrics	d ʒ e o s 'ɛ n t ɾ i k s	 d ʒ e o s e n t ɾ 'i k s 
gespa	d ʒ 'e s p a	 g s p a 
gest	d ʒ 'e s t	 d ʒ 'ɛ s t 
gesta	d ʒ 'e s t a	 d ʒ 'ɛ s t a 
gestes	d ʒ 'e s t e s	 d ʒ 'ɛ s t e s 
gestos	d ʒ 'e s t o s	 d ʒ 'ɛ s t o s 
ginebra	d ʒ i n 'e β ɾ a	 d ʒ i n 'ɛ β ɾ a 
Ginebra	d ʒ i n 'e β ɾ a	 d ʒ i n 'ɛ β ɾ a 
ginesta	d ʒ i n 'e s t a	 d ʒ i n 'ɛ s t a 
glands	g l 'a n s	 g l 'a n d s 
glop	g l 'o p	 g l 'ɔ p 
glosa	g l 'ɔ z a	 g l 'o z a 
gloses	g l 'ɔ z e s	 g l 'o z e s 
golfa	g 'o l f a	 g 'ɔ l f a 
golfes	g 'o l f e s	 g 'ɔ l f e s 
gorg	g 'o ɾ k	 g 'ɔ ɾ i 
gossa	g 'o s a	 g 'ɔ s a 
gossos	g 'o s o s	 g 'ɔ s o s 
gota	g 'o t a	 g 'ɔ t a 
gotes	g 'o t e s	 g 'ɔ t e s 
granuloma	g ɾ a n u l 'ɔ m a	 g ɾ a n u l 'o m a 
grec	g ɾ 'e k	 g ɾ 'ɛ k 
grecs	g ɾ 'e k s	 g ɾ 'ɛ k s 
grega	g ɾ 'e ɣ a	 g ɾ 'ɛ ɣ a 
gregues	g ɾ 'e ɣ e s	 g ɾ 'ɛ ɣ e s 
gresca	g ɾ 'e s k a	 g ɾ 'ɛ s k a 
greu	g ɾ 'e w	 g ɾ 'ɛ w 
greuge	g ɾ 'e w d ʒ e	 g ɾ 'ɛ w d ʒ e 
greus	g ɾ 'e w s	 g ɾ 'ɛ w s 
grinyol	g ɾ i ɲ 'o l	 g ɾ i ɲ 'ɔ l 
gronxa	g ɾ 'o n t ʃ a	 g ɾ 'ɔ n t ʃ a 
grop	g ɾ 'o p	 g ɾ 'ɔ p 
grotesc	g ɾ o t 'e s k	 g ɾ o t 'ɛ s k 
guaita	g w 'a j t a	 g w a 'i t a 
guaitar	g w a j t 'a ɾ	 g w a i t 'a ɾ 
