A	'ə	 ə 
cogoma	k u ɣ 'ɔ m ə	 k u ɣ 'o m ə 
cogombre	k u ɣ 'o m b ɾ ə	 k u ɣ 'ɔ m b ɾ ə 
coherentment	k u ə ɾ ə m m 'e n	 k u β ə ɾ ə n ə m 'e n 
coit	k 'ɔ j t	 k u 'i t 
colesteatoma	k u l ə s t e ə t 'ɔ m ə	 k u l ə s t ə ə t 'o m ə 
colesteatomes	k u l ə s t e ə t 'ɔ m ə s	 k u l ə s t ə ə t 'o m ə s 
coll	k 'ɔ ʎ	 k 'o ʎ 
colossos	k u l 'o s u s	 k u l 'ɔ s u s 
colze	k 'o l z ə	 k 'ɔ l z ə 
colzes	k 'o l z ə s	 k 'ɔ l z ə s 
comboi	k u m b 'ɔ j	 k u m b 'o i 
Comores	k u m 'ɔ ɾ ə s	 k u m 'o ɾ ə s 
compareixença	k u m p ə ɾ ə ʃ 'ɛ n s ə	 k u m p ə ɾ ə ʃ 'e n s ə 
complerts	k u m p l 'ɛ r s	 k u m p l 'ɛ r t s 
còmplices	k 'ɔ m p l i s ə s	 k u m p l 'i s ə s 
compon	k u m p 'ɔ n	 k u m p 'o n 
compost	k u m p 'ɔ s t	 k u m p 'o s t 
compra	k 'o m p ɾ ə	 k 'ɔ m p ɾ ə 
compren	k 'o m p ɾ ə n	 k 'ɔ m p ɾ ə n 
compres	k 'o m p ɾ ə s	 k 'ɔ m p ɾ ə s 
compro	k 'o m p ɾ u	 k 'ɔ m p ɾ u 
compta	k 'o m t ə	 k 'ɔ m t ə 
comptar	k u m t 'a	 k u m p t 'a 
comptat	k u m t 'a t	 k u m p t 'a t 
comptatge	k u m t 'a d ʒ ə	 k u m p t 'a d ʒ ə 
comptatges	k u m t 'a d ʒ ə s	 k u m p t 'a d ʒ ə s 
comptats	k u m t 'a t s	 k u m p t 'a t s 
compte	k 'o m t ə	 k 'ɔ m p t ə 
compten	k 'o m t ə n	 k 'ɔ m p t ə n 
comptes	k 'o m t ə s	 k 'ɔ m p t ə s 
compti	k 'o m t i	 k 'ɔ m p t i 
comptin	k 'o m t i n	 k 'ɔ m p t i n 
compto	k 'o m t u	 k 'ɔ m p t u 
comte	k 'o m t ə	 k 'ɔ m t ə 
comtes	k 'o m t ə s	 k 'ɔ m t ə s 
comtessa	k u m t 'ɛ s ə	 k u m t 'e s ə 
conca	k 'o ŋ k ə	 k 'ɔ ŋ k ə 
concepte	k u n s 'e p t ə	 k u n s 'ɛ p t ə 
concloses	k u ŋ k l 'ɔ z ə s	 k u ŋ k l 'o z ə s 
conclosos	k u ŋ k l 'ɔ z u s	 k u ŋ k l 'o z u s 
concórrer	k u ŋ k 'o r ə	 k u ŋ k u r 'e 
concret	k u ŋ k ɾ 'e t	 k u ŋ k ɾ 'ɛ t 
còndor	k 'ɔ n d u r	 k u n d 'o 
conéixer	k u n 'e ʃ ə	 k u n ə ʃ 'e 
conques	k 'o ŋ k ə s	 k 'ɔ ŋ k ə s 
conquesta	k u ŋ k 'e s t ə	 k u ŋ k 'ɛ s t ə 
conscientment	k u n s i ə m m 'e n	 k u n s i ə n ə m 'e n 
consell	k u n s 'ɛ ʎ	 k u n s 'e ʎ 
consens	k u n s 'ɛ n s	 k u n s 'e n s 
conseqüentment	k u n s ə k w ə m m 'e n	 k u n s ə k w ə n ə m 'e n 
consta	k 'o n s t ə	 k 'ɔ n s t ə 
constantment	k u n s t ə m m 'e n	 k u n s t ə n ə m 'e n 
consten	k 'o n s t ə n	 k 'ɔ n s t ə n 
consuetud	k u n s u ə t 'u t	 k u n s ə t 'u t 
consular	k u n s u l 'a r	 k u n s u l 'a 
conta	k 'o n t ə	 k 'ɔ n t ə 
conte	k 'o n t ə	 k 'ɔ n t ə 
conten	k 'o n t ə n	 k 'ɔ n t ə n 
contes	k 'o n t ə s	 k 'ɔ n t ə s 
context	k u n t 'e k s t	 k u n t 'ɛ k s t 
contret	k u n t ɾ 'e t	 k u n t ɾ 'ɛ t 
contreta	k u n t ɾ 'e t ə	 k u n t ɾ 'ɛ t ə 
contrets	k u n t ɾ 'e t s	 k u n t ɾ 'ɛ t s 
convèncer	k u m b 'ɛ n s ə	 k u m b 'ɛ n s ə r 
convenientment	k u m b ə n i ə m m 'e n	 k u m b ə n i ə n ə m 'e n 
copa	k 'o p ə	 k 'ɔ p ə 
Copenhaguen	k u p ə n 'a ɣ ə n	 k u p ə n u 'a ɣ ə n 
copes	k 'o p ə s	 k 'ɔ p ə s 
copsa	k 'o p s ə	 k 'ɔ p s ə 
coquessa	k u k 'ɛ s ə	 k u k 'e s ə 
cor	k 'ɔ r	 k 'o 
cora	k 'ɔ ɾ ə	 k 'o ɾ ə 
coreana	k u ɾ e 'a n ə	 k u ɾ ə 'a n ə 
coreanes	k u ɾ e 'a n ə s	 k u ɾ ə 'a n ə s 
coreans	k u ɾ e 'a n s	 k u ɾ ə 'a n s 
córner	k 'o r n ə	 k u r n 'e 
corre	k 'o r ə	 k 'ɔ r ə 
corren	k 'o r ə n	 k 'ɔ r ə n 
córrer	k 'o r ə	 k u r 'e 
corri	k 'o r i	 k 'ɔ r i 
corrin	k 'o r i n	 k 'ɔ r i n 
corro	k 'o r u	 k 'ɔ r u 
corrompre	k u r 'o m p ɾ ə	 k u r 'ɔ m p ɾ ə 
cors	k 'ɔ r s	 k 'o s 
corsa	k 'o r s ə	 k 'ɔ r s ə 
corses	k 'o r s ə s	 k 'ɔ r s ə s 
corsos	k 'o r s u s	 k 'ɔ r s u s 
Corts	k 'o r s	 k 'o r t s 
cos	k 'ɔ s	 k 'o s 
cosa	k 'ɔ z ə	 k 'o z ə 
coses	k 'ɔ z ə s	 k 'o z ə s 
cosinus	k u s 'i n u s	 k u z 'i n u s 
cost	k 'ɔ s t	 k 'o s t 
cotxe	k 'o t ʃ ə	 k 'ɔ t ʃ ə 
cotxes	k 'o t ʃ ə s	 k 'ɔ t ʃ ə s 
cou	k 'ɔ w	 k 'o w 
creada	k ɾ e 'a ð ə	 k ə e 'a ð ə 
creades	k ɾ e 'a ð ə s	 k ə e 'a ð ə s 
creen	k ɾ 'e ə n	 k ɾ 'ɛ ə n 
creença	k ɾ ə 'ɛ n s ə	 k ɾ ə 'e n s ə 
creï	k ɾ 'e i	 k ɾ 'ɛ i 
creient	k ɾ ə j 'e n	 k ɾ ə i 'e n 
creïn	k ɾ 'e i n	 k ɾ ə 'i n 
creixen	k ɾ 'e ʃ ə n	 k ɾ 'ɛ ʃ ə n 
créixer	k ɾ 'e ʃ ə	 k ɾ ə ʃ 'e 
crema	k ɾ 'e m ə	 k ɾ 'ɛ m ə 
cremen	k ɾ 'e m ə n	 k ɾ 'ɛ m ə n 
cremes	k ɾ 'e m ə s	 k ɾ 'ɛ m ə s 
cremi	k ɾ 'e m i	 k ɾ 'ɛ m i 
cremin	k ɾ 'e m i n	 k ɾ 'ɛ m i n 
crepuscular	k ɾ ə p u s k u l 'a r	 k ɾ ə p u s k u l 'a 
cretenc	k ɾ ə t 'ɛ ŋ	 k ɾ ə t 'ɛ n s 
cuidada	k u j ð 'a ð ə	 k u i ð 'a ð ə 
cuidades	k u j ð 'a ð ə s	 k u i ð 'a ð ə s 
cuidar	k u j ð 'a	 k u i ð 'a 
cuidares	k u j ð 'a ɾ ə s	 k u i ð 'a ɾ ə s 
cuidat	k u j ð 'a t	 k u i ð 'a t 
cuidats	k u j ð 'a t s	 k u i ð 'a t s 
cuidava	k u j ð 'a β ə	 k u i ð 'a β ə 
cuidem	k u j ð 'ɛ m	 k u i ð 'ɛ m 
cuinada	k u j n 'a ð ə	 k u i n 'a ð ə 
cuinades	k u j n 'a ð ə s	 k u i n 'a ð ə s 
cuinar	k u j n 'a	 k u i n 'a 
cuinat	k u j n 'a t	 k u i n 'a t 
cuinats	k u j n 'a t s	 k u i n 'a t s 
cuiner	k u j n 'e	 k u i n 'e 
cuir	k 'u j r	 k 'u ʃ 
cuitada	k u j t 'a ð ə	 k u i t 'a ð ə 
cuitades	k u j t 'a ð ə s	 k u i t 'a ð ə s 
cuitar	k u j t 'a	 k u i t 'a 
cuitat	k u j t 'a t	 k u i t 'a t 
cuitats	k u j t 'a t s	 k u i t 'a t s 
curricular	k u r i k u l 'a r	 k u r i k u l 'a 
currículum	k u r 'i k u l u m	 k u r i k u l 'u m 
currículums	k u r 'i k u l u m s	 k u r i k u l 'u m s 
curts	k 'u r s	 k 'u r t s 
d'acord	d ə k 'ɔ r t	 d ə k 'o r t 
d'hora	d 'ɔ ɾ ə	 d i 'o ɾ ə 
dard	d 'a r t	 d 'a r 
darrere	d ə r 'e ɾ ə	 d ə r 'ɛ ɾ ə 
de	d 'ə	 d ə 
dècade	d 'ɛ k ə ð ə	 d ə k 'a ð ə 
decor	d ə k 'o r	 d ə k 'o 
decréixer	d ə k ɾ 'e ʃ ə	 d ə k ɾ ə ʃ 'e 
decret	d ə k ɾ 'e t	 d ə k ɾ 'ɛ t 
Deessa	d ə 'ɛ s ə	 d ə 'e s ə 
deessa	d ə 'ɛ s ə	 d ə 'e s ə 
dèficit	d 'ɛ f i s i t	 d ə f i s 'i t 
defora	d ə f 'ɔ ɾ ə	 d ə f 'o ɾ ə 
degoteig	d ə ɣ u t 'ɛ t ʃ	 d ə ɣ u t 'ɛ ʃ 
dei	d 'ɛ j	 d 'ɛ i 
deis	d 'ɛ j s	 d 'ɛ i s 
deixeble	d ə ʃ 'e b b l ə	 d ə ʃ 'ɛ b b l ə 
deixis	d 'e ʃ i s	 d 'ɛ ʃ i s 
deler	d ə l 'ɛ	 d ə l 'e 
delinqüència	d ə l i ŋ k w 'ɛ n s i ə	 d ə l i n ə w 'ɛ n s i ə 
demagog	d ə m ə ɣ 'ɔ k	 d ə m ə ɣ 'o 
Dénia	d 'e n i ə	 d ə n 'i ə 
dens	d 'ɛ n s	 d 'e n s 
desa	d 'e z ə	 d 'ɛ z ə 
desaigüe	d ə z 'a j ɣ w ə	 d ə z 'a i ɣ w ə 
desamor	d ə z ə m 'o r	 d ə z ə m 'o 
desatendre	d ə z ə t 'e n d ɾ ə	 d ə z ə t 'ɛ n d ɾ ə 
desavinença	d ə z ə β i n 'ɛ n s ə	 d ə z ə β i n 'e n s ə 
descompte	d ə s k 'o m t ə	 d ə s k 'ɔ m p t ə 
desembeinar	d ə z ə m b ə j n 'a	 d ə z ə m b ə i n 'a 
desembre	d ə z 'e m b ɾ ə	 d ə z 'ɛ m b ɾ ə 
desfet	d ə s f 'e t	 d ə s f 'ɛ t 
desfeta	d ə s f 'e t ə	 d ə s f 'ɛ t ə 
deshonest	d ə z u n 'e s t	 d ə z u n 'ɛ s t 
desi	d 'e z i	 d 'ɛ z i 
desig	d ə z 'i t ʃ	 d ə z 'i ə 
desigs	d ə z 'i t ʃ s	 d ə z 'i g s 
desmai	d ə z m 'a j	 d ə z m 'a i 
deso	d 'e z u	 d 'ɛ z u 
Despuig	d ə s p 'u t ʃ	 d ə s p 'u ʃ 
dessota	d ə s 'o t ə	 d ə s 'ɔ t ə 
destorb	d ə s t 'o r p	 d ə s t 'o r 
destra	d 'e s t ɾ ə	 d 'ɛ s t ɾ ə 
destres	d 'e s t ɾ ə s	 d 'ɛ s t ɾ ə s 
desuetud	d ə z u ə t 'u t	 d ə s ə t 'u t 
detona	d ə t 'ɔ n ə	 d ə t 'o n ə 
detones	d ə t 'ɔ n ə s	 d ə t 'o n ə s 
detono	d ə t 'ɔ n u	 d ə t 'o n u 
deutor	d ə w t 'o	 d ə u t 'o 
devers	d ə β 'ɛ r s	 d ə β 'e s 
diatomea	d i ə t u m 'ɛ ə	 d i ə t u m 'e ə 
difondre	d i f 'o n d ɾ ə	 d i f 'ɔ n d ɾ ə 
dijous	d i ʒ 'ɔ w s	 d i ʒ u 'u s 
diligentment	d i l i ʒ ə m m 'e n	 d i l i ʒ ə n ə m 'e n 
dimarts	d i m 'a r s	 d i m 'a r t s 
dimecres	d i m 'e k ɾ ə s	 d i m 'ɛ k ɾ ə s 
dimoni	d i m 'ɔ n i	 d i m 'o n i 
dimonis	d i m 'ɔ n i s	 d i m 'o n i s 
dinou	d i n 'ɔ w	 d i n 'o 
dirimiu	d i ɾ i m 'i w	 d i ɾ i m 'i u 
discórrer	d i s k 'o r ə	 d i s k u r 'e 
discret	d i s k ɾ 'e t	 d i s k ɾ 'ɛ t 
discreta	d i s k ɾ 'e t ə	 d i s k ɾ 'ɛ t ə 
discretes	d i s k ɾ 'e t ə s	 d i s k ɾ 'ɛ t ə s 
discrets	d i s k ɾ 'e t s	 d i s k ɾ 'ɛ t s 
dispers	d i s p 'ɛ r s	 d i s p 'e s 
displicent	d i s p l i s 'e n	 d i s p l i k 'e n 
dissabte	d i s 'a p t ə	 d i s 'a b b t ə 
dissolt	d i s 'ɔ l t	 d i s 'o l t 
dissort	d i s 'ɔ r t	 d i s 'o r t 
distendre	d i s t 'e n d ɾ ə	 d i s t 'ɛ n d ɾ ə 
distret	d i s t ɾ 'e t	 d i s t ɾ 'ɛ t 
distreta	d i s t ɾ 'e t ə	 d i s t ɾ 'ɛ t ə 
distrets	d i s t ɾ 'e t s	 d i s t ɾ 'ɛ t s 
diumenge	d i w m 'e n ʒ ə	 d i u m 'ɛ n ʒ ə 
divers	d i β 'ɛ r s	 d i β 'e s 
dividend	d i β i ð 'e n	 d i β i ð 'ɛ n d 
Djibouti	d ʒ i β 'ɔ w t i	 d ʒ i β u 'u t i 
do	d 'ɔ	 d 'o 
dobla	d 'o b b l ə	 d 'ɔ b b l ə 
doble	d 'o b b l ə	 d 'ɔ b b l ə 
doblec	d u b b l 'ɛ k	 d u p l 'ɛ k 
doblen	d 'o b b l ə n	 d 'ɔ b b l ə n 
dobles	d 'o b b l ə s	 d 'ɔ b b l ə s 
dolça	d 'o l s ə	 d 'ɔ l s ə 
dolces	d 'o l s ə s	 d 'ɔ l s ə s 
dolços	d 'o l s u s	 d 'ɔ l s u s 
dona	d 'ɔ n ə	 d 'o n ə 
donen	d 'o n ə n	 d 'ɔ n ə n 
dones	d 'ɔ n ə s	 d 'o n ə s 
dons	d 'ɔ n s	 d 'o n s 
dors	d 'ɔ r s	 d 'o s 
dotze	d 'o d z ə	 d 'ɔ d z ə 
dramaturg	d ɾ ə m ə t 'u r k	 d ɾ ə m ə t 'u r 
dreces	d ɾ 'ɛ s ə s	 d ɾ 'e s ə s 
driblar	d ɾ i b b l 'a	 d ɾ i β l 'a 
dubtada	d u p t 'a ð ə	 d u ə t 'a ð ə 
dubtades	d u p t 'a ð ə s	 d u ə t 'a ð ə s 
duquessa	d u k 'ɛ s ə	 d u k 'e s ə 
duus	d 'u w s	 d u 'u s 
Ebre	'e β ɾ ə	 'ɛ β ɾ ə 
ebrenc	ə β ɾ 'ɛ ŋ	 ə β ɾ 'ɛ ŋ k 
ecosistema	ə k u s i s t 'e m ə	 ə k u z i s t 'ɛ m ə 
Edimburg	ə ð i m b 'u r k	 ə ð i m b 'u r 
egües	'ɛ ɣ w ə s	 'ɛ g w ə s 
ei	'e j	 'ɛ i 
Eivissa	ə j β 'i s ə	 ə i β 'i s ə 
eivissenc	ə j β i s 'ɛ ŋ	 ə j β i s 'ɛ n s 
eixarm	ə ʃ 'a r m	 ə i k s 'a r m 
ela	'e l ə	 'ɛ l ə 
eland	ə l 'a n	 ə l 'a n ə 
elèctrica	ə l 'ɛ k t ɾ i k ə	 ə l ə k t ɾ 'i k ə 
elèctrics	ə l 'ɛ k t ɾ i k s	 ə l ə k t ɾ 'i k s 
elèctrode	ə l 'ɛ k t ɾ u ð ə	 ə l ə k t ɾ 'ɔ ð ə 
elegantment	ə l ə ɣ ə m m 'e n	 ə l ə ɣ ə n ə m 'e n 
element	ə l ə m 'e n	 ɛ l ə m 'e n 
elenc	ə l 'ɛ ŋ	 ə l 'ɛ n s 
Eloi	ə l 'ɔ j	 ə l 'o i 
eloqüent	ə l u k w 'e n	 ə l u ə w 'e n 
em	'ə m	 ə m 
ema	'e m ə	 'ɛ m ə 
emboirar	ə m b u j ɾ 'a	 ə m b u i ɾ 'a 
embruixar	ə m b ɾ u ʃ 'a	 ə m b ɾ u i ʃ 'a 
eminentment	ə m i n ə m m 'e n	 ə m i n ə n ə m 'e n 
emir	ə m 'i r	 ə m 'i 
empaitar	ə m p ə j t 'a	 ə m p ə i t 'a 
empelt	ə m p 'ɛ l	 ə m p 'ɛ l t 
empenta	ə m p 'ɛ n t ə	 ə m p 'e n t ə 
empra	'e m p ɾ ə	 'ɛ m p ɾ ə 
empremta	ə m p ɾ 'e m t ə	 ə m p ɾ 'ɛ m t ə 
empren	'e m p ɾ ə n	 'ɛ m p ɾ ə n 
empri	'e m p ɾ i	 'ɛ m p ɾ i 
en	'ə n	 ə n 
ena	'e n ə	 'ɛ n ə 
enagües	ə n 'a ɣ w ə s	 ə n 'a ɣ ə s 
encendre	ə n s 'e n d ɾ ə	 ə n s 'ɛ n d ɾ ə 
encórrer	ə ŋ k 'o r ə	 ə ŋ k u r 'e 
endarrere	ə n d ə r 'e ɾ ə	 ə n d ə r 'ɛ ɾ ə 
endinsar	ə n d i n z 'a	 ə n d i n s 'a 
endinsat	ə n d i n z 'a t	 ə n d i n s 'a t 
ene	'e n ə	 'ɛ n ə 
enhorabona	ə n u ɾ ə β 'ɔ n ə	 ə n u ɾ ə β 'o n ə 
enmig	ə m m 'i t ʃ	 ə n m 'i ə 
enorme	ə n 'o r m ə	 ə n 'ɔ r m ə 
enormes	ə n 'o r m ə s	 ə n 'ɔ r m ə s 
enquesta	ə ŋ k 'e s t ə	 ə ŋ k 'ɛ s t ə 
enreixar	ə n r ə ʃ 'a	 ə n r ə i ʃ 'a 
enrenou	ə n r ə n 'ɔ w	 ə n r ə n 'o 
enrere	ə n r 'e ɾ ə	 ə n r 'ɛ ɾ ə 
ens	'ə n s	 ə n s 
entendre	ə n t 'e n d ɾ ə	 ə n t 'ɛ n d ɾ ə 
enter	ə n t 'e r	 ə n t 'e 
entre	'e n t ɾ ə	 'ɛ n t ɾ ə 
entrebanc	ə n t ɾ ə β 'a ŋ	 ə n t ɾ ə β 'a ŋ k 
entren	'e n t ɾ ə n	 'ɛ n t ɾ ə n 
entres	'e n t ɾ ə s	 'ɛ n t ɾ ə s 
entri	'e n t ɾ i	 'ɛ n t ɾ i 
entrin	'e n t ɾ i n	 'ɛ n t ɾ i n 
entris	'e n t ɾ i s	 'ɛ n t ɾ i s 
entro	'e n t ɾ u	 'ɛ n t ɾ u 
enuig	ə n 'u t ʃ	 ə n 'u ʃ 
envers	ə m b 'ɛ r s	 ə m b 'e s 
Èol	'ɛ u l	 ɛ 'ɔ l 
Eos	'ɛ u s	 ɛ 'ɔ s 
ep	'e p	 'ɛ p 
epicens	ə p i s 'ɛ n s	 ə p i k 'e n s 
equivaler	ə k i β ə l 'ɛ	 ə k i β ə l 'e 
equivoco	ə k i β 'o k u	 ə k i β 'ɔ k u 
érem	'e ɾ ə m	 e ɾ 'ɛ m 
eren	'e ɾ ə n	 'ɛ ɾ ə n 
éreu	'e ɾ ə w	 e ɾ 'ɛ w 
erra	'e r ə	 'ɛ r ə 
errabund	ə r ə β 'u n	 ə r ə β 'u n d 
erres	'e r ə s	 'ɛ r ə s 
erroni	ə r 'ɔ n i	 ə r 'o n i 
error	ə r 'o r	 ə r 'o 
es	'ə s	 ə s 
escaig	ə s k 'a t ʃ	 ə s k 'a ʃ 
escairada	ə s k ə j ɾ 'a ð ə	 ə s k ə i ɾ 'a ð ə 
escairades	ə s k ə j ɾ 'a ð ə s	 ə s k ə i ɾ 'a ð ə s 
escairar	ə s k ə j ɾ 'a	 ə s k ə i ɾ 'a 
escairat	ə s k ə j ɾ 'a t	 ə s k ə i ɾ 'a t 
escairats	ə s k ə j ɾ 'a t s	 ə s k ə i ɾ 'a t s 
escalens	ə s k ə l 'ɛ n s	 ə s k ə l 'e n s 
escàner	ə s k 'a n ə	 ə s k 'a n ə r 
escletxa	ə s k l 'e t ʃ ə	 ə s k l 'ɛ t ʃ ə 
escolar	ə s k u l 'a r	 ə s k u l 'a 
escolta	ə s k 'o l t ə	 ə s k 'ɔ l t ə 
escombra	ə s k 'o m b ɾ ə	 ə s k 'ɔ m b ɾ ə 
escombriaire	ə s k u m b ɾ i 'a j ɾ ə	 ə s k u m b ɾ i ə 'i ɾ ə 
escórrer	ə s k 'o r ə	 ə s k u r 'e 
escrot	ə s k ɾ 'o t	 ə s k ɾ 'ɔ t 
esfinx	ə s f 'i n ʃ	 ə s f 'i n 
esforç	ə s f 'ɔ r s	 ə s f 'o r s 
esglai	ə z ɣ l 'a j	 ə z ə l 'a i 
esguard	ə z ɣ w 'a r t	 ə z ɣ u 'a r t 
esguerro	ə z ɣ 'ɛ r u	 ə z ɣ u 'ɛ r u 
esment	ə z m 'e n	 e z m 'e n 
espagueti	ə s p ə ɣ 'ɛ t i	 ə s p ə ɣ u 'ɛ t i 
espai	ə s p 'a j	 ə s p 'a i 
espais	ə s p 'a j s	 ə s p 'a i s 
espart	ə s p 'a r	 ə s p 'a r t 
espectacular	ə s p ə k t ə k u l 'a r	 ə s p ə k t ə k u l 'a 
espectre	ə s p 'e k t ɾ ə	 ə s p 'ɛ k t ɾ ə 
espinavessa	ə s p i n ə β 'ɛ s ə	 ə s p i n ə β 'e s ə 
esplai	ə s p l 'a j	 ə s p l 'a i 
esplèndid	ə s p l 'ɛ n d i t	 ə s p l 'ɛ n d i ð 
espona	ə s p 'ɔ n ə	 ə s p 'o n ə 
esposa	ə s p 'ɔ z ə	 ə s p 'o z ə 
esprémer	ə s p ɾ 'e m ə	 ə s p ɾ ə m 'e 
esqueix	ə s k 'ɛ ʃ	 ə s k 'e ʃ 
esquellerinc	ə s k ə ʎ ə ɾ 'i ŋ	 ə s k ə ʎ ə ɾ 'i ŋ k 
esquetx	ə s k 'e t ʃ	 ə s k 'ɛ t ʃ 
esquiu	ə s k 'i w	 ə s k 'i u 
essa	'ɛ s ə	 'e s ə 
esser	ə s 'ɛ	 ə s 'e 
ésser	'e s ə r	 'e s ə 
est	'e s t	 'ɛ s t 
esta	'e s t ə	 'ɛ s t ə 
estabeig	ə s t ə β 'ɛ t ʃ	 ə s t ə β 'ɛ ʃ 
establerts	ə s t ə b b l 'ɛ r s	 ə s t ə b b l 'ɛ r t s 
estai	ə s t 'a j	 ə s t 'a i 
estament	ə s t ə m 'e n	 ɛ s t ə m 'e n 
estàndard	ə s t 'a n d ə r t	 ə s t 'a n d ə r 
estatunidenc	ə s t ə t u n i ð 'ɛ ŋ	 ə s t ə t u n i ð 'ɛ n s 
estendre	ə s t 'e n d ɾ ə	 ə s t 'ɛ n d ɾ ə 
Ester	ə s t 'e r	 ə s t 'e 
estiueig	ə s t i w 'ɛ t ʃ	 ə s t i u 'ɛ ʃ 
estiuenc	ə s t i w 'ɛ ŋ	 ə s t i w 'ɛ n s 
estofa	ə s t 'o f ə	 ə s t 'ɔ f ə 
estoig	ə s t 'ɔ t ʃ	 ə s t u 'i ə 
estómac	ə s t 'o m ə k	 ə s t u m 'a k 
estos	'e s t u s	 'ɛ s t u s 
estramoni	ə s t ɾ ə m 'ɔ n i	 ə s t ɾ ə m 'o n i 
estrateg	ə s t ɾ ə t 'ɛ k	 ə s t ɾ ə t 'ɛ g 
esvoranc	ə z β u ɾ 'a ŋ	 ə z β u ɾ 'a n s 
ètnia	'ɛ d n i ə	 'ɛ t n i ə 
etnòleg	ə d n 'ɔ l ə k	 ə t n 'ɔ l ə k 
etnòlegs	ə d n 'ɔ l ə k s	 ə t n 'ɔ l ə k s 
etnòloga	ə d n 'ɔ l u ɣ ə	 ə t n 'ɔ l u ɣ ə 
ets	'e t s	 'ɛ t s 
eufoni	ə w f 'ɔ n i	 ə u f 'o n i 
Eulàlia	ə w l 'a l i ə	 ə u l 'a l i ə 
Eurídice	ə w ɾ 'i ð i s ə	 ə u ɾ 'i ð i s ə 
èuscar	'ɛ w s k ə r	 ɛ w s k 'a 
evidentment	ə β i ð ə m m 'e n	 ə β i ð ə n ə m 'e n 
evolucionis	ə β u l u s i 'ɔ n i s	 ə β u l u s i 'o n i s 
excepte	ə k s 'e p t ə	 ə k s 'ɛ p t ə 
exclosa	ə k s k l 'ɔ z ə	 ə k s k l 'o z ə 
excloses	ə k s k l 'ɔ z ə s	 ə k s k l 'o z ə s 
exclosos	ə k s k l 'ɔ z u s	 ə k s k l 'o z u s 
experts	ə k s p 'ɛ r s	 ə k s p 'ɛ r t s 
expresses	ə k s p ɾ 'e s ə s	 ə k s p ɾ 'ɛ s ə s 
expressos	ə k s p ɾ 'e s u s	 ə k s p ɾ 'ɛ s u s 
exsenador	ə k s ə n ə ð 'o	 ə k s s ə n ə ð 'o 
exsoviètic	ə k s u β i 'ɛ t i k	 ə k s s u β i 'ɛ t i k 
exsoviètica	ə k s u β i 'ɛ t i k ə	 ə k s s u β i 'ɛ t i k ə 
exsudar	ə k s u ð 'a	 ə s u ð 'a 
extens	ə k s t 'ɛ n s	 ə k s t 'e n s 
exterior	ə k s t ə ɾ i 'o r	 ə k s t ə ɾ i 'o 
extrem	ə k s t ɾ 'e m	 ə k s t ɾ 'ɛ m 
extrema	ə k s t ɾ 'e m ə	 ə k s t ɾ 'ɛ m ə 
extret	ə k s t ɾ 'e t	 ə k s t ɾ 'ɛ t 
extreta	ə k s t ɾ 'e t ə	 ə k s t ɾ 'ɛ t ə 
extretes	ə k s t ɾ 'e t ə s	 ə k s t ɾ 'ɛ t ə s 
extrets	ə k s t ɾ 'e t s	 ə k s t ɾ 'ɛ t s 
Fàbregas	f 'a β ɾ ə ɣ ə s	 f ə β ɾ ə ɣ 'a s 
fagosoma	f ə ɣ u z 'ɔ m ə	 f ə ɣ u z 'o m ə 
faig	f 'a t ʃ	 f 'a ʃ 
familiar	f ə m i l i 'a r	 f ə m i l i 'a 
famolenc	f ə m u l 'ɛ ŋ	 f ə m u l 'ɛ n s 
faquir	f ə k 'i r	 f ə k 'i 
far	f 'a r	 f 'a 
farigola	f ə ɾ i ɣ 'o l ə	 f ə ɾ i ɣ 'ɔ l ə 
farts	f 'a r s	 f 'a r t s 
fauna	f 'a w n ə	 f ə 'u n ə 
faune	f 'a w n ə	 f ə 'u n ə 
favor	f ə β 'o r	 f ə β 'o 
feble	f 'e b b l ə	 f 'ɛ b b l ə 
febles	f 'e b b l ə s	 f 'ɛ b b l ə s 
febre	f 'e β ɾ ə	 f 'ɛ β ɾ ə 
febres	f 'e β ɾ ə s	 f 'ɛ β ɾ ə s 
fecund	f ə k 'u n	 f ə k 'u n d 
fecunds	f ə k 'u n s	 f ə k 'u n d s 
feinada	f ə j n 'a ð ə	 f ə i n 'a ð ə 
feiner	f ə j n 'e	 f ə i n 'e 
feldspat	f ə l t s p 'a t	 f ə l s p 'a t 
femellenc	f ə m ə ʎ 'ɛ ŋ	 f ə m ə ʎ 'ɛ n s 
fen	f 'e n	 f 'ɛ n 
fenc	f 'ɛ ŋ	 f 'ɛ n s 
Fènix	f 'ɛ n i k s	 f 'ɛ n ʃ 
fènix	f 'ɛ n i k s	 f 'ɛ n ʃ 
fens	f 'ɛ n s	 f 'e n s 
feren	f 'e ɾ ə n	 f 'ɛ ɾ ə n 
fes	f 'e s	 f 'ɛ s 
Fes	f 'e s	 f 'ɛ s 
fessin	f 'e s i n	 f 'ɛ s i n 
fessis	f 'e s i s	 f 'ɛ s i s 
festa	f 'e s t ə	 f 'ɛ s t ə 
festeig	f ə s t 'ɛ t ʃ	 f ə s t 'ɛ ʃ 
festes	f 'e s t ə s	 f 'ɛ s t ə s 
fet	f 'e t	 f 'ɛ t 
feta	f 'e t ə	 f 'ɛ t ə 
fetes	f 'e t ə s	 f 'ɛ t ə s 
fetge	f 'e d ʒ ə	 f 'ɛ d ʒ ə 
