A	'ə	ə
empleat	ə m p l e 'a t	ə m p l ə 'a t
empra	'e m p ɾ ə	'ə m p ɾ ə
empremta	ə m p ɾ 'e n t ə	ə m p ɾ 'ɛ n t ə
empren	'e m p ɾ ə n	'ə m p ɾ ə n
ena	'e n ə	'ə n ə
encendre	ə n s 'e n d ɾ ə	ə n s 'ə n d ɾ ə
endarrere	ə n d ə r 'e ɾ ə	ə n d ə r 'ɛ ɾ ə
ene	'e n ə	'ə n ə
enganyoses	ə ŋ g ə ɲ 'o z ə s	ə ŋ g ə ɲ 'o s ə s
enginyoses	ə n ʒ i ɲ 'o z ə s	ə n ʒ i ɲ 'o s ə s
enlletgir	ə n ʎ ə dʒ 'i	ə n ʎ ə tʃ 'i
enmig	ə m m 'i tʃ	ə n m 'i ə
enorme	ə n 'o ɾ m ə	ə n 'ɔ ɾ m ə
enormes	ə n 'o ɾ m ə s	ə n 'ɔ ɾ m ə s
enquesta	ə ŋ k 'e s t ə	ə ŋ k 'ə s t ə
ensems	ə n s 'ɛ n s	ə n s 'ə n s
entelèquia	ə n t ɛ l 'ə k i ə	ə n t ə l 'ɛ k i ə
entendre	ə n t 'e n d ɾ ə	ə n t 'ə n d ɾ ə
entren	'e n t ɾ ə n	'ə n t ɾ ə n
entres	'e n t ɾ ə s	'ə n t ɾ ə s
entro	'e n t ɾ o	'ə n t ɾ o
epicens	ə p i s 'ə n s	ə p i s 'e n s
epifonema	ə p i f o n 'ɛ m ə	ə p i f o n 'ə m ə
èpsilon	'ə t s i l o n	ɛ t s i l 'o n
eqüestre	ə k w 'e s t ɾ ə	ə k w 'ɛ s t ɾ ə
equivaler	ə k i v ə l 'ə	ə k i v ə l 'e
equivoco	ə k i v 'o k o	ə k i v 'ɔ k o
erèctil	ə ɾ 'ə t t i l	ə ɾ 'ɛ t t i l
eren	'e ɾ ə n	'ɛ ɾ ə n
erroni	ə r 'ɔ n i	ə r 'o n i
escaguitxar	ə s k ə ɣ i tʃ 'a	ə s k ə ɣ i t ə 'a
escalens	ə s k ə l 'ə n s	ə s k ə l 'e n s
escàner	ə s k 'a n ə	ə s k 'a n e 
escarabeu	ə s k ə ɾ ə β 'ɛ w	ə s k ə ɾ ə β 'ə w
escèptic	ə t s 'ə t t i k	ə t s 'ɛ t t i k
escèptica	ə t s 'ə t t i k ə	ə t s 'ɛ t t i k ə
escèptics	ə t s 'ə t t i t s	ə t s 'ɛ t t i t s
escèptiques	ə t s 'ə t t i k ə s	ə t s 'ɛ t t i k ə s
escletxa	ə s k l 'e tʃ ə	ə s k l 'ə tʃ ə
escolta	ə s k 'o l t ə	ə s k 'ɔ l t ə
escombra	ə s k 'o m b ɾ ə	ə s k 'ɔ m b ɾ ə
escrot	ə s k ɾ 'o t	ə s k ɾ 'ɔ t
esdrúixol	ə z ð ɾ 'u ʃ o l	ə z ð ɾ u ʃ 'ɔ l
esfilagarsada	ə s f i l ə ɣ ə ɾ s 'a ð ə	ə s f i l ə ɣ ə s 'a ð ə
esfilagarsades	ə s f i l ə ɣ ə ɾ s 'a ð ə s	ə s f i l ə ɣ ə s 'a ð ə s
esfilagarsar	ə s f i l ə ɣ ə ɾ s 'a	ə s f i l ə ɣ ə s 'a
esglai	ə z ɣ l 'a j	ə z ɣ l 'a i
església	ə z ɣ l 'e z i ə	ə z ɣ l ə z 'i ə
esgüellar	ə z g w ə ʎ 'a	ə z ɣ e ə ʎ 'a
esguerro	ə z ɣ 'ɛ r o	ə z ɣ u 'ɛ r o
esment	ə z m 'e n t	e z m 'e n t
esmorteïts	ə z m o ɾ t ə 'i t s	ə z m o ɾ t ə 'i s
espais	ə s p 'a j s	ə s p 'a i s
espècia	ə s p 'ə s i ə	ə s p 'ɛ s i ə
espècie	ə s p 'ə s i ə	ə s p 'ɛ s i ə
espècimen	ə s p 'ə s i m ə n	ə s p 'ɛ s i m ə n
espectre	ə s p 'e t t ɾ ə	ə s p 'ɛ t t ɾ ə
espinavessa	ə s p i n ə v 'ə s ə	ə s p i n ə v 'e s ə
esplai	ə s p l 'a j	ə s p l 'a i
esplèndid	ə s p l 'ə n d i t	ə s p l 'ɛ n d i t
esplèndida	ə s p l 'ə n d i ð ə	ə s p l 'ɛ n d i ð ə
esplèndides	ə s p l 'ə n d i ð ə s	ə s p l 'ɛ n d i ð ə s
esplèndids	ə s p l 'ə n d i t s	ə s p l 'ɛ n d i t s
espona	ə s p 'ɔ n ə	ə s p 'o n ə
espondilodiscitis	ə s p o n d i l o ð i t s 'i t i s	ə s p o n d i l o ð 'i z s 'i t i s
esprémer	ə s p ɾ 'e m ə	ə s p ɾ ə m 'e 
esquetx	ə s k 'e tʃ	ə s k 'ə tʃ
essa	'ə s ə	'e s ə
esser	ə s 'ə	ə s 'e
esta	'e s t ə	'ə s t ə
estai	ə s t 'a j	ə s t 'a i
estendre	ə s t 'e n d ɾ ə	ə s t 'ə n d ɾ ə
estèpic	ə s t 'ə p i k	ə s t 'ɛ p i k
estèpica	ə s t 'ə p i k ə	ə s t 'ɛ p i k ə
estèpics	ə s t 'ə p i t s	ə s t 'ɛ p i t s
estèpiques	ə s t 'ə p i k ə s	ə s t 'ɛ p i k ə s
estofa	ə s t 'o f ə	ə s t 'ɔ f ə
estoig	ə s t 'ɔ tʃ	ə s t o 'i ə
estómac	ə s t 'o m ə k	ə s t o m 'a k
estramoni	ə s t ɾ ə m 'ɔ n i	ə s t ɾ ə m 'o n i
estranger	ə s t ɾ ə n ʒ 'e	ə s t ɾ ə ŋ g 'e
estratagema	ə s t ɾ ə t ə ʒ 'ɛ m ə	ə s t ɾ ə t ə ʒ 'ə m ə
estrateg	ə s t ɾ ə t 'e k	ə s t ɾ ə t 'ə ʒ
ètnia	'ɛ n n i ə	'ə n n i ə
eucaliptus	ə w k ə l 'i t t u s	ə w k ə l i t t 'u s
eufoni	ə w f 'ɔ n i	ə w f 'o n i
evolucionis	ə v o l u s i 'ɔ n i s	ə v o l u s i 'o n i s
Èxode	'ɛ t s o ð ə	'ə t s o ð ə
èxode	'ɛ t s o ð ə	'ə t s o ð ə
Fàbregas	f 'a β ɾ ə ɣ ə s	f ə β ɾ ə ɣ 'a s
fagosoma	f ə ɣ o z 'ɔ m ə	f ə ɣ o z 'o m ə
fantasies	f ə n t ə z 'i ə s	f ə n t ə s 'i ə s
fauna	f 'a w n ə	f ə 'u n ə
faune	f 'a w n ə	f ə 'u n ə
feble	f 'e b b l ə	f 'ɛ b b l ə
febles	f 'e b b l ə s	f 'ɛ b b l ə s
febre	f 'e β ɾ ə	f 'ə β ɾ ə
febres	f 'e β ɾ ə s	f 'ə β ɾ ə s
feiner	f ə j n 'e	f ə i n 'e
fen	f 'e n	f 'ə n
fens	f 'ə n s	f 'e n s
feren	f 'e ɾ ə n	f 'ɛ ɾ ə n
Fes	f 'e s	f 'ə s
festa	f 'e s t ə	f 'ə s t ə
festes	f 'e s t ə s	f 'ə s t ə s
feta	f 'e t ə	f 'ə t ə
fetes	f 'e t ə s	f 'ə t ə s
fetge	f 'e dʒ ə	f 'ɛ dʒ ə
fímbria	f 'i m b ɾ i ə	f i m b ɾ 'i ə
finestra	f i n 'e s t ɾ ə	f i n 'ə s t ɾ ə
fingir	f i n ʒ 'i	f i ŋ g 'i
fleca	f l 'ɛ k ə	f l 'ə k ə
fletxa	f l 'e tʃ ə	f l 'ə tʃ ə
fletxes	f l 'e tʃ ə s	f l 'ə tʃ ə s
foca	f 'o k ə	f 'ɔ k ə
folla	f 'o ʎ ə	f 'ɔ ʎ ə
folles	f 'o ʎ ə s	f 'ɔ ʎ ə s
fonda	f 'o n d ə	f 'ɔ n d ə
fondes	f 'o n d ə s	f 'ɔ n d ə s
fondo	f 'o n d o	f 'ɔ n d o
fondos	f 'o n d o s	f 'ɔ n d o s
fondre	f 'o n d ɾ ə	f 'ɔ n d ɾ ə
fonema	f o n 'ɛ m ə	f o n 'ə m ə
fonen	f 'o n ə n	f 'ɔ n ə n
foques	f 'o k ə s	f 'ɔ k ə s
forca	f 'o ɾ k ə	f 'ɔ ɾ k ə
foren	f 'o ɾ ə n	f 'ɔ ɾ ə n
forma	f 'o ɾ m ə	f 'ɔ ɾ m ə
formatget	f o ɾ m ə dʒ 'ə t	f o ɾ m ə tʃ 'ə t
formen	f 'o ɾ m ə n	f 'ɔ ɾ m ə n
formes	f 'o ɾ m ə s	f 'ɔ ɾ m ə s
formo	f 'o ɾ m o	f 'ɔ ɾ m o
forques	f 'o ɾ k ə s	f 'ɔ ɾ k ə s
fosca	f 'o s k ə	f 'ɔ s k ə
foscos	f 'o s k o s	f 'ɔ s k o s
fosques	f 'o s k ə s	f 'ɔ s k ə s
foten	f 'o t ə n	f 'ɔ t ə n
foto	f 'o t o	f 'ɔ t o
fotos	f 'o t o s	f 'ɔ t o s
fotovoltaiques	f o t o v o l t 'a j k ə s	f o t o v o l t 'a i k ə s
fotre	f 'o t ɾ ə	f 'ɔ t ɾ ə
franctirador	f ɾ ə ŋ t t i ɾ ə ð 'o	f ɾ ə n s t i ɾ ə ð 'o
frecs	f ɾ 'ɛ t s	f ɾ 'ə t s
fregapeus	f ɾ ə ɣ ə p 'ɛ w s	f ɾ ə ɣ ə p ə 'u s
frenen	f ɾ 'e n ə n	f ɾ 'ə n ə n
frens	f ɾ 'ə n s	f ɾ 'e n s
fresi	f ɾ 'ɛ z i	f ɾ 'ə z i
fresis	f ɾ 'ɛ z i s	f ɾ 'ə z i s
fressin	f ɾ 'ə s i n	f ɾ 'e s i n
fúmer	f 'u m ə	f u m 'e 
gaiter	g ə j t 'e	g ə i t 'e
galilea	g ə l i l 'ɛ ə	g ə l i l 'e ə
garriguenc	g ə r i ɣ 'ə ŋ k	g ə r i ɣ u 'ɛ ŋ k
gasoil	g ə z 'ɔ j l	g ə z o 'i l
Gaudí	g ə w ð 'i	g ə u ð 'i
gemec	ʒ ə m 'e k	ʒ ə m 'ɛ k
gemma	ʒ 'e m m ə	ʒ 'ə m m ə
Gemma	ʒ 'e m m ə	ʒ 'ə m m ə
gènere	ʒ 'ɛ n ə ɾ ə	ʒ 'ə n ə ɾ ə
Gènesi	ʒ 'ɛ n ə z i	ʒ 'ə n ə z i
gènesi	ʒ 'ɛ n ə z i	ʒ 'ə n ə z i
genísser	ʒ ə n 'i s ə	ʒ ə n i s 'e 
gespa	ʒ 'e s p ə	ʒ 'ə s p ə
gest	ʒ 'e s t	ʒ 'ə s t
gesta	ʒ 'e s t ə	ʒ 'ə s t ə
gesten	ʒ 'ə s t ə n	ʒ 'ɛ s t ə n
gestes	ʒ 'e s t ə s	ʒ 'ɛ s t ə s
gesto	ʒ 'ə s t o	ʒ 'ɛ s t o
gestos	ʒ 'e s t o s	ʒ 'ɛ s t o s
Ghana	g 'a n ə	ə 'a n ə
gimcana	ʒ i ŋ k 'a n ə	ʒ i m k 'a n ə
ginebra	ʒ i n 'e β ɾ ə	ʒ i n 'ə β ɾ ə
Ginebra	ʒ i n 'e β ɾ ə	ʒ i n 'ə β ɾ ə
ginesta	ʒ i n 'e s t ə	ʒ i n 'ə s t ə
girientorn	ʒ i ɾ i ə n t 'o n	ʒ i ɾ i ə n t 'o ɾ n
glosa	g l 'ɔ z ə	g l 'o z ə
gloses	g l 'ɔ z ə s	g l 'o z ə s
goècia	g o 'ɛ s i ə	g o t s i ə
golfa	g 'o l f ə	g 'ɔ l f ə
golfes	g 'o l f ə s	g 'ɔ l f ə s
gorg	g 'o ɾ k	g 'ɔ ɾ ə
gossa	g 'o s ə	g 'ɔ s ə
gossos	g 'o s o s	g 'ɔ s o s
gota	g 'o t ə	g 'ɔ t ə
gotes	g 'o t ə s	g 'ɔ t ə s
graderia	g ɾ ə ð ə ɾ 'i ə	g ɾ e ð ə ɾ 'i ə
grandiosa	g ɾ ə n d i 'o z ə	g ɾ ə n d i 'o s ə
granuloma	g ɾ ə n u l 'ɔ m ə	g ɾ ə n u l 'o m ə
gratuïts	g ɾ ə t u 'i t s	g ɾ ə t u 'i s
gregues	g ɾ 'ə ɣ ə s	g ɾ 'ɛ ɣ ə s
greuge	g ɾ 'e w ʒ ə	g ɾ 'ɛ w ʒ ə
gronxa	g ɾ 'o n ʃ ə	g ɾ 'ɔ n ʃ ə
guaitar	g w ə j t 'a	g w ə i t 'a
guaitat	g w ə j t 'a t	g w ə i t 'a t
guaito	g w 'a j t o	g w 'a i t o
guatla	g w 'a l l ə	g w 'a t l ə
guèiser	g 'ɛ j z ə	g 'ə j z ə
guia	g 'i ə	g w 'i ə
guilla	g 'i ʎ ə	g w 'i ʎ ə
guinda	g 'i n d ə	g w 'i n d ə
guio	g 'i o	g w 'i o
Guissona	g i s 'ɔ n ə	g i s 'o n ə
guitza	g 'i d z ə	g w 'i d z ə
Gujarat	g u ʒ ə ɾ 'a t	g w ʒ ə ɾ 'a t
gujarati	g u ʒ ə ɾ 'a t i	g w ʒ ə ɾ 'a t i
gustatiu	g u s t ə t 'i w	g w s t ə t 'i w
gustatori	g u s t ə t 'ɔ ɾ i	g w s t ə t 'ɔ ɾ i
hàbitat	'a β i t ə t	a β i t 'a t
hàbitats	'a β i t ə t s	a β i t 'a t s
Hades	'a ð ə s	i 'a ð ə s
haguda	ə ɣ 'u ð ə	a ɣ 'u ð ə
hagudes	ə ɣ 'u ð ə s	a ɣ 'u ð ə s
hagut	ə ɣ 'u t	a ɣ 'u t
haguts	ə ɣ 'u t s	a ɣ 'u t s
Hainan	ə j n 'a n	ə i n 'a n
Hainaut	ə j n 'a w t	ə i n ə 'u t
haver	ə v 'ə	ə v 'e
hebraic	ə β ɾ 'a j k	ə β ɾ 'a i k
Hècate	'ɛ k ə t ə	ɛ k 'a t ə
helicotrema	ə l i k o t ɾ 'ɛ m ə	ə l i k o t ɾ 'ə m ə
hemangioma	ə m ə n ʒ i 'ɔ m ə	ə m ə n ʒ i 'o m ə
Hèrcules	'ɛ ɾ k u l ə s	ə ɾ k u l ə s
heroi	ə ɾ 'ɔ j	ə ɾ 'o i
heroic	ə ɾ 'ɔ j k	ə ɾ o 'i k
hèrptil	'ɛ ɾ t t i l	ɛ ɾ t t 'i l
heura	'ɛ w ɾ ə	i 'u ɾ ə
heure	'ə w ɾ ə	i 'u ɾ ə
heus	'ɛ w s	ɛ 'u s
hevea	ə v 'ɛ ə	ə v 'e ə
híbrid	'i β ɾ i t	ə β ɾ i t
hidroelèctrica	i ð ɾ o ə l 'ɛ t t ɾ i k ə	i ð ɾ o ə l ə t t ɾ 'i k ə
hidroelèctrics	i ð ɾ o ə l 'ɛ t t ɾ i t s	i ð ɾ o ə l ə t t ɾ 'i t s
hieràtic	j ə ɾ 'a t i k	i ə ɾ 'a t i k
hieràtics	j ə ɾ 'a t i t s	i ə ɾ 'a t i t s
higiene	i ʒ i 'e n ə	i ʒ i 'ə n ə
hipèrbaton	i p 'ɛ ɾ β ə t o n	i p ə ɾ β ə t 'o n
hiperespais	i p ə ɾ ə s p 'a j s	i p ə ɾ ə s p 'a i s
home	'ɔ m o	'ɔ m ə
homes	'ɔ m ə s	ə m ə s
hora	'ɔ ɾ ə	ə ɾ ə
hores	'ɔ ɾ ə s	ə ɾ ə s
hort	'ɔ ɾ t	ə ɾ t
horta	'ɔ ɾ t ə	ə ɾ t ə
i	'i	i
iaia	j 'a j ə	i 'a j ə
iaies	j 'a j ə s	i 'a j ə s
iaio	j 'a j o	i 'a i o
iarda	j 'a ɾ ð ə	i 'a ɾ ð ə
idea	i ð 'ɛ ə	i ð 'e ə
idealisme	i ð e ə l 'i z m ə	i ð ə ə l 'i z m ə
idealista	i ð e ə l 'i s t ə	i ð ə ə l 'i s t ə
iemenita	j ə m ə n 'i t ə	i ə m ə n 'i t ə
immens	i m m 'ə n s	i m m 'e n s
imparell	i m p ə ɾ 'ə ʎ	i m p ə ɾ 'e ʎ
impermeable	i m p ə ɾ m e 'a b b l ə	i m p ə ɾ ə e 'a b b l ə
impermeables	i m p ə ɾ m e 'a b b l ə s	i m p ə ɾ ə e 'a b b l ə s
ímpetu	'i m p ə t u	i m p ə t 'u
imposes	i m p 'ɔ z ə s	i m p 'o z ə s
indignada	i n d i n n 'a ð ə	i n d i ə n 'a ð ə
indignades	i n d i n n 'a ð ə s	i n d i ə n 'a ð ə s
indistingible	i n d i s t i n ʒ 'i b b l ə	i n d i s t i ŋ g 'i b b l ə
indústria	i n d 'u s t ɾ i ə	i n d u s t ɾ 'i ə
ingent	i n ʒ 'e n t	i ŋ g 'e n t
ininterromput	i n i n t ə r o m p 'u t	i n i n t ə r 'o m p 'u t
insubstancial	i n s u p s t ə n s i 'a l	i n s u t s t ə n s i 'a l
insulinoma	i n s u l i n 'ɔ m ə	i n s u l i n 'o m ə
intens	i n t 'ə n s	i n t 'e n s
intèrpret	i n t 'ɛ ɾ p ɾ ə t	i n t ə ɾ p ɾ 'ə t
interrompre	i n t ə r 'o m p ɾ ə	i n t ə r 'ɔ m p ɾ ə
introduïts	i n t ɾ o ð u 'i t s	i n t ɾ o ð u 'i s
iònica	j 'ɔ n i k ə	i 'ɔ n i k ə
isòbar	i z 'ɔ β ə	i z o β 'a
Ístria	'i s t ɾ i ə	i s t ɾ 'i ə
Iugoslàvia	j u ɣ o z l 'a v i ə	i w ɣ o z l 'a v i ə
jacobeu	ʒ ə k o β 'ɛ w	ʒ ə k o β 'ə w
jaquits	ʒ ə k 'i t s	ʒ ə k 'i s
jazz	ʒ 'a s	ʒ 'a z ə
Jesús	ʒ ə z 'u s	ʒ ə s 'u s
jeure	ʒ 'ə w ɾ ə	ʒ 'ɛ w ɾ ə
jou	ʒ 'ɔ w	ʒ 'o
jove	ʒ 'o v ə	ʒ 'ɔ v ə
jóvens	ʒ 'o v ə n s	ʒ o v 'e n s
judaïtzada	ʒ u ð ə i d z 'a ð ə	ʒ u ð ə 'i ə z 'a ð ə
judaïtzades	ʒ u ð ə i d z 'a ð ə s	ʒ u ð ə 'i ə z 'a ð ə s
jueu	ʒ u 'e w	ʒ u 'ɛ w
júnyer	ʒ 'u ɲ ə	ʒ u ɲ 'e 
la	l 'ə	l ə
lacrosse	l ə k ɾ 'o s ə	l ə k ɾ 'ɔ s ə
lepra	l 'e p ɾ ə	l 'ə p ɾ ə
les	l 'ə s	l ə s
lèxica	l 'ɛ t s i k ə	l 'ə t s i k ə
lèxiques	l 'ɛ t s i k ə s	l 'ə t s i k ə s
líber	l 'i β ə	l 'i β e 
líder	l 'i ð ə	l 'i ð e 
linear	l i n e 'a	l i n ə 'a
liquar	l i k w 'a	l i k 'a
liquidàmbar	l i k i ð 'a m b ə	l i k i ð ə m b 'a
lisosoma	l i z o z 'ɔ m ə	l i z o z 'o m ə
llagosta	ʎ ə ɣ 'o s t ə	ʎ ə ɣ 'ɔ s t ə
llarg	ʎ 'a ɾ k	ʎ 'a ɾ ə
llauna	ʎ 'a w n ə	ʎ ə 'u n ə
llebre	ʎ 'e β ɾ ə	ʎ 'ə β ɾ ə
llega	ʎ 'e ɣ ə	ʎ 'ə ɣ ə
Lleida	ʎ 'e j ð ə	ʎ 'ə j ð ə
lleixa	ʎ 'e ʃ ə	ʎ 'ə ʃ ə
llenci	ʎ 'ɛ n s i	ʎ 'ə n s i
llencin	ʎ 'ɛ n s i n	ʎ 'ə n s i n
llencis	ʎ 'ɛ n s i s	ʎ 'ə n s i s
llenços	ʎ 'e n s o s	ʎ 'ɛ n s o s
llenya	ʎ 'e ɲ ə	ʎ 'ə ɲ ə
llepa	ʎ 'e p ə	ʎ 'ə p ə
llepen	ʎ 'e p ə n	ʎ 'ə p ə n
llépol	ʎ 'e p o l	ʎ ə p 'ɔ l
llesta	ʎ 'e s t ə	ʎ 'ə s t ə
llestes	ʎ 'e s t ə s	ʎ 'ə s t ə s
llestos	ʎ 'e s t o s	ʎ 'ə s t o s
lletges	ʎ 'e dʒ ə s	ʎ 'ə dʒ ə s
lletja	ʎ 'e dʒ ə	ʎ 'ə dʒ ə
lletjos	ʎ 'e dʒ o s	ʎ 'ə dʒ o s
lletsó	ʎ ə t s 'o	ʎ ə s 'o
lleure	ʎ 'ə w ɾ ə	ʎ 'ɛ w ɾ ə
lleva	ʎ 'e v ə	ʎ 'ə v ə
lleves	ʎ 'e v ə s	ʎ 'ə v ə s
llevo	ʎ 'e v o	ʎ 'ə v o
lloba	ʎ 'o β ə	ʎ 'ɔ β ə
Llorach	ʎ o ɾ 'a k	ʎ o ɾ 'a k ə
lluitada	ʎ u j t 'a ð ə	ʎ u i t 'a ð ə
lluitades	ʎ u j t 'a ð ə s	ʎ u i t 'a ð ə s
lluitant	ʎ u j t 'a n t	ʎ u i t 'a n t
lluitar	ʎ u j t 'a	ʎ u i t 'a
lòbuls	l 'ɔ β u l s	l o β 'u l s
Londres	l 'o n d ɾ ə s	l 'ɔ n d ɾ ə s
loquaces	l o k w 'a s ə s	l o k 'a s ə s
luxe	l 'u t s ə	l 'u ʃ ə
ma	m 'ə	m ə
macedoni	m ə s ə ð 'ɔ n i	m ə s ə ð 'o n i
madeixa	m ə ð 'ɛ ʃ ə	m ə ð 'ə ʃ ə
Mahoma	m ə 'ɔ m ə	m ə 'ɛ m ə
malais	m ə l 'a j s	m ə l 'a i s
Malawi	m ə l 'a β i	m ə l 'a i
maleïts	m ə l ə 'i t s	m ə l ə 'i s
malherbologia	m ə l ə ɾ β o l o ʒ 'i ə	m ˌ ə l ə ɾ β o l o ʒ 'i ə
maliciosa	m ə l i s i 'o z ə	m ə l i s i 'o s ə
malicioses	m ə l i s i 'o z ə s	m ə l i s i 'o s ə s
maliciosos	m ə l i s i 'o z o s	m ə l i s i 'o s o s
mallerenga	m ə ʎ ə ɾ 'ə ŋ g ə	 m e ʎ ə ɾ 'ɛ ŋ g ə
malvendre	m ə l v 'e n d ɾ ə	m ə l v 'ə n d ɾ ə
malveure	m ə l v 'ə w ɾ ə	m ə l v 'ɛ w ɾ ə
manifest	m ə n i f 'e s t	m ə n i f 'ə s t
manlleuta	m ə n ʎ 'ɛ w t ə	m ə n ʎ ə 'u t ə
manxiula	m ə n ʃ 'i w l ə	m ə n ʃ 'i u l ə
màrqueting	m 'a ɾ k ə t i ŋ k	m ə ɾ k ə t 'i ŋ k
màser	m 'a z ə	m 'a z e 
mastegaparaules	m ə s t ə ɣ ə p ə ɾ 'a w l ə s	m ə s t ə ɣ ə p ə ɾ ə 'u l ə s
mastegatatxes	m ə s t ə ɣ ə t 'a tʃ ə s	m ə s t ə ɣ ə t 'a t ə s
Mateu	m ə t 'e w	m ə t 'ɛ w
matusser	m ə t u s 'e	m ə t 'u s 'e
me	m 'ə	m ə
meandre	m e 'a n d ɾ ə	ə e 'a n d ɾ ə
membre	m 'e m b ɾ ə	m 'ə m b ɾ ə
membres	m 'e m b ɾ ə s	m 'ə m b ɾ ə s
mencionis	m ə n s i 'ɔ n i s	m ə n s i 'o n i s
mengen	m 'e n ʒ ə n	m 'ɛ n ʒ ə n
menges	m 'e n ʒ ə s	m 'ɛ n ʒ ə s
menja	m 'e n ʒ ə	m 'ə n ʒ ə
menjo	m 'e n ʒ o	m 'ɛ n ʒ o
mènsula	m 'ɛ n s u l ə	m 'ə n s u l ə
mènsules	m 'ɛ n s u l ə s	m 'ə n s u l ə s
metge	m 'e dʒ ə	m 'ə dʒ ə
metges	m 'e dʒ ə s	m 'ə dʒ ə s
mètode	m 'ɛ t o ð ə	m 'ə t o ð ə
metxa	m 'e tʃ ə	m 'ə tʃ ə
meua	m 'e w ə	m 'ə w ə
meus	m 'e w s	m 'ɛ w s
meva	m 'e v ə	m 'ə v ə
meves	m 'e v ə s	m 'ə v ə s
migcampista	m i k k ə m p 'i s t ə	m i ŋ k ə m p 'i s t ə
miositis	m i o z 'i t i s	m i o s 'i t i s
misàndria	m i z 'a n d ɾ i ə	m i z ə n d ɾ 'i ə
moc	m 'o k	m 'ɔ k
molsa	m 'o l s ə	m 'ɔ l s ə
molts	m 'o l s	m 'o l t s
monàrquica	m o n 'a ɾ k i k ə	m o n ə ɾ k 'i k ə
monàrquics	m o n 'a ɾ k i t s	m o n ə ɾ k 'i t s
monocroma	m o n o k ɾ 'ɔ m ə	m o n o k ɾ 'o m ə
monocromes	m o n o k ɾ 'ɔ m ə s	m o n o k ɾ 'o m ə s
montrealès	m o n t ɾ e ə l 'ə s	m o n t ɾ ə ə l 'ə s
Montse	m 'o n s ə	m 'ɔ n t s ə
monyeca	m o ɲ 'ɛ k ə	m o ɲ 'ə k ə
morro	m 'o r o	m 'ɔ r o
morros	m 'o r o s	m 'ɔ r o s
mosaic	m o z 'a j k	m o z 'a i k
mosca	m 'o s k ə	m 'ɔ s k ə
mosques	m 'o s k ə s	m 'ɔ s k ə s
mossegaire	m o s ə ɣ 'a j ɾ ə	m o s ə ɣ ə 'i ɾ ə
mosso	m 'o s o	m 'ɔ s o
mot	m 'o t	m 'ɔ t
motlura	m o ʎ ʎ 'u ɾ ə	m o l l 'u ɾ ə
moto	m 'o t o	m 'ɔ t o
motos	m 'o t o s	m 'ɔ t o s
mudèjar	m u ð 'ɛ ʒ ə	m u ð ə ʒ 'a
muntanyoses	m u n t ə ɲ 'o z ə s	m u n t ə ɲ 'o s ə s
múrgola	m 'u ɾ ɣ o l ə	m u ɾ ɣ 'ɔ l ə
nàufrag	n 'a w f ɾ ə k	n ə w f ɾ 'a ɣ
nàusea	n 'a w z e ə	n 'a w z ə ə
nauseabund	n ə w z e ə β 'u n t	n ə w z ə ə β 'u n t
nauseabunda	n ə w z e ə β 'u n d ə	n ə w z ə ə β 'u n d ə
nauseabundes	n ə w z e ə β 'u n d ə s	n ə w z ə ə β 'u n d ə s
nauseabunds	n ə w z e ə β 'u n s	n ə w z ə ə β 'u n s
nàxer	n 'a t s ə	n 'a t s e 
neboda	n ə β 'o ð ə	n ə β 'ɔ ð ə
nebot	n ə β 'o t	n ə β 'ɔ t
neda	n 'e ð ə	n 'ə ð ə
neden	n 'e ð ə n	n 'ə ð ə n
nedes	n 'e ð ə s	n 'ə ð ə s
nega	n 'e ɣ ə	n 'ə ɣ ə
neguen	n 'e ɣ ə n	n 'ɛ ɣ ə n
negues	n 'e ɣ ə s	n 'ɛ ɣ ə s
Nèmesi	n 'ɛ m ə z i	n 'ə m ə z i
nens	n 'ə n s	n 'e n s
neulir	n ə w l 'i	n ə u l 'i
neulós	n ə w l 'o s	n ə u l 'o s
neva	n 'e v ə	n 'ə v ə
nicens	n i s 'ə n s	n i s 'e n s
nimfea	n i m f 'ɛ ə	n i m f 'e ə
nombre	n 'o m b ɾ ə	n 'ɔ m b ɾ ə
nombres	n 'o m b ɾ ə s	n 'ɔ m b ɾ ə s
Nombres	n 'o m b ɾ ə s	n 'ɔ m b ɾ ə s
nores	n 'ɔ ɾ ə s	n 'o ɾ ə s
noucentisme	n o w s ə n t 'i z m ə	n o u s ə n t 'i z m ə
nouguerola	n o w ɣ ə ɾ 'ɔ l ə	n o u ɣ ə ɾ 'ɔ l ə
novembre	n o v 'e m b ɾ ə	n o v 'ə m b ɾ ə
o	'ɔ	'o
oasi	o 'a z i	o 'a s i
obeïts	o β ə 'i t s	o β ə 'i s
obliquar	o β l i k w 'a	o β l i k 'a
obstacle	o p s t 'a k l ə	o t s t 'a k l ə
obstinació	o p s t i n ə s i 'o	o t s t i n ə s i 'o
obstruïda	o p s t ɾ u 'i ð ə	o t s t ɾ u 'i ð ə
obstruïdes	o p s t ɾ u 'i ð ə s	o t s t ɾ u 'i ð ə s
odissea	o ð i s 'ɛ ə	o ð i s 'e ə
ofego	o f 'ə ɣ o	o f 'ɛ ɣ o
ofegues	o f 'ə ɣ ə s	o f 'ɛ ɣ ə s
ofèn	o f 'ə n	o f 'ɛ n
oïts	o 'i t s	o 'i s
