Aaró	a a ɾ 'o
eguí	e ɣ 'i
eguinada	e ɣ i n 'a ð a
eguinades	e ɣ i n 'a ð e s
eguinar	e ɣ i n 'a
eguinat	e ɣ i n 'a t
eguinats	e ɣ i n 'a t s
ei	'e j
eina	'e j n a
Eivissa	e j β 'i s a
eivissenc	e j β i s 'e ŋ
eix	'e j ʃ
ejaculada	e ʒ a k u l 'a ð a
ejaculades	e ʒ a k u l 'a ð e s
ejacular	e ʒ a k u l 'a
ejaculat	e ʒ a k u l 'a t
ejaculats	e ʒ a k u l 'a t s
elabora	e l a β 'o ɾ a
elaborà	e l a β o ɾ 'a
elaborable	e l a β o ɾ 'a β l e
elaborables	e l a β o ɾ 'a β l e s
elaborada	e l a β o ɾ 'a ð a
elaborades	e l a β o ɾ 'a ð e s
elaborar	e l a β o ɾ 'a
elaborarà	e l a β o ɾ a ɾ 'a
elaboraràs	e l a β o ɾ a ɾ 'a s
elaboràrem	e l a β o ɾ 'a ɾ e m
elaborares	e l a β o ɾ 'a ɾ e s
elaboraria	e l a β o ɾ a ɾ 'i a
elaborat	e l a β o ɾ 'a t
elaborats	e l a β o ɾ 'a t s
elaborava	e l a β o ɾ 'a β a
elaboro	e l a β 'ɔ ɾ o
Elam	e l 'a m
elamita	e l a m 'i t a
elamites	e l a m 'i t e s
eland	e l 'a n
elàstic	e l 'a s t i k
elàstica	e l 'a s t i k a
elàstics	e l 'a s t i k s
elàstiques	e l 'a s t i k e s
ele	'ɛ l e
electiva	e l e k t 'i β a
electives	e l e k t 'i β e s
elector	e l e k t 'o
electoral	e l e k t o ɾ 'a l
electorat	e l e k t o ɾ 'a t
electorats	e l e k t o ɾ 'a t s
elèctric	e l 'ɛ k t ɾ i k
elèctrica	e l 'ɛ k t ɾ i k a
elèctricament	e l 'ɛ k t ɾ i k a m 'e n
electricitat	e l e k t ɾ i s i t 'a t
elèctrics	e l 'ɛ k t ɾ i k s
elèctriques	e l 'ɛ k t ɾ i k e s
electró	e l e k t ɾ 'o
elèctrode	e l 'ɛ k t ɾ o ð e
electròlit	e l e k t ɾ 'ɔ l i t
electrònic	e l e k t ɾ 'ɔ n i k
electrònica	e l e k t ɾ 'ɔ n i k a
electuari	e l e k t u 'a ɾ i
elefant	e l e f 'a n
elegia	e l e ʒ 'i a
elegíac	e l e ʒ 'i a k
elegíaca	e l e ʒ 'i a k a
elegíacs	e l e ʒ 'i a k s
elegíaques	e l e ʒ 'i a k e s
elegida	e l e ʒ 'i ð a
elegides	e l e ʒ 'i ð e s
elegies	e l e ʒ 'i e s
elegir	e l e ʒ 'i
elegit	e l e ʒ 'i t
elegits	e l e ʒ 'i t s
element	e l e m 'e n
elemental	e l e m e n t 'a l
eles	'ɛ l e s
elevada	e l e β 'a ð a
elevades	e l e β 'a ð e s
elevar	e l e β 'a
elevat	e l e β 'a t
elevats	e l e β 'a t s
Elies	e l 'i e s
elimina	e l i m 'i n a
eliminada	e l i m i n 'a ð a
eliminades	e l i m i n 'a ð e s
eliminar	e l i m i n 'a
eliminares	e l i m i n 'a ɾ e s
eliminaria	e l i m i n a ɾ 'i a
eliminat	e l i m i n 'a t
eliminatori	e l i m i n a t 'ɔ ɾ i
eliminats	e l i m i n 'a t s
eliminava	e l i m i n 'a β a
elimines	e l i m 'i n e s
elimino	e l i m 'i n o
elit	e l 'i t
elitisme	e l i t 'i z m e
ell	'e ʎ
ella	'e ʎ a
elles	'e ʎ e s
el·lipse	e l 'i p s e
el·lipses	e l 'i p s e s
el·lipsi	e l 'i p s i
el·lipsis	e l 'i p s i s
el·lipsoide	e l i p s 'ɔ j ð e
el·líptic	e l 'i p t i k
el·líptica	e l 'i p t i k a
el·líptics	e l 'i p t i k s
ells	'e ʎ s
Elna	'ɛ l n a
Eloi	e l 'ɔ j
eloqüent	e l o k w 'e n
eludia	e l u ð 'i a
eludida	e l u ð 'i ð a
eludides	e l u ð 'i ð e s
eludir	e l u ð 'i
eludires	e l u ð 'i ɾ e s
eludiria	e l u ð i ɾ 'i a
eludit	e l u ð 'i t
eludits	e l u ð 'i t s
elusiva	e l u z 'i β a
elusives	e l u z 'i β e s
elxà	e l tʃ 'a
elxana	e l tʃ 'a n a
elxanes	e l tʃ 'a n e s
elxans	e l tʃ 'a n s
ema	'e m a
emanada	a m a n 'a ð a
emanades	a m a n 'a ð e s
emanat	a m a n 'a t
emanats	a m a n 'a t s
emancipada	a m a n s i p 'a ð a
emancipades	a m a n s i p 'a ð e s
emancipar	a m a n s i p 'a
emancipat	a m a n s i p 'a t
emancipats	a m a n s i p 'a t s
emasculada	a m a s k u l 'a ð a
emasculades	a m a s k u l 'a ð e s
emascular	a m a s k u l 'a
emasculat	a m a s k u l 'a t
emasculats	a m a s k u l 'a t s
embacinar	a m b a s i n 'a
embadalida	a m b a ð a l 'i ð a
embadalides	a m b a ð a l 'i ð e s
embadalir	a m b a ð a l 'i
embadalit	a m b a ð a l 'i t
embadalits	a m b a ð a l 'i t s
embafador	a m b a f a ð 'o
embafar	a m b a f 'a
embalar	a m b a l 'a
embalatge	a m b a l 'a dʒ e
embaràs	a m b a ɾ 'a s
embarassar	a m b a ɾ a s 'a
embarassat	a m b a ɾ a s 'a t
embarrancada	a m b a r a ŋ k 'a ð a
embarrancades	a m b a r a ŋ k 'a ð e s
embarrancar	a m b a r a ŋ k 'a
embarrancat	a m b a r a ŋ k 'a t
embarrancats	a m b a r a ŋ k 'a t s
embarrar	a m b a r 'a
embassament	a m b a s a m 'e n
embastar	a m b a s t 'a
emblanquinar	a m b l a ŋ k i n 'a
emblanquir	a m b l a ŋ k 'i
embocar	a m b o k 'a
emboçar	a m b o s 'a
embogida	a m b o ʒ 'i ð a
embogides	a m b o ʒ 'i ð e s
embogir	a m b o ʒ 'i
embogit	a m b o ʒ 'i t
embogits	a m b o ʒ 'i t s
embolar	a m b o l 'a
embolcall	a m b o l k 'a ʎ
embolcar	a m b o l k 'a
embolic	a m b o l 'i k
embolicada	a m b o l i k 'a ð a
embolicades	a m b o l i k 'a ð e s
embolicar	a m b o l i k 'a
embolicat	a m b o l i k 'a t
embolicats	a m b o l i k 'a t s
emborratxar	a m b o r a tʃ 'a
emboscada	a m b o s k 'a ð a
emboscades	a m b o s k 'a ð e s
emboscar	a m b o s k 'a
emboscat	a m b o s k 'a t
emboscats	a m b o s k 'a t s
embotir	a m b o t 'i
embotit	a m b o t 'i t
embragar	a m b ɾ a ɣ 'a
embragatge	a m b ɾ a ɣ 'a dʒ e
embrancar	a m b ɾ a ŋ k 'a
embranzida	a m b ɾ a n z 'i ð a
embrear	a m b ɾ e 'a
embridada	a m b ɾ i ð 'a ð a
embridades	a m b ɾ i ð 'a ð e s
embridar	a m b ɾ i ð 'a
embridat	a m b ɾ i ð 'a t
embridats	a m b ɾ i ð 'a t s
embrollar	a m b ɾ o ʎ 'a
embruixar	a m b ɾ u j ʃ 'a
embrutada	a m b ɾ u t 'a ð a
embrutades	a m b ɾ u t 'a ð e s
embrutar	a m b ɾ u t 'a
embrutat	a m b ɾ u t 'a t
embrutats	a m b ɾ u t 'a t s
embrutir	a m b ɾ u t 'i
embull	a m b 'u ʎ
embullar	a m b u ʎ 'a
embussada	a m b u s 'a ð a
embussades	a m b u s 'a ð e s
embussar	a m b u s 'a
embussat	a m b u s 'a t
embussats	a m b u s 'a t s
embut	a m b 'u t
embutxacada	a m b u tʃ a k 'a ð a
embutxacades	a m b u tʃ a k 'a ð e s
embutxacar	a m b u tʃ a k 'a
embutxacat	a m b u tʃ a k 'a t
embutxacats	a m b u tʃ a k 'a t s
emmagatzemada	a m m a ɣ a d z e m 'a ð a
emmagatzemades	a m m a ɣ a d z e m 'a ð e s
emmagatzemar	a m m a ɣ a d z e m 'a
emmagatzemat	a m m a ɣ a d z e m 'a t
emmagatzematge	a m m a ɣ a d z e m 'a dʒ e
emmagatzemats	a m m a ɣ a d z e m 'a t s
emmalaltida	a m m a l a l t 'i ð a
emmalaltides	a m m a l a l t 'i ð e s
emmalaltir	a m m a l a l t 'i
emmalaltit	a m m a l a l t 'i t
emmalaltits	a m m a l a l t 'i t s
emmantellar	a m m a n t e ʎ 'a
emmarat	a m m a ɾ 'a t
emmascarada	a m m a s k a ɾ 'a ð a
emmascarades	a m m a s k a ɾ 'a ð e s
emmascarar	a m m a s k a ɾ 'a
emmascarat	a m m a s k a ɾ 'a t
emmascarats	a m m a s k a ɾ 'a t s
emmetzinar	a m m e d z i n 'a
emmudir	a m m u ð 'i
emmurallada	a m m u ɾ a ʎ 'a ð a
emmurallades	a m m u ɾ a ʎ 'a ð e s
emmurallar	a m m u ɾ a ʎ 'a
emmurallat	a m m u ɾ a ʎ 'a t
emmurallats	a m m u ɾ a ʎ 'a t s
empadronar	a m p a ð ɾ o n 'a
empait	a m p 'a j t
empaitar	a m p a j t 'a
empalada	a m p a l 'a ð a
empalades	a m p a l 'a ð e s
empalar	a m p a l 'a
empalat	a m p a l 'a t
empalats	a m p a l 'a t s
empallar	a m p a ʎ 'a
empalmada	a m p a l m 'a ð a
empalmades	a m p a l m 'a ð e s
empalmar	a m p a l m 'a
empalmat	a m p a l m 'a t
empalmats	a m p a l m 'a t s
empalomar	a m p a l o m 'a
empapussà	a m p a p u s 'a
empapussada	a m p a p u s 'a ð a
empapussades	a m p a p u s 'a ð e s
empapussar	a m p a p u s 'a
empapussat	a m p a p u s 'a t
empapussats	a m p a p u s 'a t s
empaquetada	a m p a k e t 'a ð a
empaquetades	a m p a k e t 'a ð e s
empaquetador	a m p a k e t a ð 'o
empaquetar	a m p a k e t 'a
empaquetat	a m p a k e t 'a t
empaquetats	a m p a k e t 'a t s
emparada	a m p a ɾ 'a ð a
emparades	a m p a ɾ 'a ð e s
emparar	a m p a ɾ 'a
emparat	a m p a ɾ 'a t
emparats	a m p a ɾ 'a t s
emparentar	a m p a ɾ e n t 'a
empassar	a m p a s 'a
empastada	a m p a s t 'a ð a
empastades	a m p a s t 'a ð e s
empastar	a m p a s t 'a
empastat	a m p a s t 'a t
empastats	a m p a s t 'a t s
empastifar	a m p a s t i f 'a
empat	a m p 'a t
empatada	a m p a t 'a ð a
empatades	a m p a t 'a ð e s
empatar	a m p a t 'a
empatat	a m p a t 'a t
empatats	a m p a t 'a t s
empatia	a m p a t 'i a
empàtic	a m p 'a t i k
empàtica	a m p 'a t i k a
empàtics	a m p 'a t i k s
empàtiques	a m p 'a t i k e s
empats	a m p 'a t s
empatx	a m p 'a tʃ
empatxar	a m p a tʃ 'a
empedrada	a m p e ð ɾ 'a ð a
empedrades	a m p e ð ɾ 'a ð e s
empedrar	a m p e ð ɾ 'a
empedrat	a m p e ð ɾ 'a t
empedrats	a m p e ð ɾ 'a t s
empegar	a m p e ɣ 'a
empelt	a m p 'ɛ l
empeltar	a m p e l t 'a
empenta	a m p 'e n t a
empentada	a m p e n t 'a ð a
empentades	a m p e n t 'a ð e s
empentar	a m p e n t 'a
empentat	a m p e n t 'a t
empentats	a m p e n t 'a t s
empényer	a m p 'e ɲ e
empenyorar	a m p e ɲ o ɾ 'a
emperador	a m p e ɾ a ð 'o
emperadors	a m p e ɾ a ð 'o s
emperò	a m p e ɾ 'ɔ
empesa	a m p 'e z a
empeses	a m p 'e z e s
empesos	a m p 'e z o s
empetitir	a m p e t i t 'i
empinada	a m p i n 'a ð a
empinades	a m p i n 'a ð e s
empinar	a m p i n 'a
empinat	a m p i n 'a t
empinats	a m p i n 'a t s
empipada	a m p i p 'a ð a
empipades	a m p i p 'a ð e s
empipador	a m p i p a ð 'o
empipar	a m p i p 'a
empipat	a m p i p 'a t
empipats	a m p i p 'a t s
empiri	a m p 'i ɾ i
empíric	a m p 'i ɾ i k
empírica	a m p 'i ɾ i k a
empírics	a m p 'i ɾ i k s
empíriques	a m p 'i ɾ i k e s
empirisme	a m p i ɾ 'i z m e
empirista	a m p i ɾ 'i s t a
empit	a m p 'i t
empitjorar	a m p i dʒ o ɾ 'a
emplaçament	a m p l a s a m 'e n
emplaçar	a m p l a s 'a
empleat	a m p l e 'a t
emplenada	a m p l e n 'a ð a
emplenades	a m p l e n 'a ð e s
emplenar	a m p l e n 'a
emplenat	a m p l e n 'a t
emplenats	a m p l e n 'a t s
emplomallat	a m p l o m a ʎ 'a t
empobrida	a m p o β ɾ 'i ð a
empobrides	a m p o β ɾ 'i ð e s
empobrir	a m p o β ɾ 'i
empobrit	a m p o β ɾ 'i t
empobrits	a m p o β ɾ 'i t s
empollar	a m p o ʎ 'a
empra	'e m p ɾ a
emprada	a m p ɾ 'a ð a
emprades	a m p ɾ 'a ð e s
emprar	a m p ɾ 'a
emprat	a m p ɾ 'a t
emprats	a m p ɾ 'a t s
empremta	a m p ɾ 'e m t a
empremtar	a m p ɾ e m t 'a
empren	'e m p ɾ e n
emprenyada	a m p ɾ e ɲ 'a ð a
emprenyades	a m p ɾ e ɲ 'a ð e s
emprenyador	a m p ɾ e ɲ a ð 'o
emprenyar	a m p ɾ e ɲ 'a
emprenyat	a m p ɾ e ɲ 'a t
emprenyats	a m p ɾ e ɲ 'a t s
empresa	a m p ɾ 'e z a
empresari	a m p ɾ e z 'a ɾ i
empresonada	a m p ɾ e z o n 'a ð a
empresonades	a m p ɾ e z o n 'a ð e s
empresonament	a m p ɾ e z o n a m 'e n
empresonar	a m p ɾ e z o n 'a
empresonat	a m p ɾ e z o n 'a t
empresonats	a m p ɾ e z o n 'a t s
emprova	a m p ɾ 'ɔ β a
emprovador	a m p ɾ o β a ð 'o
emprovar	a m p ɾ o β 'a
empunyar	a m p u ɲ 'a
emules	a m 'u l e s
emulo	a m 'u l o
ena	'e n a
ençà	a n s 'a
encabat	a ŋ k a β 'a t
encabida	a ŋ k a β 'i ð a
encabides	a ŋ k a β 'i ð e s
encabir	a ŋ k a β 'i
encabit	a ŋ k a β 'i t
encabits	a ŋ k a β 'i t s
encadellar	a ŋ k a ð e ʎ 'a
encadenada	a ŋ k a ð e n 'a ð a
encadenades	a ŋ k a ð e n 'a ð e s
encadenar	a ŋ k a ð e n 'a
encadenat	a ŋ k a ð e n 'a t
encadenats	a ŋ k a ð e n 'a t s
encaix	a ŋ k 'a j ʃ
encaixada	a ŋ k a j ʃ 'a ð a
encaixades	a ŋ k a j ʃ 'a ð e s
encaixar	a ŋ k a j ʃ 'a
encaixat	a ŋ k a j ʃ 'a t
encaixats	a ŋ k a j ʃ 'a t s
encalçada	a ŋ k a l s 'a ð a
encalçades	a ŋ k a l s 'a ð e s
encalçar	a ŋ k a l s 'a
encalçat	a ŋ k a l s 'a t
encalçats	a ŋ k a l s 'a t s
encallada	a ŋ k a ʎ 'a ð a
encallades	a ŋ k a ʎ 'a ð e s
encallar	a ŋ k a ʎ 'a
encallat	a ŋ k a ʎ 'a t
encallats	a ŋ k a ʎ 'a t s
encaminada	a ŋ k a m i n 'a ð a
encaminades	a ŋ k a m i n 'a ð e s
encaminar	a ŋ k a m i n 'a
encaminat	a ŋ k a m i n 'a t
encaminats	a ŋ k a m i n 'a t s
encamisada	a ŋ k a m i z 'a ð a
encamisar	a ŋ k a m i z 'a
encanta	a ŋ k 'a n t a
encantada	a ŋ k a n t 'a ð a
encantades	a ŋ k a n t 'a ð e s
encantar	a ŋ k a n t 'a
encantares	a ŋ k a n t 'a ɾ e s
encantaria	a ŋ k a n t a ɾ 'i a
encantat	a ŋ k a n t 'a t
encantats	a ŋ k a n t 'a t s
encantava	a ŋ k a n t 'a β a
encanteri	a ŋ k a n t 'ɛ ɾ i
encantes	a ŋ k 'a n t e s
encapçalada	a ŋ k a p s a l 'a ð a
encapçalades	a ŋ k a p s a l 'a ð e s
encapçalament	a ŋ k a p s a l a m 'e n
encapçalar	a ŋ k a p s a l 'a
encapçalat	a ŋ k a p s a l 'a t
encapçalats	a ŋ k a p s a l 'a t s
encapritxar	a ŋ k a p ɾ i tʃ 'a
encapsar	a ŋ k a p s 'a
encapsular	a ŋ k a p s u l 'a
encaputxar	a ŋ k a p u tʃ 'a
encaputxat	a ŋ k a p u tʃ 'a t
encara	a ŋ k 'a ɾ a
encaramel·lar	a ŋ k a ɾ a m e l 'a
encarregada	a ŋ k a r e ɣ 'a ð a
encarregades	a ŋ k a r e ɣ 'a ð e s
encarregar	a ŋ k a r e ɣ 'a
encarregat	a ŋ k a r e ɣ 'a t
encarregats	a ŋ k a r e ɣ 'a t s
encarrilar	a ŋ k a r i l 'a
encasellar	a ŋ k a z e ʎ 'a
encastar	a ŋ k a s t 'a
encaterinar	a ŋ k a t e ɾ i n 'a
encavallar	a ŋ k a β a ʎ 'a
encèfal	a n s 'ɛ f a l
encefàlic	a n s e f 'a l i k
encefàlica	a n s e f 'a l i k a
encegador	a n s e ɣ a ð 'o
encegar	a n s e ɣ 'a
encenall	a n s e n 'a ʎ
encendre	a n s 'e n d ɾ e
encenedor	a n s e n e ð 'o
encens	a n s 'e n s
encesa	a n s 'e z a
enceses	a n s 'e z e s
encesos	a n s 'e z o s
encetada	a n s e t 'a ð a
encetades	a n s e t 'a ð e s
encetall	a n s e t 'a ʎ
encetar	a n s e t 'a
encetat	a n s e t 'a t
encetats	a n s e t 'a t s
encís	a n s 'i s
encisar	a n s i z 'a
enclavament	a ŋ k l a β a m 'e n
enclavar	a ŋ k l a β 'a
enclova	a ŋ k l 'ɔ β a
enclusa	a ŋ k l 'u z a
encoixinar	a ŋ k o j ʃ i n 'a
encoixir	a ŋ k o j ʃ 'i
encolomada	a ŋ k o l o m 'a ð a
encolomades	a ŋ k o l o m 'a ð e s
encolomar	a ŋ k o l o m 'a
encolomat	a ŋ k o l o m 'a t
encolomats	a ŋ k o l o m 'a t s
encomanada	a ŋ k o m a n 'a ð a
encomanades	a ŋ k o m a n 'a ð e s
encomanar	a ŋ k o m a n 'a
encomanat	a ŋ k o m a n 'a t
encomanats	a ŋ k o m a n 'a t s
encomi	a ŋ k 'ɔ m i
encongida	a ŋ k o n dʒ 'i ð a
encongides	a ŋ k o n dʒ 'i ð e s
encongir	a ŋ k o n dʒ 'i
encongit	a ŋ k o n dʒ 'i t
encongits	a ŋ k o n dʒ 'i t s
encoratjada	a ŋ k o ɾ a dʒ 'a ð a
encoratjades	a ŋ k o ɾ a dʒ 'a ð e s
encoratjador	a ŋ k o ɾ a dʒ a ð 'o
encoratjar	a ŋ k o ɾ a dʒ 'a
encoratjat	a ŋ k o ɾ a dʒ 'a t
encoratjats	a ŋ k o ɾ a dʒ 'a t s
encorreguda	a ŋ k o r e ɣ 'u ð a
encorregudes	a ŋ k o r e ɣ 'u ð e s
encorregut	a ŋ k o r e ɣ 'u t
encorreguts	a ŋ k o r e ɣ 'u t s
encórrer	a ŋ k 'o r e
encreuada	a ŋ k ɾ e w 'a ð a
encreuades	a ŋ k ɾ e w 'a ð e s
encreuament	a ŋ k ɾ e w a m 'e n
encreuar	a ŋ k ɾ e w 'a
encreuat	a ŋ k ɾ e w 'a t
encreuats	a ŋ k ɾ e w 'a t s
encriptada	a ŋ k ɾ i p t 'a ð a
encriptades	a ŋ k ɾ i p t 'a ð e s
encriptar	a ŋ k ɾ i p t 'a
encriptat	a ŋ k ɾ i p t 'a t
encriptats	a ŋ k ɾ i p t 'a t s
encular	a ŋ k u l 'a
encunyada	a ŋ k u ɲ 'a ð a
encunyades	a ŋ k u ɲ 'a ð e s
encunyar	a ŋ k u ɲ 'a
encunyat	a ŋ k u ɲ 'a t
encunyats	a ŋ k u ɲ 'a t s
endalt	a n d 'a l
endarrere	a n d a r 'e ɾ e
endarrerida	a n d a r e ɾ 'i ð a
endarrerides	a n d a r e ɾ 'i ð e s
endarreriment	a n d a r e ɾ i m 'e n
endarrerir	a n d a r e ɾ 'i
endarrerit	a n d a r e ɾ 'i t
endarrerits	a n d a r e ɾ 'i t s
endauat	a n d a w 'a t
endavant	a n d a β 'a n
endemà	a n d e m 'a
endemés	a n d e m 'e s
endèmic	a n d 'ɛ m i k
endèmica	a n d 'ɛ m i k a
endèmics	a n d 'ɛ m i k s
endèmiques	a n d 'ɛ m i k e s
enderroc	a n d e r 'ɔ k
enderrocada	a n d e r o k 'a ð a
enderrocades	a n d e r o k 'a ð e s
enderrocador	a n d e r o k a ð 'o
enderrocar	a n d e r o k 'a
enderrocat	a n d e r o k 'a t
enderrocats	a n d e r o k 'a t s
endevinada	a n d e β i n 'a ð a
endevinades	a n d e β i n 'a ð e s
endevinalla	a n d e β i n 'a ʎ a
endevinar	a n d e β i n 'a
endevinat	a n d e β i n 'a t
endevinats	a n d e β i n 'a t s
endillunsat	a n d i ʎ u n s 'a t
endins	a n d 'i n s
endinsada	a n d i n s 'a ð a
endinsades	a n d i n s 'a ð e s
endinsar	a n d i n s 'a
endinsat	a n d i n s 'a t
endinsats	a n d i n s 'a t s
endocrí	a n d o k ɾ 'i
endocrina	a n d o k ɾ 'i n a
endocrinologia	a n d o k ɾ i n o l o ʒ 'i a
endògam	a n d 'ɔ ɣ a m
endolcir	a n d o l s 'i
endoll	a n d 'o ʎ
endollada	a n d o ʎ 'a ð a
endollades	a n d o ʎ 'a ð e s
endollar	a n d o ʎ 'a
endollat	a n d o ʎ 'a t
endollats	a n d o ʎ 'a t s
endometritis	a n d o m e t ɾ 'i t i s
endossar	a n d o s 'a
endotòxic	a n d o t 'ɔ k s i k
endrapada	a n d ɾ a p 'a ð a
endrapades	a n d ɾ a p 'a ð e s
endrapar	a n d ɾ a p 'a
endrapat	a n d ɾ a p 'a t
endrapats	a n d ɾ a p 'a t s
endreçar	a n d ɾ e s 'a
endreçat	a n d ɾ e s 'a t
endurar	a n d u ɾ 'a
enduriment	a n d u ɾ i m 'e n
endurir	a n d u ɾ 'i
ene	'e n e
ènema	'ɛ n e m a
engafetar	a ŋ g a f e t 'a
engalba	a ŋ g 'a l β a
engalipar	a ŋ g a l i p 'a
enganxà	a ŋ g a n tʃ 'a
enganxada	a ŋ g a n tʃ 'a ð a
enganxades	a ŋ g a n tʃ 'a ð e s
enganxador	a ŋ g a n tʃ a ð 'o
enganxall	a ŋ g a n tʃ 'a ʎ
enganxar	a ŋ g a n tʃ 'a
enganxat	a ŋ g a n tʃ 'a t
enganxats	a ŋ g a n tʃ 'a t s
enganxifós	a ŋ g a n tʃ i f 'o s
enganxina	a ŋ g a n tʃ 'i n a
enganxós	a ŋ g a n tʃ 'o s
enganxosa	a ŋ g a n tʃ 'o z a
enganxoses	a ŋ g a n tʃ 'o z e s
engany	a ŋ g 'a ɲ
enganyada	a ŋ g a ɲ 'a ð a
enganyades	a ŋ g a ɲ 'a ð e s
enganyar	a ŋ g a ɲ 'a
enganyat	a ŋ g a ɲ 'a t
enganyats	a ŋ g a ɲ 'a t s
enganyós	a ŋ g a ɲ 'o s
enganyosa	a ŋ g a ɲ 'o z a
enganyoses	a ŋ g a ɲ 'o z e s
enganyosos	a ŋ g a ɲ 'o z o s
engatjar	a ŋ g a dʒ 'a
engavanyar	a ŋ g a β a ɲ 'a
engegada	a n dʒ e ɣ 'a ð a
engegades	a n dʒ e ɣ 'a ð e s
engegar	a n dʒ e ɣ 'a
engegat	a n dʒ e ɣ 'a t
engegats	a n dʒ e ɣ 'a t s
engendrada	a n dʒ e n d ɾ 'a ð a
engendrades	a n dʒ e n d ɾ 'a ð e s
engendrar	a n dʒ e n d ɾ 'a
engendrat	a n dʒ e n d ɾ 'a t
engendrats	a n dʒ e n d ɾ 'a t s
enginy	a n dʒ 'i ɲ
enginyar	a n dʒ i ɲ 'a
enginyer	a n dʒ i ɲ 'e
enginyeria	a n dʒ i ɲ e ɾ 'i a
enginyós	a n dʒ i ɲ 'o s
enginyosa	a n dʒ i ɲ 'o z a
enginyoses	a n dʒ i ɲ 'o z e s
enginyosos	a n dʒ i ɲ 'o z o s
engiponar	a n dʒ i p o n 'a
englantina	a ŋ g l a n t 'i n a
englobada	a ŋ g l o β 'a ð a
englobades	a ŋ g l o β 'a ð e s
englobar	a ŋ g l o β 'a
englobat	a ŋ g l o β 'a t
englobats	a ŋ g l o β 'a t s
engolfar	a ŋ g o l f 'a
engolida	a ŋ g o l 'i ð a
engolides	a ŋ g o l 'i ð e s
engolidor	a ŋ g o l i ð 'o
engolir	a ŋ g o l 'i
engolit	a ŋ g o l 'i t
engolits	a ŋ g o l 'i t s
engonal	a ŋ g o n 'a l
engrandir	a ŋ g ɾ a n d 'i
engrapada	a ŋ g ɾ a p 'a ð a
engrapar	a ŋ g ɾ a p 'a
engreixada	a ŋ g ɾ e j ʃ 'a ð a
engreixades	a ŋ g ɾ e j ʃ 'a ð e s
engreixar	a ŋ g ɾ e j ʃ 'a
engreixat	a ŋ g ɾ e j ʃ 'a t
engreixats	a ŋ g ɾ e j ʃ 'a t s
engrescador	a ŋ g ɾ e s k a ð 'o
engrescar	a ŋ g ɾ e s k 'a
engrillonar	a ŋ g ɾ i ʎ o n 'a
engròs	a ŋ g ɾ 'ɔ s
engruixir	a ŋ g ɾ u j ʃ 'i
engruna	a ŋ g ɾ 'u n a
engrunadís	a ŋ g ɾ u n a ð 'i s
engrunar	a ŋ g ɾ u n 'a
engrut	a ŋ g ɾ 'u t
enguany	a ŋ g w 'a ɲ
enguanyasses	a ŋ g w a ɲ 'a s e s
enguixada	a ŋ g i ʃ 'a ð a
enguixades	a ŋ g i ʃ 'a ð e s
enguixar	a ŋ g i ʃ 'a
enguixat	a ŋ g i ʃ 'a t
enguixats	a ŋ g i ʃ 'a t s
enjogassat	a n dʒ o ɣ a s 'a t
enjoncar	a n dʒ o ŋ k 'a
enjovar	a n dʒ o β 'a
enjuncada	a n dʒ u ŋ k 'a ð a
enjuncar	a n dʒ u ŋ k 'a
enlairament	a n l a j ɾ a m 'e n
enlaire	a n l 'a j ɾ e
enmig	a m m 'i tʃ
ennegrir	a n n e ɣ ɾ 'i
ennuegà	a n n u e ɣ 'a
ennuegada	a n n u e ɣ 'a ð a
ennuegades	a n n u e ɣ 'a ð e s
ennuegar	a n n u e ɣ 'a
ennuegat	a n n u e ɣ 'a t
ennuegats	a n n u e ɣ 'a t s
ennuvolada	a n n u β o l 'a ð a
ennuvolades	a n n u β o l 'a ð e s
ennuvolat	a n n u β o l 'a t
ennuvolats	a n n u β o l 'a t s
enquadrar	a ŋ k w a ð ɾ 'a
enquesta	a ŋ k 'e s t a
enquestada	a ŋ k e s t 'a ð a
enquestades	a ŋ k e s t 'a ð e s
enquestar	a ŋ k e s t 'a
enquestat	a ŋ k e s t 'a t
enquestats	a ŋ k e s t 'a t s
ensacar	a n s a k 'a
ensaginar	a n s a ʒ i n 'a
ensaïmada	a n s a i m 'a ð a
ensalada	a n s a l 'a ð a
ensarronar	a n s a r o n 'a
ensems	a n s 'e m s
ensenyada	a n s e ɲ 'a ð a
ensenyades	a n s e ɲ 'a ð e s
ensenyament	a n s e ɲ a m 'e n
ensenyar	a n s e ɲ 'a
ensenyat	a n s e ɲ 'a t
ensenyats	a n s e ɲ 'a t s
ensitjada	a n s i dʒ 'a ð a
ensitjades	a n s i dʒ 'a ð e s
ensitjar	a n s i dʒ 'a
ensitjarà	a n s i dʒ a ɾ 'a
ensitjat	a n s i dʒ 'a t
ensitjats	a n s i dʒ 'a t s
ensofrada	a n s o f ɾ 'a ð a
ensofrar	a n s o f ɾ 'a
ensopegada	a n s o p e ɣ 'a ð a
ensopegades	a n s o p e ɣ 'a ð e s
ensopegar	a n s o p e ɣ 'a
ensopegat	a n s o p e ɣ 'a t
ensopegats	a n s o p e ɣ 'a t s
ensopida	a n s o p 'i ð a
ensopides	a n s o p 'i ð e s
ensopir	a n s o p 'i
ensopit	a n s o p 'i t
ensopits	a n s o p 'i t s
ensorrada	a n s o r 'a ð a
ensorrades	a n s o r 'a ð e s
ensorrar	a n s o r 'a
ensorrat	a n s o r 'a t
ensorrats	a n s o r 'a t s
