A	'a	 a 
fuster	f u s t 'e ɾ	 f 'u s t 'ɛ ɾ 
fusterianisme	f u s t e ɾ i a n 'i z m e	 f u s t e ɾ 'i a n 'i z m e 
futbol	f u d b 'ɔ l	 f u t b 'o l 
futbolí	f u d b o l 'i	 f 'u t b o l 'i 
futbolista	f u d b o l 'i s t a	 f 'u t b o l 'i s t a 
gabinet	g a β i n 'e t	 g a β i n 'ɛ t 
gagaús	g a ɣ a 'u s	 g a ɣ 'a 'u s 
gai	g 'a j	 g 'a i 
gaita	g 'a j t a	 g 'a 'i t a 
gaiter	g a j t 'e ɾ	 g a i t 'ɛ ɾ 
galantejar	g a l a n t e d ʒ 'a ɾ	 g a l 'a n t e d ʒ 'a ɾ 
galera	g a l 'e ɾ a	 g a l 'ɛ ɾ a 
galeta	g a l 'e t a	 g a l 'ɛ t a 
galifardeu	g a l i f a ɾ ð 'ɛ w	 g a l i f 'a ɾ ð 'ɛ w 
Galileu	g a l i l 'e w	 g a l i l 'ɛ w 
gallec	g a ʎ 'e k	 g a ʎ 'ɛ k 
galleda	g a ʎ 'e ð a	 g a ʎ 'ɛ ð a 
gal·lesos	g a l 'e z o s	 g a l 'ɛ z o s 
gallet	g a ʎ 'e t	 g a ʎ 'ɛ t 
galliner	g a ʎ i n 'e ɾ	 g a ʎ i n 'ɛ ɾ 
ganivet	g a n i v 'e t	 g a n i v 'ɛ t 
ganxet	g a n t ʃ 'e t	 g a n t ʃ 'ɛ t 
gargallejar	g a ɾ ɣ a ʎ e d ʒ 'a ɾ	 g a ɾ ɣ 'a ʎ e d ʒ 'a ɾ 
garrofer	g a r o f 'e ɾ	 g a r o f 'ɛ ɾ 
garrot	g a r 'ɔ t	 g a r 'o t 
gasela	g a z 'ɛ l a	 g a s 'ɛ l a 
gasoil	g a z 'ɔ j l	 g a z 'o 'i l 
gastroenteritis	g a s t ɾ o e n t e ɾ 'i t i s	 g a s t ɾ o 'e n t e ɾ 'i t i s 
gaussià	g a w s i 'a	 g 'a w s i 'a 
gegantesc	d ʒ e ɣ a n t 'e s k	 d ʒ e ɣ 'a n t 'ɛ s k 
gemec	d ʒ e m 'e k	 d ʒ e m 'ɛ k 
gemma	d ʒ 'e m m a	 d ʒ 'ɛ m m a 
Gemma	d ʒ 'e m m a	 d ʒ 'ɛ m m a 
gener	d ʒ e n 'e ɾ	 d ʒ e n 'ɛ ɾ 
generadora	d ʒ e n e ɾ a ð 'o ɾ a	 d ʒ e n e ɾ a ð 'ɔ ɾ a 
generadores	d ʒ e n e ɾ a ð 'o ɾ e s	 d ʒ e n e ɾ a ð 'ɔ ɾ e s 
genovesa	d ʒ e n o v 'e z a	 d ʒ e n o v 'ɛ z a 
gens	d ʒ 'e n s	 d ʒ 'ɛ n s 
gent	d ʒ 'e n t	 d ʒ 'ɛ n t 
geocèntrics	d ʒ e o s 'ɛ n t ɾ i k s	 d ʒ e o s 'ɛ n t ɾ 'i k s 
germanet	d ʒ e ɾ m a n 'e t	 d ʒ e ɾ m a n 'ɛ t 
germaneta	d ʒ e ɾ m a n 'e t a	 d ʒ e ɾ m a n 'ɛ t a 
gespa	d ʒ 'e s p a	 g s p a 
gest	d ʒ 'e s t	 d ʒ 'ɛ s t 
gesta	d ʒ 'e s t a	 d ʒ 'ɛ s t a 
gestes	d ʒ 'e s t e s	 d ʒ 'ɛ s t e s 
gestos	d ʒ 'e s t o s	 d ʒ 'ɛ s t o s 
ginebra	d ʒ i n 'e β ɾ a	 d ʒ i n 'ɛ β ɾ a 
Ginebra	d ʒ i n 'e β ɾ a	 d ʒ i n 'ɛ β ɾ a 
ginesta	d ʒ i n 'e s t a	 d ʒ i n 'ɛ s t a 
ginestó	d ʒ i n e s t 'o	 d ʒ 'i n e s t 'o 
glacera	g l a s 'e ɾ a	 g l a s 'ɛ ɾ a 
glands	g l 'a n s	 g l 'a n d s 
gloriosa	g l o ɾ i 'o z a	 g l o ɾ i 'ɔ z a 
gloriosos	g l o ɾ i 'o z o s	 g l o ɾ i 'ɔ z o s 
goig	g 'ɔ t ʃ	 g 'o t ʃ 
gol	g 'ɔ l	 g 'o l 
golfa	g 'o l f a	 g 'ɔ l f a 
golfes	g 'o l f e s	 g 'ɔ l f e s 
goma	g 'o m a	 g 'ɔ m a 
gomes	g 'o m e s	 g 'ɔ m e s 
gorjablanc	g o ɾ d ʒ a β l 'a ŋ k	 g o ɾ d ʒ 'a β l 'a ŋ k 
gorjut	g o ɾ d ʒ 'u t	 g 'o ɾ d ʒ 'u t 
gorra	g 'o r a	 g 'ɔ r a 
gorrejar	g o r e d ʒ 'a ɾ	 g 'o r e d ʒ 'a ɾ 
gossa	g 'o s a	 g 'ɔ s a 
gosset	g o s 'e t	 g o s 'ɛ t 
gossos	g 'o s o s	 g 'ɔ s o s 
got	g 'ɔ t	 g 'o t 
gota	g 'o t a	 g 'ɔ t a 
gotera	g o t 'e ɾ a	 g o t 'ɛ ɾ a 
gotes	g 'o t e s	 g 'ɔ t e s 
governem	g o v e ɾ n 'e m	 g o v e ɾ n 'ɛ m 
grandiosa	g ɾ a n d i 'o z a	 g ɾ a n d i 'ɔ z a 
granellut	g ɾ a n e ʎ 'u t	 g ɾ a n 'e ʎ 'u t 
graner	g ɾ a n 'e ɾ	 g ɾ a n 'ɛ ɾ 
granger	g ɾ a n d ʒ 'e ɾ	 g ɾ a n d ʒ 'ɛ ɾ 
grec	g ɾ 'e k	 g ɾ 'ɛ k 
grecs	g ɾ 'e k s	 g ɾ 'ɛ k s 
grega	g ɾ 'e ɣ a	 g ɾ 'ɛ ɣ a 
gregues	g ɾ 'e ɣ e s	 g ɾ 'ɛ ɣ e s 
greix	g ɾ 'e j ʃ	 g ɾ 'ɛ j ʃ 
greixum	g ɾ e j ʃ 'u m	 g ɾ 'e j ʃ 'u m 
gresca	g ɾ 'e s k a	 g ɾ 'ɛ s k a 
gresol	g ɾ e z 'ɔ l	 g ɾ e z 'o l 
greu	g ɾ 'e w	 g ɾ 'ɛ w 
greuge	g ɾ 'e w d ʒ e	 g ɾ 'ɛ w d ʒ e 
greus	g ɾ 'e w s	 g ɾ 'ɛ w s 
grier	g ɾ i 'e ɾ	 g ɾ i 'ɛ ɾ 
grisosos	g ɾ i z 'o z o s	 g ɾ i z 'ɔ z o s 
groc	g ɾ 'ɔ k	 g ɾ 'o k 
grocs	g ɾ 'ɔ k s	 g ɾ 'o k s 
grogosos	g ɾ o ɣ 'o z o s	 g ɾ o ɣ 'ɔ z o s 
groguenc	g ɾ o ɣ 'e ŋ k	 g ɾ 'ɔ ɣ 'ɛ ŋ k 
groller	g ɾ o ʎ 'e ɾ	 g ɾ 'o ʎ 'ɛ ɾ 
gronxa	g ɾ 'o n t ʃ a	 g ɾ 'ɔ n t ʃ a 
grotesc	g ɾ o t 'e s k	 g ɾ o t 'ɛ s k 
gruixut	g ɾ u j ʃ 'u t	 g ɾ 'u j ʃ 'u t 
guaita	g w 'a j t a	 g w 'a 'i t a 
guaitar	g w a j t 'a ɾ	 g w a i t 'a ɾ 
guaitat	g w a j t 'a t	 g w a i t 'a t 
guaito	g w 'a j t o	 g w 'a 'i t o 
guantera	g w a n t 'e ɾ a	 g w a n t 'ɛ ɾ a 
guardiamarina	g w a ɾ ð i a m a ɾ 'i n a	 g w a ɾ ð 'i a m a ɾ 'i n a 
guatlla	g w 'a l l a	 g w 'a t ʎ a 
guèiser	g 'ɛ j z e ɾ	 g 'ɛ i z e ɾ 
guerrejar	g e r e d ʒ 'a ɾ	 g 'ɛ r e d ʒ 'a ɾ 
guerrejat	g e r e d ʒ 'a t	 g 'ɛ r e d ʒ 'a t 
guerrer	g e r 'e ɾ	 g e r 'ɛ ɾ 
guerriller	g e r i ʎ 'e ɾ	 g e r i ʎ 'ɛ ɾ 
guerrillera	g e r i ʎ 'e ɾ a	 g e r i ʎ 'ɛ ɾ a 
guerrilleres	g e r i ʎ 'e ɾ e s	 g e r i ʎ 'ɛ ɾ e s 
Guillem	g i ʎ 'e m	 g i ʎ 'ɛ m 
guinda	g 'i n d a	 g w 'i n d a 
guineu	g i n 'e w	 g i n 'ɛ w 
guionet	g i o n 'e t	 g i o n 'ɛ t 
guisa	g 'i z a	 g u 'i z a 
guix	g 'i ʃ	 g 'i t ʃ 
gurmet	g u ɾ m 'e t	 g 'u ɾ m 'ɛ t 
guspira	g u s p 'i ɾ a	 g 'u s p 'i ɾ a 
hàbitat	'a β i t a t	 'a β i t 'a t 
hàbitats	'a β i t a t s	 'a β i t 'a t s 
Hades	'a ð e s	 ' 'a ð e s 
hafni	'a f n i	 i 'a f n i 
hagi	'a d ʒ i	 'ɔ d ʒ i 
hàgim	'a d ʒ i m	 'ɔ d ʒ i m 
hàgiu	'a d ʒ i w	 'ɔ d ʒ i w 
Haia	'a j a	 a 'i a 
haig	'a t ʃ	 ' 'a t ʃ 
Hainan	a j n 'a n	 a i n 'a n 
Hainaut	a j n 'a w t	 a i n 'a 'u t 
Haití	a j t 'i	 a i t 'i 
haixix	a j ʃ 'i ʃ	 a j ʃ 'i k s 
hamburguesa	a m b u ɾ ɣ 'e z a	 a m b u ɾ ɣ u 'ɛ z a 
harem	a ɾ 'e m	 a ɾ 'ɛ m 
harpia	a ɾ p 'i a	 ' a ɾ p 'i a 
haver	a v 'e ɾ	 a v 'ɛ ɾ 
he	'e	 'ɛ 
hebraic	e β ɾ 'a j k	 e β ɾ 'a i k 
hebrea	e β ɾ 'e a	 e β ɾ 'ɛ a 
hebreu	e β ɾ 'e w	 e β ɾ 'ɛ w 
Hèlios	'ɛ l i o s	 'ɔ l i o s 
hemeroteca	e m e ɾ o t 'e k a	 e m e ɾ o t 'ɛ k a 
hèrnia	'ɛ ɾ n i a	 s 'ɛ ɾ n i a 
heroi	e ɾ 'ɔ j	 e ɾ 'o i 
heroic	e ɾ 'ɔ j k	 e ɾ 'o 'i k 
hèrptil	'ɛ ɾ p t i l	 'ɛ ɾ p t 'i l 
heu	'e w	 'ɛ w 
heure	'e w ɾ e	 a 'u ɾ e 
heus	'e w s	 'ɛ w s 
hexaclorobenzé	e k s a k l o ɾ o β e n z 'e	 e k s 'a k l o ɾ o β e n z 'e 
hexaclorofé	e k s a k l o ɾ o f 'e	 e k s 'a k l o ɾ o f 'e 
hexagonal	e g z a ɣ o n 'a l	 e k s a ɣ o n 'a l 
hexé	e g z 'e	 e t ʃ 'e 
hi	'i	 i 
híbrid	'i β ɾ i t	 i β ɾ i t 
hidroelèctrica	i ð ɾ o e l 'ɛ k t ɾ i k a	 i ð ɾ o e l 'ɛ k t ɾ 'i k a 
hidroelèctrics	i ð ɾ o e l 'ɛ k t ɾ i k s	 i ð ɾ o e l 'ɛ k t ɾ 'i k s 
hieràtic	j e ɾ 'a t i k	 i e ɾ 'a t i k 
hieràtics	j e ɾ 'a t i k s	 i e ɾ 'a t i k s 
himne	'i m n e	 u 'i m n e 
hindi	'i n d i	 i n d i 
hinduisme	i n d w 'i z m e	 i n d u 'i z m e 
hiperespai	i p e ɾ e s p 'a j	 i p e ɾ e s p 'a i 
hiperespais	i p e ɾ e s p 'a j s	 i p e ɾ e s p 'a i s 
hipnosi	i b n 'ɔ z i	 i p n 'ɔ z i 
hipnòtic	i b n 'ɔ t i k	 i p n 'ɔ t i k 
hipnotisme	i b n o t 'i z m e	 i p n o t 'i z m e 
hipoteca	i p o t 'e k a	 i p o t 'ɛ k a 
historiador	i s t o ɾ i a ð 'o ɾ	 i s t o ɾ 'i a ð 'o ɾ 
historieta	i s t o ɾ i 'e t a	 i s t o ɾ i 'ɛ t a 
holandesa	o l a n d 'e z a	 o l 'a n d 'ɛ z a 
holmi	'ɔ l m i	 u l m i 
homenet	o m e n 'e t	 o m e n 'ɛ t 
homenot	o m e n 'ɔ t	 o m e n 'o t 
hon	'o n	 'a n 
hondureny	o n d u ɾ 'e ɲ	 o n d u ɾ 'ɛ ɲ 
honest	o n 'e s t	 o n 'ɛ s t 
hongaresos	o ŋ g a ɾ 'e z o s	 o ŋ g 'a ɾ 'ɛ z o s 
hoquei	o k 'e j	 o k 'ɛ i 
hora	'ɔ ɾ a	 a ɾ a 
hòrrid	'ɔ r i t	 i r i t 
hort	'ɔ ɾ t	 i 'o ɾ t 
horta	'ɔ ɾ t a	 i ɾ t a 
hostes	'ɔ s t e s	 i s t e s 
hostessa	o s t 'e s a	 o s t 'ɛ s a 
hòstia	'ɔ s t i a	 i s t i a 
hòsties	'ɔ s t i e s	 i s t i e s 
hoteler	o t e l 'e ɾ	 o t e l 'ɛ ɾ 
húmer	'u m e ɾ	 a m e ɾ 
humiliació	u m i l i a s i 'o	 u m i l 'i a s i 'o 
humus	'u m u s	 a m u s 
i	'i	 i 
iaia	j 'a j a	 i 'a j a 
iaies	j 'a j e s	 i 'a 'i e s 
iaio	j 'a j o	 i 'a j o 
iarda	j 'a ɾ ð a	 i 'a ɾ ð a 
iber	i β 'e ɾ	 i β 'ɛ ɾ 
ictus	'i k t u s	 'i k t 'u s 
idea	i ð 'e a	 i ð 'ɛ a 
idioma	i ð i 'o m a	 i ð i 'ɔ m a 
idiotisme	i ð i o t 'i z m e	 i ð 'i o t 'i z m e 
iemenita	j e m e n 'i t a	 i e m e n 'i t a 
illenc	i ʎ 'e ŋ k	 i ʎ 'ɛ ŋ k 
illot	i ʎ 'ɔ t	 i ʎ 'o t 
immens	i m m 'e n s	 i m m 'ɛ n s 
impacient	i m p a s i 'e n t	 i m p a s i 'ɛ n t 
imperialisme	i m p e ɾ i a l 'i z m e	 i m p e ɾ 'i a l 'i z m e 
imperialista	i m p e ɾ i a l 'i s t a	 i m p e ɾ 'i a l 'i s t a 
ímpetu	'i m p e t u	 'i m p e t 'u 
impotent	i m p o t 'e n t	 i m p o t 'ɛ n t 
impremta	i m p ɾ 'e m t a	 i m p ɾ 'ɛ m t a 
impresa	i m p ɾ 'e z a	 i m p ɾ 'ɛ z a 
impreses	i m p ɾ 'e z e s	 i m p ɾ 'ɛ z e s 
impresos	i m p ɾ 'e z o s	 i m p ɾ 'ɛ z o s 
imprudent	i m p ɾ u ð 'e n t	 i m p ɾ u ð 'ɛ n t 
impuresa	i m p u ɾ 'e z a	 i m p 'u ɾ 'ɛ z a 
inabastable	i n a β a s t 'a β l e	 i n 'a β a s t 'a β l e 
inadequat	i n a ð e k w 'a t	 i n 'a ð e k w 'a t 
incineradores	i n s i n e ɾ a ð 'o ɾ e s	 i n s i n e ɾ a ð 'ɔ ɾ e s 
incoherent	i ŋ k o e ɾ 'e n t	 i ŋ k o e ɾ 'ɛ n t 
inconsistent	i ŋ k o n s i s t 'e n t	 i ŋ k o n s i s t 'ɛ n t 
incorpora	i ŋ k o ɾ p 'o ɾ a	 i ŋ k o ɾ p 'ɔ ɾ a 
increment	i ŋ k ɾ e m 'e n t	 'i ŋ k ɾ e m 'ɛ n t 
incultura	i ŋ k u l t 'u ɾ a	 i ŋ k 'u l t 'u ɾ a 
indicarem	i n d i k a ɾ 'e m	 i n d i k a ɾ 'ɛ m 
indiferent	i n d i f e ɾ 'e n t	 i n d i f e ɾ 'ɛ n t 
indiquem	i n d i k 'e m	 i n d i k 'ɛ m 
indret	i n d ɾ 'e t	 i n d ɾ 'ɛ t 
induir	i n d w 'i ɾ	 i n d u 'i ɾ 
indústria	i n d 'u s t ɾ i a	 i n d 'u s t ɾ 'i a 
inexistent	i n e g z i s t 'e n t	 i n e g z i s t 'ɛ n t 
ingent	i n d ʒ 'e n t	 i n d ʒ 'ɛ n t 
ingredient	i ŋ g ɾ e ð i 'e n t	 i ŋ g ɾ e ð i 'ɛ n t 
inhòspit	i n 'ɔ s p i t	 i n 'e s p i t 
iniciarà	i n i s i a ɾ 'a	 i n i s i 'a ɾ 'a 
iniciem	i n i s i 'e m	 i n i s i 'ɛ m 
inintel·ligible	i n i n t e l i d ʒ 'i β l e	 i n 'i n t e l i d ʒ 'i β l e 
ininterromput	i n i n t e r o m p 'u t	 i n 'i n t e r 'o m p 'u t 
inquiet	i ŋ k i 'e t	 i ŋ k 'i 'ɛ t 
inquietud	i ŋ k i e t 'u t	 i ŋ k 'i e t 'u t 
insatisfactori	i n s a t i s f a k t 'ɔ ɾ i	 i n s 'a t i s f a k t 'ɔ ɾ i 
insensatesa	i n s e n s a t 'e z a	 i n s e n s 'a t 'ɛ z a 
insolent	i n s o l 'e n t	 i n s o l 'ɛ n t 
insolents	i n s o l 'e n s	 i n s o l 'ɛ n t s 
instruir	i n s t ɾ w 'i ɾ	 i n s t ɾ u 'i ɾ 
instrument	i n s t ɾ u m 'e n t	 'i n s t ɾ u m 'ɛ n t 
insuficient	i n s u f i s i 'e n t	 i n s u f i s i 'ɛ n t 
insultem	i n s u l t 'ɛ m	 i n s 'u l t 'ɛ m 
insultés	i n s u l t 'e s	 i n s 'u l t 'e s 
insurgents	i n s u ɾ d ʒ 'e n s	 i n s 'u ɾ d ʒ 'ɛ n t s 
insurrecte	i n s u r 'ɛ k t e	 i n s 'u r 'ɛ k t e 
intel·ligent	i n t e l i d ʒ 'e n t	 i n t e l i d ʒ 'ɛ n t 
intens	i n t 'e n s	 i n t 'ɛ n s 
intent	i n t 'e n t	 i n t 'ɛ n t 
interludi	i n t e ɾ l 'u ð i	 i n t 'e ɾ l 'u ð i 
intèrpret	i n t 'ɛ ɾ p ɾ e t	 i n t 'ɛ ɾ p ɾ 'e t 
interrompre	i n t e r 'o m p ɾ e	 i n t e r 'ɔ m p ɾ e 
interrompuda	i n t e r o m p 'u ð a	 i n t e r 'o m p 'u ð a 
interrompudes	i n t e r o m p 'u ð e s	 i n t e r 'o m p 'u ð e s 
interromput	i n t e r o m p 'u t	 i n t e r 'o m p 'u t 
interromputs	i n t e r o m p 'u t s	 i n t e r 'o m p 'u t s 
intersecció	i n t e ɾ s e k s i 'o	 i n t 'e ɾ s e k s i 'o 
intersectada	i n t e ɾ s e k t 'a ð a	 i n t 'e ɾ s e k t 'a ð a 
intersectades	i n t e ɾ s e k t 'a ð e s	 i n t 'e ɾ s e k t 'a ð e s 
intersectar	i n t e ɾ s e k t 'a ɾ	 i n t 'e ɾ s e k t 'a ɾ 
intersectat	i n t e ɾ s e k t 'a t	 i n t 'e ɾ s e k t 'a t 
intersectats	i n t e ɾ s e k t 'a t s	 i n t 'e ɾ s e k t 'a t s 
intersexual	i n t e ɾ s e k s u 'a l	 i n t 'e ɾ s e k s u 'a l 
intersexualitat	i n t e ɾ s e k s u a l i t 'a t	 i n t 'e ɾ s e k s u a l i t 'a t 
intervinguda	i n t e ɾ v i ŋ g 'u ð a	 i n t e ɾ v 'i ŋ g 'u ð a 
intervingudes	i n t e ɾ v i ŋ g 'u ð e s	 i n t e ɾ v 'i ŋ g 'u ð e s 
intervingut	i n t e ɾ v i ŋ g 'u t	 i n t e ɾ v 'i ŋ g 'u t 
intervinguts	i n t e ɾ v i ŋ g 'u t s	 i n t e ɾ v 'i ŋ g 'u t s 
introduir	i n t ɾ o ð w 'i ɾ	 i n t ɾ o ð u 'i ɾ 
iogui	j 'ɔ ɣ i	 i 'ɔ ɣ i 
iogurt	j o ɣ 'u ɾ t	 i o ɣ 'u ɾ t 
iònica	j 'ɔ n i k a	 i 'ɔ n i k a 
ípsilon	'i p s i l o n	 'i p s i l 'o n 
irlandesa	i ɾ l a n d 'e z a	 i ɾ l a n d 'ɛ z a 
irlandeses	i ɾ l a n d 'e z e s	 i ɾ l a n d 'ɛ z e s 
irlandesos	i ɾ l a n d 'e z o s	 i ɾ l a n d 'ɛ z o s 
irradiació	i r a ð i a s i 'o	 i r a ð 'i a s i 'o 
irremeiable	i r e m e j 'a β l e	 i r e m e i 'a β l e 
islandesos	i z l a n d 'e z o s	 i z l a n d 'ɛ z o s 
istme	'i s m e	 'i s t m e 
Ístria	'i s t ɾ i a	 'i s t ɾ 'i a 
iugoslau	j u ɣ o z l 'a w	 i w ɣ o z l 'a w 
Iugoslàvia	j u ɣ o z l 'a v i a	 i w ɣ o z l 'a v i a 
ix	'i ʃ	 'i k s 
ja	j 'a	 d ʒ 'a 
jaciment	d ʒ a s i m 'e n t	 d ʒ 'a s i m 'ɛ n t 
Jaén	d ʒ a 'e n	 d ʒ 'a 'e n 
japonesos	d ʒ a p o n 'e z o s	 d ʒ a p o n 'ɛ z o s 
jaqueta	d ʒ a k 'e t a	 d ʒ a k 'ɛ t a 
jardiner	d ʒ a ɾ ð i n 'e ɾ	 d ʒ a ɾ ð i n 'ɛ ɾ 
jazz	d ʒ 'a s	 d ʒ 'a z i 
jersei	d ʒ e ɾ s 'e j	 d ʒ e ɾ s 'ɛ i 
Jerusalem	d ʒ e ɾ u z a l 'e m	 d ʒ e ɾ u z a l 'ɛ m 
jeu	d ʒ 'e w	 d ʒ 'ɛ w 
jeure	d ʒ 'e w ɾ e	 d ʒ 'ɛ w ɾ e 
joc	d ʒ 'ɔ k	 d ʒ 'o k 
jocs	d ʒ 'ɔ k s	 d ʒ 'o k s 
joier	d ʒ o j 'e ɾ	 d ʒ o j 'ɛ ɾ 
jove	d ʒ 'o v e	 d ʒ 'ɔ v e 
jóvens	d ʒ 'o v e n s	 d ʒ 'o v 'e n s 
joventut	d ʒ o v e n t 'u t	 d ʒ o v 'e n t 'u t 
joventuts	d ʒ o v e n t 'u t s	 d ʒ o v 'e n t 'u t s 
joves	d ʒ 'o v e s	 d ʒ 'ɔ v e s 
judaïtzada	d ʒ u ð a i d z 'a ð a	 d ʒ 'u ð a i d z 'a ð a 
judaïtzades	d ʒ u ð a i d z 'a ð e s	 d ʒ 'u ð a i d z 'a ð e s 
judaïtzar	d ʒ u ð a i d z 'a ɾ	 d ʒ 'u ð a i d z 'a ɾ 
judaïtzat	d ʒ u ð a i d z 'a t	 d ʒ 'u ð a i d z 'a t 
judaïtzats	d ʒ u ð a i d z 'a t s	 d ʒ 'u ð a i d z 'a t s 
jueu	d ʒ u 'e w	 d ʒ 'u 'ɛ w 
juganer	d ʒ u ɣ a n 'e ɾ	 d ʒ u ɣ a n 'ɛ ɾ 
junts	d ʒ 'u n s	 d ʒ 'u n t s 
juntura	d ʒ u n t 'u ɾ a	 d ʒ 'u n t 'u ɾ a 
jurament	d ʒ u ɾ a m 'e n t	 d ʒ 'u ɾ a m 'ɛ n t 
justesa	d ʒ u s t 'e z a	 d ʒ 'u s t 'ɛ z a 
kafkià	k a f k i 'a	 k a f i i 'a 
Kenya	k 'e ɲ a	 k 'ɛ ɲ a 
kenyà	k e ɲ 'a	 d ʒ e ɲ 'a 
kenyana	k e ɲ 'a n a	 d ʒ e ɲ 'a n a 
khmer	k m 'e ɾ	 k m 'ɛ ɾ 
kilocaloria	k i l o k a l o ɾ 'i a	 s i l o k a l o ɾ 'i a 
kilòmetre	k i l 'ɔ m e t ɾ e	 i i l 'ɔ m e t ɾ e 
Kirguizistan	k i ɾ ɣ i z i s t 'a n	 s i ɾ ɣ i z i s t 'a n 
la	l 'a	 l a 
laberints	l a β e ɾ 'i n s	 l a β e ɾ 'i n t s 
lacrosse	l a k ɾ 'o s e	 l a k ɾ 'ɔ s e 
lamenta	l a m 'e n t a	 l a m 'ɛ n t a 
lamentem	l a m e n t 'e m	 l a m e n t 'ɛ m 
lectora	l e k t 'o ɾ a	 l e k t 'ɔ ɾ a 
lectores	l e k t 'o ɾ e s	 l e k t 'ɔ ɾ e s 
lectura	l e k t 'u ɾ a	 l 'e k t 'u ɾ a 
lectures	l e k t 'u ɾ e s	 l 'e k t 'u ɾ e s 
legislador	l e d ʒ i z l a ð 'o ɾ	 l e d ʒ 'i z l a ð 'o ɾ 
legislatiu	l e d ʒ i z l a t 'i w	 l e d ʒ 'i z l a t 'i w 
legislatura	l e d ʒ i z l a t 'u ɾ a	 l e d ʒ 'i z l a t 'u ɾ a 
legislatures	l e d ʒ i z l a t 'u ɾ e s	 l e d ʒ 'i z l a t 'u ɾ e s 
lema	l 'e m a	 l 'ɛ m a 
lemes	l 'e m e s	 l 'ɛ m e s 
lent	l 'e n t	 l 'ɛ n t 
lenta	l 'e n t a	 l 'ɛ n t a 
lentes	l 'e n t e s	 l 'ɛ n t e s 
lepra	l 'e p ɾ a	 l 'ɛ p ɾ a 
les	l 'e s	 l e s 
lesa	l 'e z a	 l 'ɛ z a 
leu	l 'e w	 l 'ɛ w 
li	l 'i	 l i 
Líban	l 'i β a n	 l 'i β 'a n 
liceu	l i s 'e w	 l i s 'ɛ w 
Liceu	l i s 'e w	 l i s 'ɛ w 
lígur	l 'i ɣ u ɾ	 l 'i ɣ 'u ɾ 
linier	l i n i 'e ɾ	 l i n i 'ɛ ɾ 
liqüeféu	l i k w e f 'e w	 l i k e f 'e w 
lisosoma	l i z o z 'ɔ m a	 l 'i z o z 'ɔ m a 
lisosòmic	l i z o z 'ɔ m i k	 l 'i z o z 'ɔ m i k 
lisosòmica	l i z o z 'ɔ m i k a	 l 'i z o z 'ɔ m i k a 
lisosòmics	l i z o z 'ɔ m i k s	 l 'i z o z 'ɔ m i k s 
lisosòmiques	l i z o z 'ɔ m i k e s	 l 'i z o z 'ɔ m i k e s 
lladruc	ʎ a ð ɾ 'u k	 ʎ 'a ð ɾ 'u k 
llaminer	ʎ a m i n 'e ɾ	 ʎ a m i n 'ɛ ɾ 
llampec	ʎ a m p 'e k	 ʎ a m p 'ɛ k 
llançadora	ʎ a n s a ð 'o ɾ a	 ʎ a n s a ð 'ɔ ɾ a 
llançadores	ʎ a n s a ð 'o ɾ e s	 ʎ a n s a ð 'ɔ ɾ e s 
llançament	ʎ a n s a m 'e n t	 ʎ 'a n s a m 'ɛ n t 
llargs	ʎ 'a ɾ k s	 ʎ 'a ɾ i s 
llauna	ʎ 'a w n a	 ʎ 'a 'u n a 
llaüt	ʎ a 'u t	 ʎ 'a 'u t 
llebeig	ʎ e β 'e t ʃ	 ʎ e β 'ɛ t ʃ 
llebre	ʎ 'e β ɾ e	 ʎ 'ɛ β ɾ e 
lledoner	ʎ e ð o n 'e ɾ	 ʎ e ð o n 'ɛ ɾ 
llega	ʎ 'e ɣ a	 ʎ 'ɛ ɣ a 
llegenda	ʎ e d ʒ 'e n d a	 ʎ e d ʒ 'ɛ n d a 
llegendes	ʎ e d ʒ 'e n d e s	 ʎ e d ʒ 'ɛ n d e s 
llei	ʎ 'e j	 ʎ 'ɛ i 
Lleida	ʎ 'e j ð a	 ʎ 'ɛ 'i ð a 
lleig	ʎ 'e t ʃ	 ʎ 'ɛ t ʃ 
lleis	ʎ 'e j s	 ʎ 'ɛ i s 
lleixa	ʎ 'e j ʃ a	 ʎ 'ɛ j ʃ a 
Llemosí	ʎ e m o z 'i	 ʎ 'e m o z 'i 
llenca	ʎ 'e ŋ k a	 ʎ 'ɛ ŋ k a 
llença	ʎ 'e n s a	 ʎ 'ɛ n s a 
llencen	ʎ 'e n s e n	 ʎ 'ɛ n s e n 
llenço	ʎ 'e n s o	 ʎ 'ɛ n s o 
llenços	ʎ 'e n s o s	 ʎ 'ɛ n s o s 
llengüeta	ʎ e ŋ g w 'e t a	 ʎ 'e ŋ g w 'ɛ t a 
llengut	ʎ e ŋ g 'u t	 ʎ 'e ŋ g 'u t 
llenya	ʎ 'e ɲ a	 ʎ 'ɛ ɲ a 
lleona	ʎ e 'o n a	 ʎ e 'ɔ n a 
llepa	ʎ 'e p a	 ʎ 'ɛ p a 
llepen	ʎ 'e p e n	 ʎ 'ɛ p e n 
llépol	ʎ 'e p o l	 ʎ 'e p 'ɔ l 
llera	ʎ 'e ɾ a	 ʎ 'ɛ ɾ a 
llesques	ʎ 'e s k e s	 ʎ 'ɛ s k e s 
llest	ʎ 'e s t	 ʎ 'ɛ s t 
llesta	ʎ 'e s t a	 ʎ 'ɛ s t a 
llestes	ʎ 'e s t e s	 ʎ 'ɛ s t e s 
