A	'ə	ə
caler	k ə l 'ə	k ə l 'e
calitja	k ə l 'i d ʒ ə	k ə l 'i dʒ ə
calorimètric	k ə l o ɾ i m 'ɛ t ɾ i k	k ə l o ɾ i m 'ə t ɾ i k
calorimètrica	k ə l o ɾ i m 'ɛ t ɾ i k ə	k ə l o ɾ i m 'ə t ɾ i k ə
calorimètrics	k ə l o ɾ i m 'ɛ t ɾ i t s	k ə l o ɾ i m 'ə t ɾ i t s
calorimètriques	k ə l o ɾ i m 'ɛ t ɾ i k ə s	k ə l o ɾ i m 'ə t ɾ i k ə s
camuflatge	k ə m u f l 'a d ʒ ə	k ə m u f l 'a dʒ ə
camuflatges	k ə m u f l 'a d ʒ ə s	k ə m u f l 'a dʒ ə s
capritx	k ə p ɾ 'i t ʃ	k ə p ɾ 'i tʃ
capritxos	k ə p ɾ 'i t ʃ o s	k ə p ɾ 'i tʃ o s
capsa	k 'a t s ə	k 'a s ə
capseta	k ə t s 'ə t ə	k ə p s 'ə t ə
captarem	k ə t t ə ɾ 'ə m	k ə t t ə ɾ 'ɛ m
captem	k ə t t 'ə m	k ə t t 'ɛ m
caputxa	k ə p 'u t ʃ ə	k ə p 'u tʃ ə
caputxeta	k ə p u t ʃ 'ə t ə	k ə p u tʃ 'ə t ə
caputxí	k ə p u t ʃ 'i	k ə p u tʃ 'i
caputxina	k ə p u t ʃ 'i n ə	k ə p u tʃ 'i n ə
caputxino	k ə p u t ʃ 'i n o	k ə p u tʃ 'i n o
caputxins	k ə p u t ʃ 'i n s	k ə p u tʃ 'i n s
caputxó	k ə p u t ʃ 'o	k ə p u tʃ 'o
carboni	k ə ɾ β 'ɔ n i	k ə ɾ β 'o n i
carbonis	k ə ɾ β 'ɔ n i s	k ə ɾ β 'o n i s
carència	k ə ɾ 'ɛ n s i ə	k ə ɾ 'ə n s i ə
carruatge	k ə r u 'a d ʒ ə	k ə r u 'a dʒ ə
carruatges	k ə r u 'a d ʒ ə s	k ə r u 'a dʒ ə s
carrutxa	k ə r 'u t ʃ ə	k ə r 'u tʃ ə
carrutxes	k ə r 'u t ʃ ə s	k ə r 'u tʃ ə s
cars	k 'a s	k 'a ɾ s
cartutx	k ə ɾ t 'u t ʃ	k ə ɾ t 'u tʃ
cartutxos	k ə ɾ t 'u t ʃ o s	k ə ɾ t 'u tʃ o s
casarem	k ə z ə ɾ 'ə m	k ə z ə ɾ 'ɛ m
casem	k ə z 'ə m	k ə z 'ɛ m
catorze	k ə t 'o ɾ z ə	k ə t 'ɔ ɾ z ə
catxap	k ə t ʃ 'a p	k ə tʃ 'a p
catxel	k ə t ʃ 'ɛ l	k ə tʃ 'ɛ l
causarem	k ə w z ə ɾ 'ə m	k ə w z ə ɾ 'ɛ m
causem	k ə w z 'ə m	k ə w z 'ɛ m
cautxú	k ə w t ʃ 'u	k ə w tʃ 'u
cèdula	s 'ɛ ð u l ə	s 'ə ð u l ə
cèdules	s 'ɛ ð u l ə s	s 'ə ð u l ə s
cèlebre	s 'ɛ l ə β ɾ ə	s 'ə l ə β ɾ ə
cella	s 'ə ʎ ə	s 'e ʎ ə
celles	s 'ə ʎ ə s	s 'e ʎ ə s
celtibèric	s ə l t i β 'ɛ ɾ i k	s ə l t i β 'ə ɾ i k
cens	s 'ə n s	s 'e n s
censurarem	s ə n s u ɾ ə ɾ 'ə m	s ə n s u ɾ ə ɾ 'ɛ m
censurem	s ə n s u ɾ 'ə m	s ə n s u ɾ 'ɛ m
centèsim	s ə n t 'ɛ z i m	s ə n t 'ə z i m
centre	s 'e n t ɾ ə	s 'ə n t ɾ ə
centren	s 'e n t ɾ ə n	s 'ə n t ɾ ə n
centres	s 'e n t ɾ ə s	s 'ə n t ɾ ə s
cèntrica	s 'è n t ɾ i k ə	s 'ə n t ɾ i k ə
cèntriques	s 'è n t ɾ i k ə s	s 'ə n t ɾ i k ə s
centro	s 'e n t ɾ o	s 'ə n t ɾ o
ceptre	s 'e t t ɾ ə	s 'ə t t ɾ ə
cerca	s 'ɛ ɾ k ə	s 'ə ɾ k ə
cercarem	s ə ɾ k ə ɾ 'ə m	s ə ɾ k ə ɾ 'ɛ m
cerco	s 'ɛ ɾ k o	s 'ə ɾ k o
cèrcol	s 'ɛ ɾ k o l	s 'ə ɾ k o l
cèrcols	s 'ɛ ɾ k o l s	s 'ə ɾ k o l s
cerquem	s ə ɾ k 'ə m	s ə ɾ k 'ɛ m
cessen	s 'e s ə n	s 'ə s ə n
ciència	s i 'ɛ n s i ə	s i 'ə n s i ə
ciències	s i 'ɛ n s i ə s	s i 'ə n s i ə s
cinegètic	s i n ə ʒ 'ɛ t i k	s i n ə ʒ 'ə t i k
cinegètica	s i n ə ʒ 'ɛ t i k ə	s i n ə ʒ 'ə t i k ə
circularem	s i ɾ k u l ə ɾ 'ə m	s i ɾ k u l ə ɾ 'ɛ m
circumcisió	s i ɾ k u n s i z i 'o	s i ɾ k u t s i z i 'o
citarem	s i t ə ɾ 'ə m	s i t ə ɾ 'ɛ m
citem	s i t 'ə m	s i t 'ɛ m
classificarem	k l ə s i f i k ə ɾ 'ə m	k l ə s i f i k ə ɾ 'ɛ m
classifiquem	k l ə s i f i k 'ə m	k l ə s i f i k 'ɛ m
clona	k l 'ɔ n ə	k l 'o n ə
clones	k l 'ɔ n ə s	k l 'o n ə s
cloni	k l 'ɔ n i	k l 'o n i
clonin	k l 'ɔ n i n	k l 'o n i n
clonis	k l 'ɔ n i s	k l 'o n i s
clono	k l 'ɔ n o	k l 'o n o
clora	k l 'ɔ ɾ ə	k l 'o ɾ ə
clores	k l 'ɔ ɾ ə s	k l 'o ɾ ə s
closes	k l 'ɔ z ə s	k l 'o z ə s
clotxa	k l 'ɔ t ʃ ə	k l 'ɔ tʃ ə
coa	k 'ɔ ə	k 'o ə
cobles	k 'o b b l ə s	k 'ɔ b b l ə s
cobrarem	k o β ɾ ə ɾ 'ə m	k o β ɾ ə ɾ 'ɛ m
coco	k 'o k o	k 'ɔ k o
codificarem	k o ð i f i k ə ɾ 'ə m	k o ð i f i k ə ɾ 'ɛ m
codifiquem	k o ð i f i k 'ə m	k o ð i f i k 'ɛ m
coem	k o 'ə m	k o 'ɛ m
cofoi	k o f 'ɔ j	k o f 'o i
cogoma	k o ɣ 'ɔ m ə	k o ɣ 'o m ə
cogombre	k o ɣ 'o m b ɾ ə	k o ɣ 'ɔ m b ɾ ə
coherències	k o ə ɾ 'ɛ n s i ə s	k o ə ɾ 'ə n s i ə s
coincidència	k o i n s i ð 'ɛ n s i ə	k o i n s i ð 'ə n s i ə
coincidirem	k o i n s i ð i ɾ 'ə m	k o i n s i ð i ɾ 'ɛ m
colèric	k o l 'ɛ ɾ i k	k o l 'ə ɾ i k
colèrica	k o l 'ɛ ɾ i k ə	k o l 'ə ɾ i k ə
colèrics	k o l 'ɛ ɾ i t s	k o l 'ə ɾ i t s
colèriques	k o l 'ɛ ɾ i k ə s	k o l 'ə ɾ i k ə s
colesteatoma	k o l ə s t e ə t 'ɔ m ə	k o l ə s t e ə t 'o m ə
colesteatomes	k o l ə s t e ə t 'ɔ m ə s	k o l ə s t e ə t 'o m ə s
colitx	k o l 'i t ʃ	k o l 'i tʃ
colossos	k o l 'o s o s	k o l 'ɔ s o s
colze	k 'o l z ə	k 'ɔ l z ə
com	k 'ɔ m	k 'o m
comandarem	k o m ə n d ə ɾ 'ə m	k o m ə n d ə ɾ 'ɛ m
comandem	k o m ə n d 'ə m	k o m ə n d 'ɛ m
combinarem	k o m b i n ə ɾ 'ə m	k o m b i n ə ɾ 'ɛ m
combinem	k o m b i n 'ə m	k o m b i n 'ɛ m
comboi	k o m b 'ɔ j	k o m b 'o i
comèdies	k o m 'ɛ ð i ə s	k o m 'ə ð i ə s
cometi	k o m 'ɛ t i	k o m 'ə t i
comparèixer	k o m p ə ɾ 'ə ʃ ə	k o m p ə ɾ 'ɛ ʃ ə
compensem	k o m p ə n s 'ə m	k o m p ə n s 'ɛ m
competència	k o m p ə t 'ɛ n s i ə	k o m p ə t 'ə n s i ə
competències	k o m p ə t 'ɛ n s i ə s	k o m p ə t 'ə n s i ə s
complerts	k o m p l 'ɛ ɾ s	k o m p l 'ɛ ɾ t s
complicarem	k o m p l i k ə ɾ 'ə m	k o m p l i k ə ɾ 'ɛ m
compliquem	k o m p l i k 'ə m	k o m p l i k 'ɛ m
compra	k 'o m p ɾ ə	k 'ɔ m p ɾ ə
comprarem	k o m p ɾ ə ɾ 'ə m	k o m p ɾ ə ɾ 'ɛ m
comprem	k o m p ɾ 'ə m	k o m p ɾ 'ɛ m
compren	k 'o m p ɾ ə n	k 'ɔ m p ɾ ə n
compres	k 'o m p ɾ ə s	k 'ɔ m p ɾ ə s
compro	k 'o m p ɾ o	k 'ɔ m p ɾ o
comprometem	k o m p ɾ o m ə t 'ə m	k o m p ɾ o m ə t 'ɛ m
comprometi	k o m p ɾ o m 'ɛ t i	k o m p ɾ o m 'ə t i
compta	k 'o m t ə	k 'ɔ m t ə
compte	k 'o m t ə	k 'ɔ m t ə
compten	k 'o m t ə n	k 'ɔ m t ə n
comptes	k 'o m t ə s	k 'ɔ m t ə s
computarem	k o m p u t ə ɾ 'ə m	k o m p u t ə ɾ 'ɛ m
computem	k o m p u t 'ə m	k o m p u t 'ɛ m
comtat	k o n t 'a t	k o m 'a t
comtats	k o n t 'a t s	k o m 'a t s
comte	k 'o n t ə	k 'ɔ m ə
comtes	k 'o n t ə s	k 'ɔ m ə s
conca	k 'o ŋ k ə	k 'ɔ ŋ k ə
concepte	k o n s 'ɛ t t ə	k o n s 'ə t t ə
concloses	k o ŋ k l 'ɔ z ə s	k o ŋ k l 'o z ə s
concurrència	k o ŋ k u r 'ɛ n s i ə	k o ŋ k u r 'ə n s i ə
conèixer	k o n 'ə ʃ ə	k o n 'ɛ ʃ ə
congènit	k o n ʒ 'ɛ n i t	k o n ʒ 'ə n i t
congènita	k o n ʒ 'ɛ n i t ə	k o n ʒ 'ə n i t ə
congènites	k o n ʒ 'ɛ n i t ə s	k o n ʒ 'ə n i t ə s
congènits	k o n ʒ 'ɛ n i t s	k o n ʒ 'ə n i t s
conques	k 'o ŋ k ə s	k 'ɔ ŋ k ə s
conquesta	k o ŋ k 'e s t ə	k o ŋ k 'ə s t ə
consciència	k o n t s i 'ɛ n s i ə	k o n t s i 'ə n s i ə
consell	k o n s 'ə ʎ	k o n s 'e ʎ
consens	k o n s 'ə n s	k o n s 'e n s
conseqüència	k o n s ə k w 'ɛ n s i ə	k o n s ə k w 'ə n s i ə
conseqüències	k o n s ə k w 'ɛ n s i ə s	k o n s ə k w 'ə n s i ə s
consistència	k o n s i s t 'ɛ n s i ə	k o n s i s t 'ə n s i ə
consistències	k o n s i s t 'ɛ n s i ə s	k o n s i s t 'ə n s i ə s
consta	k 'o n s t ə	k 'ɔ n s t ə
constatarem	k o n s t ə t ə ɾ 'ə m	k o n s t ə t ə ɾ 'ɛ m
constatem	k o n s t ə t 'ə m	k o n s t ə t 'ɛ m
conte	k 'o n t ə	k 'ɔ n t ə
contem	k o n t 'ə m	k o n t 'ɛ m
conten	k 'o n t ə n	k 'ɔ n t ə n
contes	k 'o n t ə s	k 'ɔ n t ə s
contigu	k o n t 'i ɣ u	k o n t 'i ɣ
contra	k 'o n t ɾ ə	k 'ɔ n t ɾ ə
copa	k 'o p ə	k 'ɔ p ə
copes	k 'o p ə s	k 'ɔ p ə s
copiarem	k o p i ə ɾ 'ə m	k o p i ə ɾ 'ɛ m
copiem	k o p i 'ə m	k o p i 'ɛ m
copsa	k 'o t s ə	k 'ɔ t s ə
copsar	k o t s 'a	k o p s 'a
copsat	k o t s 'a t	k o s 'a t
coquessa	k o k 'ə s ə	k o k 'e s ə
cora	k 'ɔ ɾ ə	k 'o ɾ ə
coratge	k o ɾ 'a d ʒ ə	k o ɾ 'a dʒ ə
coratges	k o ɾ 'a d ʒ ə s	k o ɾ 'a dʒ ə s
coratjós	k o ɾ ə d ʒ 'o s	k o ɾ ə dʒ 'o s
coratjosa	k o ɾ ə d ʒ 'o z ə	k o ɾ ə dʒ 'o z ə
corre	k 'o r ə	k 'ɔ r ə
corren	k 'o r ə n	k 'ɔ r ə n
correspondències	k o r ə s p o n d 'ɛ n s i ə s	k o r ə s p o n d 'ə n s i ə s
corretgeta	k o r ə d ʒ 'ə t ə	k o r ə dʒ 'ə t ə
corretjola	k o r ə d ʒ 'ɔ l ə	k o r ə dʒ 'ɔ l ə
corretjós	k o r ə d ʒ 'o s	k o r ə dʒ 'o s
corretjut	k o r ə d ʒ 'u t	k o r ə dʒ 'u t
corro	k 'o r o	k 'ɔ r o
corrompre	k o r 'o m p ɾ ə	k o r 'ɔ m p ɾ ə
corsa	k 'o ɾ s ə	k 'ɔ ɾ s ə
corses	k 'o ɾ s ə s	k 'ɔ ɾ s ə s
cosa	k 'ɔ z ə	k 'o z ə
coses	k 'ɔ z ə s	k 'o z ə s
cosmètic	k o z m 'ɛ t i k	k o z m 'ə t i k
cosmètics	k o z m 'ɛ t i t s	k o z m 'ə t i t s
cosmos	k 'o z m o s	k 'ɔ z m o s
cotxe	k 'o t ʃ o	k 'ɔ tʃ ə
cotxes	k 'o t ʃ ə s	k 'ɔ tʃ ə s
cotxet	k o t ʃ 'ə t	k o tʃ 'ə t
creen	k ɾ 'e ə n	k ɾ 'ɛ ə n
creixen	k ɾ 'e ʃ ə n	k ɾ 'ɛ ʃ ə n
crema	k ɾ 'e m ə	k ɾ 'ɛ m ə
cremen	k ɾ 'e m ə n	k ɾ 'ɛ m ə n
cremes	k ɾ 'e m ə s	k ɾ 'ɛ m ə s
cribratge	k ɾ i β ɾ 'a d ʒ ə	k ɾ i β ɾ 'a dʒ ə
cribratges	k ɾ i β ɾ 'a d ʒ ə s	k ɾ i β ɾ 'a dʒ ə s
crisantem	k ɾ i z ə n t 'ə m	k ɾ i z ə n t 'ɛ m
cuidarem	k u j ð ə ɾ 'ə m	k u j ð ə ɾ 'ɛ m
curts	k 'u ɾ s	k 'u ɾ t s
cutxo	k 'u t ʃ o	k 'u tʃ o
darrere	d ə r 'e ɾ ə	d ə r 'ə ɾ ə
datarem	d ə t ə ɾ 'ə m	d ə t ə ɾ 'ɛ m
datem	d ə t 'ə m	d ə t 'ɛ m
datxa	d 'a t ʃ ə	d 'a tʃ ə
de	d 'ə	d ə
decadència	d ə k ə ð 'ɛ n s i ə	d ə k ə ð 'ə n s i ə
decència	d ə s 'ɛ n s i ə	d ə s 'ə n s i ə
decències	d ə s 'ɛ n s i ə s	d ə s 'ə n s i ə s
decenni	d ə s 'ɛ n n i	d ə s 'ə n n i
declararem	d ə k l ə ɾ ə ɾ 'ə m	d ə k l ə ɾ ə ɾ 'ɛ m
declarem	d ə k l ə ɾ 'ə m	d ə k l ə ɾ 'ɛ m
dedicarem	d ə ð i k ə ɾ 'ə m	d ə ð i k ə ɾ 'ɛ m
dediquem	d ə ð i k 'ə m	d ə ð i k 'ɛ m
deficiència	d ə f i s i 'ɛ n s i ə	d ə f i s i 'ə n s i ə
definirem	d ə f i n i ɾ 'ə m	d ə f i n i ɾ 'ɛ m
defora	d ə f 'ɔ ɾ ə	d ə f 'o ɾ ə
degui	d 'ɛ ɣ i	d 'ə ɣ i
deix	d 'e ʃ	d 'ɛ ʃ
deixeble	d ə ʃ 'e b b l ə	d ə ʃ 'ə b b l ə
delinqüència	d ə l i ŋ k w 'ɛ n s i ə	d ə l i ŋ k w 'ə n s i ə
demència	d ə m 'ɛ n s i ə	d ə m 'ə n s i ə
demències	d ə m 'ɛ n s i ə s	d ə m 'ə n s i ə s
denotarem	d ə n o t ə ɾ 'ə m	d ə n o t ə ɾ 'ɛ m
denotem	d ə n o t 'ə m	d ə n o t 'ɛ m
dens	d 'ə n s	d 'e n s
dependència	d ə p ə n d 'ɛ n s i ə	d ə p ə n d 'ə n s i ə
derbi	d 'ɛ ɾ β i	d 'ə ɾ β i
dèria	d 'ɛ ɾ i ə	d 'ə ɾ i ə
desaparèixer	d ə z ə p ə ɾ 'ə ʃ ə	d ə z ə p ə ɾ 'ɛ ʃ ə
desatendre	d ə z ə t 'e n d ɾ ə	d ə z ə t 'ə n d ɾ ə
desavantatge	d ə z ə v ə n t 'a d ʒ ə	d ə z ə v ə n t 'a dʒ ə
descartarem	d ə s k ə ɾ t ə ɾ 'ə m	d ə s k ə ɾ t ə ɾ 'ɛ m
descartem	d ə s k ə ɾ t 'ə m	d ə s k ə ɾ t 'ɛ m
descompte	d ə s k 'o m t ə	d ə s k 'ɔ m t ə
desconèixer	d ə s k o n 'ə ʃ ə	d ə s k o n 'ɛ ʃ ə
descontentarem	d ə s k o n t ə n t ə ɾ 'ə m	d ə s k o n t ə n t ə ɾ 'ɛ m
descontentem	d ə s k o n t ə n t 'ə m	d ə s k o n t ə n t 'ɛ m
descoratge	d ə s k o ɾ 'a d ʒ ə	d ə s k o ɾ 'a dʒ ə
descoratjada	d ə s k o ɾ ə d ʒ 'a ð ə	d ə s k o ɾ ə dʒ 'a ð ə
descoratjades	d ə s k o ɾ ə d ʒ 'a ð ə s	d ə s k o ɾ ə dʒ 'a ð ə s
descoratjar	d ə s k o ɾ ə d ʒ 'a	d ə s k o ɾ ə dʒ 'a
descoratjat	d ə s k o ɾ ə d ʒ 'a t	d ə s k o ɾ ə dʒ 'a t
descoratjats	d ə s k o ɾ ə d ʒ 'a t s	d ə s k o ɾ ə dʒ 'a t s
desembre	d ə z 'e m b ɾ ə	d ə z 'ɛ m b ɾ ə
desencoratjar	d ə z ə ŋ k o ɾ ə d ʒ 'a	d ə z ə ŋ k o ɾ ə dʒ 'a
desfet	d ə s f 'e t	d ə s f 'ə t
desfeta	d ə s f 'e t ə	d ə s f 'ə t ə
desguàs	d ə z ɣ w 'a s	d ə z ɣ 'a s
desig	d ə z 'i t ʃ	d ə z 'i k
desigs	d ə z 'i t ʃ s	d ə z 'i s
desin	d 'ɛ z i n	d 'ə z i n
desinència	d ə z i n 'ɛ n s i ə	d ə z i n 'ə n s i ə
desintegrarem	d ə z i n t ə ɣ ɾ ə ɾ 'ə m	d ə z i n t ə ɣ ɾ ə ɾ 'ɛ m
desintegrem	d ə z i n t ə ɣ ɾ 'ə m	d ə z i n t ə ɣ ɾ 'ɛ m
desis	d 'ɛ z i s	d 'ə z i s
desitjable	d ə z i d ʒ 'a b b l ə	d ə z i dʒ 'a b b l ə
desitjada	d ə z i d ʒ 'a ð ə	d ə z i dʒ 'a ð ə
desitjades	d ə z i d ʒ 'a ð ə s	d ə z i dʒ 'a ð ə s
desitjar	d ə z i d ʒ 'a	d ə z i dʒ 'a
desitjat	d ə z i d ʒ 'a t	d ə z i dʒ 'a t
desitjats	d ə z i d ʒ 'a t s	d ə z i dʒ 'a t s
desitjos	d ə z 'i d ʒ o s	d ə z 'i dʒ o s
desmuntatge	d ə z m u n t 'a d ʒ ə	d ə z m u n t 'a dʒ ə
deso	d 'e z o	d 'ə z o
desordre	d ə z 'o ɾ ð ɾ ə	d ə z 'ɔ ɾ ð ɾ ə
despatx	d ə s p 'a t ʃ	d ə s p 'a tʃ
despatxada	d ə s p ə t ʃ 'a ð ə	d ə s p ə tʃ 'a ð ə
despatxades	d ə s p ə t ʃ 'a ð ə s	d ə s p ə tʃ 'a ð ə s
despatxar	d ə s p ə t ʃ 'a	d ə s p ə tʃ 'a
despatxat	d ə s p ə t ʃ 'a t	d ə s p ə tʃ 'a t
despatxats	d ə s p ə t ʃ 'a t s	d ə s p ə tʃ 'a t s
despatxos	d ə s p 'a t ʃ o s	d ə s p 'a tʃ o s
Despuig	d ə s p 'u t ʃ	d ə s p 'u tʃ
destra	d 'e s t ɾ ə	d 'ə s t ɾ ə
destres	d 'e s t ɾ ə s	d 'ə s t ɾ ə s
desvetlada	d ə z v ə l l 'a ð ə	d ə z v ə ʎ 'a ð ə
desvetlades	d ə z v ə l l 'a ð ə s	d ə z v ə ʎ 'a ð ə s
desvetlament	d ə z v ə l l ə m 'e n t	d ə z v ə ʎ ə m 'e n t
desvetlar	d ə z v ə l l 'a	d ə z v ə ʎ 'a
desvetlat	d ə z v ə l l 'a t	d ə z v ə ʎ 'a t
desvetlats	d ə z v ə l l 'a t s	d ə z v ə ʎ 'a t s
desvetllada	d ə z v ə ʎ ʎ 'a ð ə	d ə z v ə l l 'a ð ə
desvetllades	d ə z v ə ʎ ʎ 'a ð ə s	d ə z v ə l l 'a ð ə s
desvetllament	d ə z v ə ʎ ʎ ə m 'e n t	d ə z v ə l l ə m 'e n t
desvetllar	d ə z v ə ʎ ʎ 'a	d ə z v ə l l 'a
desvetllat	d ə z v ə ʎ ʎ 'a t	d ə z v ə l l 'a t
desvetllats	d ə z v ə ʎ ʎ 'a t s	d ə z v ə l l 'a t s
determinarem	d ə t ə ɾ m i n ə ɾ 'ə m	d ə t ə ɾ m i n ə ɾ 'ɛ m
determinem	d ə t ə ɾ m i n 'ə m	d ə t ə ɾ m i n 'ɛ m
detona	d ə t 'ɔ n ə	d ə t 'o n ə
detonarem	d ə t o n ə ɾ 'ə m	d ə t o n ə ɾ 'ɛ m
detonem	d ə t o n 'ə m	d ə t o n 'ɛ m
detones	d ə t 'ɔ n ə s	d ə t 'o n ə s
detono	d ə t 'ɔ n o	d ə t 'o n o
diabetis	d i ə β 'ɛ t i s	d i ə β 'ə t i s
diarrea	d i ə r 'ɛ ə	d i ə r 'e ə
diatomea	d i ə t o m 'ɛ ə	d i ə t o m 'e ə
dietètic	d i ə t 'ɛ t i k	d i ə t 'ə t i k
dietètica	d i ə t 'ɛ t i k ə	d i ə t 'ə t i k ə
dietètics	d i ə t 'ɛ t i t s	d i ə t 'ə t i t s
dietètiques	d i ə t 'ɛ t i k ə s	d i ə t 'ə t i k ə s
diferència	d i f ə ɾ 'ɛ n s i ə	d i f ə ɾ 'ə n s i ə
difondre	d i f 'o n d ɾ ə	d i f 'ɔ n d ɾ ə
dijous	d i ʒ 'ɔ w s	d i ʒ 'o w s
diligència	d i l i ʒ 'ɛ n s i ə	d i l i ʒ 'ə n s i ə
dimecres	d i m 'e k ɾ ə s	d i m 'ə k ɾ ə s
dirigirem	d i ɾ i ʒ i ɾ 'ə m	d i ɾ i ʒ i ɾ 'ɛ m
disentèric	d i z ə n t 'ɛ ɾ i k	d i z ə n t 'ə ɾ i k
disentèrica	d i z ə n t 'ɛ ɾ i k ə	d i z ə n t 'ə ɾ i k ə
dismenorrea	d i z m ə n o r 'ɛ ə	d i z m ə n o r 'e ə
disposes	d i s p 'ɔ z ə s	d i s p 'o z ə s
dissecarem	d i s ə k ə ɾ 'ə m	d i s ə k ə ɾ 'ɛ m
disseminarem	d i s ə m i n ə ɾ 'ə m	d i s ə m i n ə ɾ 'ɛ m
disseminem	d i s ə m i n 'ə m	d i s ə m i n 'ɛ m
dissequem	d i s ə k 'ə m	d i s ə k 'ɛ m
dissort	d i s 'ɔ ɾ t	d i s 'o ɾ t
distendre	d i s t 'e n d ɾ ə	d i s t 'ə n d ɾ ə
distreta	d i s t ɾ 'e t ə	d i s t ɾ 'ə t ə
diverses	d i v 'ɛ ɾ s ə s	d i v 'ə ɾ s ə s
dividend	d i v i ð 'e n t	d i v i ð 'ə n t
dividirem	d i v i ð i ɾ 'ə m	d i v i ð i ɾ 'ɛ m
doble	d 'o b b l ə	d 'ɔ b b l ə
dobles	d 'o b b l ə s	d 'ɔ b b l ə s
docència	d o s 'ɛ n s i ə	d o s 'ə n s i ə
dogma	d 'o m m ə	d 'ɔ m m ə
dogmes	d 'o m m ə s	d 'ɔ m m ə s
dolça	d 'o l s ə	d 'ɔ l s ə
dolces	d 'o l s ə s	d 'ɔ l s ə s
dolços	d 'o l s o s	d 'ɔ l s o s
doler	d o l 'ə	d o l 'e
domarem	d o m ə ɾ 'ə m	d o m ə ɾ 'ɛ m
domem	d o m 'ə m	d o m 'ɛ m
domèstic	d o m 'ɛ s t i k	d o m 'ə s t i k
domèstica	d o m 'ɛ s t i k ə	d o m 'ə s t i k ə
domèstics	d o m 'ɛ s t i t s	d o m 'ə s t i t s
domèstiques	d o m 'ɛ s t i k ə s	d o m 'ə s t i k ə s
donen	d 'o n ə n	d 'ɔ n ə n
dopa	d 'o p ə	d 'ɔ p ə
dopatge	d o p 'a d ʒ ə	d o p 'a dʒ ə
dotze	d 'o d z ə	d 'ɔ d z ə
dreces	d ɾ 'ə s ə s	d ɾ 'e s ə s
drenatge	d ɾ ə n 'a d ʒ ə	d ɾ ə n 'a dʒ ə
dutxa	d 'u t ʃ ə	d 'u tʃ ə
dutxada	d u t ʃ 'a ð ə	d u tʃ 'a ð ə
dutxades	d u t ʃ 'a ð ə s	d u tʃ 'a ð ə s
dutxar	d u t ʃ 'a	d u tʃ 'a
Ebre	'e β ɾ ə	'ə β ɾ ə
ebri	'ɛ β ɾ i	'ə β ɾ i
eclèctic	ə k l 'ə t t i k	ə k l 'ɛ t t i k
eclipsa	ə k l 'i t s ə	ə k l 'i s ə
eclipsarem	ə k l i t s ə ɾ 'ə m	ə k l i t s ə ɾ 'ɛ m
ecosistema	ə k o s i s t 'e m ə	ə k o z i s t 'ɛ m ə
efemèride	ə f ə m 'ɛ ɾ i ð ə	ə f ə m 'ə ɾ i ð ə
eficiència	ə f i s i 'ɛ n s i ə	ə f i s i 'ə n s i ə
ègida	'ə ʒ i ð ə	'ɛ ʒ i ð ə
ego	'e ɣ o	'ə ɣ o
egocèntric	ə ɣ o s 'ɛ n t ɾ i k	ə ɣ o s 'ə n t ɾ i k
Eivissa	ə j v 'i s ə	ə i v 'i s ə
eivissenc	ə j v i s 'ə ŋ k	ə i v i s 'ə ŋ k
eix	'e ʃ	'ɛ ʃ
eixe	'e ʃ ə	'ɛ ʃ ə
elaborarem	ə l ə β o ɾ ə ɾ 'ə m	ə l ə β o ɾ ə ɾ 'ɛ m
elaborem	ə l ə β o ɾ 'ə m	ə l ə β o ɾ 'ɛ m
Eloi	ə l 'ɔ j	ə l 'o i
elxans	ə l ʃ 'a n s	ə l s 'a n s
em	'ə m	ə m
embalatge	ə m b ə l 'a d ʒ ə	ə m b ə l 'a dʒ ə
emborratxar	ə m b o r ə t ʃ 'a	ə m b o r ə tʃ 'a
embragatge	ə m b ɾ ə ɣ 'a d ʒ ə	ə m b ɾ ə ɣ 'a dʒ ə
embutxacada	ə m b u t ʃ ə k 'a ð ə	ə m b u tʃ ə k 'a ð ə
embutxacades	ə m b u t ʃ ə k 'a ð ə s	ə m b u tʃ ə k 'a ð ə s
embutxacar	ə m b u t ʃ ə k 'a	ə m b u tʃ ə k 'a
embutxacat	ə m b u t ʃ ə k 'a t	ə m b u tʃ ə k 'a t
embutxacats	ə m b u t ʃ ə k 'a t s	ə m b u tʃ ə k 'a t s
emergència	ə m ə ɾ ʒ 'ɛ n s i ə	ə m ə ɾ ʒ 'ə n s i ə
emèrit	ə m 'ɛ ɾ i t	ə m 'ə ɾ i t
emèrita	ə m 'ɛ ɾ i t ə	ə m 'ə ɾ i t ə
emèrites	ə m 'ɛ ɾ i t ə s	ə m 'ə ɾ i t ə s
emèrits	ə m 'ɛ ɾ i t s	ə m 'ə ɾ i t s
emètic	ə m 'ɛ t i k	ə m 'ə t i k
emigrem	ə m i ɣ ɾ 'ə m	ə m i ɣ ɾ 'ɛ m
emmagatzematge	ə m m ə ɣ ə d z ə m 'a d ʒ ə	ə m m ə ɣ ə d z ə m 'a dʒ ə
empatx	ə m p 'a t ʃ	ə m p 'a tʃ
empatxar	ə m p ə t ʃ 'a	ə m p ə tʃ 'a
empitjorar	ə m p i d ʒ o ɾ 'a	ə m p i dʒ o ɾ 'a
empra	'e m p ɾ ə	'ɛ m p ɾ ə
empremta	ə m p ɾ 'e n t ə	ə m p ɾ 'ɛ m ə
