A	'ə	 ə 
contravinguts	k o n t ɾ ə v i ŋ g 'u t s	 k u n t ɾ ə v i ŋ g 'u t s 
contundent	k o n t u n d 'e n t	 k u n t u n d 'e n t 
copa	k 'o p ə	 k 'ɔ p ə 
copes	k 'o p ə s	 k 'ɔ p ə s 
copiarà	k o p i ə ɾ 'a	 k u p i ə ɾ 'a 
copiaria	k o p i ə ɾ 'i ə	 k u p i ə ɾ 'i ə 
copisteria	k o p i s t ə ɾ 'i ə	 k u p i s t ə ɾ 'i ə 
copsa	k 'o t s ə	 k 'ɔ t s ə 
copsada	k o p s 'a ð ə	 k o t s 'a ð ə 
copsades	k o p s 'a ð ə s	 k o t s 'a ð ə s 
coquessa	k o k 'ə s ə	 k o k 'e s ə 
cora	k 'ɔ ɾ ə	 k 'o ɾ ə 
corbatí	k o ɾ β ə t 'i	 k u ɾ β ə t 'i 
coreans	k o ɾ e 'a n s	 k u ɾ ə 'a n s 
córner	k 'o ɾ n ə	 k u ɾ n 'e  
cornubianita	k o ɾ n u β i ə n 'i t ə	 k u ɾ n u β i ə n 'i t ə 
corre	k 'o r ə	 k 'ɔ r ə 
corren	k 'o r ə n	 k 'ɔ r ə n 
corrents	k o r 'e n s	 k o r 'e n t s 
corro	k 'o r o	 k 'ɔ r o 
corrompre	k o r 'o m p ɾ ə	 k o r 'ɔ m p ɾ ə 
corrompuda	k o r o m p 'u ð ə	 k u r u m p 'u ð ə 
corrompudes	k o r o m p 'u ð ə s	 k u r u m p 'u ð ə s 
corromput	k o r o m p 'u t	 k u r u m p 'u t 
corromputs	k o r o m p 'u t s	 k u r u m p 'u t s 
corroure	k o r 'ɔ w ɾ ə	 k u r u 'u ɾ ə 
corruptible	k o r u t t 'i b b l ə	 k u r u t t 'i b b l ə 
corruptibles	k o r u t t 'i b b l ə s	 k u r u t t 'i b b l ə s 
corsa	k 'o ɾ s ə	 k 'ɔ ɾ s ə 
corses	k 'o ɾ s ə s	 k 'ɔ ɾ s ə s 
cosa	k 'ɔ z ə	 k 'o z ə 
coses	k 'ɔ z ə s	 k 'o z ə s 
cosmos	k 'o z m o s	 k 'ɔ z m o s 
cotxe	k 'o t ʃ o	 k 'ɔ t ʃ ə 
cotxes	k 'o t ʃ ə s	 k 'ɔ t ʃ ə s 
courenc	k o w ɾ 'ə ŋ k	 k o u ɾ 'ə ŋ k 
covard	k o v 'a ɾ t	 k o v 'a ɾ ə 
creador	k ɾ e ə ð 'o	 k ɾ ə ə ð 'o 
creen	k ɾ 'e ə n	 k ɾ 'ɛ ə n 
creient	k ɾ ə j 'e n t	 k ɾ ə i 'e n t 
creixen	k ɾ 'e ʃ ə n	 k ɾ 'ɛ ʃ ə n 
créixer	k ɾ 'e ʃ ə	 k ɾ ə ʃ 'e  
crema	k ɾ 'e m ə	 k ɾ 'ə m ə 
cremen	k ɾ 'e m ə n	 k ɾ 'ə m ə n 
cremes	k ɾ 'e m ə s	 k ɾ 'ə m ə s 
creure	k ɾ 'ə w ɾ ə	 k ɾ 'ɛ w ɾ ə 
creus	k ɾ 'ɛ w s	 k ɾ 'ə w s 
cuguços	k u ɣ 'u s o s	 k u ɣ 'u s u s 
cuidada	k u j ð 'a ð ə	 k u i ð 'a ð ə 
cuidades	k u j ð 'a ð ə s	 k u i ð 'a ð ə s 
cuidar	k u j ð 'a	 k u i ð 'a 
cuidares	k u j ð 'a ɾ ə s	 k u i ð 'a ɾ ə s 
cuidava	k u j ð 'a v ə	 k u i ð 'a v ə 
cuinada	k u j n 'a ð ə	 k u i n 'a ð ə 
cuinades	k u j n 'a ð ə s	 k u i n 'a ð ə s 
cuinar	k u j n 'a	 k u i n 'a 
cuiner	k u j n 'e	 k u i n 'e 
cuitada	k u j t 'a ð ə	 k u i t 'a ð ə 
cuitades	k u j t 'a ð ə s	 k u i t 'a ð ə s 
cuitar	k u j t 'a	 k u i t 'a 
culblanc	k u l β l 'a ŋ k	 k u l ə l 'a ŋ k 
cursada	k u ɾ s 'a ð ə	 k u ə s 'a ð ə 
cursades	k u ɾ s 'a ð ə s	 k u ə s 'a ð ə s 
cursat	k u ɾ s 'a t	 k u ə s 'a t 
cursats	k u ɾ s 'a t s	 k u ə s 'a t s 
curts	k 'u ɾ s	 k 'u ɾ t s 
dard	d 'a ɾ t	 d 'a ɾ ə 
darrere	d ə r 'e ɾ ə	 d ə r 'ɛ ɾ ə 
de	d 'ə	 d ə 
dèbil	d 'ə β i l	 d 'ɛ β i l 
dèbit	d 'ə β i t	 d 'ɛ β i t 
dècada	d 'ə k ə ð ə	 d 'ɛ k ə ð ə 
dècade	d 'ə k ə ð ə	 d ə k 'a ð ə 
dècima	d 'ə s i m ə	 d 'ɛ s i m ə 
decréixer	d ə k ɾ 'e ʃ ə	 d ə k ɾ ə ʃ 'e  
defora	d ə f 'ɔ ɾ ə	 d ə f 'o ɾ ə 
deguin	d 'ə ɣ i n	 d 'ɛ ɣ i n 
deguis	d 'ə ɣ i s	 d 'ɛ ɣ i s 
deis	d 'ə j s	 d 'ə i s 
deixeble	d ə ʃ 'e b b l ə	 d ə ʃ 'ə b b l ə 
dempeus	d ə m p 'ɛ w s	 d ə m p 'ə w s 
Dénia	d 'e n i ə	 d ə n 'i ə 
dens	d 'ə n s	 d 'e n s 
desarreglada	d ə z ə r ə g g l 'a ð ə	 d ə z ə r ə ɣ l 'a ð ə 
desarreglades	d ə z ə r ə g g l 'a ð ə s	 d ə z ə r ə ɣ l 'a ð ə s 
desarreglar	d ə z ə r ə g g l 'a	 d ə z ə r ə ɣ l 'a 
desarreglat	d ə z ə r ə g g l 'a t	 d ə z ə r ə ɣ l 'a t 
desarreglats	d ə z ə r ə g g l 'a t s	 d ə z ə r ə ɣ l 'a t s 
desatendre	d ə z ə t 'e n d ɾ ə	 d ə z ə t 'ə n d ɾ ə 
desavinença	d ə z ə v i n 'ɛ n s ə	 d ə z ə v i n 'e n s ə 
descobriment	d ə s k o β ɾ i m 'e n t	 d ə s k u β ɾ i m 'e n t 
descompte	d ə s k 'o m t ə	 d ə s k 'ɔ m t ə 
descontentament	d ə s k o n t ə n t ə m 'e n t	 d ə s k u n t ə n t ə m 'e n t 
desembeinar	d ə z ə m b ə j n 'a	 d ə z ə m b ə i n 'a 
desembre	d ə z 'e m b ɾ ə	 d ə z 'ə m b ɾ ə 
desfet	d ə s f 'e t	 d ə s f 'ə t 
desfeta	d ə s f 'e t ə	 d ə s f 'ə t ə 
desforestar	d ə s f o ɾ ə s t 'a	 d ə s f u ɾ ə s t 'a 
desguàs	d ə z ɣ w 'a s	 d ə z ɣ 'a s 
deshidratar	d ə s i ð ɾ ə t 'a	 d ə z i ð ɾ ə t 'a 
desig	d ə z 'i t ʃ	 d ə z 'i 
designada	d ə z i n n 'a ð ə	 d ə z i ə n 'a ð ə 
designades	d ə z i n n 'a ð ə s	 d ə z i ə n 'a ð ə s 
designat	d ə z i n n 'a t	 d ə z i ə n 'a t 
designats	d ə z i n n 'a t s	 d ə z i ə n 'a t s 
desigs	d ə z 'i t ʃ s	 d ə z 'i n s 
desnonament	d ə z n o n ə m 'e n t	 d ə z n u n ə m 'e n t 
deso	d 'e z o	 d 'ə z o 
desobeïts	d ə z o β ə 'i t s	 d ə z o β ə 'i s 
desordre	d ə z 'o ɾ ð ɾ ə	 d ə z 'ɔ ɾ ð ɾ ə 
Despuig	d ə s p 'u t ʃ	 d ə s p 'u ʃ 
despuis	d ə s p 'u j s	 d ə s p 'u i s 
destre	d 'ə s t ɾ ə	 d 'e s t ɾ ə 
desvergonyiment	d ə z v ə ɾ ɣ o ɲ i m 'e n t	 d ə z v ə ɾ ɣ u ɲ i m 'e n t 
desvetlament	d ə z v ə l l ə m 'e n t	 d ə z v ə ʎ l ə m 'e n t 
deteriorament	d ə t ə ɾ i o ɾ ə m 'e n t	 d ə t ə ɾ i u ɾ ə m 'e n t 
detona	d ə t 'ɔ n ə	 d ə t 'o n ə 
detones	d ə t 'ɔ n ə s	 d ə t 'o n ə s 
detono	d ə t 'ɔ n o	 d ə t 'o n o 
deure	d 'ə w ɾ ə	 d 'ɛ w ɾ ə 
diàfans	d i 'a f ə n s	 d i ə f 'a n s 
diamants	d i ə m 'a n s	 d i ə m 'a n t s 
diarrea	d i ə r 'ɛ ə	 d i ə r 'e ə 
diatomea	d i ə t o m 'ɛ ə	 d i ə t o m 'e ə 
difondre	d i f 'o n d ɾ ə	 d i f 'ɔ n d ɾ ə 
dijous	d i ʒ 'ɔ w s	 d i ʒ u 'u s 
dimecres	d i m 'e k ɾ ə s	 d i m 'ɛ k ɾ ə s 
dírham	d 'i ɾ ə m	 d 'i ɾ e m 
dismenorrea	d i z m ə n o r 'ɛ ə	 d i z m ə n u r 'e ə 
disposes	d i s p 'ɔ z ə s	 d i s p 'o z ə s 
dissort	d i s 'ɔ ɾ t	 d i s 'o ɾ t 
distendre	d i s t 'e n d ɾ ə	 d i s t 'ɛ n d ɾ ə 
distreta	d i s t ɾ 'e t ə	 d i s t ɾ 'ə t ə 
distreure	d i s t ɾ 'ə w ɾ ə	 d i s t ɾ 'ɛ w ɾ ə 
dividend	d i v i ð 'e n t	 d i v i ð 'ə n d 
Djibouti	d ʒ i β 'ɔ w t i	 d ʒ i β u 'u t i 
doble	d 'o b b l ə	 d 'ɔ b b l ə 
dobles	d 'o b b l ə s	 d 'ɔ b b l ə s 
document	d o k u m 'e n t	 d u k u m 'e n t 
dogma	d 'o m m ə	 d 'ɔ m m ə 
dogmes	d 'o m m ə s	 d 'ɔ m m ə s 
dòlar	d 'ɔ l ə	 d u l 'a 
dolça	d 'o l s ə	 d 'ɔ l s ə 
dolces	d 'o l s ə s	 d 'ɔ l s ə s 
dolços	d 'o l s o s	 d 'ɔ l s o s 
doler	d o l 'ə	 d o l 'e 
dolguda	d o l ɣ 'u ð ə	 d u l ɣ 'u ð ə 
dolgudes	d o l ɣ 'u ð ə s	 d u l ɣ 'u ð ə s 
dolgut	d o l ɣ 'u t	 d u l ɣ 'u t 
dolguts	d o l ɣ 'u t s	 d u l ɣ 'u t s 
domestica	d o m ə s t 'i k ə	 d u m ə s t 'i k ə 
domesticació	d o m ə s t i k ə s i 'o	 d u m ə s t i k ə s i 'o 
domesticar	d o m ə s t i k 'a	 d u m ə s t i k 'a 
domesticitat	d o m ə s t i s i t 'a t	 d u m ə s t i s i t 'a t 
domestiques	d o m ə s t 'i k ə s	 d u m ə s t 'i k ə s 
domestiqués	d o m ə s t i k 'e s	 d u m ə s t i k 'e s 
domtà	d o n t 'a	 d o m t 'a 
donen	d 'o n ə n	 d 'ɔ n ə n 
donzella	d o n z 'e ʎ ə	 d u n z 'e ʎ ə 
dopa	d 'o p ə	 d 'ɔ p ə 
dotze	d 'o d z ə	 d 'ɔ d z ə 
dreces	d ɾ 'ə s ə s	 d ɾ 'e s ə s 
Ebre	'e β ɾ ə	 'ə β ɾ ə 
ebri	'ɛ β ɾ i	 'ə β ɾ i 
eclèctic	ə k l 'ə t t i k	 ə k l 'ɛ t t i k 
eclipsa	ə k l 'i t s ə	 ə k l 'i s ə 
ecosistema	ə k o s i s t 'e m ə	 ə k o z i s t 'ə m ə 
Eduard	ə ð u 'a ɾ t	 ə ð u 'a ɾ ə 
efervescent	ə f ə ɾ v ə t s 'e n t	 ə f ə ɾ v ə s k 'e n t 
ègida	'ə ʒ i ð ə	 'ɛ ʒ i ð ə 
ego	'e ɣ o	 'ə ɣ o 
Eivissa	ə j v 'i s ə	 ə i v 'i s ə 
eixe	'e ʃ ə	 'ə ʃ ə 
eland	ə l 'a n t	 ə l 'a n d 
ele	'ɛ l ə	 'ə l ə 
elèctrica	ə l 'ə t t ɾ i k ə	 ə l ə t t ɾ 'i k ə 
elèctrics	ə l 'ə t t ɾ i t s	 ə l ə t t ɾ 'i t s 
elèctrode	ə l 'ə t t ɾ o ð ə	 ə l ə t t ɾ 'ɔ ð ə 
eles	'ɛ l ə s	 'ə l ə s 
Eloi	ə l 'ɔ j	 ə l 'o i 
eloqüent	ə l o k w 'e n t	 ə l o ə w 'e n t 
em	'ə m	 ə m 
emblema	ə m b l 'ɛ m ə	 ə m b l 'ə m ə 
emboirar	ə m b o j ɾ 'a	 ə m b o i ɾ 'a 
emborratxar	ə m b o r ə t ʃ 'a	 ə m b u r ə t ʃ 'a 
emfisema	ə m f i z 'ɛ m ə	 ə m f i z 'ə m ə 
empaitar	ə m p ə j t 'a	 ə m p ə i t 'a 
empiema	ə m p i 'ɛ m ə	 ə m p i 'ə m ə 
empleat	ə m p l e 'a t	 ə m p l ə 'a t 
empra	'e m p ɾ ə	 'ə m p ɾ ə 
empremta	ə m p ɾ 'e n t ə	 ə m p ɾ 'ə m t ə 
empren	'e m p ɾ ə n	 'ə m p ɾ ə n 
empresonament	ə m p ɾ ə z o n ə m 'e n t	 ə m p ɾ ə z u n ə m 'e n t 
ena	'e n ə	 'ə n ə 
encendre	ə n s 'e n d ɾ ə	 ə n s 'ə n d ɾ ə 
endarrere	ə n d ə r 'e ɾ ə	 ə n d ə r 'ɛ ɾ ə 
endèmies	ə n d 'ɛ m i ə s	 ə n d 'ə m i ə s 
ene	'e n ə	 'ə n ə 
enmig	ə m m 'i t ʃ	 ə n m 'i k 
enorme	ə n 'o ɾ m ə	 ə n 'ɔ ɾ m ə 
enormes	ə n 'o ɾ m ə s	 ə n 'ɔ ɾ m ə s 
enquesta	ə ŋ k 'e s t ə	 ə ŋ k 'ə s t ə 
ensems	ə n s 'ɛ n s	 ə n s 'ə n s 
entelèquia	ə n t ə l 'ə k i ə	 ə n t ə l 'ɛ k i ə 
entendre	ə n t 'e n d ɾ ə	 ə n t 'ə n d ɾ ə 
èntesi	'ɛ n t ə z i	 'ə n t ə z i 
enuig	ə n 'u t ʃ	 ə n 'u ʃ 
epèntesi	ə p 'ɛ n t ə z i	 ə p 'ə n t ə z i 
epicens	ə p i s 'ə n s	 ə p i s 'e n s 
epifonema	ə p i f o n 'ɛ m ə	 ə p i f o n 'ə m ə 
epistemologia	ə p i s t ə m o l o ʒ 'i ə	 ə p i s t ə m u l u ʒ 'i ə 
èpsilon	'ə t s i l o n	 ə t s i l 'o n 
equivaler	ə k i v ə l 'ə	 ə k i v ə l 'e 
equivoco	ə k i v 'o k o	 ə k i v 'ɔ k o 
erèctil	ə ɾ 'ə t t i l	 ə ɾ 'ɛ t t i l 
eren	'e ɾ ə n	 'ɛ ɾ ə n 
errabund	ə r ə β 'u n t	 ə r ə β 'u n d 
erroni	ə r 'ɔ n i	 ə r 'o n i 
Esaú	ə z ə 'u	 ə z 'a 
escaig	ə s k 'a t ʃ	 ə s k 'a ʃ 
escairada	ə s k ə j ɾ 'a ð ə	 ə s k ə i ɾ 'a ð ə 
escairades	ə s k ə j ɾ 'a ð ə s	 ə s k ə i ɾ 'a ð ə s 
escairar	ə s k ə j ɾ 'a	 ə s k ə i ɾ 'a 
escairat	ə s k ə j ɾ 'a t	 ə s k ə i ɾ 'a t 
escairats	ə s k ə j ɾ 'a t s	 ə s k ə i ɾ 'a t s 
escalens	ə s k ə l 'ə n s	 ə s k ə l 'e n s 
escàner	ə s k 'a n ə	 ə s k 'a n e  
escèptic	ə t s 'ə t t i k	 ə t s 'ɛ t t i k 
escèptica	ə t s 'ə t t i k ə	 ə t s 'ɛ t t i k ə 
escèptics	ə t s 'ə t t i t s	 ə t s 'ɛ t t i t s 
escèptiques	ə t s 'ə t t i k ə s	 ə t s 'ɛ t t i k ə s 
escletxa	ə s k l 'e t ʃ ə	 ə s k l 'ə t ʃ ə 
escolta	ə s k 'o l t ə	 ə s k 'ɔ l t ə 
escombra	ə s k 'o m b ɾ ə	 ə s k 'ɔ m b ɾ ə 
escrot	ə s k ɾ 'o t	 ə s k ɾ 'ɔ t 
esfilagarsada	ə s f i l ə ɣ ə ɾ s 'a ð ə	 ə s f i l ə ɣ ə s 'a ð ə 
esfilagarsades	ə s f i l ə ɣ ə ɾ s 'a ð ə s	 ə s f i l ə ɣ ə s 'a ð ə s 
esfilagarsar	ə s f i l ə ɣ ə ɾ s 'a	 ə s f i l ə ɣ ə s 'a 
esfilagarsat	ə s f i l ə ɣ ə ɾ s 'a t	 ə s f i l ə ɣ ə s 'a t 
esfilagarsats	ə s f i l ə ɣ ə ɾ s 'a t s	 ə s f i l ə ɣ ə s 'a t s 
esfondrament	ə s f o n d ɾ ə m 'e n t	 ə s f u n d ɾ ə m 'e n t 
esgotament	ə z ɣ o t ə m 'e n t	 ə z ɣ u t ə m 'e n t 
esgüellar	ə z g w ə ʎ 'a	 ə z ɣ e ə ʎ 'a 
esguerro	ə z ɣ 'ɛ r o	 ə z ɣ u 'ɛ r o 
esment	ə z m 'e n t	 e z m 'e n t 
esmorteïts	ə z m o ɾ t ə 'i t s	 ə z m o ɾ t ə 'i s 
espagueti	ə s p ə ɣ 'ɛ t i	 ə s p ə ɣ 'ə t i 
espai	ə s p 'a j	 ə s p 'a i 
espatles	ə s p 'a l l ə s	 ə s p 'a b b l ə s 
espècia	ə s p 'ə s i ə	 ə s p 'ɛ s i ə 
espectre	ə s p 'e t t ɾ ə	 ə s p 'ɛ t t ɾ ə 
espinavessa	ə s p i n ə v 'ə s ə	 ə s p i n ə v 'e s ə 
esplèndid	ə s p l 'ə n d i t	 ə s p l 'ɛ n d i t 
esplèndida	ə s p l 'ə n d i ð ə	 ə s p l 'ɛ n d i ð ə 
esplèndides	ə s p l 'ə n d i ð ə s	 ə s p l 'ɛ n d i ð ə s 
esplèndids	ə s p l 'ə n d i t s	 ə s p l 'ɛ n d i t s 
espona	ə s p 'ɔ n ə	 ə s p 'o n ə 
espondilodiscitis	ə s p o n d i l o ð i t s 'i t i s	 ə s p u n d i l u ð i t s 'i t i s 
espontaneïtat	ə s p o n t ə n ə i t 'a t	 ə s p u n t ə n ə i t 'a t 
esprémer	ə s p ɾ 'e m ə	 ə s p ɾ ə m 'e  
esquela	ə s k 'ɛ l ə	 ə s k 'ə l ə 
esquetx	ə s k 'e t ʃ	 ə s k 'ə t ʃ 
essa	'ə s ə	 'e s ə 
esser	ə s 'ə	 ə s 'e 
esta	'e s t ə	 'ə s t ə 
estai	ə s t 'a j	 ə s t 'a i 
estendre	ə s t 'e n d ɾ ə	 ə s t 'ə n d ɾ ə 
estèpic	ə s t 'ə p i k	 ə s t 'ɛ p i k 
estèpica	ə s t 'ə p i k ə	 ə s t 'ɛ p i k ə 
estèpics	ə s t 'ə p i t s	 ə s t 'ɛ p i t s 
estèpiques	ə s t 'ə p i k ə s	 ə s t 'ɛ p i k ə s 
estetoscopi	ə s t ə t o s k 'ɔ p i	 ə s t ə t u s k 'ɔ p i 
estimulants	ə s t i m u l 'a n s	 ə s t i m u l 'a n t s 
estofa	ə s t 'o f ə	 ə s t 'ɔ f ə 
estoig	ə s t 'ɔ t ʃ	 ə s t u 'i ə 
estómac	ə s t 'o m ə k	 ə s t u m 'a k 
estramoni	ə s t ɾ ə m 'ɔ n i	 ə s t ɾ ə m 'o n i 
estratagema	ə s t ɾ ə t ə ʒ 'ɛ m ə	 ə s t ɾ ə t ə ʒ 'ə m ə 
estrateg	ə s t ɾ ə t 'e k	 ə s t ɾ ə t 'ə ʒ 
estratègia	ə s t ɾ ə t 'ə ʒ i ə	 ə s t ɾ ə t 'ɛ ʒ i ə 
estúrnid	ə s t 'u ɾ n i t	 ə s t 'u ɾ n i ð 
ètnia	'ə n n i ə	 'ɛ n n i ə 
eucaliptus	ə w k ə l 'i t t u s	 ə w k ə l i t t 'u s 
eufoni	ə w f 'ɔ n i	 ə w f 'o n i 
evolucionis	ə v o l u s i 'ɔ n i s	 ə v o l u s i 'o n i s 
excitotoxicitat	ə t s i t o t o t s i s i t 'a t	 ə t s i t u t u t s i s i t 'a t 
Fàbregas	f 'a β ɾ ə ɣ ə s	 f ə β ɾ ə ɣ 'a s 
fagosoma	f ə ɣ o z 'ɔ m ə	 f ə ɣ o z 'o m ə 
farmacèutic	f ə ɾ m ə s 'ə w t i k	 f ə ɾ m ə s 'ɛ w t i k 
farmacèutica	f ə ɾ m ə s 'ə w t i k ə	 f ə ɾ m ə s 'ɛ w t i k ə 
farmacèutics	f ə ɾ m ə s 'ə w t i t s	 f ə ɾ m ə s 'ɛ w t i t s 
farmacèutiques	f ə ɾ m ə s 'ə w t i k ə s	 f ə ɾ m ə s 'ɛ w t i k ə s 
farts	f 'a ɾ s	 f 'a ɾ t s 
fascinants	f ə t s i n 'a n s	 f ə t s i n 'a n t s 
fauna	f 'a w n ə	 f ə 'u n ə 
faune	f 'a w n ə	 f ə 'u n ə 
feble	f 'e b b l ə	 f 'ə b b l ə 
febles	f 'e b b l ə s	 f 'ə b b l ə s 
febre	f 'e β ɾ ə	 f 'ə β ɾ ə 
febres	f 'e β ɾ ə s	 f 'ə β ɾ ə s 
fecund	f ə k 'u n t	 f ə k 'u n d 
feinada	f ə j n 'a ð ə	 f ə i n 'a ð ə 
feinejar	f ə j n ə ʒ 'a	  f e i n ə ʒ 'a 
feiner	f ə j n 'e	 f ə i n 'e 
fen	f 'e n	 f 'ə n 
fendre	f 'ə n d ɾ ə	 f 'ɛ n d ɾ ə 
fens	f 'ə n s	 f 'e n s 
feren	f 'e ɾ ə n	 f 'ɛ ɾ ə n 
Fes	f 'e s	 f 'ə s 
festa	f 'e s t ə	 f 'ə s t ə 
festes	f 'e s t ə s	 f 'ə s t ə s 
feta	f 'e t ə	 f 'ə t ə 
fetes	f 'e t ə s	 f 'ə t ə s 
fetge	f 'e d ʒ ə	 f 'ə d ʒ ə 
feyen	f 'ə j ə n	 f ɲ ə n 
fímbria	f 'i m b ɾ i ə	 f i m b ɾ 'i ə 
flairar	f l ə j ɾ 'a	 f l ə i ɾ 'a 
flairat	f l ə j ɾ 'a t	 f l ə i ɾ 'a t 
flairats	f l ə j ɾ 'a t s	 f l ə i ɾ 'a t s 
fleca	f l 'ɛ k ə	 f l 'ə k ə 
fletxa	f l 'e t ʃ ə	 f l 'ə t ʃ ə 
fletxes	f l 'e t ʃ ə s	 f l 'ə t ʃ ə s 
floristeria	f l o ɾ i s t ə ɾ 'i ə	 f l u ɾ i s t ə ɾ 'i ə 
fluorescència	f l u o ɾ ə t s 'ɛ n s i ə	 f l u u ɾ ə t s 'ɛ n s i ə 
fluorescents	f l u o ɾ ə t s 'e n s	 f l u u ɾ ə s k 'e n t s 
fluorur	f l u o ɾ 'u	 f l u u ɾ 'u 
foca	f 'o k ə	 f 'ɔ k ə 
folla	f 'o ʎ ə	 f 'ɔ ʎ ə 
folles	f 'o ʎ ə s	 f 'ɔ ʎ ə s 
foment	f o m 'e n t	 f u m 'e n t 
fonament	f o n ə m 'e n t	 f u n ə m 'e n t 
fonda	f 'o n d ə	 f 'ɔ n d ə 
fondes	f 'o n d ə s	 f 'ɔ n d ə s 
fondo	f 'o n d o	 f 'ɔ n d o 
fondos	f 'o n d o s	 f 'ɔ n d o s 
fondre	f 'o n d ɾ ə	 f 'ɔ n d ɾ ə 
fonema	f o n 'ɛ m ə	 f o n 'ə m ə 
fonen	f 'o n ə n	 f 'ɔ n ə n 
foques	f 'o k ə s	 f 'ɔ k ə s 
foraster	f o ɾ ə s t 'e	 f u ɾ ə s t 'e 
forca	f 'o ɾ k ə	 f 'ɔ ɾ k ə 
foren	f 'o ɾ ə n	 f 'ɔ ɾ ə n 
forma	f 'o ɾ m ə	 f 'ɔ ɾ m ə 
formatgeria	f o ɾ m ə d ʒ ə ɾ 'i ə	 f u ɾ m ə d ʒ ə ɾ 'i ə 
formatget	f o ɾ m ə d ʒ 'ə t	 f u ɾ m ə d ʒ 'ə t 
formen	f 'o ɾ m ə n	 f 'ɔ ɾ m ə n 
formes	f 'o ɾ m ə s	 f 'ɔ ɾ m ə s 
formo	f 'o ɾ m o	 f 'ɔ ɾ m o 
formula	f o ɾ m 'u l ə	 f u ɾ m 'u l ə 
forques	f 'o ɾ k ə s	 f 'ɔ ɾ k ə s 
fort	f 'ɔ ɾ t	 f 'o ɾ t 
fortuna	f o ɾ t 'u n ə	 f u ɾ t 'u n ə 
fortunes	f o ɾ t 'u n ə s	 f u ɾ t 'u n ə s 
fosca	f 'o s k ə	 f 'ɔ s k ə 
foscos	f 'o s k o s	 f 'ɔ s k o s 
foscúria	f o s k 'u ɾ i ə	 f u s k 'u ɾ i ə 
fosques	f 'o s k ə s	 f 'ɔ s k ə s 
foten	f 'o t ə n	 f 'ɔ t ə n 
foto	f 'o t o	 f 'ɔ t o 
fotos	f 'o t o s	 f 'ɔ t o s 
fotre	f 'o t ɾ ə	 f 'ɔ t ɾ ə 
franctirador	f ɾ ə ŋ t t i ɾ ə ð 'o	 f ɾ ə n s t i ɾ ə ð 'o 
frecs	f ɾ 'ɛ t s	 f ɾ 'ə t s 
fregapeus	f ɾ ə ɣ ə p 'ɛ w s	 f ɾ ə ɣ ə p ə 'u s 
frenen	f ɾ 'e n ə n	 f ɾ 'ə n ə n 
frens	f ɾ 'ə n s	 f ɾ 'e n s 
fresi	f ɾ 'ɛ z i	 f ɾ 'ə z i 
fresis	f ɾ 'ɛ z i s	 f ɾ 'ə z i s 
fúmer	f 'u m ə	 f u m 'e  
funcionament	f u n s i o n ə m 'e n t	 f u n s i u n ə m 'e n t 
furibund	f u ɾ i β 'u n t	 f u ɾ i β 'u n d 
gaiata	g ə j 'a t ə	 g ə i 'a t ə 
gaiato	g ə j 'a t o	 g ə i 'a t o 
gaiter	g ə j t 'e	 g ə i t 'e 
galilea	g ə l i l 'ɛ ə	 g ə l i l 'e ə 
Galileu	g ə l i l 'ɛ w	 g ə l i l 'ə w 
gasela	g ə z 'ɛ l ə	 g ə z 'ə l ə 
gasoil	g ə z 'ɔ j l	 g ə z u 'i l 
gelosia	ʒ ə l o z 'i ə	 ʒ ə l u z 'i ə 
gemec	ʒ ə m 'e k	 ʒ ə m 'ɛ k 
gemma	ʒ 'e m m ə	 ʒ 'ə m m ə 
Gemma	ʒ 'e m m ə	 ʒ 'ə m m ə 
gemmes	ʒ 'ɛ m m ə s	 ʒ 'ə m m ə s 
gènere	ʒ 'ɛ n ə ɾ ə	 ʒ 'ə n ə ɾ ə 
Gènesi	ʒ 'ɛ n ə z i	 ʒ 'ə n ə z i 
gènesi	ʒ 'ɛ n ə z i	 ʒ 'ə n ə z i 
genísser	ʒ ə n 'i s ə	 ʒ ə n i s 'e  
Gènova	ʒ 'ə n o v ə	 ʒ 'ɛ n o v ə 
gespa	ʒ 'e s p ə	 ʒ 'ə s p ə 
gest	ʒ 'e s t	 ʒ 'ə s t 
gesta	ʒ 'e s t ə	 ʒ 'ə s t ə 
gestes	ʒ 'e s t ə s	 ʒ 'ə s t ə s 
gesto	ʒ 'ə s t o	 ʒ 'ɛ s t o 
gestos	ʒ 'e s t o s	 ʒ 'ɛ s t o s 
gimcana	ʒ i ŋ k 'a n ə	 ʒ i m k 'a n ə 
ginebra	ʒ i n 'e β ɾ ə	 ʒ i n 'ə β ɾ ə 
Ginebra	ʒ i n 'e β ɾ ə	 ʒ i n 'ə β ɾ ə 
ginesta	ʒ i n 'e s t ə	 ʒ i n 'ə s t ə 
girientorn	ʒ i ɾ i ə n t 'o n	 ʒ i ɾ i ə n t 'o ɾ n 
gland	g l 'a n t	 g l 'a n d 
glosa	g l 'ɔ z ə	 g l 'o z ə 
gloses	g l 'ɔ z ə s	 g l 'o z ə s 
gódua	g 'o ð u ə	 g u ð 'u ə 
goècia	g o 'ə s i ə	 g o t s i ə 
golfa	g 'o l f ə	 g 'ɔ l f ə 
golfes	g 'o l f ə s	 g 'ɔ l f ə s 
gorg	g 'o ɾ k	 g 'ɔ ɾ ə 
gorjut	g o ɾ ʒ 'u t	 g u ɾ ʒ 'u t 
