A	'ə	 ə 
faquir	f ə k 'i r	 f ə k 'i 
far	f 'a r	 f 'a 
farcell	f ə r s 'e ʎ	 f ə r s 'ɛ ʎ 
farciment	f ə r s i m 'e n	 f 'a r s i m 'ɛ n 
farigola	f ə ɾ i ɣ 'o l ə	 f ə ɾ i ɣ 'ɔ l ə 
farts	f 'a r s	 f 'a r t s 
fauna	f 'a w n ə	 f 'a 'u n ə 
faune	f 'a w n ə	 f 'a 'u n ə 
favor	f ə β 'o r	 f ə β 'o 
feble	f 'e b b l ə	 f 'ɛ b b l ə 
febles	f 'e b b l ə s	 f 'ɛ b b l ə s 
febre	f 'e β ɾ ə	 f 'ɛ β ɾ ə 
febrer	f ə β ɾ 'e	 f ə β ɾ 'ɛ 
febres	f 'e β ɾ ə s	 f 'ɛ β ɾ ə s 
fecund	f ə k 'u n	 f ə k 'u n d 
fecunds	f ə k 'u n s	 f ə k 'u n d s 
feinada	f ə j n 'a ð ə	 f ə i n 'a ð ə 
feinejar	f ə j n ə ʒ 'a	 f 'ɛ j n ə ʒ 'a 
feiner	f ə j n 'e	 f ə i n 'ɛ 
feix	f 'e ʃ	 f 'ɛ ʃ 
feldspat	f ə l t s p 'a t	 f 'ɛ l s p 'a t 
fellonia	f ə ʎ u n 'i ə	 f 'e ʎ u n 'i ə 
femella	f ə m 'e ʎ ə	 f ə m 'ɛ ʎ ə 
femellenc	f ə m ə ʎ 'ɛ ŋ	 f ə m ə ʎ 'ɛ n s 
femer	f ə m 'e	 f ə m 'ɛ 
fen	f 'e n	 f 'ɛ n 
fenc	f 'ɛ ŋ	 f 'ɛ n s 
Fènix	f 'ɛ n i k s	 f 'ɛ n ʃ 
fènix	f 'ɛ n i k s	 f 'ɛ n ʃ 
fent	f 'e n	 f 'ɛ n 
fer	f 'e	 f 'ɛ r 
fera	f 'e ɾ ə	 f 'ɛ ɾ ə 
feren	f 'e ɾ ə n	 f 'ɛ ɾ ə n 
feres	f 'e ɾ ə s	 f 'ɛ ɾ ə s 
ferramenta	f ə r ə m 'e n t ə	 f ə r ə m 'ɛ n t ə 
ferrer	f ə r 'e	 f ə r 'ɛ 
Ferrer	f ə r 'e	 f ə r 'ɛ 
fes	f 'e s	 f 'ɛ s 
Fes	f 'e s	 f 'ɛ s 
fessin	f 'e s i n	 f 'ɛ s i n 
fessis	f 'e s i s	 f 'ɛ s i s 
festa	f 'e s t ə	 f 'ɛ s t ə 
festeig	f ə s t 'ɛ t ʃ	 f ə s t 'ɛ ʃ 
festes	f 'e s t ə s	 f 'ɛ s t ə s 
fet	f 'e t	 f 'ɛ t 
feta	f 'e t ə	 f 'ɛ t ə 
fetes	f 'e t ə s	 f 'ɛ t ə s 
fetge	f 'e d ʒ ə	 f 'ɛ d ʒ ə 
fets	f 'e t s	 f 'ɛ t s 
feudal	f ə w ð 'a l	 f ə u ð 'a l 
fiblonejar	f i b b l u n ə ʒ 'a	 f 'i b b l u n ə ʒ 'a 
figuera	f i ɣ 'e ɾ ə	 f i ɣ u 'ɛ ɾ ə 
figuerenc	f i ɣ ə ɾ 'ɛ ŋ	 f i ɣ ə ɾ 'ɛ n s 
Figueres	f i ɣ 'e ɾ ə s	 f i ɣ u 'ɛ ɾ ə s 
filaberquí	f i l ə β ə r k 'i	 f i l ə β 'ɛ r k 'i 
filera	f i l 'e ɾ ə	 f i l 'ɛ ɾ ə 
fímbria	f 'i m b ɾ i ə	 f 'i m b ɾ 'i ə 
finançament	f i n ə n s ə m 'e n	 f i n 'a n s ə m 'ɛ n 
financer	f i n ə n s 'e	 f i n ə n s 'ɛ 
financera	f i n ə n s 'e ɾ ə	 f i n ə n s 'ɛ ɾ ə 
finestra	f i n 'e s t ɾ ə	 f i n 'ɛ s t ɾ ə 
firmament	f i r m ə m 'e n	 f 'i r m ə m 'ɛ n 
fitxer	f i t ʃ 'e	 f i t ʃ 'ɛ 
flabiol	f l ə β i 'ɔ l	 f l ə β i 'o l 
flagell	f l ə ʒ 'e ʎ	 f l ə ʒ 'ɛ ʎ 
flairada	f l ə j ɾ 'a ð ə	 f l ə i ɾ 'a ð ə 
flairades	f l ə j ɾ 'a ð ə s	 f l ə i ɾ 'a ð ə s 
flairar	f l ə j ɾ 'a	 f l ə i ɾ 'a 
flairat	f l ə j ɾ 'a t	 f l ə i ɾ 'a t 
flairats	f l ə j ɾ 'a t s	 f l ə i ɾ 'a t s 
flamenc	f l ə m 'ɛ ŋ	 f l ə m 'ɛ n s 
flamencs	f l ə m 'ɛ ŋ s	 f l ə m 'ɛ ŋ k s 
fletxa	f l 'e t ʃ ə	 f l 'ɛ t ʃ ə 
fletxes	f l 'e t ʃ ə s	 f l 'ɛ t ʃ ə s 
flirtejada	f l i r t ə ʒ 'a ð ə	 f l 'i r t ə ʒ 'a ð ə 
flirtejades	f l i r t ə ʒ 'a ð ə s	 f l 'i r t ə ʒ 'a ð ə s 
flirtejar	f l i r t ə ʒ 'a	 f l 'i r t ə ʒ 'a 
flirtejat	f l i r t ə ʒ 'a t	 f l 'i r t ə ʒ 'a t 
flirtejats	f l i r t ə ʒ 'a t s	 f l 'i r t ə ʒ 'a t s 
floc	f l 'ɔ k	 f l 'o k 
flocs	f l 'ɔ k s	 f l 'o k s 
flor	f l 'ɔ	 f l 'o 
floristeria	f l u ɾ i s t ə ɾ 'i ə	 f l 'ɔ ɾ 'i s t ə ɾ 'i ə 
flors	f l 'ɔ s	 f l 'o s 
fluid	f l 'u j t	 f l 'u j ð 
fluorescència	f l u u ɾ ə s 'ɛ n s i ə	 f l u 'o ɾ ə s 'ɛ n s i ə 
fluorescents	f l u u ɾ ə s 'e n s	 f l u 'o ɾ ə s 'ɛ n s 
fluorur	f l u u ɾ 'u r	 f l u u ɾ 'u 
foc	f 'ɔ k	 f 'o k 
foca	f 'o k ə	 f 'ɔ k ə 
focs	f 'ɔ k s	 f 'o k s 
focus	f 'o k u s	 f 'ɔ k u s 
foguera	f u ɣ 'e ɾ ə	 f u ɣ u 'ɛ ɾ ə 
folla	f 'o ʎ ə	 f 'ɔ ʎ ə 
folles	f 'o ʎ ə s	 f 'ɔ ʎ ə s 
folre	f 'o l r ə	 f 'ɔ l r ə 
folren	f 'ɔ l r ə n	 f 'ɔ l ə n 
foment	f u m 'e n	 f 'ɔ m 'ɛ n 
fonament	f u n ə m 'e n	 f 'ɔ n ə m 'ɛ n 
fonda	f 'o n d ə	 f 'ɔ n d ə 
fondes	f 'o n d ə s	 f 'ɔ n d ə s 
fondo	f 'o n d u	 f 'ɔ n d u 
fondos	f 'o n d u s	 f 'ɔ n d u s 
fondre	f 'o n d ɾ ə	 f 'ɔ n d ɾ ə 
foner	f u n 'e	 f u n 'ɛ 
font	f 'ɔ n	 f 'o n 
foques	f 'o k ə s	 f 'ɔ k ə s 
forassenyat	f u ɾ ə s ə ɲ 'a t	 f 'o ɾ 'a s ə ɲ 'a t 
foraster	f u ɾ ə s t 'e	 f 'o ɾ ə s t 'ɛ 
forca	f 'o r k ə	 f 'ɔ r k ə 
forçosa	f u r s 'o z ə	 f u r s 'ɔ z ə 
foren	f 'o ɾ ə n	 f 'ɔ ɾ ə n 
fores	f 'o ɾ ə s	 f 'ɔ ɾ ə s 
forma	f 'o r m ə	 f 'ɔ r m ə 
formatgeria	f u r m ə d ʒ ə ɾ 'i ə	 f u r m 'a d ʒ ə ɾ 'i ə 
formen	f 'o r m ə n	 f 'ɔ r m ə n 
formes	f 'o r m ə s	 f 'ɔ r m ə s 
formi	f 'o r m i	 f 'ɔ r m i 
formigueig	f u r m i ɣ 'ɛ t ʃ	 f u r m i ɣ u 'ɛ ʃ 
formiguer	f u r m i ɣ 'e	 f u r m i ɣ 'ɛ 
formin	f 'o r m i n	 f 'ɔ r m i n 
formo	f 'o r m u	 f 'ɔ r m u 
formula	f u r m 'u l ə	 f 'o r m 'u l ə 
Fornells	f u r n 'e ʎ s	 f u r n 'ɛ ʎ s 
forques	f 'o r k ə s	 f 'ɔ r k ə s 
fort	f 'ɔ r t	 f 'o r t 
fortuna	f u r t 'u n ə	 f 'ɔ r t 'u n ə 
fortunes	f u r t 'u n ə s	 f 'ɔ r t 'u n ə s 
fosa	f 'o z ə	 f 'ɔ z ə 
fosca	f 'o s k ə	 f 'ɔ s k ə 
foscos	f 'o s k u s	 f 'ɔ s k u s 
foscúria	f u s k 'u ɾ i ə	 f 'ɔ s k 'u ɾ i ə 
foses	f 'o z ə s	 f 'ɔ z ə s 
fosques	f 'o s k ə s	 f 'ɔ s k ə s 
fossin	f 'o s i n	 f 'ɔ s i n 
fossis	f 'o s i s	 f 'ɔ s i s 
foten	f 'o t ə n	 f 'ɔ t ə n 
foti	f 'o t i	 f 'ɔ t i 
fotin	f 'o t i n	 f 'ɔ t i n 
fotis	f 'o t i s	 f 'ɔ t i s 
foto	f 'o t u	 f 'ɔ t u 
fotos	f 'o t u s	 f 'ɔ t u s 
fotovoltaic	f u t u β u l t 'a j k	 f u t u β u l t 'a i k 
fotovoltaics	f u t u β u l t 'a j k s	 f u t u β u l t 'a 'i k s 
fotovoltaiques	f u t u β u l t 'a j k ə s	 f u t u β u l t 'a i k ə s 
fotre	f 'o t ɾ ə	 f 'ɔ t ɾ ə 
franctirador	f ɾ ə ŋ t i ɾ ə ð 'o	 f ɾ ə ŋ k t i ɾ ə ð 'o 
frankfurt	f ɾ ə ŋ k f 'u r t	 f ɾ ə n ə f 'u r t 
freixura	f ɾ ə ʃ 'u ɾ ə	 f ɾ 'ɛ ʃ 'u ɾ ə 
freqüentment	f ɾ ə k w ə m m 'e n	 f ɾ ə k w 'ɛ n i m 'ɛ n 
frontera	f ɾ u n t 'e ɾ ə	 f ɾ u n t 'ɛ ɾ ə 
fronterer	f ɾ u n t ə ɾ 'e	 f ɾ u n t ə ɾ 'ɛ 
fuetejada	f u ə t ə ʒ 'a ð ə	 f u 'ɛ t ə ʒ 'a ð ə 
fuetejades	f u ə t ə ʒ 'a ð ə s	 f u 'ɛ t ə ʒ 'a ð ə s 
fuetejar	f u ə t ə ʒ 'a	 f u 'ɛ t ə ʒ 'a 
fuetejat	f u ə t ə ʒ 'a t	 f u 'ɛ t ə ʒ 'a t 
fuetejats	f u ə t ə ʒ 'a t s	 f u 'ɛ t ə ʒ 'a t s 
fugisser	f u ʒ i s 'e	 f u ʒ i s 'ɛ 
fuig	f 'u t ʃ	 f 'u ʃ 
fumera	f u m 'e ɾ ə	 f u m 'ɛ ɾ ə 
funcionament	f u n s i u n ə m 'e n	 f u n s i 'ɔ n ə m 'ɛ n 
fundadora	f u n d ə ð 'o ɾ ə	 f u n d ə ð 'ɔ ɾ ə 
funicular	f u n i k u l 'a r	 f u n i k u l 'a 
furibund	f u ɾ i β 'u n	 f u ɾ i β 'u n d 
furor	f u ɾ 'o r	 f u ɾ 'o 
fusell	f u z 'e ʎ	 f u z 'ɛ ʎ 
fuster	f u s t 'e	 f u s t 'ɛ 
fusterianisme	f u s t ə ɾ i ə n 'i z m ə	 f u s t ə ɾ 'i ə n 'i z m ə 
futur	f u t 'u r	 f u t 'u 
gelosia	ʒ ə l u z 'i ə	 ʒ 'ɛ l u z 'i ə 
gemec	ʒ ə m 'e k	 ʒ ə m 'ɛ k 
gemma	ʒ 'e m m ə	 ʒ 'ɛ m m ə 
Gemma	ʒ 'e m m ə	 ʒ 'ɛ m m ə 
gener	ʒ ə n 'e	 ʒ ə n 'ɛ 
generadora	ʒ ə n ə ɾ ə ð 'o ɾ ə	 ʒ ə n ə ɾ ə ð 'ɔ ɾ ə 
generadores	ʒ ə n ə ɾ ə ð 'o ɾ ə s	 ʒ ə n ə ɾ ə ð 'ɔ ɾ ə s 
geniüt	ʒ ə n i 'u t	 ʒ ə n 'i 'u t 
gens	ʒ 'e n s	 ʒ 'ɛ n s 
gent	ʒ 'e n	 ʒ 'ɛ n 
geocèntrics	ʒ ə u s 'ɛ n t ɾ i k s	 ʒ ə u s 'ɛ n t ɾ 'i k s 
gerd	ʒ 'ɛ r	 ʒ 'ɛ r t 
gespa	ʒ 'e s p ə	 ʒ 'ɛ s p ə 
gest	ʒ 'e s t	 ʒ 'ɛ s t 
gesta	ʒ 'e s t ə	 ʒ 'ɛ s t ə 
gestes	ʒ 'e s t ə s	 ʒ 'ɛ s t ə s 
gestos	ʒ 'e s t u s	 ʒ 'ɛ s t u s 
ginebra	ʒ i n 'e β ɾ ə	 ʒ i n 'ɛ β ɾ ə 
Ginebra	ʒ i n 'e β ɾ ə	 ʒ i n 'ɛ β ɾ ə 
ginesta	ʒ i n 'e s t ə	 ʒ i n 'ɛ s t ə 
gir	ʒ 'i r	 ʒ 'i 
hàbil	'a β i l	 ə β i l 
hàbit	'a β i t	 ə β i t 
hàbitat	'a β i t ə t	 ə β i t 'a t 
hàbitats	'a β i t ə t s	 ə β i t 'a t s 
hac	'a k	 i 'a k 
hacs	'a k s	 i 'a k s 
hafni	'a f n i	 i 'a f n i 
hagi	'a ʒ i	 i 'a ʒ i 
hàgim	'a ʒ i m	 'ɔ ʒ i m 
hàgiu	'a ʒ i w	 i 'a ʒ i w 
Haia	'a j ə	 ə 'i ə 
haig	'a t ʃ	 ə 'i ə 
Hainan	ə j n 'a n	 ə i n 'a n 
Hainaut	ə j n 'a w t	 ə i n 'a 'u t 
Haití	ə j t 'i	 ə i t 'i 
hala	'a l ə	 i 'a l ə 
halada	ə l 'a ð ə	 i ə l 'a ð ə 
halades	ə l 'a ð ə s	 i ə l 'a ð ə s 
halal	ə l 'a l	 i ə l 'a l 
halat	ə l 'a t	 i ə l 'a t 
halats	ə l 'a t s	 i ə l 'a t s 
halitosi	ə l i t 'ɔ z i	 ə l 'i t 'ɔ z i 
halur	ə l 'u r	 ə l 'u 
hamaca	ə m 'a k ə	 u ə m 'a k ə 
Hamburg	ə m b 'u r k	 ə m b 'u r 
hàmster	'a m s t ə r	 'a m s t 'e 
han	'a n	 i 'a n 
handbol	ə n d b 'ɔ l	 ə n d b 'o l 
has	'a s	 i 'a s 
hassi	'a s i	 'ɔ s i 
haver	ə β 'ɛ	 ə β 'ɛ r 
he	'e	 'ɛ 
hebraic	ə β ɾ 'a j k	 ə β ɾ 'a i k 
hebrea	ə β ɾ 'e ə	 ə β ɾ 'ɛ ə 
Hèbrides	'ɛ β ɾ i ð ə s	 i 'ɛ β ɾ i ð ə s 
Hècate	'ɛ k ə t ə	 'ɛ k 'a t ə 
hectàrea	ə k t 'a ɾ e ə	 ə k t 'a ɾ ə ə 
hedra	'ɛ ð ɾ ə	 i 'ɛ ð ɾ ə 
hegui	'ɛ ɣ i	 i 'ɛ ɣ i 
heguin	'ɛ ɣ i n	 i 'ɛ ɣ i n 
heguis	'ɛ ɣ i s	 i 'ɛ ɣ i s 
heli	'ɛ l i	 i 'ɛ l i 
Hèlios	'ɛ l i u s	 i 'ɛ l i u s 
hèlix	'ɛ l i k s	 i 'ɛ l i k s 
Hèmera	'ɛ m ə ɾ ə	 u m ə ɾ ə 
hèrnia	'ɛ r n i ə	 ə r n i ə 
heroi	ə ɾ 'ɔ j	 i ə ɾ 'o i 
heroic	ə ɾ 'ɔ j k	 i ə ɾ 'o 'i k 
herpes	'ɛ r p ə s	 ə r p ə s 
hèrptil	'ɛ r p t i l	 ə r p t 'i l 
heu	'ɛ w	 'ɛ u 
heura	'ɛ w ɾ ə	 i 'ɛ w ɾ ə 
heure	'ɛ w ɾ ə	 i 'ɛ w ɾ ə 
heus	'ɛ w s	 'ɛ 'u s 
hi	'i	 i 
híbrid	'i β ɾ i t	 ə β ɾ i ð 
hidroelèctrica	i ð ɾ u ə l 'ɛ k t ɾ i k ə	 i ð ɾ u ə l 'ɛ k t ɾ 'i k ə 
hidroelèctrics	i ð ɾ u ə l 'ɛ k t ɾ i k s	 i ð ɾ u ə l 'ɛ k t ɾ 'i k s 
hidroxinaftalè	i ð ɾ u k s i n ə f t ə l 'ɛ	 i ð ɾ u k s i n ə f t 'a l 'ɛ 
hidrozou	i ð ɾ u z 'o w	 i ð ɾ u z 'o 
hieràtic	j ə ɾ 'a t i k	 i ə ɾ 'a t i k 
hieràtics	j ə ɾ 'a t i k s	 i ə ɾ 'a t i k s 
himen	'i m ə n	 ə m ə n 
himne	'i m n ə	 u 'i m n ə 
hiperespai	i p ə ɾ ə s p 'a j	 i p ə ɾ ə s p 'a i 
hiperespais	i p ə ɾ ə s p 'a j s	 i p ə ɾ ə s p 'a i s 
hipnosi	i b n 'ɔ z i	 i p n 'ɔ z i 
hipnòtic	i b n 'ɔ t i k	 i p n 'ɔ t i k 
hipnotisme	i b n u t 'i z m ə	 i p n u t 'i z m ə 
hipocamp	i p u k 'a m	 i p u k 'a m p 
hitlerià	i l l ə ɾ i 'a	 i t l ə ɾ i 'a 
hivernenc	i β ə r n 'ɛ ŋ	 i β ə r n 'ɛ n s 
hòbbit	'ɔ b b i t	 i b b i t 
hola	'ɔ l ə	 i 'ɔ l ə 
holmi	'ɔ l m i	 i 'ɔ l m i 
hom	'ɔ m	 i 'o 
home	'ɔ m ə	 u m ə 
homenenc	u m ə n 'ɛ ŋ	 u m ə n 'ɛ n s 
homenencs	u m ə n 'ɛ ŋ s	 u m ə n 'ɛ ŋ k s 
homenot	u m ə n 'ɔ t	 u m ə n 'o t 
homes	'ɔ m ə s	 u m ə s 
honest	u n 'e s t	 u n 'ɛ s t 
honor	u n 'o r	 u u n 'o 
honors	u n 'o r s	 u u n 'o s 
honra	'o n r ə	 i n r ə 
honren	'ɔ n r ə n	 i n r ə n 
honri	'ɔ n r i	 i n r i 
honris	'ɔ n r i s	 i n r i s 
honro	'ɔ n r u	 i n r u 
hoquei	u k 'ɛ j	 u k 'ɛ i 
hora	'ɔ ɾ ə	 ə ɾ ə 
hores	'ɔ ɾ ə s	 ə ɾ ə s 
hort	'ɔ r t	 i 'o t 
horta	'ɔ r t ə	 u r t ə 
hoste	'ɔ s t ə	 u s t ə 
hostes	'ɔ s t ə s	 u s t ə s 
hòstia	'ɔ s t i ə	 u s t i ə 
hòsties	'ɔ s t i ə s	 u s t i ə s 
hoteler	u t ə l 'e	 u t ə l 'ɛ 
húmer	'u m ə r	 u m ə r 
humor	u m 'o r	 u m 'o 
humus	'u m u s	 u m u s 
i	'i	 i 
iaia	j 'a j ə	 i 'a j ə 
iaies	j 'a j ə s	 i 'a j ə s 
iaio	j 'a j u	 i 'a j u 
iber	i β 'e r	 i β 'ɛ 
idea	i ð 'e ə	 i ð 'ɛ ə 
idealisme	i ð e ə l 'i z m ə	 i ð ə ə l 'i z m ə 
idealista	i ð e ə l 'i s t ə	 i ð ə ə l 'i s t ə 
ideia	i ð 'ɛ j ə	 i ð 'ɛ 'i ə 
idioma	i ð i 'o m ə	 i ð i 'ɔ m ə 
iemenita	j ə m ə n 'i t ə	 i ə m ə n 'i t ə 
Igualada	i ɣ w ə l 'a ð ə	 i ɣ u ə l 'a ð ə 
igualadí	i ɣ w ə l ə ð 'i	 i ɣ w ə l 'a ð 'i 
igualar	i ɣ w ə l 'a	 i ɣ u ə l 'a 
illenc	i ʎ 'ɛ ŋ	 i ʎ 'ɛ n s 
illot	i ʎ 'ɔ t	 i ʎ 'o t 
impacient	i m p ə s i 'e n	 i m p ə s i 'ɛ n 
imperfecta	i m p ə r f 'e k t ə	 i m p ə r f 'ɛ k t ə 
imperfecte	i m p ə r f 'e k t ə	 i m p ə r f 'ɛ k t ə 
imperfectes	i m p ə r f 'e k t ə s	 i m p ə r f 'ɛ k t ə s 
ímpetu	'i m p ə t u	 'i m p 'ɛ t u 
impotent	i m p u t 'e n	 i m p u t 'ɛ n 
impremta	i m p ɾ 'e m t ə	 i m p ɾ 'ɛ m t ə 
imprudent	i m p ɾ u ð 'e n	 i m p ɾ u ð 'ɛ n 
imprudentment	i m p ɾ u ð ə m m 'e n	 i m p ɾ u ð 'ɛ n i m 'ɛ n 
impur	i m p 'u r	 i m p 'u 
inadequat	i n ə ð ə k w 'a t	 i n 'a ð ə k 'a t 
inaudible	i n ə w ð 'i b b l ə	 i n ə u ð 'i b b l ə 
incineradores	i n s i n ə ɾ ə ð 'o ɾ ə s	 i n s i n ə ɾ ə ð 'ɔ ɾ ə s 
incoherent	i ŋ k u ə ɾ 'e n	 i ŋ k u ə ɾ 'ɛ n 
incompliment	i ŋ k u m p l i m 'e n	 i ŋ k 'ɔ m p l i m 'ɛ n 
inconsistent	i ŋ k u n s i s t 'e n	 i ŋ k u n s i s t 'ɛ n 
inconvenient	i ŋ k u m b ə n i 'e n	 i ŋ k u m b ə n i 'ɛ n 
incorpora	i ŋ k u r p 'o ɾ ə	 i ŋ k u r p 'ɔ ɾ ə 
increment	i ŋ k ɾ ə m 'e n	 'i ŋ k ɾ ə m 'ɛ n 
incultura	i ŋ k u l t 'u ɾ ə	 i ŋ k 'u l t 'u ɾ ə 
independentment	i n d ə p ə n d ə m m 'e n	 i n d ə p ə n d 'ɛ n i m 'ɛ n 
indiferent	i n d i f ə ɾ 'e n	 i n d i f ə ɾ 'ɛ n 
indigestió	i n d i ʒ ə s t i 'o	 i n d 'i ʒ ə s t i 'o 
indústria	i n d 'u s t ɾ i ə	 i n d 'u s t ɾ 'i ə 
inerts	i n 'ɛ r s	 i n 'ɛ r t s 
ingent	i n ʒ 'e n	 i n ʒ 'ɛ n 
inhalada	i n ə l 'a ð ə	 i n u ə l 'a ð ə 
inhalades	i n ə l 'a ð ə s	 i n u ə l 'a ð ə s 
inhalant	i n ə l 'a n	 i n u ə l 'a n 
inhalar	i n ə l 'a	 i n u ə l 'a 
inhalat	i n ə l 'a t	 i n u ə l 'a t 
inhalats	i n ə l 'a t s	 i n u ə l 'a t s 
iniciarà	i n i s i ə ɾ 'a	 i n i s i 'a ɾ 'a 
ininterromput	i n i n t ə r u m p 'u t	 i n 'i n t ə r 'o m p 'u t 
innocentment	i n n u s ə m m 'e n	 i n n u s 'ɛ n i m 'ɛ n 
inodor	i n u ð 'o r	 i n u ð 'o 
inquiet	i ŋ k i 'e t	 i ŋ k i 'ɛ t 
inquietud	i ŋ k i ə t 'u t	 i ŋ k 'i ə t 'u t 
insatisfactori	i n s ə t i s f ə k t 'ɔ ɾ i	 i n s 'a t i s f ə k t 'ɔ ɾ i 
insecte	i n s 'e k t ə	 i n s 'ɛ k t ə 
insistentment	i n s i s t ə m m 'e n	 i n s i s t 'ɛ n i m 'ɛ n 
insolent	i n s u l 'e n	 i n s u l 'ɛ n 
insolents	i n s u l 'e n s	 i n s u l 'ɛ n s 
instituiré	i n s t i t u i ɾ 'e	 i n s t i t u 'i ɾ 'e 
instrument	i n s t ɾ u m 'e n	 'i n s t ɾ u m 'ɛ n 
insuficient	i n s u f i s i 'e n	 i n s u f i s i 'ɛ n 
insular	i n s u l 'a r	 i n s u l 'a 
insult	i n s 'u l	 i n s 'u l t 
insurgents	i n s u r ʒ 'e n s	 i n s u r ʒ 'ɛ n s 
intent	i n t 'e n	 i n t 'ɛ n 
interior	i n t ə ɾ i 'o r	 i n t ə ɾ i 'o 
intermitentment	i n t ə r m i t ə m m 'e n	 i n t ə r m i t 'ɛ n i m 'ɛ n 
intèrpret	i n t 'ɛ r p ɾ ə t	 i n t 'ɛ r p ɾ 'ɛ t 
interrompre	i n t ə r 'o m p ɾ ə	 i n t ə r 'ɔ m p ɾ ə 
interrompuda	i n t ə r u m p 'u ð ə	 i n t ə r 'o m p 'u ð ə 
interrompudes	i n t ə r u m p 'u ð ə s	 i n t ə r 'o m p 'u ð ə s 
interromput	i n t ə r u m p 'u t	 i n t ə r 'o m p 'u t 
interromputs	i n t ə r u m p 'u t s	 i n t ə r 'o m p 'u t s 
intransitiu	i n t ɾ ə n z i t 'i w	 i n t ɾ ə n s i t 'i w 
intransitius	i n t ɾ ə n z i t 'i w s	 i n t ɾ ə n s i t 'i w s 
intransitiva	i n t ɾ ə n z i t 'i β ə	 i n t ɾ ə n s i t 'i β ə 
intransitives	i n t ɾ ə n z i t 'i β ə s	 i n t ɾ ə n s i t 'i β ə s 
intrèpid	i n t ɾ 'ɛ p i t	 i n t ɾ 'ɛ p i ð 
invent	i m b 'e n	 i m b 'ɛ n 
investigadora	i m b ə s t i ɣ ə ð 'o ɾ ə	 i m b ə s t i ɣ ə ð 'ɔ ɾ ə 
investigadores	i m b ə s t i ɣ ə ð 'o ɾ ə s	 i m b ə s t i ɣ ə ð 'ɔ ɾ ə s 
ioga	j 'ɔ ɣ ə	 i 'ɔ ɣ ə 
iogui	j 'ɔ ɣ i	 i 'ɔ ɣ i 
iogurt	j u ɣ 'u r t	 i u ɣ 'u r t 
iònica	j 'ɔ n i k ə	 i 'ɔ n i k ə 
irregular	i r ə ɣ u l 'a r	 i r ə ɣ u l 'a 
irremeiable	i r ə m ə j 'a b b l ə	 i r ə m ə i 'a b b l ə 
isard	i z 'a r	 i z 'a ɾ ə 
Israel	i z r ə 'ɛ l	 i s 'a 'ɛ l 
israelià	i z r ə e l i 'a	 i z r ə ə l i 'a 
Istanbul	i s t ə m b 'u l	 i s t 'a m b 'u l 
Ístria	'i s t ɾ i ə	 'i s t ɾ 'i ə 
italoalbanès	i t ə l u ə l β ə n 'ɛ s	 i t ə l u 'a l β ə n 'ɛ s 
iugoslau	j u ɣ u z l 'a w	 i w ɣ u z l 'a w 
Iugoslàvia	j u ɣ u z l 'a β i ə	 i w ɣ u z l 'a β i ə 
jaciment	ʒ ə s i m 'e n	 ʒ 'a s i m 'ɛ n 
Jaén	ʒ ə 'e n	 ʒ 'a 'e n 
jaguar	ʒ ə ɣ w 'a r	 ʒ ə ɣ w 'a 
jazz	ʒ 'a s	 ʒ 'a z ə 
jerosolimità	ʒ ə ɾ u z u l i m i t 'a	 ʒ 'e ɾ u z u l i m i t 'a 
jersei	ʒ ə r s 'ɛ j	 ʒ ə r s 'ɛ i 
Jerusalem	ʒ ə ɾ u z ə l 'ɛ m	 ʒ 'e ɾ u z ə l 'ɛ m 
joc	ʒ 'ɔ k	 ʒ 'o k 
jocs	ʒ 'ɔ k s	 ʒ 'o k s 
joier	ʒ u j 'e	 ʒ u j 'ɛ 
Josep	ʒ u z 'ɛ p	 ʒ u s 'ɛ p 
jou	ʒ 'o w	 ʒ 'o 
jove	ʒ 'o β ə	 ʒ 'ɔ β ə 
jóvens	ʒ 'o β ə n s	 ʒ 'o β 'e n s 
joves	ʒ 'o β ə s	 ʒ 'ɔ β ə s 
jueu	ʒ u 'e w	 ʒ u 'ɛ w 
juganer	ʒ u ɣ ə n 'e	 ʒ u ɣ ə n 'ɛ 
juguesca	ʒ u ɣ 'ɛ s k ə	 ʒ u ɣ u 'ɛ s k ə 
juliol	ʒ u l i 'ɔ l	 ʒ u l i 'o l 
juntura	ʒ u n t 'u ɾ ə	 ʒ 'u n t 'u ɾ ə 
júnyer	ʒ 'u ɲ ə	 ʒ 'u ɲ 'e 
jurament	ʒ u ɾ ə m 'e n	 ʒ 'u ɾ ə m 'ɛ n 
kafkià	k ə f k i 'a	 k ə f i i 'a 
Kazakhstan	k ə z ə k s t 'a n	 k ə z 'a k s t 'a n 
khmer	k m 'e r	 k u m 'ɛ r 
kilocaloria	k i l u k ə l u ɾ 'i ə	 s i l u k ə l u ɾ 'i ə 
kilòmetre	k i l 'ɔ m ə t ɾ ə	 b i l 'ɔ m ə t ɾ ə 
kiwi	k 'i β i	 ə 'i β i 
kuwaitià	k u β ə j t i 'a	 k u β ə i t i 'a 
la	l 'ə	 l ə 
labor	l ə β 'o r	 l ə β 'o 
lacrosse	l ə k ɾ 'o s ə	 l ə k ɾ 'ɔ s ə 
lamenta	l ə m 'e n t ə	 l ə m 'ɛ n t ə 
Laos	l 'a u s	 l 'a 'ɔ s 
lectora	l ə k t 'o ɾ ə	 l ə k t 'ɔ ɾ ə 
