A	'ə	 ə 
entusiasmada	ə n t u z i ə z m 'a ð ə	 ə n t u z i 'a z m 'a ð ə 
entusiasmades	ə n t u z i ə z m 'a ð ə s	 ə n t u z i 'a z m 'a ð ə s 
entusiasmadís	ə n t u z i ə z m ə ð 'i s	 ə n t u z i 'a z m ə ð 'i s 
entusiasmat	ə n t u z i ə z m 'a t	 ə n t u z i 'a z m 'a t 
entusiasmats	ə n t u z i ə z m 'a t s	 ə n t u z i 'a z m 'a t s 
enuig	ə n 'u t ʃ	 ə n 'u ʃ 
epèntesi	ə p 'ɛ n t ə z i	 ə p 'ə n t ə z i 
epifonema	ə p i f o n 'ɛ m ə	 ə p i f o n 'ə m ə 
epistemologia	ə p i s t ə m o l o ʒ 'i ə	 ə p 'i s t ə m o l o ʒ 'i ə 
èpsilon	'ə t s i l o n	 'ə t s i l 'o n 
equidistant	ə k i ð i s t 'a n t	 ə k 'i ð i s t 'a n t 
equilibrista	ə k i l i β ɾ 'i s t ə	 ə k i l 'i β ɾ 'i s t ə 
equipament	ə k i p ə m 'e n t	 ə k 'i p ə m 'ə n t 
equivalent	ə k i v ə l 'e n t	 ə k i v ə l 'ə n t 
equivoco	ə k i v 'o k o	 ə k i v 'ɔ k o 
era	'e ɾ ə	 'ɛ ɾ ə 
erèctil	ə ɾ 'ə t t i l	 ə ɾ 'ɛ t t i l 
eren	'e ɾ ə n	 'ɛ ɾ ə n 
eres	'e ɾ ə s	 'ɛ ɾ ə s 
errabund	ə r ə β 'u n t	 ə r ə β 'u n d 
Esaú	ə z ə 'u	 ə z 'a 
esbarzer	ə z β ə ɾ z 'e	 ə z β ə ɾ z 'ə 
esbiaixada	ə z β i ə ʃ 'a ð ə	 ə z β i 'a ʃ 'a ð ə 
esbiaixar	ə z β i ə ʃ 'a	 ə z β i 'a ʃ 'a 
esbufegar	ə z β u f ə ɣ 'a	 ə z β 'u f ə ɣ 'a 
escaig	ə s k 'a t ʃ	 ə s k 'a ʃ 
escairada	ə s k ə j ɾ 'a ð ə	 ə s k ə i ɾ 'a ð ə 
escairades	ə s k ə j ɾ 'a ð ə s	 ə s k ə i ɾ 'a ð ə s 
escairar	ə s k ə j ɾ 'a	 ə s k ə i ɾ 'a 
escairat	ə s k ə j ɾ 'a t	 ə s k ə i ɾ 'a t 
escairats	ə s k ə j ɾ 'a t s	 ə s k ə i ɾ 'a t s 
escalfament	ə s k ə l f ə m 'e n t	 ə s k 'a l f ə m 'ɛ n t 
escamot	ə s k ə m 'ɔ t	 ə s k ə m 'o t 
escandalosa	ə s k ə n d ə l 'o z ə	 ə s k ə n d ə l 'ɔ z ə 
escandaloses	ə s k ə n d ə l 'o z ə s	 ə s k ə n d ə l 'ɔ z ə s 
escandalosos	ə s k ə n d ə l 'o z o s	 ə s k ə n d ə l 'ɔ z o s 
escàner	ə s k 'a n ə	 ə s k 'a n e  
escapament	ə s k ə p ə m 'e n t	 ə s k 'a p ə m 'ə n t 
escaquer	ə s k ə k 'e	 ə s k ə k 'ə 
escèptic	ə t s 'ə t t i k	 ə t s 'ɛ t t i k 
escèptica	ə t s 'ə t t i k ə	 ə t s 'ɛ t t i k ə 
escèptics	ə t s 'ə t t i t s	 ə t s 'ɛ t t i t s 
escèptiques	ə t s 'ə t t i k ə s	 ə t s 'ɛ t t i k ə s 
escletxa	ə s k l 'e t ʃ ə	 ə s k l 'ə t ʃ ə 
escolta	ə s k 'o l t ə	 ə s k 'ɔ l t ə 
escombra	ə s k 'o m b ɾ ə	 ə s k 'ɔ m b ɾ ə 
escreix	ə s k ɾ 'e ʃ	 ə s k ɾ 'ə ʃ 
escridassar	ə s k ɾ i ð ə s 'a	 ə s k ɾ 'i ð ə s 'a 
escriptura	ə s k ɾ i t t 'u ɾ ə	 ə s k ɾ 'i t t 'u ɾ ə 
escudella	ə s k u ð 'e ʎ ə	 ə s k u ð 'ə ʎ ə 
escuder	ə s k u ð 'e	 ə s k u ð 'ə 
escullera	ə s k u ʎ 'e ɾ ə	 ə s k u ʎ 'ɛ ɾ ə 
escultura	ə s k u l t 'u ɾ ə	 ə s k 'u l t 'u ɾ ə 
esdeveniment	ə z ð ə v ə n i m 'e n t	 ə z ð ə v 'ɛ n i m 'ə n t 
esdevinguda	ə z ð ə v i ŋ g 'u ð ə	 ə z ð ə v 'i ŋ g 'u ð ə 
esdevingudes	ə z ð ə v i ŋ g 'u ð ə s	 ə z ð ə v 'i ŋ g 'u ð ə s 
esdevingut	ə z ð ə v i ŋ g 'u t	 ə z ð ə v 'i ŋ g 'u t 
esdevinguts	ə z ð ə v i ŋ g 'u t s	 ə z ð ə v 'i ŋ g 'u t s 
esfera	ə s f 'e ɾ ə	 ə s f 'ɛ ɾ ə 
esfilagarsada	ə s f i l ə ɣ ə ɾ s 'a ð ə	 ə s f i l ə ɣ 'a s 'a ð ə 
esfilagarsades	ə s f i l ə ɣ ə ɾ s 'a ð ə s	 ə s f i l ə ɣ 'a s 'a ð ə s 
esfilagarsar	ə s f i l ə ɣ ə ɾ s 'a	 ə s f i l ə ɣ 'a s 'a 
esfilagarsat	ə s f i l ə ɣ ə ɾ s 'a t	 ə s f i l ə ɣ 'a s 'a t 
esfilagarsats	ə s f i l ə ɣ ə ɾ s 'a t s	 ə s f i l ə ɣ 'a s 'a t s 
esfondrament	ə s f o n d ɾ ə m 'e n t	 ə s f 'ɔ n d ɾ ə m 'ə n t 
esgotament	ə z ɣ o t ə m 'e n t	 ə z ɣ 'ɔ t ə m 'ə n t 
esgüellar	ə z g w ə ʎ 'a	 ə z ɣ e ə ʎ 'a 
esguerro	ə z ɣ 'ɛ r o	 ə z ɣ u 'ɛ r o 
eslora	ə z l 'o ɾ ə	 ə z l 'ɔ ɾ ə 
esment	ə z m 'e n t	 'ə z m 'ə n t 
esmorteïts	ə z m o ɾ t ə 'i t s	 ə z m o ɾ t ə 'i s 
espadatxí	ə s p ə ð ə t ʃ 'i	 ə s p ə ð 'a t ʃ 'i 
espagueti	ə s p ə ɣ 'ɛ t i	 ə s p ə ɣ 'ə t i 
espai	ə s p 'a j	 ə s p 'a i 
espanyol	ə s p ə ɲ 'ɔ l	 ə s p ə ɲ 'o l 
espatles	ə s p 'a l l ə s	 ə s p 'a b b l ə s 
espatlut	ə s p ə l l 'u t	 ə s p 'a l l 'u t 
espècia	ə s p 'ə s i ə	 ə s p 'ɛ s i ə 
espectre	ə s p 'e t t ɾ ə	 ə s p 'ɛ t t ɾ ə 
espera	ə s p 'e ɾ ə	 ə s p 'ɛ ɾ ə 
esperes	ə s p 'e ɾ ə s	 ə s p 'ɛ ɾ ə s 
esperpent	ə s p ə ɾ p 'e n t	 ə s p ə ɾ p 'ə n t 
espicassar	ə s p i k ə s 'a	 ə s p 'i k ə s 'a 
espiell	ə s p i 'e ʎ	 ə s p i 'ə ʎ 
espinosa	ə s p i n 'o z ə	 ə s p i n 'ɔ z ə 
espinosos	ə s p i n 'o z o s	 ə s p i n 'ɔ z o s 
esplèndid	ə s p l 'ə n d i t	 ə s p l 'ɛ n d i t 
esplèndida	ə s p l 'ə n d i ð ə	 ə s p l 'ɛ n d i ð ə 
esplèndides	ə s p l 'ə n d i ð ə s	 ə s p l 'ɛ n d i ð ə s 
esplèndids	ə s p l 'ə n d i t s	 ə s p l 'ɛ n d i t s 
espondilodiscitis	ə s p o n d i l o ð i t s 'i t i s	 ə s p o n d i l 'ɔ ð i t s 'i t i s 
espontaneïtat	ə s p o n t ə n ə i t 'a t	 ə s p o n t 'a n ə i t 'a t 
espora	ə s p 'o ɾ ə	 ə s p 'ɔ ɾ ə 
esprémer	ə s p ɾ 'e m ə	 ə s p ɾ 'e m 'e  
esquarterar	ə s k w ə ɾ t ə ɾ 'a	 ə s k w 'a ɾ t ə ɾ 'a 
esquela	ə s k 'ɛ l ə	 ə s k 'ə l ə 
esquetx	ə s k 'e t ʃ	 ə s k 'ə t ʃ 
esquirol	ə s k i ɾ 'ɔ l	 ə s k i ɾ 'o l 
esta	'e s t ə	 'ə s t ə 
estai	ə s t 'a j	 ə s t 'a i 
estament	ə s t ə m 'e n t	 'ə s t ə m 'ə n t 
estancament	ə s t ə ŋ k ə m 'e n t	 ə s t 'a ŋ k ə m 'ə n t 
estendre	ə s t 'e n d ɾ ə	 ə s t 'ə n d ɾ ə 
estèpic	ə s t 'ə p i k	 ə s t 'ɛ p i k 
estèpica	ə s t 'ə p i k ə	 ə s t 'ɛ p i k ə 
estèpics	ə s t 'ə p i t s	 ə s t 'ɛ p i t s 
estèpiques	ə s t 'ə p i k ə s	 ə s t 'ɛ p i k ə s 
estetoscopi	ə s t ə t o s k 'ɔ p i	 ə s t 'ə t o s k 'ɔ p i 
estimulants	ə s t i m u l 'a n s	 ə s t i m u l 'a n t s 
estirabot	ə s t i ɾ ə β 'ɔ t	 ə s t i ɾ ə β 'o t 
estirament	ə s t i ɾ ə m 'e n t	 ə s t 'i ɾ ə m 'ə n t 
estiregassada	ə s t i ɾ ə ɣ ə s 'a ð ə	 ə s t i ɾ 'ə ɣ ə s 'a ð ə 
estiregassar	ə s t i ɾ ə ɣ ə s 'a	 ə s t i ɾ 'ə ɣ ə s 'a 
estiuejada	ə s t i w ə ʒ 'a ð ə	 ə s t 'i w ə ʒ 'a ð ə 
estiuejades	ə s t i w ə ʒ 'a ð ə s	 ə s t 'i w ə ʒ 'a ð ə s 
estiuejar	ə s t i w ə ʒ 'a	 ə s t 'i w ə ʒ 'a 
estiuejat	ə s t i w ə ʒ 'a t	 ə s t 'i w ə ʒ 'a t 
estiuejats	ə s t i w ə ʒ 'a t s	 ə s t 'i w ə ʒ 'a t s 
estofa	ə s t 'o f ə	 ə s t 'ɔ f ə 
estoig	ə s t 'ɔ t ʃ	 ə s t 'o ʃ 
estol	ə s t 'ɔ l	 ə s t 'o l 
estómac	ə s t 'o m ə k	 ə s t 'o m 'a k 
estona	ə s t 'o n ə	 ə s t 'ɔ n ə 
estora	ə s t 'o ɾ ə	 ə s t 'ɔ ɾ ə 
estranger	ə s t ɾ ə n ʒ 'e	 ə s t ɾ ə n ʒ 'ɛ 
estratagema	ə s t ɾ ə t ə ʒ 'ɛ m ə	 ə s t ɾ ə t ə ʒ 'ə m ə 
estrateg	ə s t ɾ ə t 'e k	 ə s t ɾ ə t 'ə ʒ 
estratègia	ə s t ɾ ə t 'ə ʒ i ə	 ə s t ɾ ə t 'ɛ ʒ i ə 
estratosfera	ə s t ɾ ə t o s f 'e ɾ ə	 ə s t ɾ ə t o s f 'ɛ ɾ ə 
estructura	ə s t ɾ u t t 'u ɾ ə	 ə s t ɾ 'u t t 'u ɾ ə 
estudiantil	ə s t u ð i ə n t 'i l	 ə s t u ð i 'a n t 'i l 
estúrnid	ə s t 'u ɾ n i t	 ə s t 'u ɾ n i ð 
esverament	ə z v ə ɾ ə m 'e n t	 ə z v 'ɛ ɾ ə m 'ə n t 
ètnia	'ə n n i ə	 'ɛ n n i ə 
eucaliptus	ə w k ə l 'i t t u s	 ə w k ə l 'i t t 'u s 
evangelitzar	ə v ə n ʒ ə l i d z 'a	 ə v 'a n ʒ ə l i d z 'a 
evident	ə v i ð 'e n t	 ə v i ð 'ɛ n t 
excitotoxicitat	ə t s i t o t o t s i s i t 'a t	 ə t s i t 'ɔ t o t s i s i t 'a t 
Fàbregas	f 'a β ɾ ə ɣ ə s	 f 'a β ɾ ə ɣ 'a s 
fagot	f ə ɣ 'ɔ t	 f ə ɣ 'o t 
faller	f ə ʎ 'e	 f ə ʎ 'ə 
famosa	f ə m 'o z ə	 f ə m 'ɔ z ə 
farciment	f ə ɾ s i m 'e n t	 f 'a ɾ s i m 'ə n t 
farmacèutic	f ə ɾ m ə s 'ə w t i k	 f ə ɾ m ə s 'ɛ w t i k 
farmacèutica	f ə ɾ m ə s 'ə w t i k ə	 f ə ɾ m ə s 'ɛ w t i k ə 
farmacèutics	f ə ɾ m ə s 'ə w t i t s	 f ə ɾ m ə s 'ɛ w t i t s 
farmacèutiques	f ə ɾ m ə s 'ə w t i k ə s	 f ə ɾ m ə s 'ɛ w t i k ə s 
farts	f 'a ɾ s	 f 'a ɾ t s 
fascinants	f ə t s i n 'a n s	 f ə t s i n 'a n t s 
fauna	f 'a w n ə	 f 'a 'u n ə 
faune	f 'a w n ə	 f 'a 'u n ə 
feble	f 'e b b l ə	 f 'ə b b l ə 
febles	f 'e b b l ə s	 f 'ə b b l ə s 
febre	f 'e β ɾ ə	 f 'ə β ɾ ə 
febrer	f ə β ɾ 'e	 f ə β ɾ 'ə 
febres	f 'e β ɾ ə s	 f 'ə β ɾ ə s 
fecund	f ə k 'u n t	 f ə k 'u n d 
feinada	f ə j n 'a ð ə	 f ə i n 'a ð ə 
feinejar	f ə j n ə ʒ 'a	  f e i n ə ʒ 'a 
feiner	f ə j n 'e	 f ə i n 'ə 
feix	f 'e ʃ	 f 'ɛ ʃ 
feldspat	f ə l s p 'a t	 f 'ɛ l s p 'a t 
femella	f ə m 'e ʎ ə	 f ə m 'ə ʎ ə 
femer	f ə m 'e	 f ə m 'ɛ r 
fen	f 'e n	 f 'ə n 
fendre	f 'ə n d ɾ ə	 f 'ɛ n d ɾ ə 
fent	f 'e n t	 f 'ɛ n t 
fera	f 'e ɾ ə	 f 'ɛ ɾ ə 
feren	f 'e ɾ ə n	 f 'ɛ ɾ ə n 
feres	f 'e ɾ ə s	 f 'ɛ ɾ ə s 
ferramenta	f ə r ə m 'e n t ə	 f ə r ə m 'ɛ n t ə 
ferrer	f ə r 'e	 f ə r 'ə 
Ferrer	f ə r 'e	 f ə r 'ə 
fervent	f ə ɾ v 'e n t	 f ə ɾ v 'ə n t 
Fes	f 'e s	 f 'ə s 
festa	f 'e s t ə	 f 'ə s t ə 
festes	f 'e s t ə s	 f 'ə s t ə s 
feta	f 'e t ə	 f 'ə t ə 
fetes	f 'e t ə s	 f 'ə t ə s 
fetge	f 'e d ʒ ə	 f 'ə d ʒ ə 
feyen	f 'ə j ə n	 f ɲ ə n 
figuera	f i ɣ 'e ɾ ə	 f i ɣ u 'ɛ ɾ ə 
Figueres	f i ɣ 'e ɾ ə s	 f i ɣ 'ɛ ɾ ə s 
filera	f i l 'e ɾ ə	 f i l 'ɛ ɾ ə 
fímbria	f 'i m b ɾ i ə	 f 'i m b ɾ 'i ə 
finançament	f i n ə n s ə m 'e n t	 f i n 'a n s ə m 'ə n t 
financer	f i n ə n s 'e	 f i n ə n s 'ə 
financera	f i n ə n s 'e ɾ ə	 f i n ə n s 'ɛ ɾ ə 
firmament	f i ɾ m ə m 'e n t	 f 'i ɾ m ə m 'ə n t 
fitxer	f i t ʃ 'e	 f i t ʃ 'ɛ 
flabiol	f l ə β i 'ɔ l	 f l ə β i 'o l 
flagell	f l ə ʒ 'e ʎ	 f l ə ʒ 'ə ʎ 
flairar	f l ə j ɾ 'a	 f l ə i ɾ 'a 
flairat	f l ə j ɾ 'a t	 f l ə i ɾ 'a t 
flairats	f l ə j ɾ 'a t s	 f l ə i ɾ 'a t s 
fleca	f l 'ɛ k ə	 f l 'ə k ə 
fletxa	f l 'e t ʃ ə	 f l 'ə t ʃ ə 
fletxes	f l 'e t ʃ ə s	 f l 'ə t ʃ ə s 
flirtejada	f l i ɾ t ə ʒ 'a ð ə	 f l 'i ɾ t ə ʒ 'a ð ə 
flirtejades	f l i ɾ t ə ʒ 'a ð ə s	 f l 'i ɾ t ə ʒ 'a ð ə s 
flirtejar	f l i ɾ t ə ʒ 'a	 f l 'i ɾ t ə ʒ 'a 
flirtejat	f l i ɾ t ə ʒ 'a t	 f l 'i ɾ t ə ʒ 'a t 
flirtejats	f l i ɾ t ə ʒ 'a t s	 f l 'i ɾ t ə ʒ 'a t s 
floristeria	f l o ɾ i s t ə ɾ 'i ə	 f l o ɾ 'i s t ə ɾ 'i ə 
fluorescència	f l u o ɾ ə t s 'ɛ n s i ə	 f l u 'o ɾ ə t s 'ɛ n s i ə 
fluorescents	f l u o ɾ ə t s 'e n s	 f l u 'o ɾ ə t s 'ə n t s 
fluorur	f l u o ɾ 'u	 f l 'u o ɾ 'u 
foca	f 'o k ə	 f 'ɔ k ə 
foguera	f o ɣ 'e ɾ ə	 f o ɣ 'ɛ ɾ ə 
folla	f 'o ʎ ə	 f 'ɔ ʎ ə 
folles	f 'o ʎ ə s	 f 'ɔ ʎ ə s 
foment	f o m 'e n t	 f 'ɔ m 'ɛ n t 
fonament	f o n ə m 'e n t	 f 'ɔ n ə m 'ə n t 
fonda	f 'o n d ə	 f 'ɔ n d ə 
fondes	f 'o n d ə s	 f 'ɔ n d ə s 
fondo	f 'o n d o	 f 'ɔ n d o 
fondos	f 'o n d o s	 f 'ɔ n d o s 
fondre	f 'o n d ɾ ə	 f 'ɔ n d ɾ ə 
fonema	f o n 'ɛ m ə	 f o n 'ə m ə 
fonen	f 'o n ə n	 f 'ɔ n ə n 
foner	f o n 'e	 f o n 'ɛ 
foques	f 'o k ə s	 f 'ɔ k ə s 
foraster	f o ɾ ə s t 'e	 f 'o ɾ ə s t 'ə 
forca	f 'o ɾ k ə	 f 'ɔ ɾ k ə 
forçosa	f o ɾ s 'o z ə	 f o ɾ s 'ɔ z ə 
foren	f 'o ɾ ə n	 f 'ɔ ɾ ə n 
fores	f 'o ɾ ə s	 f 'ɔ ɾ ə s 
forma	f 'o ɾ m ə	 f 'ɔ ɾ m ə 
formatgeria	f o ɾ m ə d ʒ ə ɾ 'i ə	 f o ɾ m 'a d ʒ ə ɾ 'i ə 
formatget	f o ɾ m ə d ʒ 'ə t	 f o ɾ m 'a d ʒ 'ə t 
formen	f 'o ɾ m ə n	 f 'ɔ ɾ m ə n 
formes	f 'o ɾ m ə s	 f 'ɔ ɾ m ə s 
formiguer	f o ɾ m i ɣ 'e	 f o ɾ m i ɣ 'ə 
formo	f 'o ɾ m o	 f 'ɔ ɾ m o 
formula	f o ɾ m 'u l ə	 f 'o ɾ m 'u l ə 
forques	f 'o ɾ k ə s	 f 'ɔ ɾ k ə s 
fort	f 'ɔ ɾ t	 f 'o ɾ t 
fortuna	f o ɾ t 'u n ə	 f 'o ɾ t 'u n ə 
fortunes	f o ɾ t 'u n ə s	 f 'o ɾ t 'u n ə s 
fosa	f 'o z ə	 f 'ɔ z ə 
fosca	f 'o s k ə	 f 'ɔ s k ə 
foscos	f 'o s k o s	 f 'ɔ s k o s 
foscúria	f o s k 'u ɾ i ə	 f 'o s k 'u ɾ i ə 
foses	f 'o z ə s	 f 'ɔ z ə s 
fosques	f 'o s k ə s	 f 'ɔ s k ə s 
foten	f 'o t ə n	 f 'ɔ t ə n 
foto	f 'o t o	 f 'ɔ t o 
fotos	f 'o t o s	 f 'ɔ t o s 
fotre	f 'o t ɾ ə	 f 'ɔ t ɾ ə 
fragment	f ɾ ə m m 'e n t	 f ɾ 'a m m 'ɛ n t 
franctirador	f ɾ ə ŋ t t i ɾ ə ð 'o	 f ɾ ə n s t i ɾ ə ð 'o 
frecs	f ɾ 'ɛ t s	 f ɾ 'ə t s 
fregapeus	f ɾ ə ɣ ə p 'ɛ w s	 f ɾ ə ɣ ə p 'ə 'u s 
frenen	f ɾ 'e n ə n	 f ɾ 'ə n ə n 
fresi	f ɾ 'ɛ z i	 f ɾ 'ə z i 
fresis	f ɾ 'ɛ z i s	 f ɾ 'ə z i s 
frontera	f ɾ o n t 'e ɾ ə	 f ɾ o n t 'ɛ ɾ ə 
fronterer	f ɾ o n t ə ɾ 'e	 f ɾ o n t ə ɾ 'ə 
fuet	f u 'ə t	 f 'u 'ə t 
fugisser	f u ʒ i s 'e	 f u ʒ i s 'ə 
fúmer	f 'u m ə	 f 'u m 'e  
fumera	f u m 'e ɾ ə	 f u m 'ɛ ɾ ə 
funcionament	f u n s i o n ə m 'e n t	 f u n s i 'ɔ n ə m 'ə n t 
fundadora	f u n d ə ð 'o ɾ ə	 f u n d ə ð 'ɔ ɾ ə 
furibund	f u ɾ i β 'u n t	 f u ɾ i β 'u n d 
furtiu	f u ɾ t 'i w	 f 'u ɾ t 'i w 
furtius	f u ɾ t 'i w s	 f 'u ɾ t 'i w s 
furtiva	f u ɾ t 'i v ə	 f 'u ɾ t 'i v ə 
furtives	f u ɾ t 'i v ə s	 f 'u ɾ t 'i v ə s 
fuster	f u s t 'e	 f u s t 'ə 
fusterianisme	f u s t ə ɾ i ə n 'i z m ə	 f u s t ə ɾ 'i ə n 'i z m ə 
gagaús	g ə ɣ ə 'u s	 g ə ɣ 'a 'u s 
gaiata	g ə j 'a t ə	 g ə i 'a t ə 
gaiato	g ə j 'a t o	 g ə i 'a t o 
gaiter	g ə j t 'e	 g ə i t 'ə 
galera	g ə l 'e ɾ ə	 g ə l 'ɛ ɾ ə 
galilea	g ə l i l 'ɛ ə	 g ə l i l 'ə ə 
Galileu	g ə l i l 'ɛ w	 g ə l i l 'ə w 
galliner	g ə ʎ i n 'e	 g ə ʎ i n 'ə 
garrofer	g ə r o f 'e	 g ə r o f 'ɛ 
garrot	g ə r 'ɔ t	 g ə r 'o t 
gasela	g ə z 'ɛ l ə	 g ə z 'ə l ə 
gasoil	g ə z 'ɔ j l	 g ə z 'o 'i l 
gaussià	g ə w s i 'a	 g 'a w s i 'a 
gelosia	ʒ ə l o z 'i ə	 ʒ 'ɛ l o z 'i ə 
gemec	ʒ ə m 'e k	 ʒ ə m 'ɛ k 
gemma	ʒ 'e m m ə	 ʒ 'ə m m ə 
Gemma	ʒ 'e m m ə	 ʒ 'ə m m ə 
gemmes	ʒ 'ɛ m m ə s	 ʒ 'ə m m ə s 
gener	ʒ ə n 'e	 ʒ ə n 'ə 
generadora	ʒ ə n ə ɾ ə ð 'o ɾ ə	 ʒ ə n ə ɾ ə ð 'ɔ ɾ ə 
generadores	ʒ ə n ə ɾ ə ð 'o ɾ ə s	 ʒ ə n ə ɾ ə ð 'ɔ ɾ ə s 
gènere	ʒ 'ɛ n ə ɾ ə	 ʒ 'ə n ə ɾ ə 
Gènesi	ʒ 'ɛ n ə z i	 ʒ 'ə n ə z i 
gènesi	ʒ 'ɛ n ə z i	 ʒ 'ə n ə z i 
genísser	ʒ ə n 'i s ə	 ʒ ə n 'i s 'e  
geniüt	ʒ ə n i 'u t	 ʒ ə n 'i 'u t 
geniüts	ʒ ə n i 'u t s	 ʒ ə n 'i 'u t s 
Gènova	ʒ 'ə n o v ə	 ʒ 'ɛ n o v ə 
gent	ʒ 'e n t	 ʒ 'ɛ n t 
gespa	ʒ 'e s p ə	 ʒ 'ə s p ə 
gest	ʒ 'e s t	 ʒ 'ə s t 
gesta	ʒ 'e s t ə	 ʒ 'ə s t ə 
gestes	ʒ 'e s t ə s	 ʒ 'ə s t ə s 
gesto	ʒ 'ə s t o	 ʒ 'ɛ s t o 
gestos	ʒ 'e s t o s	 ʒ 'ɛ s t o s 
gimcana	ʒ i ŋ k 'a n ə	 ʒ i m k 'a n ə 
ginebra	ʒ i n 'e β ɾ ə	 ʒ i n 'ə β ɾ ə 
Ginebra	ʒ i n 'e β ɾ ə	 ʒ i n 'ə β ɾ ə 
ginesta	ʒ i n 'e s t ə	 ʒ i n 'ə s t ə 
ginestó	ʒ i n ə s t 'o	 ʒ 'i n ə s t 'o 
ginestola	ʒ i n ə s t 'ɔ l ə	 ʒ 'i n ə s t 'ɔ l ə 
girientorn	ʒ i ɾ i ə n t 'o n	 ʒ i ɾ i ə n t 'o ɾ n 
glacera	g l ə s 'e ɾ ə	 g l ə s 'ɛ ɾ ə 
gland	g l 'a n t	 g l 'a n d 
gloriosa	g l o ɾ i 'o z ə	 g l o ɾ i 'ɔ z ə 
gloriosos	g l o ɾ i 'o z o s	 g l o ɾ i 'ɔ z o s 
gódua	g 'o ð u ə	 g 'o ð 'u ə 
goècia	g o 'ə s i ə	 g o t s i ə 
golfa	g 'o l f ə	 g 'ɔ l f ə 
golfes	g 'o l f ə s	 g 'ɔ l f ə s 
goma	g 'o m ə	 g 'ɔ m ə 
gomes	g 'o m ə s	 g 'ɔ m ə s 
gorjut	g o ɾ ʒ 'u t	 g 'o ɾ ʒ 'u t 
gorra	g 'o r ə	 g 'ɔ r ə 
gorrejar	g o r ə ʒ 'a	 g 'o r ə ʒ 'a 
gossa	g 'o s ə	 g 'ɔ s ə 
gossos	g 'o s o s	 g 'ɔ s o s 
gota	g 'o t ə	 g 'ɔ t ə 
gotera	g o t 'e ɾ ə	 g o t 'ɛ ɾ ə 
gotes	g 'o t ə s	 g 'ɔ t ə s 
grandiosa	g ɾ ə n d i 'o z ə	 g ɾ ə n d i 'ɔ s ə 
graner	g ɾ ə n 'e	 g ɾ ə n 'ə 
granger	g ɾ ə n ʒ 'e	 g ɾ ə n ʒ 'ɛ 
Grècia	g ɾ 'ə s i ə	 g ɾ 'ɛ s i ə 
greix	g ɾ 'e ʃ	 g ɾ 'ə ʃ 
gresol	g ɾ ə z 'ɔ l	 g ɾ ə z 'o l 
greuge	g ɾ 'e w ʒ ə	 g ɾ 'ɛ w ʒ ə 
grier	g ɾ i 'e	 g ɾ i 'ə 
grisosos	g ɾ i z 'o z o s	 g ɾ i z 'ɔ z o s 
grogosos	g ɾ o ɣ 'o z o s	 g ɾ o ɣ 'ɔ z o s 
groller	g ɾ o ʎ 'e	 g ɾ o ʎ 'ə 
gronxa	g ɾ 'o n ʃ ə	 g ɾ 'ɔ n ʃ ə 
gruixut	g ɾ u ʃ 'u t	 g ɾ 'u ʃ 'u t 
guaitar	g w ə j t 'a	 g w ə i t 'a 
guaitat	g w ə j t 'a t	 g w ə i t 'a t 
guantera	g w ə n t 'e ɾ ə	 g w ə n t 'ɛ ɾ ə 
guardiamarina	g w ə ɾ ð i ə m ə ɾ 'i n ə	 g w ə ɾ ð 'i ə m ə ɾ 'i n ə 
guatla	g w 'a l l ə	 g w 'a t l ə 
guerrer	g ə r 'e	 g ə r 'ə 
guerriller	g ə r i ʎ 'e	 g ə r i ʎ 'ə 
guerrillera	g ə r i ʎ 'e ɾ ə	 g ə r i ʎ 'ɛ ɾ ə 
guerrilleres	g ə r i ʎ 'e ɾ ə s	 g ə r i ʎ 'ɛ ɾ ə s 
guilla	g 'i ʎ ə	 g u 'i ʎ ə 
guinda	g 'i n d ə	 g w 'i n d ə 
guitza	g 'i d z ə	 g w 'i d z ə 
guspira	g u s p 'i ɾ ə	 g 'u s p 'i ɾ ə 
gustatiu	g u s t ə t 'i w	 g 'u s t ə t 'i w 
gustatori	g u s t ə t 'ɔ ɾ i	 g 'u s t ə t 'ɔ ɾ i 
hàbil	'a β i l	 ə β i l 
hàbit	'a β i t	 ə β i t 
hàbitat	'a β i t ə t	 ə β i t 'a t 
hàbitats	'a β i t ə t s	 ə β i t 'a t s 
Hades	'a ð ə s	 i 'a ð ə s 
hagi	'a ʒ i	 ə ʒ i 
hàgim	'a ʒ i m	 ə ʒ i m 
hàgiu	'a ʒ i w	 ə ʒ i w 
Haia	'a j ə	 ə 'i ə 
Hainan	ə j n 'a n	 ə i n 'a n 
Hainaut	ə j n 'a w t	 ə i n 'a 'u t 
Haití	ə j t 'i	 ə i t 'i 
halitosi	ə l i t 'ɔ z i	 ə l 'i t 'ɔ z i 
handbol	ə n d b 'ɔ l	 ə n d b 'o l 
hec	'ɛ k	 'a k 
Hècate	'ə k ə t ə	 ə k 'a t ə 
hegui	'ɛ ɣ i	 ə ɣ i 
heguin	'ɛ ɣ i n	 ə ɣ i n 
heguis	'ɛ ɣ i s	 ə ɣ i s 
helicotrema	ə l i k o t ɾ 'ɛ m ə	 ə l i k o t ɾ 'ə m ə 
Hèmera	'ɛ m ə ɾ ə	 ə m ə ɾ ə 
Hèrcules	'ɛ ɾ k u l ə s	 ə ɾ k u l ə s 
hermenéutica	ə ɾ m ə n 'e w t i k ə	 ə ɾ m ə n 'e u t i k ə 
