big	b 'i tʃ
òvid	'ɔ β i t
òxid	'ɔ k s i t
almud	ə l m 'u t
armud	ə r m 'u t
denud	d ə n 'u t
escud	ə s k 'u t
exsud	ə k s 'u t
fraud	f ɾ ə 'u t
lleud	ʎ ə 'u t
remud	r ə m 'u t
salud	s ə l 'u t
viaud	b i ə 'u t
Bermud	b ə r m 'u t
Talmud	t ə l m 'u t
artaud	ə r t ə 'u t
desmud	d ə z m 'u t
enfeud	ə n f ə 'u t
enviud	ə m b i 'u t
geraud	ʒ ə ɾ ə 'u t
giraud	ʒ i ɾ ə 'u t
hammud	ə m m 'u t
infeud	i n f ə 'u t
mahmud	m ə u 'u t
piraud	p i ɾ ə 'u t
rabaud	r ə β ə 'u t
atlo	'a t l u
atló	ə t l 'o
atlas	'a t l ə s
atles	'a t l ə s
bitla	b 'i t l ə
butla	b 'u t l ə
mottl	m 'o t t l
nettl	n 'ɛ t t l
rutle	r 'u t l ə
rutlà	r u t l 'a
rutló	r u t l 'o
titlo	t 'i t l u
vetli	b 'ɛ t l i
Batliu	b ə t l 'i u
Betlem	b ə t l 'ɛ m
Gotleu	g u ə l 'ɛ w
Hitler	i t l 'e
ametla	ə m 'ɛ t l ə
ametló	ə m ə t l 'o
atlant	ə t l 'a n
atleta	ə t l 'ɛ t ə
bartle	b 'a r t l ə
batlia	b ə t l 'i ə
beetle	b ə 'ɛ t l ə
biatlo	b i 'a t l u
biatló	b i ə t l 'o
bitlar	b i t l 'a
bitles	b 'i t l ə s
bitlot	b i t l 'ɔ t
butlan	b u t l 'a n
butlar	b u t l 'a
castla	k 'a s t l ə
castlà	k ə s t l 'a
detlev	d ə t l 'ɛ
estlin	'ɛ s t l i n
guatla	g w 'a t l ə
motles	m 'ɔ t l ə s
motlur	m u t l 'u
rattle	r 'a t t l ə
rotlos	r 'ɔ t l u s
rutlar	r u t l 'a
rutlat	r u t l 'a t
rutles	r 'u t l ə s
rutlés	r u t l 'e s
tatlin	t 'a t l i n
vetlin	b 'ɛ t l i n
vetlis	b 'ɛ t l i s
Ametler	ə m ə t l 'e
Novetlè	n u β ə t l 'ɛ
Seattle	s e 'a t t l ə
abitlar	ə β i t l 'a
ametlat	ə m ə t l 'a t
ametler	ə m ə t l 'e
ametles	ə m 'ɛ t l ə s
amotlar	ə m u t l 'a
armetla	ə r m 'ɛ t l ə
armetló	ə r m ə t l 'o
atlanta	ə t l 'a n t ə
atlanto	ə t l 'a n t u
atlants	ə t l 'a n s
atlesos	ə t l 'ɛ z u s
atletes	ə t l 'ɛ t ə s
atletic	ə t l ə t 'i k
atlàsic	ə t l 'a z i k
atlètic	ə t l 'ɛ t i k
batlets	b ə t l 'ɛ t s
batlies	b ə t l 'i ə s
batlius	b ə t l 'i u s
beatles	ə e 'a t l ə s
beetles	b ə 'ɛ t l ə s
betlems	b ə t l 'ɛ m s
bitlada	b i t l 'a ð ə
bitlera	b i t l 'e ɾ ə
bitlots	b i t l 'ɔ t s
butlari	b u t l 'a ɾ i
catleia	k ə t l 'ɛ j ə
decatlo	d ə k 'a t l u
decatló	d ə k ə t l 'o
emmotla	ə m m 'ɔ t l ə
emmotle	ə m m 'ɔ t l ə
emmotli	ə m m 'ɔ t l i
emmotlo	ə m m 'ɔ t l u
emmotlà	ə m m u t l 'a
emmotlí	ə m m u t l 'i
espatla	ə s p 'a t l ə
espatli	ə s p 'a t l i
espatlo	ə s p 'a t l u
espatlà	ə s p ə t l 'a
espatlí	ə s p ə t l 'i
espatló	ə s p ə t l 'o
gertler	ʒ ə r t l 'e
guatles	g w 'a t l ə s
guatlot	g w ə t l 'ɔ t
hartley	ə r t l 'ɛ
motlada	m u ə l 'a ð ə
motlura	m u t l 'u ɾ ə
motlure	m u t l 'u ɾ ə
motluri	m u t l 'u ɾ i
motluro	m u t l 'u ɾ u
motlurà	m u t l u ɾ 'a
motlurí	m u t l u ɾ 'i
mästlin	m s t l 'i n
nattler	n ə t ə l 'e
nettlau	n ə t ə l 'a w
nàhuatl	n 'a u ə t l
prandtl	p ɾ 'a n d t l
revetla	r ə β 'ɛ t l ə
rotlada	r u ə l 'a ð ə
rutlada	r u t l 'a ð ə
rutlant	r u t l 'a n
rutlara	r u t l 'a ɾ ə
rutlats	r u t l 'a t s
rutlava	r u t l 'a β ə
rutlone	r u t l 'ɔ n ə
rutlons	r u t l 'o n s
rutlonà	r u t l u n 'a
tacotlí	t ə k u t l 'i
triatlo	t ɾ i 'a t l u
triatló	t ɾ i ə t l 'o
Cattleya	k ə t t l 'ɛ ə
Scotland	s k u t l 'a n i
Tlaxcala	t l ə k s k 'a l ə
ametlada	ə m ə t l 'a ð ə
ametlats	ə m ə t l 'a t s
ametlers	ə m ə t l 'e s
ametlons	ə m ə t l 'o n s
armetlat	ə r m ə t l 'a t
armetler	ə r m ə t l 'e
armetles	ə r m 'ɛ t l ə s
arrutlar	ə r u t l 'a
atlantes	ə t l 'a n t ə s
atlantic	ə t l ə n t 'i k
atletica	ə t l ə t 'i k ə
atletics	ə t l ə t 'i k s
atlàntic	ə t l 'a n t i k
atlàsica	ə t l 'a z i k ə
atlàsics	ə t l 'a z i k s
atlètica	ə t l 'ɛ t i k ə
atlètics	ə t l 'ɛ t i k s
betlemet	b ə t l ə m 'ɛ t
biatleta	b i ə t l 'ɛ t ə
biatlons	b i ə t l 'o n s
bitlades	b i t l 'a ð ə s
bitlaire	b i t l 'a j ɾ ə
bitleres	b i t l 'e ɾ ə s
butlador	b u t l ə ð 'o
butlaire	b u t l 'a j ɾ ə
butlaris	b u t l 'a ɾ i s
castlans	k ə s t l 'a n s
catleies	k ə t l 'ɛ j ə s
cutlèria	k u t l 'ɛ ɾ i ə
desvetle	d ə z β 'ɛ t l ə
desvetlà	d ə z β ə t l 'a
ectlipsi	ə k t l 'i p s i
emmotlar	ə m m u t l 'a
emmotlat	ə m m u ə l 'a t
emmotlem	ə m m u t l 'ɛ m
emmotlen	ə m m 'ɔ t l ə n
emmotles	ə m m 'ɔ t l ə s
emmotleu	ə m m u ə l 'ɛ w
emmotlin	ə m m 'ɔ t l i n
emmotlis	ə m m 'ɔ t l i s
emmotlés	ə m m u t l 'e s
espatlam	ə s p ə t l 'a m
espatlar	ə s p ə t l 'a
espatlat	ə s p ə t l 'a t
espatlem	ə s p ə t l 'ɛ m
espatlen	ə s p 'a t l ə n
espatler	ə s p ə t l 'e
espatles	ə s p 'a t l ə s
rotllis	r 'ɔ ʎ ʎ i s
rotllos	r 'ɔ ʎ ʎ u s
rotllàs	r u ʎ ʎ 'a s
rotllés	r u ʎ ʎ 'e s
rutllam	r u ʎ ʎ 'a m
rutllar	r u ʎ ʎ 'a
rutllas	r u ʎ ʎ 'a s
rutllat	r u ʎ ʎ 'a t
rutllau	r u ʎ ʎ 'a w
rutllem	r u ʎ ʎ 'ɛ m
rutllen	r 'u ʎ ʎ ə n
rutlles	r 'u ʎ ʎ ə s
rutlleu	r u ʎ ʎ 'ɛ w
rutllin	r 'u ʎ ʎ i n
rutllis	r 'u ʎ ʎ i s
rutllés	r u ʎ ʎ 'e s
titllam	t i ʎ ʎ 'a m
titllar	t i ʎ ʎ 'a
titllas	t i ʎ ʎ 'a s
titllat	t i ʎ ʎ 'a t
titllau	t i t ə l 'a w
titllem	t i ʎ ʎ 'ɛ m
titllen	t 'i ʎ ʎ ə n
titlles	t 'i ʎ ʎ ə s
titllet	t i ʎ ʎ 'ɛ t
titlleu	t i ʎ ʎ 'ɛ w
titllin	t 'i ʎ ʎ i n
titllis	t 'i ʎ ʎ i s
titllés	t i ʎ ʎ 'e s
trotllo	t ɾ 'ɔ ʎ ʎ u
vetllam	b ə ʎ ʎ 'a m
vetllar	b ə ʎ ʎ 'a
vetllas	b ə ʎ ʎ 'a s
vetllat	b ə ʎ ʎ 'a t
vetllau	b ə ʎ ʎ 'a w
vetllem	b ə ʎ ʎ 'ɛ m
vetllen	b 'ɛ ʎ ʎ ə n
vetlles	b 'ɛ ʎ ʎ ə s
vetlleu	b ə ʎ ʎ 'ɛ w
vetllin	b 'ɛ ʎ ʎ i n
vetllis	b 'ɛ ʎ ʎ i s
vetllés	b ə ʎ ʎ 'e s
Ametller	ə m ə ʎ ʎ 'e
Batllori	b ə ʎ ʎ 'ɔ ɾ i
Montllau	m u n ʎ ʎ 'a w
Montlleó	m u n ʎ ʎ ə 'o
Montllor	m u n ʎ ʎ 'o
Ratlleta	r ə ʎ ʎ 'ɛ t ə
Rotlleus	r u ʎ ʎ 'ɛ w s
Santlleí	s ə n ʎ ʎ ə 'i
ametllat	ə m ə ʎ ʎ 'a t
ametller	ə m ə ʎ ʎ 'e
ametlles	ə m 'ɛ ʎ ʎ ə s
batllesa	b ə ʎ ʎ 'ɛ z ə
batllies	b ə ʎ ʎ 'i ə s
batllius	b ə ʎ ʎ 'i w s
bitllada	b i ʎ ʎ 'a ð ə
bitllant	b i ʎ ʎ 'a n
bitllara	b i ʎ ʎ 'a ɾ ə
bitllare	b i ʎ ʎ 'a ɾ ə
bitllarà	b i ʎ ʎ ə ɾ 'a
bitllaré	b i ʎ ʎ ə ɾ 'e
bitllats	b i ʎ ʎ 'a t s
bitllava	b i ʎ ʎ 'a β ə
bitllera	b i ʎ ʎ 'e ɾ ə
bitlleta	b i ʎ ʎ 'ɛ t ə
bitllets	b i ʎ ʎ 'ɛ t s
bitllota	b i ʎ ʎ 'ɔ t ə
bitllots	b i ʎ ʎ 'ɔ t s
butllada	b u ʎ ʎ 'a ð ə
butllant	b u ʎ ʎ 'a n
butllari	b u ʎ ʎ 'a ɾ i
butllarà	b u ʎ ʎ ə ɾ 'a
butllaré	b u ʎ ʎ ə ɾ 'e
butllats	b u ʎ ʎ 'a t s
butllava	b u ʎ ʎ 'a β ə
butlleta	b u ʎ ʎ 'ɛ t ə
butlleti	b u ʎ ʎ 'ɛ t i
butlletí	b u ʎ ʎ ə t 'i
butllofa	b u ʎ ʎ 'ɔ f ə
desvetll	d ə z β 'ɛ ʎ ʎ
emmotlla	ə m m 'ɔ ʎ ʎ ə
emmotlle	ə m m 'ɔ ʎ ʎ ə
emmotlli	ə m m 'ɔ ʎ ʎ i
emmotllo	ə m m 'ɔ ʎ ʎ u
emmotllà	ə m m u ʎ ʎ 'a
emmotllí	ə m m u ʎ ʎ 'i
enrotlla	ə n r 'ɔ ʎ ʎ ə
enrotlle	ə n r 'ɔ ʎ ʎ ə
enrotlli	ə n r 'ɔ ʎ ʎ i
enrotllo	ə n r 'ɔ ʎ ʎ u
enrotllà	ə n r u ʎ ʎ 'a
enrotllí	ə n r u ʎ ʎ 'i
espatlla	ə s p 'a ʎ ʎ ə
espatlle	ə s p 'a ʎ ʎ ə
espatlli	ə s p 'a ʎ ʎ i
espatllo	ə s p 'a ʎ ʎ u
espatllà	ə s p ə ʎ ʎ 'a
espatllí	ə s p ə ʎ ʎ 'i
espatlló	ə s p ə ʎ ʎ 'o
espitlla	ə s p 'i ʎ ʎ ə
espitlle	ə s p 'i ʎ ʎ ə
espitlli	ə s p 'i ʎ ʎ i
espitllo	ə s p 'i ʎ ʎ u
espitllà	ə s p i ʎ ʎ 'a
espitllí	ə s p i ʎ ʎ 'i
estancs	ə s t 'a ŋ s
lunancs	l u n 'a ŋ s
navancs	n ə β 'a ŋ s
palancs	p ə l 'a ŋ s
salancs	s ə l 'a ŋ s
tabancs	t ə β 'a ŋ s
tovancs	t u β 'a ŋ s
xufancs	ʃ u f 'a ŋ s
barrancs	b ə r 'a ŋ s
burxancs	b u r ʃ 'a ŋ s
carrancs	k ə r 'a ŋ s
corrancs	k u r 'a ŋ s
enfrancs	ə n f ɾ 'a ŋ s
pellancs	p ə ʎ 'a ŋ s
pollancs	p u ʎ 'a ŋ s
tarrancs	t ə r 'a ŋ s
terrancs	t ə r 'a ŋ s
verdancs	b ə r t 'a ŋ s
cuajoncs	k u ə ʒ 'o ŋ s
enfloncs	ə n f l 'o ŋ s
esbroncs	ə z β ɾ 'o ŋ s
lladoncs	ʎ ə ð 'o ŋ s
Gual	g w 'a l
Guam	g w 'a m
agua	'a ɣ w ə
egua	'ɛ ɣ w ə
guai	g w 'a i
gual	g w 'a l
guas	g w 'a s
Aguas	'a ɣ w ə s
Guasc	g w 'a s k
Guasp	g w 'a s p
Igual	i ɣ w 'a l
aguam	ə ɣ w 'a m
aguar	ə ɣ w 'a
aguas	'a ɣ w ə s
aguat	ə ɣ w 'a t
aguau	ə ɣ w 'a w
aigua	'a j ɣ w ə
guaca	g w 'a k ə
guaip	g w 'a i p
guais	g w 'a i s
guait	g w ə 'i t
guaix	g w 'a ʃ
guals	g w 'a l s
guano	g w 'a n u
guant	g w 'a n
guany	g w 'a ɲ
guapa	g w 'a p ə
guapo	g w 'a p u
guara	g w 'a ɾ ə
guard	g w 'a r t
guari	g w 'a ɾ i
guarà	g w ə ɾ 'a
guarí	g w ə ɾ 'i
igual	i ɣ w 'a l
lagua	l 'a ɣ w ə
nigua	n 'i ɣ w ə
Aguado	ə ɣ w 'a ð u
Aguadó	ə ɣ w ə ð 'o
Guaita	g w ə 'i t ə
Gualba	g w 'a l β ə
certs	s 'ɛ r s
corts	k 'o r s
curts	k 'u r s
farts	f 'a r s
forts	f 'o r s
furts	f 'u r s
horts	i 'o r s
morts	m 'o r s
parts	p 'a r s
ports	p 'o r s
sorts	s 'o r s
surts	s 'u r s
torts	t 'o r s
xarts	ʃ 'a r s
inerts	i n 'ɛ r s
oberts	u β 'ɛ r s
oferts	u f 'ɛ r s
quarts	k w 'a r s
shorts	s u r s
absorts	ə p s 'o r s
coberts	k u β 'ɛ r s
cohorts	k u ə r s
deports	d ə p 'o r s
deserts	d ə z 'ɛ r s
dimarts	d i m 'a r s
diserts	d i z 'ɛ r s
esports	ə s p 'o r s
estorts	ə s t 'o r s
experts	ə k s p 'ɛ r s
exserts	ə k s 'ɛ r s
incerts	i n s 'ɛ r s
inserts	i n s 'ɛ r s
pafarts	p ə f 'a r s
reports	r ə p 'o r s
retorts	r ə t 'o r s
soferts	s u f 'ɛ r s
somorts	s u m 'o r s
suports	s u p 'o r s
udmurts	u d m 'u r s
concerts	k u n s 'ɛ r s
contorts	k u n t 'o r s
cuacurts	k w ə k 'u r s
descarts	d ə s k 'a r s
desperts	d ə s p 'ɛ r s
dissorts	d i s 'o r s
lliberts	ʎ i β 'ɛ r s
omplerts	u m p l 'ɛ r s
ressorts	r ə s 'o r s
aeroports	ə ə ɾ u p 'o r s
bocaforts	b u k ə f 'o r s
bocatorts	b u k ə t 'o r s
camacurts	k ə m ə k 'u r s
camatorts	k ə m ə t 'o r s
colltorts	k u ʎ t 'o r s
complerts	k u m p l 'ɛ r s
inexperts	i n ə k s p 'ɛ r s
concerts	k u n s 'ɛ r s
contorts	k u n t 'o r s
cuacurts	k w ə k 'u r s
descarts	d ə s k 'a r s
desperts	d ə s p 'ɛ r s
dissorts	d i s 'o r s
lliberts	ʎ i β 'ɛ r s
omplerts	u m p l 'ɛ r s
ressorts	r ə s 'o r s
aeroports	ə ə ɾ u p 'o r s
bocaforts	b u k ə f 'o r s
bocatorts	b u k ə t 'o r s
camacurts	k ə m ə k 'u r s
camatorts	k ə m ə t 'o r s
colltorts	k u ʎ t 'o r s
complerts	k u m p l 'ɛ r s
inexperts	i n ə k s p 'ɛ r s
concerts	k u n s 'ɛ r s
contorts	k u n t 'o r s
cuacurts	k w ə k 'u r s
descarts	d ə s k 'a r s
desperts	d ə s p 'ɛ r s
dissorts	d i s 'o r s
lliberts	ʎ i β 'ɛ r s
omplerts	u m p l 'ɛ r s
ressorts	r ə s 'o r s
aeroports	ə ə ɾ u p 'o r s
bocaforts	b u k ə f 'o r s
bocatorts	b u k ə t 'o r s
camacurts	k ə m ə k 'u r s
camatorts	k ə m ə t 'o r s
colltorts	k u ʎ t 'o r s
complerts	k u m p l 'ɛ r s
inexperts	i n ə k s p 'ɛ r s

