big	b 'i tʃ
ogassencs	o ɣ a s 'e ŋ s
oliolencs	o l i o l 'e ŋ s
olostencs	o l o s t 'e ŋ s
omellencs	o m e ʎ 'e ŋ s
ondarencs	o n d a ɾ 'e ŋ s
ordinencs	o ɾ d i n 'e ŋ s
orpinencs	o ɾ p i n 'e ŋ s
ovellencs	o β e ʎ 'e ŋ s
palauencs	p a l a u 'e ŋ s
palolencs	p a l o l 'e ŋ s
parisencs	p a ɾ i s 'e ŋ s
paçanencs	p a s a n 'e ŋ s
pinetencs	p i n e t 'e ŋ s
pinosencs	p i n o s 'e ŋ s
pirinencs	p i ɾ i n 'e ŋ s
pujalencs	p u ʒ a l 'e ŋ s
puçolencs	p u s o l 'e ŋ s
quartencs	k w a t 'e ŋ s
rafalencs	r a f a l 'e ŋ s
rapitencs	r a p i t 'e ŋ s
redonencs	r e ð o n 'e ŋ s
reialencs	r e i a l 'e ŋ s
renauencs	r e n a u 'e ŋ s
repelencs	r e p e l 'e ŋ s
rialpencs	r i a l p 'e ŋ s
riberencs	r i β e ɾ 'e ŋ s
riellencs	r i e ʎ 'e ŋ s
rodesencs	r o ð e s 'e ŋ s
rodonencs	r o ð o n 'e ŋ s
romeuencs	r o m e u 'e ŋ s
rosadencs	r o z a ð 'e ŋ s
rubinencs	r u β i n 'e ŋ s
rupitencs	r u p i t 'e ŋ s
safagencs	s a f a ʒ 'e ŋ s
saforencs	s a f o ɾ 'e ŋ s
salouencs	s a l o u 'e ŋ s
sanetencs	s a n e t 'e ŋ s
santsencs	s a n s 'e ŋ s
sanuiencs	s a n u j 'e ŋ s
savoiencs	s a β o j 'e ŋ s
solerencs	s o l e ɾ 'e ŋ s
teianencs	t e i a n 'e ŋ s
temorencs	t e m o ɾ 'e ŋ s
tesanencs	t e z a n 'e ŋ s
tolugencs	t o l u ʒ 'e ŋ s
toranencs	t o ɾ a n 'e ŋ s
tunisencs	t u n i s 'e ŋ s
ullanencs	u ʎ a n 'e ŋ s
vajolencs	b a ʒ o l 'e ŋ s
vidriencs	b i ð ɾ i 'e ŋ s
vilanencs	b i l a n 'e ŋ s
vilarencs	b i l a ɾ 'e ŋ s
vivenencs	b i β e n 'e ŋ s
viverencs	b i β e ɾ 'e ŋ s
xativencs	tʃ a t i β 'e ŋ s
xixonencs	tʃ i ʃ o n 'e ŋ s
Estellencs	a s t e ʎ 'e ŋ s
adrianencs	a ð ɾ i a n 'e ŋ s
agrassencs	a ɣ ɾ a s 'e ŋ s
alaiorencs	a l a j o ɾ 'e ŋ s
albanyencs	a l β a ɲ 'e ŋ s
albiolencs	a l β i o l 'e ŋ s
alcudiencs	a l k u ð i 'e ŋ s
aldeanencs	a l d e a n 'e ŋ s
alforgencs	a l f o ɾ dʒ 'e ŋ s
almeriencs	a l m e ɾ i 'e ŋ s
almuniencs	a l m u n i 'e ŋ s
amarguencs	a m a ɾ ɣ 'e ŋ s
ametllencs	a m e ʎ ʎ 'e ŋ s
aljub	a l dʒ 'u p
bínub	b 'i n u p
encub	a ŋ k 'u p
enjub	a n dʒ 'u p
entub	a n t 'u p
estub	a s t 'u p
habub	a β 'u p
incub	i ŋ k 'u p
intub	i n t 'u p
jakub	dʒ a k 'u p
sucub	s u k 'u p
súcub	s 'u k u p
titub	t i t 'u p
íncub	'i ŋ k u p
Belcebub	b e l s e β 'u p
aeroclub	a e ɾ o k l 'u p
belzebub	b e l z e β 'u p
cineclub	s i n e k l 'u p
desencub	d e z e ŋ k 'u p
discopub	d i s k o p 'u p
hipercub	i p e ɾ k 'u p 
puticlub	p u t i k l 'u p
teleclub	t e l e k l 'u p
ensab	a n s 'a p
hijab	i ʒ 'a p
kebab	a e β 'a p
nabab	n a β 'a p
nicab	n i k 'a p
rebab	r e β 'a p
sòrab	s 'ɔ ɾ a p
Carib	k a ɾ 'i p
arrib	a r 'i p
carib	k a ɾ 'i p
estib	a s t 'i p
etzib	e d z 'i p
galib	g a l 'i p 
gàlib	g 'a l i p
labib	l a β 'i p
sahib	s a 'i β
talib	t a l 'i β
enòfob	e n 'ɔ f o p
liòfob	l i 'ɔ f o p
neòfob	n e 'ɔ f o p
zoòfob	z o 'ɔ f o p
homòfob	o m 'ɔ f o p
xenòfob	tʃ e n 'ɔ f o p
Abad	a β 'a t
Arad	a ɾ 'a t
Riad	r i 'a t
Txad	tʃ 'a t
fuad	f u 'a t
grad	g ɾ 'a t
imad	i m 'a t
iyad	i w 'a t
mead	m e 'a t
quad	k w 'a t
read	r e 'a t
Accad	a k k 'a t
acid	a s 'i t
amid	a m 'i t
arid	a ɾ 'i t
avid	a β 'i t
boid	b o 'i t
buid	b 'u j t
caid	k 'a j t
crid	k ɾ 'i t
cuid	k 'u j t
enid	e n 'i t
ibíd	i β 'i t
ovid	o β 'i t
oxid	o k s 'i t
atlo	'a t l o
atló	a t l 'o
atlas	'a t l a s
atles	'a t l e s
bitla	b 'i t l a
butla	b 'u t l a
mottl	m 'o t t l
nettl	n 'ɛ t t l
rutle	r 'u t l e
rutlà	r u t l 'a
rutló	r u t l 'o
titlo	t 'i t l o
vetli	b 'ɛ t l i
Batliu	b a t l i 'u
Betlem	b e t l 'ɛ m
Gotleu	g 'o t l 'ɛ 'u
Hitler	i t l 'e
ametla	a m 'ɛ d l a
ametló	a m e t l 'o
atlant	a d l 'a n
atleta	a t l 'ɛ t a
bartle	b 'a t l e
batlia	b a t l 'i a
beetle	b e 'ɛ l e
biatlo	b i 'a t l o
biatló	b i a t l 'o
bitlar	b i t l 'a
bitles	b 'i ʎ e s
bitlot	b i t l 'ɔ t
butlan	b u t l 'a n
butlar	b u t l 'a
castla	k 'a s t l a
castlà	k a s l 'a
detlev	d e t l 'ɛ β
estlin	a s t l i n
guatla	g w 'a t l a
motles	m 'ɔ t l e s
motlur	m o t l 'u
rattle	r a t 'ɛ l e
rotlos	r 'ɔ t l o s
rutlar	r u t l 'a
rutlat	r u t l 'a t
rutles	r 'u t l e s
rutlés	r u t l 'e s
tatlin	t 'a t l i n
vetlin	b 'ɛ t l i n
vetlis	b 'ɛ t l i s
Ametler	a m e t l 'e
Novetlè	n o β 'e t l
Seattle	s e 'a t t l e
abitlar	a β i t l 'a
ametlat	a m e d l 'a t
ametler	a m e t l 'e
ametles	a m 'ɛ d l e s
amotlar	a m o d l 'a
armetla	a ɾ m 'ɛ t l a
armetló	a ɾ m e t l 'o
atlanta	a d l 'a n t a
atlanto	a d l 'a n t o
atlants	a d l 'a n s
atlesos	a t l 'ɛ z o s
atletes	a t l 'ɛ t e s
atletic	a ʎ e t 'i k
atlàsic	a d l 'a z i k
atlètic	a t l 'ɛ t i k
batlets	b a t l 'ɛ t s
batlies	b a t l 'i e s
batlius	b a t l i 'u s
beatles	b e 'a t l e s
beetles	b e 'ɛ d l e s
betlems	b e t l 'ɛ m s
bitlada	b i t l 'a ð a
bitlera	b i t l 'e ɾ a
bitlots	b i t l 'ɔ t s
butlari	b u t l 'a ɾ i
catleia	k 'a t l 'ɛ 'i a
decatlo	d e k 'a t l o
decatló	d e k a t l 'o
emmotla	a m m 'ɔ l a
emmotle	a m m 'ɔ l e
emmotli	a m m 'ɔ t l i
emmotlo	a m m 'ɔ l o
emmotlà	a m m o d l 'a
emmotlí	a m m o t l 'i
espatla	a s p 'a t l a
espatli	a s p 'a t l i
espatlo	a s p 'a t l o
espatlà	a s p a t l 'a
espatlí	a s p a t l 'i
espatló	a s p a t l 'o
gertler	dʒ e r l 'e
guatles	g w 'a t l e s
guatlot	g w a t l 'ɔ t
hartley	a r l 'ɛ
motlada	m o d l 'a ð a
motlura	m o t l 'u ɾ a
motlure	m o t l 'u ɾ e
motluri	m o t l 'u ɾ i
motluro	m o t l 'u ɾ o
motlurà	m o t l u ɾ 'a
motlurí	m o t l u ɾ 'i
mästlin	m s t l 'i n
nattler	n a t i l 'e
nettlau	n e t e l 'a u
nàhuatl	n a u 'a t l
prandtl	p ɾ 'a n d t l
revetla	r e β 'ɛ t l a
rotlada	r o e l 'a ð a
rutlada	r u t l 'a ð a
rutlant	r u t l 'a n
rutlara	r u t l 'a ɾ a
rutlats	r u t l 'a t s
rutlava	r u t l 'a β a
rutlone	r u t l 'ɔ n e
rutlons	r u t l 'o n s
rutlonà	r u t l o n 'a
tacotlí	t a k o t l 'i
triatlo	t ɾ i 'a t l o
triatló	t ɾ i a t l 'o
Cattleya	k a t t l ɲ a
Scotland	s k o d l 'a n i
Tlaxcala	d l a k s k 'a l a
ametlada	a m e o l 'a ð a
ametlats	a m e d l 'a t s
ametlers	a m e t l 'e s
ametlons	a m e t l 'o n s
armetlat	a ɾ m e o l 'a t
armetler	a ɾ m e t l 'e
armetles	a ɾ m 'ɛ d l e s
arrutlar	a r u t l 'a
atlantes	a d l 'a n t e s
atlantic	a ʎ a n t 'i k
atletica	a ʎ e t 'i k a
atletics	a ʎ e t 'i k s
atlàntic	a d l 'a n t i k
atlàsica	a d l 'a z i k a
atlàsics	a d l 'a z i k s
atlètica	a t l 'ɛ t i k a
atlètics	a t l 'ɛ t i k s
betlemet	b e ʎ e m 'ɛ t
biatleta	b i a t l 'ɛ t a
biatlons	b i a t l 'o n s
bitlades	b i t l 'a ð e s
bitlaire	b i t l 'a j ɾ e
bitleres	b i t l 'e ɾ e s
butlador	b u ʎ a ð 'o
butlaire	b u t l 'a j ɾ e
butlaris	b u t l 'a ɾ i s
castlans	k a s l 'a n s
catleies	k 'a t l 'ɛ 'i e s
cutlèria	k u t l 'ɛ ɾ i a
desvetle	d e z β 'ɛ t l e
desvetlà	d e z β e t l 'a
ectlipsi	e k t l 'i p s i
emmotlar	a m m o d l 'a
emmotlat	a m m o d l 'a t
emmotlem	a m m o ʎ 'ɛ m
emmotlen	a m m 'ɔ l e n
emmotles	a m m 'ɔ l e s
emmotleu	a m m o t l e 'u
emmotlin	a m m 'ɔ t l i n
emmotlis	a m m 'ɔ t l i s
emmotlés	a m m o ʎ 'e s
espatlam	a s p a t l 'a m
espatlar	a s p a t l 'a
espatlat	a s p a d l 'a t
espatlem	a s p a t l 'ɛ m
espatlen	a s p 'a t l e n
espatler	a s p a t l 'e
espatles	a s p 'a t l e s
espatleu	a s p 'a t l 'ɛ 'u
espatlin	a s p 'a t l i n
espatlis	a s p 'a t l i s
espatlut	a s p a t l 'u t
espatlàs	a s p a d l 'a s
espatlés	a s p a ʎ 'e s
espitlar	a s p i t l 'a
espitles	a s p 'i t l e s
gottlieb	g o t 'ɛ l 'i 'ɛ
guatlera	g w a t l 'e ɾ a
guatlots	g w a t l 'ɔ t s
guàtlera	g w 'a t l e ɾ a
hartleys	a r l 'ɛ s
hartline	a r l 'i n e
heptatlo	e p t 'a t l o
heptatló	e p t a t l 'o
hitleria	i t l e ɾ 'i a
hitlerià	i t l e ɾ i 'a
maitland	m a j t l 'a n i
motlades	m o d l 'a ð e s
motluram	m o t l u ɾ 'a m
motlurar	m o t l u ɾ 'a
motluras	m 'o t l 'u ɾ 'a s
motlurat	m o t l u ɾ 'a t
motlurau	m o t l u ɾ 'a
motlurem	m o t l u ɾ 'ɛ m
motluren	m o t l 'u ɾ e n
motlures	m o t l 'u ɾ e s
motlureu	m o t l u ɾ e 'u
motlurin	m o t l 'u ɾ i n
motluris	m o t l 'u ɾ i s
motlurés	m o t l u ɾ 'e s
pentatlo	p e n t 'a t l o
pentatló	p e n t a t l 'o
petljura	p e t l dʒ 'u ɾ a
portland	p o ɾ i l 'a n i
postludi	p o s t l 'u ð i
pòrtland	p o ɾ i l 'a n
revetler	r e β e t l 'e
revetles	r e β 'ɛ t l e s
rotlades	r o e l 'a ð e s
rutlades	r u t l 'a ð e s
rutlaren	r u t l 'a ɾ e n
rutlaria	r u t l a ɾ 'i a
rutlaven	r u t l 'a β e n
rutlonar	r u t l o n 'a
rutlonat	r u t l o n 'a t
rutlones	r u t l 'o n e s
rutlonés	r u t l o n 'e s
rutlàrem	r u t l 'a ɾ e m
rutlàvem	r u t l 'a β e m
subbatle	s u b b 'a t l e
totleben	t o t l 'ɛ β e n
tritleig	t ɾ 'i t l 'ɛ 'i
Catllà	k a ʎ ʎ 'a
batlle	b 'a ʎ ʎ e
bitlla	b 'i ʎ ʎ a
bitlle	b 'i ʎ ʎ e
bitlli	b 'i ʎ ʎ i
bitllo	b 'i ʎ ʎ o
bitllà	b i ʎ ʎ 'a
bitllí	b i ʎ ʎ 'i
butlla	b 'u ʎ ʎ a
butlli	b 'u ʎ ʎ i
butllo	b 'u ʎ ʎ o
butllà	b u ʎ ʎ 'a
butllí	b u ʎ ʎ 'i
motlle	m 'ɔ ʎ ʎ e
motllo	m 'ɔ ʎ ʎ o
ratlla	r 'a ʎ ʎ a
ratlle	r 'a ʎ ʎ e
ratlli	r 'a ʎ ʎ i
ratllo	r 'a ʎ ʎ o
ratllà	r a ʎ ʎ 'a
ratllí	r a ʎ ʎ 'i
rotlla	r 'ɔ ʎ ʎ a
rotlle	r 'ɔ ʎ ʎ e
rotlli	r 'ɔ ʎ ʎ i
rotllo	r 'ɔ ʎ ʎ o
rotllí	r o ʎ ʎ 'i
rutlla	r 'u ʎ ʎ a
rutlle	r 'u ʎ ʎ e
rutlli	r 'u ʎ ʎ i
rutllo	r 'u ʎ ʎ o
rutllà	r u ʎ ʎ 'a
rutllí	r u ʎ ʎ 'i
titlla	t 'i ʎ ʎ a
titlle	t 'i ʎ ʎ e
titlli	t 'i ʎ ʎ i
titllo	t 'i ʎ ʎ o
titllà	t i ʎ ʎ 'a
titllí	t i ʎ ʎ 'i
vetlla	b 'ɛ ʎ ʎ a
vetlle	b 'ɛ ʎ ʎ e
vetlli	b 'ɛ ʎ ʎ i
vetllo	b 'ɛ ʎ ʎ o
vetllà	b e ʎ ʎ 'a
vetllí	b e ʎ ʎ 'i
Ametlla	a m 'ɛ ʎ ʎ a
Catllar	k a ʎ ʎ 'a
Ratlleu	r a ʎ ʎ e 'u
ametlla	a m 'ɛ ʎ ʎ a
ametllo	a m 'ɛ ʎ ʎ o
ametlló	a m e ʎ ʎ 'o
batlles	b 'a ʎ ʎ e s
batllia	b a ʎ ʎ 'i a
batlliu	b a ʎ ʎ i 'u
bitllam	b i ʎ ʎ 'a m
bitllar	b i ʎ ʎ 'a
bitllas	b i ʎ ʎ 'a s
bitllat	b i ʎ ʎ 'a t
bitllau	b i ʎ ʎ 'a u
bitllem	b i ʎ ʎ 'ɛ m
bitllen	b 'i ʎ ʎ e n
bitlles	b 'i ʎ ʎ e s
bitllet	b i ʎ ʎ 'ɛ t
bitlleu	b i ʎ ʎ e 'u
bitllin	b 'i ʎ ʎ i n
bitllis	b 'i ʎ ʎ i s
bitllot	b i ʎ ʎ 'ɔ t
bitllés	b i ʎ ʎ 'e s
butllar	b u ʎ ʎ 'a
butllat	b u ʎ ʎ 'a t
butllem	b u ʎ ʎ 'ɛ m
butllen	b 'u ʎ ʎ e n
butlles	b 'u ʎ ʎ e s
butlleu	b u ʎ ʎ e 'u
butllin	b 'u ʎ ʎ i n
butllis	b 'u ʎ ʎ i s
butllés	b u ʎ ʎ 'e s
emmotll	a m m 'o ʎ ʎ
enrotll	a n 'o ʎ ʎ
espatll	a s p 'a ʎ ʎ
espitll	a s p 'i ʎ ʎ
guatlla	g w 'a ʎ ʎ a
motlles	m 'ɔ ʎ ʎ e s
motllos	m 'ɔ ʎ ʎ o s
motllur	m o ʎ ʎ 'u
ratllam	r a ʎ ʎ 'a m
ratllar	r a ʎ ʎ 'a
ratllas	r a ʎ ʎ 'a s
ratllat	r a ʎ ʎ 'a t
ratllau	r a ʎ ʎ 'a u
ratllem	r a ʎ ʎ 'ɛ m
ratllen	r 'a ʎ ʎ e n
ratlles	r 'a ʎ ʎ e s
ratlleu	r a ʎ ʎ e 'u
ratllin	r 'a ʎ ʎ i n
ratllis	r 'a ʎ ʎ i s
ratllés	r a ʎ ʎ 'e s
rotllam	r o ʎ ʎ 'a m
rotllan	r o ʎ ʎ 'a n
rotllar	r o ʎ ʎ 'a
rotllas	r o ʎ ʎ 'a s
rotllat	r o ʎ ʎ 'a t
rotllau	r o ʎ ʎ 'a u
rotllem	r o ʎ ʎ 'ɛ m
rotllen	r 'ɔ ʎ ʎ e n
rotlles	r 'ɔ ʎ ʎ e s
rotllet	r o ʎ ʎ 'ɛ t
rotlleu	r o ʎ ʎ e 'u
rotllin	r 'ɔ ʎ ʎ i n
rotllis	r 'ɔ ʎ ʎ i s
rotllos	r 'ɔ ʎ ʎ o s
rotllàs	r o ʎ ʎ 'a s
rotllés	r o ʎ ʎ 'e s
rutllam	r u ʎ ʎ 'a m
rutllar	r u ʎ ʎ 'a
rutllas	r u ʎ ʎ 'a s
rutllat	r u ʎ ʎ 'a t
rutllau	r u ʎ ʎ 'a u
rutllem	r u ʎ ʎ 'ɛ m
rutllen	r 'u ʎ ʎ e n
rutlles	r 'u ʎ ʎ e s
rutlleu	r u ʎ ʎ e 'u
rutllin	r 'u ʎ ʎ i n
rutllis	r 'u ʎ ʎ i s
rutllés	r u ʎ ʎ 'e s
titllam	t i ʎ ʎ 'a m
titllar	t i ʎ ʎ 'a
titllas	t i ʎ ʎ 'a s
titllat	t i ʎ ʎ 'a t
titllau	t i ʎ ʎ 'a u
titllem	t i ʎ ʎ 'ɛ m
titllen	t 'i ʎ ʎ e n
titlles	t 'i ʎ ʎ e s
titllet	t i ʎ ʎ 'ɛ t
titlleu	t i ʎ ʎ e 'u
titllin	t 'i ʎ ʎ i n
titllis	t 'i ʎ ʎ i s
titllés	t i ʎ ʎ 'e s
trotllo	t ɾ 'ɔ ʎ ʎ o
vetllam	b e ʎ ʎ 'a m
vetllar	b e ʎ ʎ 'a
vetllas	b e ʎ ʎ 'a s
vetllat	b e ʎ ʎ 'a t
vetllau	b e ʎ ʎ 'a u
vetllem	b e ʎ ʎ 'ɛ m
vetllen	b 'ɛ ʎ ʎ e n
vetlles	b 'ɛ ʎ ʎ e s
vetlleu	b e ʎ ʎ e 'u
vetllin	b 'ɛ ʎ ʎ i n
vetllis	b 'ɛ ʎ ʎ i s
vetllés	b e ʎ ʎ 'e s
Ametller	a m e ʎ ʎ 'e
Batllori	b a ʎ ʎ 'ɔ ɾ i
Montllau	m o n ʎ ʎ 'a u
Montlleó	m o n ʎ ʎ e 'o
Montllor	m o n ʎ ʎ 'o
Ratlleta	r a ʎ ʎ 'ɛ t a
Rotlleus	r o ʎ ʎ e 'u s
Santlleí	s a n ʎ ʎ e 'i
ametllat	a m e ʎ ʎ 'a t
ametller	a m e ʎ ʎ 'e
ametlles	a m 'ɛ ʎ ʎ e s
batllesa	b a ʎ ʎ 'ɛ z a
batllies	b a ʎ ʎ 'i e s
batllius	b a ʎ ʎ i 'u s
bitllada	b i ʎ ʎ 'a ð a
bitllant	b i ʎ ʎ 'a n
bitllara	b i ʎ ʎ 'a ɾ a
bitllare	b i ʎ ʎ 'a ɾ e
bitllarà	b i ʎ ʎ a ɾ 'a
bitllaré	b i ʎ ʎ a ɾ 'e
bitllats	b i ʎ ʎ 'a t s
bitllava	b i ʎ ʎ 'a β a
bitllera	b i ʎ ʎ 'e ɾ a
bitlleta	b i ʎ ʎ 'ɛ t a
bitllets	b i ʎ ʎ 'ɛ t s
bitllota	b i ʎ ʎ 'ɔ t a
bitllots	b i ʎ ʎ 'ɔ t s
butllada	b u ʎ ʎ 'a ð a
butllant	b u ʎ ʎ 'a n
butllari	b u ʎ ʎ 'a ɾ i
butllarà	b u ʎ ʎ a ɾ 'a
butllaré	b u ʎ ʎ a ɾ 'e
butllats	b u ʎ ʎ 'a t s
butllava	b u ʎ ʎ 'a β a
butlleta	b u ʎ ʎ 'ɛ t a
butlleti	b u ʎ ʎ 'ɛ t i
butlletí	b u ʎ ʎ e t 'i
butllofa	b u ʎ ʎ 'ɔ f a
desvetll	d e z β 'ɛ ʎ ʎ
emmotlla	a m m 'ɔ ʎ ʎ a
emmotlle	a m m 'ɔ ʎ ʎ e
emmotlli	a m m 'ɔ ʎ ʎ i
emmotllo	a m m 'ɔ ʎ ʎ o
emmotllà	a m m o ʎ ʎ 'a
emmotllí	a m m o ʎ ʎ 'i
enrotlla	a n 'ɔ ʎ ʎ a
enrotlle	a n 'ɔ ʎ ʎ e
enrotlli	a n 'ɔ ʎ ʎ i
enrotllo	a n 'ɔ ʎ ʎ o
enrotllà	a n ɾ o ʎ ʎ 'a
enrotllí	a n ɾ o ʎ ʎ 'i
espatlla	a s p 'a ʎ ʎ a
espatlle	a s p 'a ʎ ʎ e
espatlli	a s p 'a ʎ ʎ i
espatllo	a s p 'a ʎ ʎ o
espatllà	a s p a ʎ ʎ 'a
espatllí	a s p a ʎ ʎ 'i
espatlló	a s p a ʎ ʎ 'o
espitlla	a s p 'i ʎ ʎ a
espitlle	a s p 'i ʎ ʎ e
espitlli	a s p 'i ʎ ʎ i
espitllo	a s p 'i ʎ ʎ o
espitllà	a s p i ʎ ʎ 'a
espitllí	a s p i ʎ ʎ 'i
estancs	a s t 'a ŋ s
lunancs	l u n 'a ŋ s
navancs	n a β 'a ŋ s
palancs	p a l 'a ŋ s
salancs	s a l 'a ŋ s
tabancs	t a β 'a ŋ s
tovancs	t o β 'a ŋ s
xufancs	tʃ u f 'a ŋ s
barrancs	b a r 'a ŋ s
burxancs	b u ɾ tʃ 'a ŋ s
carrancs	k a r 'a ŋ s
corrancs	k o r 'a ŋ s
enfrancs	a n f ɾ 'a ŋ s
pellancs	p e ʎ 'a ŋ s
pollancs	p o ʎ 'a ŋ s
tarrancs	t a r 'a ŋ s
terrancs	t e r 'a ŋ s
verdancs	b e ð 'a ŋ s
cuajoncs	k u a ʒ 'o ŋ s
enfloncs	a n f l 'o ŋ k s
esbroncs	a z β ɾ 'o ŋ k s
lladoncs	ʎ a ð 'o ŋ k s
Gual	g w 'a l
Guam	g w 'a m
agua	'a ɣ u a
egua	'ɛ g w a
guai	g w 'a i
gual	g w 'a l
guas	g w 'a s
Aguas	a ɣ 'u a s
Guasc	g w 'a s k
Guasp	g w 'a s p
Igual	i ɣ u 'a l
aguam	a ɣ u 'a m
aguar	a ɣ u 'a
aguas	a ɣ 'u a s
aguat	a ɣ u 'a t
aguau	a ɣ u 'a
aigua	'a i ɣ u a
guaca	g w 'a k a
guaip	g w 'a j p
guais	g w 'a i s
guait	g u 'a j t
guaix	g w 'a j ʃ
guals	g w 'a l s
guano	g w 'a n o
guant	g w 'a n
guany	g w 'a ɲ
guapa	g w 'a p a
guapo	g w 'a p o
guara	g u 'a ɾ a
guard	g u 'a ɾ i
guari	g w 'a ɾ i
guarà	g w a ɾ 'a
guarí	g w a ɾ 'i
igual	i ɣ u 'a l
lagua	l 'a ɣ u a
nigua	n 'i ɣ u a
Aguado	a ɣ u 'a ð o
Aguadó	a ɣ u a ð 'o
Guaita	g u 'a j t a
Gualba	g u 'a l β a
Gualta	g w 'a l t a
Guansé	g w a n s 'e
Guants	g w 'a n s
Guarda	g u 'a ð a
Guardí	g w a ɾ d 'i
aguada	a ɣ u 'a ð a
aguait	a ɣ u 'a j t
aguant	a ɣ u 'a n
aguara	a ɣ u 'a ɾ a
aguare	a ɣ u 'a ɾ e
aguarà	a ɣ u a ɾ 'a
aguaré	a ɣ u a ɾ 'e
aguats	a ɣ u 'a t s
aguava	a ɣ u 'a β a
aigual	a i ɣ u 'a l
aiguat	a i ɣ u 'a t
bargua	b 'a ɾ g w a
duguay	d u g w 'a
exigua	e g z 'i ɣ u a
exígua	e g z 'i ɣ u a
guaiac	g w a j 'a k
guaimí	g w a j m 'i
guaips	g w a 'i p s
guaira	g u 'a j ɾ a
guaita	g u 'a j t a
guaite	g u 'a j t e
guaiti	g u 'a j t i
guaito	g u 'a j t o
guaità	g w a j t 'a
guaití	g w a j t 'i
guaixa	g w 'a j ʃ a
guaixe	g w 'a j ʃ e
guaixi	g w 'a j ʃ i
guaixo	g w 'a j ʃ o
guaixà	g w a j ʃ 'a
guaixí	g w a j ʃ 'i
gualdó	g w a l d 'o
gualós	g w a l 'o s
guanac	g w a n 'a k
guanos	g w 'a n o s
guants	g w 'a n s
guanxe	g w 'a n tʃ e
guanya	g w 'a ɲ a
guanye	g w 'a ɲ e
guanyi	g w 'a ɲ i
guanyo	g w 'a ɲ o
guanys	g w 'a ɲ s
guanyà	g w a ɲ 'a
guanyí	g w a ɲ 'i
guapes	g w 'a p e s
guapet	g w a p 'ɛ t
guapor	g w a p 'o
guapos	g w 'a p o s
guarda	g u 'a ð a
guarde	g u 'a ð e
guardi	g u 'a ɾ ð i
guardo	g u 'a ð o
guardà	g u a ð 'a
guardó	g w a ɾ d 'o
guarer	g w a ɾ 'e
guaret	g w a ɾ 'ɛ t
guaria	g w a ɾ 'i a
guarim	g w a ɾ 'i m
guarir	g w a ɾ 'i
guaris	g w 'a ɾ i s
guarit	g w a ɾ 'i t
guariu	g w a ɾ i 'u
guarix	g w a ɾ 'i tʃ
guarne	g u 'a n e
guarni	g u 'a ɾ n i
guarní	g w a ɾ n 'i
guarís	g w a ɾ 'i s
guasch	g w 'a s k
guaspa	g w 'a s p a
guatla	g w 'a t l a
iguala	i ɣ u 'a l a
iguale	i ɣ u 'a l e
iguali	i ɣ u 'a l i
igualo	i ɣ u 'a l o
iguals	i ɣ u 'a l s
igualt	i ɣ u 'a l
igualà	i ɣ u a l 'a
igualí	i ɣ u a l 'i
igualó	i ɣ u a l 'o
iguana	i ɣ u 'a n a
jaguar	dʒ a ɣ 'a
lingua	l 'i ŋ g w a
llegua	ʎ 'ɛ g w a
omagua	o m 'a ɣ u a
porgua	p 'ɔ ɾ g w a
rangua	r 'a ŋ g w a
Baigual	b a j ɣ u 'a l
Guaiana	g w a j 'a n a
Gualter	g w a l t 'e
Guardeu	g u 'a d 'ɛ 'u
Guarner	g w a n 'e
Laguart	l a ɣ u 'a t
Managua	m a n 'a ɣ u a
Mengual	m e ŋ g w 'a l
Reguant	r e ɣ u 'a n
Reguard	r e ɣ u 'a ɾ i
Uruguai	u ɾ u ɣ u 'a i
abargua	a β 'a ɾ g w a
aguades	a ɣ u 'a ð e s
aguaita	a ɣ u 'a j t a
aguaite	a ɣ u 'a j t e
aguaiti	a ɣ u 'a j t i
aguaito	a ɣ u 'a j t o
aguaits	a ɣ u a 'i t s
aguaità	a ɣ u a j t 'a
aguaití	a ɣ u a j t 'i
aguaitó	a ɣ u a j t 'o
aguanta	a ɣ u 'a n t a
aguante	a ɣ u 'a n t e
aguanti	a ɣ u 'a n t i
aguanto	a ɣ u 'a n t o
aguants	a ɣ u 'a n s
aguantà	a ɣ w a n t 'a
aguantí	a ɣ w a n t 'i
aguanés	a ɣ u a n 'e s
aguaran	a ɣ u a ɾ 'a n
aguaras	a ɣ u 'a ɾ a s
aguarem	a ɣ u a ɾ 'ɛ m
aguaren	a ɣ u 'a ɾ e n
aguares	a ɣ u 'a ɾ e s
aguareu	a ɣ 'u a ɾ 'ɛ 'u
aguaria	a ɣ u a ɾ 'i a
aguaràs	a ɣ u a ɾ 'a s
aguasil	a ɣ u a s 'i l
aguavem	a ɣ u a β 'ɛ m
aguaven	a ɣ u 'a β e n
aguaves	a ɣ u 'a β e s
aguaveu	a ɣ 'u a β 'ɛ 'u
aiguada	a i ɣ u 'a ð a
aiguadé	a j ɣ u a ð 'e
aiguali	a i ɣ u 'a l i
aiguall	a i ɣ u 'a ʎ
aiguals	a i ɣ u 'a l s
aigualí	a j ɣ u a l 'i
aiguats	a i ɣ u 'a t s
ambigua	a m b 'i ɣ u a
antigua	a n t 'i ɣ u a
ayguals	a ŋ g w 'a l s
baguala	b a ɣ u 'a l a
desguas	d e z ɣ u 'a s
eixagua	e j ʃ 'a ɣ u a
enaigua	a n 'a i ɣ u a
enguant	a ŋ g w 'a n
enguany	a ŋ g w 'a ɲ
