big	b 'i tʃ }
alellencs	ə l ə ʎ 'e n s }
alfarencs	ə l f ə ɾ 'e n s }
alionencs	ə l i o n 'e n s }
alzinencs	ə l z i n 'e n s }
arbocencs	ə ɾ β o s 'e n t s }
arenyencs	ə ɾ ə ɲ 'e n s }
argilencs	ə ɾ ʒ i l 'e n s }
artanencs	ə ɾ t ə n 'e n s }
artesencs	ə ɾ t ə z 'e n s }
asconencs	ə s k o n 'e n s }
bajanencs	b ə ʒ ə n 'e n s }
bastrencs	b ə s t ɾ 'e n s }
begurencs	b ə ɣ u ɾ 'e n s }
besorencs	b ə z o ɾ 'e n s }
bestiencs	b ə s t i 'e n s }
bianyencs	b i ə ɲ 'e n s }
bistiencs	b i s t i 'e n s }
brossencs	b ɾ o s 'e n s }
brullencs	b ɾ u ʎ 'e n s }
bulanencs	b u l ə n 'e n s }
cabalencs	k ə β ə l 'e n s }
cabanencs	k ə β ə n 'e n s }
cabilencs	k ə β i l 'e n s }
cabotencs	k ə β o t 'e n s }
canadencs	k ə n ə ð 'e n s }
canetencs	k ə n ə t 'e n s }
catinencs	k ə t i n 'e n s }
caçanencs	k ə s ə n 'e n s }
codinencs	k o ð i n 'e n s }
codolencs	k o ð o l 'e n s }
cogulencs	k o ɣ u l 'e n s }
colerencs	k o l ə ɾ 'e n s }
colomencs	k o l o m 'e n t s }
coponencs	k o p o n 'e n s }
cortsencs	k o ɾ t s 'e n s }
cudolencs	k u ð o l 'e n s }
cunitencs	k u n i t 'e n s }
deianencs	d ə j ə n 'e n s }
eguetencs	ə ɣ ə t 'e n s }
elfarencs	ə l f ə ɾ 'e n s }
escalencs	ə s k ə l 'e n s }
escobencs	ə s k o β 'e n s }
espasencs	ə s p ə z 'e n s }
espilencs	ə s p i l 'e n s }
espotencs	ə s p o t 'e n s }
estevencs	ə s t ə v 'e n s }
estiuencs	ə s t i w 'e n s }
estopencs	ə s t o p 'e n s }
faionencs	f ə j o n 'e n s }
famolencs	f ə m o l 'e n s }
feliuencs	f ə l i w 'e n s }
figolencs	f i ɣ o l 'e n s }
filipencs	f i l i p 'e n s }
fogarencs	f o ɣ ə ɾ 'e n s }
galerencs	g ə l ə ɾ 'e n s }
gavanencs	g ə v ə n 'e n s }
gelidencs	ʒ ə l i ð 'e n s }
graciencs	g ɾ ə s i 'e n s }
groguencs	g ɾ o ɣ 'e n s }
gualbencs	g w ə l β 'e n s }
gualtencs	g w ə l t 'e n s }
guilsencs	g i l s 'e n s }
homenencs	o m ə n 'e n s }
ilerdencs	i l ə ɾ ð 'e n s }
illesencs	i ʎ ə s 'e n s }
ivarsencs	i v ə ɾ s 'e n s }
juianencs	ʒ u j ə n 'e n s }
junedencs	ʒ u n ə ð 'e n s }
llebrencs	ʎ ə β ɾ 'e n s }
llersencs	ʎ ə s 'e n s }
lliviencs	ʎ i v i 'e n s }
lloarencs	ʎ o ə ɾ 'e n s }
llossencs	ʎ o s 'e n s }
maialencs	m ə j ə l 'e n s }
maianencs	m ə j ə n 'e n s }
marbrencs	m ə ɾ β ɾ 'e n s }
marinencs	m ə ɾ i n 'e n s }
masonencs	m ə z o n 'e n s }
maçanencs	m ə s ə n 'e n s }
menerencs	m ə n ə ɾ 'e n s }
milanencs	m i l ə n 'e n s }
molarencs	m o l ə ɾ 'e n s }
molinencs	m o l i n 'e n s }
moradencs	m o ɾ ə ð 'e n s }
morquencs	m o ɾ k 'e n s }
muserencs	m u z ə ɾ 'e n s }
nadalencs	n ə ð ə l 'e n s }
navatencs	n ə v ə t 'e n s }
navesencs	n ə v ə z 'e n s }
obertencs	o β ə ɾ t 'e n s }
ogassencs	o ɣ ə s 'e n s }
oliolencs	o l i o l 'e n s }
olostencs	o l o s t 'e n s }
omellencs	o m ə ʎ 'e n s }
ondarencs	o n d ə ɾ 'e n s }
ordinencs	o ɾ ð i n 'e n s }
orpinencs	o ɾ p i n 'e n s }
ovellencs	o v ə ʎ 'e n s }
palauencs	p ə l ə w 'e n s }
palolencs	p ə l o l 'e n s }
parisencs	p ə ɾ i s 'e n s }
paçanencs	p ə s ə n 'e n s }
pinetencs	p i n ə t 'e n s }
pinosencs	p i n o s 'e n s }
pirinencs	p i ɾ i n 'e n s }
pujalencs	p u ʒ ə l 'e n s }
puçolencs	p u s o l 'e n s }
quartencs	k w ə ɾ t 'e n s }
rafalencs	r ə f ə l 'e n s }
rapitencs	r ə p i t 'e n s }
redonencs	r ə ð o n 'e n s }
reialencs	r ə j ə l 'e n s }
renauencs	r ə n ə w 'e n s }
repelencs	r ə p ə l 'e n s }
rialpencs	r i ə l p 'e n s }
riberencs	r i β ə ɾ 'e n s }
riellencs	r i ə ʎ 'e n s }
rodesencs	r o ð ə z 'e n s }
rodonencs	r o ð o n 'e n s }
romeuencs	r o m ə w 'e n s }
rosadencs	r o z ə ð 'e n s }
rubinencs	r u β i n 'e n s }
rupitencs	r u p i t 'e n s }
safagencs	s ə f ə ʒ 'e n s }
saforencs	s ə f o ɾ 'e n s }
salouencs	s ə l o w 'e n s }
sanetencs	s ə n ə t 'e n s }
santsencs	s ə n s 'e n s }
sanuiencs	s ə n u i 'e n s }
savoiencs	s ə v o i 'e n s }
solerencs	s o l ə ɾ 'e n s }
teianencs	t ə j ə n 'e n s }
temorencs	t ə m o ɾ 'e n s }
tesanencs	t ə z ə n 'e n s }
tolugencs	t o l u ʒ 'e n s }
toranencs	t o ɾ ə n 'e n s }
tunisencs	t u n i s 'e n s }
ullanencs	u ʎ ə n 'e n s }
vajolencs	v ə ʒ o l 'e n s }
vidriencs	v i ð ɾ i 'e n s }
vilanencs	v i l ə n 'e n s }
vilarencs	v i l ə ɾ 'e n s }
vivenencs	v i v ə n 'e n s }
viverencs	v i v ə ɾ 'e n s }
xativencs	ʃ ə t i v 'e n s }
xixonencs	ʃ i t s o n 'e n s }
Estellencs	ə s t ə ʎ 'e n s }
adrianencs	ə ð ɾ i ə n 'e n s }
agrassencs	ə ɣ ɾ ə s 'e n s }
alaiorencs	ə l ə j o ɾ 'e n s }
albanyencs	ə l β ə ɲ 'e n s }
albiolencs	ə l β i o l 'e n s }
alcudiencs	ə l k u ð i 'e n s }
aldeanencs	ə l d ə ə n 'e n s }
alforgencs	ə l f o ɾ ʒ 'e n s }
almeriencs	ə l m ə ɾ i 'e n s }
almuniencs	ə l m u n i 'e n s }
amarguencs	ə m ə ɾ ɣ 'e n s }
ametllencs	ə m ə ʎ ʎ 'e n s }
aljub	ə l ʒ 'u β }
bínub	b 'i n u β }
encub	ə ŋ k 'u β }
enjub	ə n ʒ 'u t }
entub	ə n t 'u β }
estub	ə s t 'u β }
habub	ə β 'u β }
incub	i ŋ k 'u β }
intub	i n t 'u β }
jakub	ʒ ə k 'u β }
sucub	s u k 'u β }
súcub	s 'u k u β }
titub	t i t 'u β }
íncub	'i ŋ k u β }
Belcebub	b ə l s ə β 'u β }
aeroclub	ə ə ɾ o k l 'u β }
belzebub	b ə l z ə β 'u β }
cineclub	s i n ə k l 'u β }
desencub	d ə z ə ŋ k 'u β }
discopub	d i s k o p 'u β }
hipercub	i p ə ɾ k 'u β }
puticlub	p u t i k l 'u β }
teleclub	t ə l ə k l 'u β }
ensab	ə n s 'a p }
hijab	i ʒ 'a p }
kebab	k ə β 'a p }
nabab	n ə β 'a p }
nicab	n i k 'a p }
rebab	r ə β 'a p }
sòrab	s 'ɔ ɾ ə p }
Carib	k ə ɾ 'i p }
arrib	ə r 'i p }
carib	k ə ɾ 'i p }
estib	ə s t 'i p }
etzib	ə d z 'i p }
galib	g ə l 'i p }
gàlib	g 'a l i p }
labib	l ə β 'i p }
talib	t ə l 'i p }
deífob	d ə 'i f o p }
englob	ə ŋ g l 'o p }
enofob	ə n o f 'o p }
enòfob	ə n 'ɔ f o p }
liofob	l i o f 'o p }
liòfob	l i 'ɔ f o p }
mesrob	m ə s 'o p }
neofob	n ə o f 'o p }
neòfob	n ə 'ɔ f o p }
retrob	r ə t ɾ 'o p }
zoofob	z o o f 'o p }
zoòfob	z o 'ɔ f o p }
aerofob	ə ə ɾ o f 'o p }
aeròfob	ə ə ɾ 'ɔ f o p }
conglob	k o ŋ g l 'o p}
desadob	d ə z ə ð 'o p}
fotòfob	f o t 'ɔ f o p }
gotilob	g o t i l 'o p}
Abad	ə β 'a t }
Arad	ə ɾ 'a t }
Riad	r i 'a t }
Txad	ʃ 'a t }
fuad	f u 'a t }
grad	g ɾ 'a t }
imad	i m 'a t }
iyad	i 'a t }
mead	m ə 'a t }
quad	k w 'a t }
read	r e 'a t }
Accad	ə t s 'a t }
abbad	ə β β 'a t }
agrad	ə ɣ ɾ 'a t }
ahmad	ə o m 'a t }
apiad	ə p i 'a t }
aprad	ə p ɾ 'a t }
aqqad	a k 'a t }
enfad	ə n f 'a t }
espad	ə s p 'a t }
essad	ə s 'a t }
farad	f ə ɾ 'a t }
forad	f o ɾ 'a t }
gihad	ʒ i 'a t }
jihad	ʒ i 'a t }
nilad	n i l 'a t }
vagad	v ə ɣ 'a t }
acid	ə s 'i t }
amid	ə m 'i t }
arid	ə ɾ 'i t }
avid	ə v 'i t }
boid	b 'o i t }
buid	b 'u j t }
caid	k 'a j t }
crid	k ɾ 'i t }
cuid	k 'u j t }
enid	ə n 'i ð }
ibíd	i β 'i t }
ovid	o v 'i t }
oxid	o t s 'i t }
quid	k 'i t }
raid	r 'a j t }
reid	r 'ə j t }
said	s 'a j t }
suid	s 'u j t }
teid	t 'ə j t }
zeid	z 'ə j t }
àcid	'a s i t }
àfid	'a f i t }
àpid	'a p i t }
àrid	'a ɾ i t }
àvid	'a v i t }
òsid	'ɔ z i t }
òvid	'ɔ v i t }
òxid	'ɔ t s i t }
almud	ə l m 'u t }
armud	ə ɾ m 'u t }
denud	d ə n 'u t }
escud	ə s k 'u t }
exsud	ə t s s 'u t }
fraud	f ɾ ə 'u t }
lleud	ʎ ə 'u t }
remud	r ə m 'u t }
salud	s ə l 'u t }
viaud	v i ə 'u t }
Bermud	b ə ɾ m 'u t }
Talmud	t ə l m 'u t }
artaud	ə ɾ t ə 'u t }
desmud	d ə z m 'u t }
enfeud	ə n f ə 'u t }
enviud	ə n v i 'u t }
geraud	ʒ ə ɾ ə 'u t }
giraud	ʒ i ɾ ə 'u t }
hammud	ə m m 'u t }
infeud	i n f ə 'u t }
mahmud	m ə o 'u t }
piraud	p i ɾ ə 'u t }
rabaud	r ə β ə 'u t }
atlo	'a l l o }
atló	ə l l 'o }
atlas	'a l l ə s }
atles	'a l l ə s }
bitla	b 'i l l ə }
butla	b 'u l l ə }
rutle	r 'u l l ə }
rutlà	r u l l 'a }
rutló	r u l l 'o }
titlo	t 'i l l o }
vetli	v 'ɛ l l i }
Batliu	b ə l l 'i w }
Betlem	b ə l l 'e m }
Gotleu	g o l l 'ə w }
ametla	ə m 'ə l l ə }
ametló	ə m ə l l 'o }
atlant	ə l l 'a n t }
atleta	ə l l 'e t ə }
batlia	b ə l l 'i ə }
biatlo	b i 'a l l o }
biatló	b i ə l l 'o }
bitlar	b i l l 'a }
bitles	b 'i l l ə s }
bitlot	b i l l 'ɔ t }
butlan	b u l l 'a n }
butlar	b u l l 'a }
guatla	g w 'a l l ə }
motles	m 'ɔ l l ə s }
motlur	m o l l 'u }
rotlos	r 'ɔ l l o s }
rutlar	r u l l 'a }
rutlat	r u l l 'a t }
rutles	r 'u l l ə s }
rutlés	r u l l 'e s }
tatlin	t 'a l l i n }
vetlin	v 'ɛ l l i n }
vetlis	v 'ɛ l l i s }
Ametler	ə m ə l l 'e }
Novetlè	n o v ə l l 'ə }
abitlar	ə β i l l 'a }
ametlat	ə m ə l l 'a t }
ametler	ə m ə l l 'e }
ametles	ə m 'ə l l ə s }
amotlar	ə m o l l 'a }
armetla	ə ɾ m 'ə l l ə }
armetló	ə ɾ m ə l l 'o }
atlanta	ə l l 'a n t ə }
atlanto	ə l l 'a n t o }
atlants	ə l l 'a n t s }
atlesos	ə l l 'e z o s }
atletes	ə l l 'e t ə s }
atletic	ə l l ə t 'i k }
atlàsic	ə l l 'a z i k }
atlètic	ə l l 'ɛ t i k }
batlets	b ə l l 'e t s }
batlies	b ə l l 'i ə s }
batlius	b ə l l 'i w s }
betlems	b ə l l 'ə n s }
bitlada	b i l l 'a ð ə }
bitlera	b i l l 'e ɾ ə }
bitlots	b i l l 'ɔ t s }
butlari	b u l l 'a ɾ i }
catleia	k ə l l 'ə j ə }
decatlo	d ə k 'a l l o }
decatló	d ə k ə l l 'o }
emmotla	ə m m 'ɔ l l ə }
emmotle	ə m m 'ɔ l l ə }
emmotli	ə m m 'ɔ l l i }
emmotlo	ə m m 'ɔ l l o }
emmotlà	ə m m o l l 'a }
emmotlí	ə m m o l l 'i }
espatla	ə s p 'a l l ə }
espatli	ə s p 'a l l i }
espatlo	ə s p 'a l l o }
espatlà	ə s p ə l l 'a }
espatlí	ə s p ə l l 'i }
espatló	ə s p ə l l 'o }
gertler	ʒ ə ɾ ə l 'e }
guatles	g w 'a l l ə s }
guatlot	g w ə l l 'ɔ t }
Catllà	k ə ʎ ʎ 'a }
batlle	b 'a ʎ ʎ ə }
bitlla	b 'i ʎ ʎ ə }
bitlle	b 'i ʎ ʎ ə }
bitlli	b 'i ʎ ʎ i }
bitllo	b 'i ʎ ʎ o }
bitllà	b i ʎ ʎ 'a }
bitllí	b i ʎ ʎ 'i }
butlla	b 'u ʎ ʎ ə }
butlli	b 'u ʎ ʎ i }
butllo	b 'u ʎ ʎ o }
butllà	b u ʎ ʎ 'a }
butllí	b u ʎ ʎ 'i }
motlle	m 'ɔ ʎ ʎ ə }
motllo	m 'ɔ ʎ ʎ o }
ratlla	r 'a ʎ ʎ ə }
ratlle	r 'a ʎ ʎ ə }
ratlli	r 'a ʎ ʎ i }
ratllo	r 'a ʎ ʎ o }
ratllà	r ə ʎ ʎ 'a }
ratllí	r ə ʎ ʎ 'i }
rotlla	r 'ɔ ʎ ʎ ə }
rotlle	r 'ɔ ʎ ʎ ə }
rotlli	r 'ɔ ʎ ʎ i }
rotllo	r 'ɔ ʎ ʎ o }
rotllí	r o ʎ ʎ 'i }
rutlla	r 'u ʎ ʎ ə }
rutlle	r 'u ʎ ʎ ə }
rutlli	r 'u ʎ ʎ i }
rutllo	r 'u ʎ ʎ o }
rutllà	r u ʎ ʎ 'a }
rutllí	r u ʎ ʎ 'i }
titlla	t 'i ʎ ʎ ə }
titlle	t 'i ʎ ʎ ə }
titlli	t 'i ʎ ʎ i }
titllo	t 'i ʎ ʎ o }
titllà	t i ʎ ʎ 'a }
titllí	t i ʎ ʎ 'i }
vetlla	v 'ə ʎ ʎ ə }
vetlle	v 'ə ʎ ʎ ə }
vetlli	v 'ə ʎ ʎ i }
vetllo	v 'ə ʎ ʎ o }
vetllà	v ə ʎ ʎ 'a }
vetllí	v ə ʎ ʎ 'i }
Ametlla	ə m 'ə ʎ ʎ ə }
Catllar	k ə ʎ ʎ 'a }
Ratlleu	r ə ʎ ʎ 'ə w }
ametlla	ə m 'ə ʎ ʎ ə }
ametllo	ə m 'ə ʎ ʎ o }
ametlló	ə m ə ʎ ʎ 'o }
batlles	b 'a ʎ ʎ ə s }
batllia	b ə ʎ ʎ 'i ə }
batlliu	b ə ʎ ʎ 'i w }
bitllam	b i ʎ ʎ 'a m }
bitllar	b i ʎ ʎ 'a }
bitllas	b i ʎ ʎ 'a s }
bitllat	b i ʎ ʎ 'a t }
bitllau	b i ʎ ʎ 'a w }
bitllem	b i ʎ ʎ 'e m }
bitllen	b 'i ʎ ʎ ə n }
bitlles	b 'i ʎ ʎ ə s }
bitllet	b i ʎ ʎ 'e t }
bitlleu	b i ʎ ʎ 'ə w }
bitllin	b i ʎ ʎ 'i n }
bitllis	b 'i ʎ ʎ i s }
bitllot	b i ʎ ʎ 'ɔ t }
bitllés	b i ʎ ʎ 'e s }
butllar	b u ʎ ʎ 'a }
butllat	b u ʎ ʎ 'a t }
butllem	b u ʎ ʎ 'e m }
butllen	b 'u ʎ ʎ ə n }
butlles	b 'u ʎ ʎ ə s }
butlleu	b u ʎ ʎ 'ə w }
butllin	b u ʎ ʎ 'i n }
butllis	b 'u ʎ ʎ i s }
butllés	b u ʎ ʎ 'e s }
emmotll	ə m m 'o ʎ ʎ }
enrotll	ə n ɾ 'o ʎ ʎ }
espatll	ə s p 'a ʎ ʎ }
espitll	ə s p 'i ʎ ʎ }
guatlla	g w 'a ʎ ʎ ə }
motlles	m 'ɔ ʎ ʎ ə s }
motllos	m 'ɔ ʎ ʎ o s }
motllur	m o ʎ ʎ 'u }
ratllam	r ə ʎ ʎ 'a m }
ratllar	r ə ʎ ʎ 'a }
ratllas	r ə ʎ ʎ 'a s }
ratllat	r ə ʎ ʎ 'a t }
ratllau	r ə ʎ ʎ 'a w }
ratllem	r ə ʎ ʎ 'e m }
ratllen	r 'a ʎ ʎ ə n }
ratlles	r 'a ʎ ʎ ə s }
ratlleu	r ə ʎ ʎ 'ə w }
ratllin	r ə ʎ ʎ 'i n }
ratllis	r 'a ʎ ʎ i s }
ratllés	r ə ʎ ʎ 'e s }
rotllam	r o ʎ ʎ 'a m }
rotllan	r o ʎ ʎ 'a n }
rotllar	r o ʎ ʎ 'a }
rotllas	r o ʎ ʎ 'a s }
rotllat	r o ʎ ʎ 'a t }
rotllau	r o ʎ ʎ 'a w }
rotllem	r o ʎ ʎ 'e m }
rotllen	r 'ɔ ʎ ʎ ə n }
rotlles	r 'ɔ ʎ ʎ ə s }
rotllet	r o ʎ ʎ 'e t }
rotlleu	r o ʎ ʎ 'ə w }
rotllin	r o ʎ ʎ 'i n }
rotllis	r 'ɔ ʎ ʎ i s }
rotllos	r 'ɔ ʎ ʎ o s }
rotllàs	r o ʎ ʎ 'a s }
rotllés	r o ʎ ʎ 'e s }
rutllam	r u ʎ ʎ 'a m }
rutllar	r u ʎ ʎ 'a }
rutllas	r u ʎ ʎ 'a s }
rutllat	r u ʎ ʎ 'a t }
rutllau	r u ʎ ʎ 'a w }
rutllem	r u ʎ ʎ 'e m }
rutllen	r 'u ʎ ʎ ə n }
rutlles	r 'u ʎ ʎ ə s }
rutlleu	r u ʎ ʎ 'ə w }
rutllin	r u ʎ ʎ 'i n }
rutllis	r 'u ʎ ʎ i s }
rutllés	r u ʎ ʎ 'e s }
titllam	t i ʎ ʎ 'a m }
titllar	t i ʎ ʎ 'a }
titllas	t i ʎ ʎ 'a s }
titllat	t i ʎ ʎ 'a t }
titllau	t i ʎ ʎ 'a w }
titllem	t i ʎ ʎ 'e m }
titllen	t 'i ʎ ʎ ə n }
titlles	t 'i ʎ ʎ ə s }
titllet	t i ʎ ʎ 'e t }
titlleu	t i ʎ ʎ 'ə w }
titllin	t i ʎ ʎ 'i n }
titllis	t 'i ʎ ʎ i s }
titllés	t i ʎ ʎ 'e s }
trotllo	t ɾ 'ɔ ʎ ʎ o }
vetllam	v ə ʎ ʎ 'a m }
vetllar	v ə ʎ ʎ 'a }
vetllas	v ə ʎ ʎ 'a s }
vetllat	v ə ʎ ʎ 'a t }
vetllau	v ə ʎ ʎ 'a w }
vetllem	v ə ʎ ʎ 'e m }
vetllen	v 'e ʎ ʎ ə n }
vetlles	v 'ə ʎ ʎ ə s }
vetlleu	v ə ʎ ʎ 'ə w }
vetllin	v ə ʎ ʎ 'i n }
vetllis	v 'ə ʎ ʎ i s }
vetllés	v ə ʎ ʎ 'e s }
Ametller	ə m ə ʎ ʎ 'e }
Batllori	b ə ʎ ʎ 'ɔ ɾ i }
Montllau	m o n ʎ ʎ 'a w }
Montlleó	m o n ʎ ʎ ə 'o }
Montllor	m o n ʎ ʎ 'o }
Ratlleta	r ə ʎ ʎ 'e t ə }
Rotlleus	r o ʎ ʎ 'ə w s }
Santlleí	s ə n ʎ ʎ ə 'i }
ametllat	ə m ə ʎ ʎ 'a t }
ametller	ə m ə ʎ ʎ 'e }
ametlles	ə m 'ə ʎ ʎ ə s }
batllesa	b ə ʎ ʎ 'e z ə }
batllies	b ə ʎ ʎ 'i ə s }
batllius	b ə ʎ ʎ 'i w s }
bitllada	b i ʎ ʎ 'a ð ə }
bitllant	b i ʎ ʎ 'a n t }
bitllara	b i ʎ ʎ 'a ɾ ə }
bitllare	b i ʎ ʎ 'a ɾ ə }
bitllarà	b i ʎ ʎ ə ɾ 'a }
bitllaré	b i ʎ ʎ ə ɾ 'e }
bitllats	b i ʎ ʎ 'a t s }
bitllava	b i ʎ ʎ 'a v ə }
bitllera	b i ʎ ʎ 'e ɾ ə }
bitlleta	b i ʎ ʎ 'e t ə }
bitllets	b i ʎ ʎ 'e t s }
bitllota	b i ʎ ʎ 'ɔ t ə }
bitllots	b i ʎ ʎ 'ɔ t s }
butllada	b u ʎ ʎ 'a ð ə }
butllant	b u ʎ ʎ 'a n t }
butllari	b u ʎ ʎ 'a ɾ i }
butllarà	b u ʎ ʎ ə ɾ 'a }
butllaré	b u ʎ ʎ ə ɾ 'e }
butllats	b u ʎ ʎ 'a t s }
butllava	b u ʎ ʎ 'a v ə }
butlleta	b u ʎ ʎ 'e t ə }
butlleti	b u ʎ ʎ 'ə t i }
butlletí	b u ʎ ʎ ə t 'i }
butllofa	b u ʎ ʎ 'ɔ f ə }
desvetll	d ə z v 'ə ʎ ʎ }
emmotlla	ə m m 'ɔ ʎ ʎ ə }
emmotlle	ə m m 'ɔ ʎ ʎ ə }
emmotlli	ə m m 'ɔ v ʎ i }
emmotllo	ə m m 'ɔ ʎ ʎ o }
emmotllà	ə m m o ʎ ʎ 'a }
emmotllí	ə m m o ʎ ʎ 'i }
enrotlla	ə n ɾ 'ɔ ʎ ʎ ə }
enrotlle	ə n ɾ 'ɔ ʎ ʎ ə }
enrotlli	ə n ɾ 'ɔ ʎ ʎ i }
enrotllo	ə n ɾ 'ɔ ʎ ʎ o }
enrotllà	ə n ɾ o ʎ ʎ 'a }
enrotllí	ə n ɾ o ʎ ʎ 'i }
espatlla	ə s p 'a ʎ ʎ ə }
espatlle	ə s p 'a ʎ ʎ ə }
espatlli	ə s p 'a ʎ ʎ i }
espatllo	ə s p 'a ʎ ʎ o }
espatllà	ə s p ə ʎ ʎ 'a }
espatllí	ə s p ə ʎ ʎ 'i }
espatlló	ə s p ə ʎ ʎ 'o }
espitlla	ə s p 'i ʎ ʎ ə }
espitlle	ə s p 'i ʎ ʎ ə }
espitlli	ə s p 'i ʎ ʎ i }
espitllo	ə s p 'i ʎ ʎ o }
espitllà	ə s p i ʎ ʎ 'a }
espitllí	ə s p i ʎ ʎ 'i }
estancs	ə s t 'a n s }
lunancs	l u n 'a n s }
navancs	n ə v 'a n s }
palancs	p ə l 'a n s }
salancs	s ə l 'a n s }
tabancs	t ə β 'a n s }
tovancs	t o v 'a n s }
xufancs	ʃ u f 'a n s }
barrancs	b ə r 'a n s }
burxancs	b u ɾ ʃ 'a n s }
carrancs	k ə r 'a n s }
corrancs	k o r 'a n s }
enfrancs	ə n f ɾ 'a n s }
pellancs	p ə ʎ 'a n s }
pollancs	p o ʎ 'a n s }
tarrancs	t ə r 'a n s }
terrancs	t ə r 'a n s }
verdancs	v ə ɾ ð 'a n s }
cuajoncs	k u ə ʒ 'o n s }
enfloncs	ə n f l 'o n s }
esbroncs	ə z β ɾ 'o n s }
lladoncs	ʎ ə ð 'o n s }
Gual	g w 'a l }
Guam	g w 'a m }
agua	'a ɣ u ə }
egua	'ə g w ə }
guai	g w 'a i }
gual	g w 'a l }
guas	g w 'a s }
Aguas	a ɣ 'u ə s }
Guasc	g w 'a s k }
Guasp	g w 'a s p }
Igual	i ɣ u 'a l }
aguam	ə ɣ u 'a m }
aguar	ə ɣ 'a }
aguas	a ɣ 'u ə s }
aguat	ə ɣ 'a t }
aguau	ə ɣ 'a w }
aigua	'a j ɣ u ə }
guaca	g w 'a k ə }
guaip	g w ə 'i p }
guais	g w 'a i s }
guait	g w 'a j t }
guaix	g w 'a ʃ }
guals	g w 'a l s }
guano	g w 'a n o }
guant	g w 'a n t }
guany	g w 'a ɲ }
guapa	g w 'a p ə }
guapo	g w 'a p o }
guara	g w 'a ɾ ə }
guard	g w 'a ɾ ə }
guari	g w 'a ɾ i }
guarà	g w ə ɾ 'a }
guarí	g w ə ɾ 'i }
igual	i ɣ u 'a l }
lagua	l 'a ɣ ə }
nigua	n 'i ɣ u ə }
Aguado	ə ɣ u 'a ð o }
Aguadó	ə ɣ u ə ð 'o }
Guaita	g w 'a j t ə }
Gualba	g w 'a l β ə }
Gualta	g w 'a l t ə }
Guansé	g w ə n s 'e }
Guants	g w 'a n s }
Guarda	g w 'a ɾ ð ə }
Guardí	g w ə ɾ ð 'i }
aguada	ə ɣ u 'a ð ə }
aguait	ə ɣ u 'a j t }
aguant	ə ɣ u 'a n t }
aguara	ə ɣ u 'a ɾ ə }
aguare	ə ɣ u 'a ɾ ə }
aguarà	ə ɣ u ə ɾ 'a }
aguaré	ə ɣ ə ɾ 'e }
aguats	ə ɣ u 'a t s }
aguava	ə ɣ u 'a v ə }
aigual	ə j ɣ u 'a l }
aiguat	ə j ɣ u 'a t }
bargua	b 'a ɾ ɣ u ə }
duguay	d u ɣ 'a }
exigua	ə t s 'i ɣ u ə }
exígua	ə t s 'i ɣ u ə }
guaiac	g w ə j 'a k }
guaimí	g w ə i m 'i }
guaips	g w ə 'i p s }
guaira	g w 'a j ɾ ə }
guaita	g w 'a j t ə }
guaite	g w 'a j t ə }
guaiti	g w 'a j t i }
guaito	g w 'a j t o }
guaità	g w ə j t 'a }
guaití	g w ə j t 'i }
guaixa	g w 'a ʃ ə }
guaixe	g w 'a ʃ ə }
guaixi	g w 'a ʃ i }
guaixo	g w 'a ʃ o }
guaixà	g w ə ʃ 'a }
guaixí	g w ə ʃ 'i }
gualdó	g w ə l d 'o }
gualós	g w ə l 'o s }
guanac	g w ə n 'a k }
guanos	g w 'a n o s }
guants	g w 'a n s }
guanxe	g w 'a n ʃ ə }
guanya	g w 'a ɲ ə }
guanye	g w 'a ɲ ə }
guanyi	g w 'a ɲ i }
guanyo	g w 'a ɲ o }
guanys	g w 'a j n s }
guanyà	g w ə ɲ 'a }
guanyí	g w ə ɲ 'i }
guapes	g w 'a p ə s }
guapet	g w ə p 'e t }
guapor	g w ə p 'o }
guapos	g w 'a p o s }
guarda	g w 'a ɾ ð ə }
guarde	g w 'a ɾ ð ə }
guardi	g w 'a ɾ ð i }
guardo	g w 'a ɾ ð o }
guardà	g w ə ɾ ð 'a }
guardó	g w ə ɾ ð 'o }
guarer	g w ə ɾ 'e }
guaret	g w ə ɾ 'e t }
guaria	g w ə ɾ 'i ə }
guarim	g w ə ɾ 'i m }
guarir	g w ə ɾ 'i }
guaris	g w 'a ɾ i s }
guarit	g w ə ɾ 'i t }
guariu	g w ə ɾ 'i w }
guarix	g w ə ɾ 'i }
guarne	g w 'a ɾ n ə }
guarni	g w 'a ɾ n i }
guarní	g w ə ɾ n 'i }
guarís	g w ə ɾ 'i s }
guasch	g w 'a s k ə }
guaspa	g w 'a s p ə }
guatla	g w 'a t l ə }
iguala	i ɣ u 'a l ə }
iguale	i ɣ u 'a l ə }
iguali	i ɣ u 'a l i }
igualo	i ɣ u 'a l o }
iguals	i ɣ u 'a l s }
igualt	i ɣ u 'a l t }
igualà	i ɣ u ə l 'a }
igualí	i ɣ u ə l 'i }
igualó	i ɣ u ə l 'o }
iguana	i ɣ u 'a n ə }
jaguar	ʒ ə ɣ 'a }
lingua	l 'i ŋ g w ə }
llegua	ʎ ə ɣ 'u ə }
omagua	o m 'a ɣ ə }
porgua	p 'ɔ ɾ ɣ u ə }
rangua	r 'a ŋ g w ə }
Baigual	b ə j ɣ u 'a l }
Guaiana	g w ə j 'a n ə }
Gualter	g w ə l t 'e }
Guardeu	g w ə ɾ ð 'ɛ w }
