a	ə
depenent	d ə p ə n 'e n t
depengui	d ə p 'ɛ ŋ g i
depenguin	d ə p 'ɛ ŋ g i n
depengués	d ə p ə ŋ g 'e s
depenia	d ə p ə n 'i ə
depenien	d ə p ə n 'i ə n
depilació	d ə p i l ə s i 'o
depilar	d ə p i l 'a
depilarme	d ə p i l 'a ɾ m ə
deplora	d ə p l 'o ɾ ə
deplorable	d ə p l o ɾ 'a b b l ə
deplorables	d ə p l o ɾ 'a b b l ə s
deplorar	d ə p l o ɾ 'a
deploren	d ə p l 'o ɾ ə n
deportacions	d ə p o ɾ t ə s i 'o n s
deportació	d ə p o ɾ t ə s i 'o
deportar	d ə p o ɾ t 'a
deportat	d ə p o ɾ t 'a t
deportats	d ə p o ɾ t 'a t s
deportes	d ə p 'ɔ ɾ t ə s
deposar	d ə p o z 'a
deposat	d ə p o z 'a t
deposicionals	d ə p o z i s i o n 'a l s
deposicions	d ə p o z i s i 'o n s
deprecia	d ə p ɾ ə s 'i ə
depreciacions	d ə p ɾ ə s i ə s i 'o n s
depreciació	d ə p ɾ ə s i ə s i 'o
depreciar	d ə p ɾ ə s i 'a
depreciarse	d ə p ɾ ə s i 'a ɾ s ə
depreciat	d ə p ɾ ə s i 'a t
depredador	d ə p ɾ ə ð ə ð 'o
depredadora	d ə p ɾ ə ð ə ð 'o ɾ ə
depredadores	d ə p ɾ ə ð ə ð 'o ɾ ə s
depredadors	d ə p ɾ ə ð ə ð 'o s
depressions	d ə p ɾ ə s i 'o n s
depressiu	d ə p ɾ ə s 'i w
depressius	d ə p ɾ ə s 'i w s
depressiva	d ə p ɾ ə s 'i v ə
depressió	d ə p ɾ ə s i 'o
deprimeix	d ə p ɾ i m 'ə ʃ
deprimeixen	d ə p ɾ i m 'ə ʃ ə n
depriment	d ə p ɾ i m 'e n t
depriments	d ə p ɾ i m 'e n s
deprimida	d ə p ɾ i m 'i ð ə
deprimides	d ə p ɾ i m 'i ð ə s
deprimint	d ə p ɾ i m 'i n t
deprimir	d ə p ɾ i m 'i
deprimit	d ə p ɾ i m 'i t
deprimits	d ə p ɾ i m 'i t s
depuracions	d ə p u ɾ ə s i 'o n s
depuració	d ə p u ɾ ə s i 'o
depurada	d ə p u ɾ 'a ð ə
depurades	d ə p u ɾ 'a ð ə s
depurador	d ə p u ɾ ə ð 'o
depuradora	d ə p u ɾ ə ð 'o ɾ ə
depuradores	d ə p u ɾ ə ð 'o ɾ ə s
depurar	d ə p u ɾ 'a
depurarà	d ə p u ɾ ə ɾ 'a
depurat	d ə p u ɾ 'a t
depurats	d ə p u ɾ 'a t s
depurin	d ə p 'u ɾ i n
depèn	d ə p 'ə n
derbi	d 'ɛ ɾ β i
derbis	d 'ɛ ɾ β i s
deres	d 'e ɾ ə s
deriva	d ə ɾ 'i v ə
derivacions	d ə ɾ i v ə s i 'o n s
derivació	d ə ɾ i v ə s i 'o
derivada	d ə ɾ i v 'a ð ə
derivades	d ə ɾ i v 'a ð ə s
derivant	d ə ɾ i v 'a n t
derivar	d ə ɾ i v 'a
derivarien	d ə ɾ i v ə ɾ 'i ə n
derivarse	d ə ɾ i v 'a ɾ s ə
derivarà	d ə ɾ i v ə ɾ 'a
derivat	d ə ɾ i v 'a t
derivats	d ə ɾ i v 'a t s
deriven	d ə ɾ 'i v ə n
derives	d ə ɾ 'i v ə s
derivi	d ə ɾ 'i v i
derivin	d ə ɾ 'i v i n
dermatitis	d ə ɾ m ə t 'i t i s
dermatòlegs	d ə ɾ m ə t 'ɔ l ə ɣ s
derogació	d ə ɾ o ɣ ə s i 'o
derogar	d ə ɾ o ɣ 'a
derogat	d ə ɾ o ɣ 'a t
derrapat	d ə r ə p 'a t
derrocament	d ə r o k ə m 'e n t
derrocar	d ə r o k 'a
derrocat	d ə r o k 'a t
derrota	d ə r 'ɔ t ə
derrotada	d ə r o t 'a ð ə
derrotades	d ə r o t 'a ð ə s
derrotant	d ə r o t 'a n t
derrotar	d ə r o t 'a
derrotarla	d ə r o t 'a ɾ l ə
derrotarlo	d ə r o t 'a ɾ l o
derrotat	d ə r o t 'a t
derrotats	d ə r o t 'a t s
derroten	d ə r 'o t ə n
derrotes	d ə r 'ɔ t ə s
derroti	d ə r 'ɔ t i
derrotisme	d ə r o t 'i z m ə
derrotista	d ə r o t 'i s t ə
derrotés	d ə r o t 'e s
derruïts	d ə r u 'i t s
des	d 'e s
desa	d 'ə z ə
desaccelera	d ə z ə t s ə l 'e ɾ ə
desacceleració	d ə z ə t s ə l ə ɾ ə s i 'o
desaccelerantse	d ə z ə t s ə l ə ɾ 'a n s ə
desaccelerar	d ə z ə t s ə l ə ɾ 'a
desaccelerat	d ə z ə t s ə l ə ɾ 'a t
desacomplexada	d ə z ə k o m p l ə t s 'a ð ə
desacomplexadament	d ə z ə k o m p l ə t s ˌ a ð ə m 'e n t
desacomplexament	d ə z ə k o m p l ˌ e t s ə m 'e n t
desacomplexat	d ə z ə k o m p l ə t s 'a t
desaconsella	d ə z ə k o n s 'e ʎ ə
desaconsellada	d ə z ə k o n s ə ʎ 'a ð ə
desaconsellar	d ə z ə k o n s ə ʎ 'a
desaconsellava	d ə z ə k o n s ə ʎ 'a v ə
desacord	d ə z ə k 'o ɾ t
desacords	d ə z ə k 'o ɾ t s
desacredita	d ə z ə k ɾ ə ð 'i t ə
desacreditada	d ə z ə k ɾ ə ð i t 'a ð ə
desacreditar	d ə z ə k ɾ ə ð i t 'a
desacreditarlo	d ə z ə k ɾ ə ð i t 'a ɾ l o
desacreditat	d ə z ə k ɾ ə ð i t 'a t
desactiva	d ə z ə t t 'i v ə
desactivació	d ə z ə t t i v ə s i 'o
desactivada	d ə z ə t t i v 'a ð ə
desactivades	d ə z ə t t i v 'a ð ə s
desactivar	d ə z ə t t i v 'a
desactivaries	d ə z ə t t i v ə ɾ 'i ə s
desactivarà	d ə z ə t t i v ə ɾ 'a
desactivat	d ə z ə t t i v 'a t
desactivats	d ə z ə t t i v 'a t s
desactivin	d ə z ə t t 'i v i n
desades	d ə z 'a ð ə s
desafavorides	d ə z ə f ə v o ɾ 'i ð ə s
desafavorits	d ə z ə f ə v o ɾ 'i t s
desafecció	d ə z ə f ə t s i 'o
desafia	d ə z ə f 'i ə
desafiament	d ə z ə f i ə m 'e n t
desafiaments	d ə z ə f i ə m 'e n s
desafiant	d ə z ə f i 'a n t
desafiants	d ə z ə f i 'a n s
desafiar	d ə z ə f i 'a
desafiat	d ə z ə f i 'a t
desafiaven	d ə z ə f i 'a v ə n
desafien	d ə z ə f 'i ə n
desafinar	d ə z ə f i n 'a
desaforada	d ə z ə f o ɾ 'a ð ə
desaforadament	d ə z ə f o ɾ ˌ a ð ə m 'e n t
desaforat	d ə z ə f o ɾ 'a t
desafortunada	d ə z ə f o ɾ t u n 'a ð ə
desafortunadament	d ə z ə f o ɾ t u n ˌ a ð ə m 'e n t
desafortunades	d ə z ə f o ɾ t u n 'a ð ə s
desafortunat	d ə z ə f o ɾ t u n 'a t
desafortunats	d ə z ə f o ɾ t u n 'a t s
desagrada	d ə z ə ɣ ɾ 'a ð ə
desagradable	d ə z ə ɣ ɾ ə ð 'a b b l ə
desagradablement	d ə z ə ɣ ɾ ə ð ˌ a b b l ə m 'e n t
desagradables	d ə z ə ɣ ɾ ə ð 'a b b l ə s
desagraït	d ə z ə ɣ ɾ ə 'i t
desajust	d ə z ə ʒ 'u s t
desajustament	d ə z ə ʒ ˌ u s t ə m 'e n t
desajustaments	d ə z ə ʒ u s t ə m 'e n s
desajustarse	d ə z ə ʒ u s t 'a ɾ s ə
desajustos	d ə z ə ʒ 'u s t o s
desallotgés	d ə z ə ʎ o dʒ 'e s
desallotja	d ə z ə ʎ 'o dʒ ə
desallotjada	d ə z ə ʎ o dʒ 'a ð ə
desallotjades	d ə z ə ʎ o dʒ 'a ð ə s
desallotjament	d ə z ə ʎ o dʒ ə m 'e n t
desallotjaments	d ə z ə ʎ o dʒ ə m 'e n s
desallotjar	d ə z ə ʎ o dʒ 'a
desallotjarlos	d ə z ə ʎ o dʒ 'a ɾ l o s
desallotjat	d ə z ə ʎ o dʒ 'a t
desallotjats	d ə z ə ʎ o dʒ 'a t s
desamor	d ə z ə m 'o
desamors	d ə z ə m 'o s
desamortització	d ə z ə m o ɾ t i d z ə s i 'o
desanima	d ə z ə n 'i m ə
desanimar	d ə z ə n i m 'a
desanimarlo	d ə z ə n i m 'a ɾ l o
desanimat	d ə z ə n i m 'a t
desanimats	d ə z ə n i m 'a t s
desant	d ə z 'a n t
desapareguda	d ə z ə p ə ɾ ə ɣ 'u ð ə
desaparegudes	d ə z ə p ə ɾ ə ɣ 'u ð ə s
desapareguessin	d ə z ə p ə ɾ ə ɣ 'e s i n
desaparegui	d ə z ə p ə ɾ 'ɛ ɣ i
desapareguin	d ə z ə p ə ɾ 'ɛ ɣ i n
desaparegut	d ə z ə p ə ɾ ə ɣ 'u t
desapareguts	d ə z ə p ə ɾ ə ɣ 'u t s
desaparegué	d ə z ə p ə ɾ ə ɣ 'e
desaparegués	d ə z ə p ə ɾ ə ɣ 'e s
desapareix	d ə z ə p ə ɾ 'ə ʃ
desapareixen	d ə z ə p ə ɾ 'ə ʃ ə n
desapareixent	d ə z ə p ə ɾ ə ʃ 'e n t
desapareixeran	d ə z ə p ə ɾ ə ʃ ə ɾ 'a n
desapareixeria	d ə z ə p ə ɾ ə ʃ ə ɾ 'i ə
desapareixerà	d ə z ə p ə ɾ ə ʃ ə ɾ 'a
desapareixia	d ə z ə p ə ɾ ə ʃ 'i ə
desapareixien	d ə z ə p ə ɾ ə ʃ 'i ə n
desaparicions	d ə z ə p ə ɾ i s i 'o n s
desaparició	d ə z ə p ə ɾ i s i 'o
desaparèixer	d ə z ə p ə ɾ 'ə ʃ ə
desapassionada	d ə z ə p ə s i o n 'a ð ə
desapercebuda	d ə z ə p ə ɾ s ə β 'u ð ə
desapercebudes	d ə z ə p ə ɾ s ə β 'u ð ə s
desapercebut	d ə z ə p ə ɾ s ə β 'u t
desapercebuts	d ə z ə p ə ɾ s ə β 'u t s
desaprensiu	d ə z ə p ɾ ə n s 'i w
desaprensius	d ə z ə p ɾ ə n s 'i w s
desaprofita	d ə z ə p ɾ o f 'i t ə
desaprofitada	d ə z ə p ɾ o f i t 'a ð ə
desaprofitades	d ə z ə p ɾ o f i t 'a ð ə s
desaprofitant	d ə z ə p ɾ o f i t 'a n t
desaprofitar	d ə z ə p ɾ o f i t 'a
desaprofitarla	d ə z ə p ɾ o f i t 'a ɾ l ə
desaprofitat	d ə z ə p ɾ o f i t 'a t
desaprofités	d ə z ə p ɾ o f i t 'e s
desaprova	d ə z ə p ɾ 'o v ə
desaprovació	d ə z ə p ɾ o v ə s i 'o
desaprovar	d ə z ə p ɾ o v 'a
desaproven	d ə z ə p ɾ 'o v ə n
desapuntar	d ə z ə p u n t 'a
desapuntat	d ə z ə p u n t 'a t
desar	d ə z 'a
desarhi	d ə z 'a ɾ i
desaries	d ə z ə ɾ 'i ə s
desarma	d ə z 'a ɾ m ə
desarmada	d ə z ə ɾ m 'a ð ə
desarmament	d ə z ə ɾ m ə m 'e n t
desarmar	d ə z ə ɾ m 'a
desarmarse	d ə z ə ɾ m 'a ɾ s ə
desarmat	d ə z ə ɾ m 'a t
desarmats	d ə z ə ɾ m 'a t s
desarmi	d ə z 'a ɾ m i
desarrelament	d ə z ə r ə l ə m 'e n t
desarrelat	d ə z ə r ə l 'a t
desarrelats	d ə z ə r ə l 'a t s
desarticula	d ə z ə ɾ t i k 'u l ə
desarticulació	d ə z ə ɾ t i k u l ə s i 'o
desarticulada	d ə z ə ɾ t i k u l 'a ð ə
desarticular	d ə z ə ɾ t i k u l 'a
desarticulat	d ə z ə ɾ t i k u l 'a t
desarticulats	d ə z ə ɾ t i k u l 'a t s
desassistit	d ə z ə s i s t 'i t
desassossec	d ə z ə s o s 'ɛ k
desassossegant	d ə z ə s o s ə ɣ 'a n t
desastre	d ə z 'a s t ɾ ə
desastres	d ə z 'a s t ɾ ə s
desastrosa	d ə z ə s t ɾ 'o z ə
desastroses	d ə z ə s t ɾ 'o z ə s
desastrosos	d ə z ə s t ɾ 'o z o s
desastrós	d ə z ə s t ɾ 'o s
desat	d ə z 'a t
desatenció	d ə z ə t ə n s i 'o
desatendre	d ə z ə t 'e n d ɾ ə
desatenent	d ə z ə t ə n 'e n t
desateses	d ə z ə t 'ə z ə s
desatesos	d ə z ə t 'ə z o s
desatès	d ə z ə t 'ə s
desautoritza	d ə z ə w t o ɾ 'i d z ə
desautorització	d ə z ə w t o ɾ i d z ə s i 'o
desautoritzar	d ə z ə w t o ɾ i d z 'a
desautoritzat	d ə z ə w t o ɾ i d z 'a t
desautoritzava	d ə z ə w t o ɾ i d z 'a v ə
desautoritzi	d ə z ə w t o ɾ 'i d z i
desava	d ə z 'a v ə
desavantatge	d ə z ə v ə n t 'a dʒ ə
desavantatges	d ə z ə v ə n t 'a dʒ ə s
desavinences	d ə z ə v i n 'ɛ n s ə s
desavinença	d ə z ə v i n 'ɛ n s ə
desballestadors	d ə z β ə ʎ ə s t ə ð 'o s
desballestament	d ə z β ə ʎ ə s t ə m 'e n t
desballestar	d ə z β ə ʎ ə s t 'a
desballestat	d ə z β ə ʎ ə s t 'a t
desbanca	d ə z β 'a ŋ k ə
desbancant	d ə z β ə ŋ k 'a n t
desbancar	d ə z β ə ŋ k 'a
desbancat	d ə z β ə ŋ k 'a t
desbandada	d ə z β ə n d 'a ð ə
desbanquen	d ə z β 'a ŋ k ə n
desbaratar	d ə z β ə ɾ ə t 'a
desbloquegi	d ə z β l o k 'ɛ ʒ i
desbloqueig	d ə z β l o k 'ɛ tʃ
desbloqueja	d ə z β l o k 'ɛ ʒ ə
desbloquejar	d ə z β l o k ə ʒ 'a
desbloquejaries	d ə z β l o k ə ʒ ə ɾ 'i ə s
desbloquejarla	d ə z β l o k ə ʒ 'a ɾ l ə
desbloquejarse	d ə z β l o k ə ʒ 'a ɾ s ə
desbloquejat	d ə z β l o k ə ʒ 'a t
desbocada	d ə z β o k 'a ð ə
desbocades	d ə z β o k 'a ð ə s
desbocat	d ə z β o k 'a t
desborda	d ə z β 'o ɾ ð ə
desbordada	d ə z β o ɾ ð 'a ð ə
desbordades	d ə z β o ɾ ð 'a ð ə s
desbordament	d ə z β o ɾ ð ə m 'e n t
desbordant	d ə z β o ɾ ð 'a n t
desbordar	d ə z β o ɾ ð 'a
desbordarvos	d ə z β o ɾ ð 'a ɾ v o s
desbordat	d ə z β o ɾ ð 'a t
desbordats	d ə z β o ɾ ð 'a t s
desbordava	d ə z β o ɾ ð 'a v ə
desborden	d ə z β 'o ɾ ð ə n
desbordeu	d ə z β o ɾ ð 'ɛ w
descabellada	d ə s k ə β ə ʎ 'a ð ə
descafeïnada	d ə s k ə f ə i n 'a ð ə
descafeïnat	d ə s k ə f ə i n 'a t
descalç	d ə s k 'a l s
descalça	d ə s k 'a l s ə
descalços	d ə s k 'a l s o s
descampat	d ə s k ə m p 'a t
descampats	d ə s k ə m p 'a t s
descans	d ə s k 'a n s
descansa	d ə s k 'a n s ə
descansada	d ə s k ə n s 'a ð ə
descansant	d ə s k ə n s 'a n t
descansar	d ə s k ə n s 'a
descansareu	d ə s k ə n s ə ɾ 'ɛ w
descansarà	d ə s k ə n s ə ɾ 'a
descansat	d ə s k ə n s 'a t
descansats	d ə s k ə n s 'a t s
descansava	d ə s k ə n s 'a v ə
descansen	d ə s k 'a n s ə n
descanseu	d ə s k ə n s 'ɛ w
descansi	d ə s k 'a n s i
descansin	d ə s k 'a n s i n
descanso	d ə s k 'a n s o
descansos	d ə s k 'a n s o s
descapitalització	d ə s k ə p i t ə l i d z ə s i 'o
descapotable	d ə s k ə p o t 'a b b l ə
descarada	d ə s k ə ɾ 'a ð ə
descaradament	d ə s k ə ɾ ˌ a ð ə m 'e n t
descarades	d ə s k ə ɾ 'a ð ə s
descarat	d ə s k ə ɾ 'a t
descarats	d ə s k ə ɾ 'a t s
descarnada	d ə s k ə ɾ n 'a ð ə
descarnadament	d ə s k ə ɾ n ˌ a ð ə m 'e n t
descarnat	d ə s k ə ɾ n 'a t
descarrega	d ə s k ə r 'ə ɣ ə
descarregable	d ə s k ə r ə ɣ 'a b b l ə
descarregables	d ə s k ə r ə ɣ 'a b b l ə s
descarregada	d ə s k ə r ə ɣ 'a ð ə
descarregades	d ə s k ə r ə ɣ 'a ð ə s
descarregant	d ə s k ə r ə ɣ 'a n t
descarregar	d ə s k ə r ə ɣ 'a
descarregaria	d ə s k ə r ə ɣ ə ɾ 'i ə
descarregaries	d ə s k ə r ə ɣ ə ɾ 'i ə s
descarregarla	d ə s k ə r ə ɣ 'a ɾ l ə
descarregarlo	d ə s k ə r ə ɣ 'a ɾ l o
descarregarne	d ə s k ə r ə ɣ 'a ɾ n ə
descarregarse	d ə s k ə r ə ɣ 'a ɾ s ə
descarregat	d ə s k ə r ə ɣ 'a t
descarregats	d ə s k ə r ə ɣ 'a t s
descarregava	d ə s k ə r ə ɣ 'a v ə
descarreguen	d ə s k ə r 'e ɣ ə n
descarregues	d ə s k ə r 'ə ɣ ə s
descarregui	d ə s k ə r 'ɛ ɣ i
descarreguin	d ə s k ə r 'ɛ ɣ i n
descarrilament	d ə s k ə r i l ə m 'e n t
descarrilar	d ə s k ə r i l 'a
descarta	d ə s k 'a ɾ t ə
descartable	d ə s k ə ɾ t 'a b b l ə
descartada	d ə s k ə ɾ t 'a ð ə
descartades	d ə s k ə ɾ t 'a ð ə s
descartant	d ə s k ə ɾ t 'a n t
descartar	d ə s k ə ɾ t 'a
descartarho	d ə s k ə ɾ t 'a ɾ o
descartaria	d ə s k ə ɾ t ə ɾ 'i ə
descartat	d ə s k ə ɾ t 'a t
descartats	d ə s k ə ɾ t 'a t s
descartava	d ə s k ə ɾ t 'a v ə
descartaven	d ə s k ə ɾ t 'a v ə n
descartem	d ə s k ə ɾ t 'ə m
descarten	d ə s k 'a ɾ t ə n
descarti	d ə s k 'a ɾ t i
descarto	d ə s k 'a ɾ t o
descatalogats	d ə s k ə t ə l o ɣ 'a t s
descavalcar	d ə s k ə v ə l k 'a
descendeix	d ə t s ə n d 'ə ʃ
descendent	d ə t s ə n d 'e n t
descendents	d ə t s ə n d 'e n s
descendir	d ə t s ə n d 'i
descendit	d ə t s ə n d 'i t
descendits	d ə t s ə n d 'i t s
descendència	d ə t s ə n d 'ə n s i ə
descens	d ə t s 'ə n s
descensos	d ə t s 'e n s o s
descentralització	d ə t s ə n t ɾ ə l i d z ə s i 'o
descentralitzada	d ə t s ə n t ɾ ə l i d z 'a ð ə
descentralitzades	d ə t s ə n t ɾ ə l i d z 'a ð ə s
descentralitzador	d ə t s ə n t ɾ ə l i d z ə ð 'o
descentralitzadora	d ə t s ə n t ɾ ə l i d z ə ð 'o ɾ ə
descentralitzar	d ə t s ə n t ɾ ə l i d z 'a
descentralitzat	d ə t s ə n t ɾ ə l i d z 'a t
descentralitzats	d ə t s ə n t ɾ ə l i d z 'a t s
descentrar	d ə t s ə n t ɾ 'a
descentrat	d ə t s ə n t ɾ 'a t
descentrats	d ə t s ə n t ɾ 'a t s
descerebrat	d ə t s ə ɾ ə β ɾ 'a t
descerebrats	d ə t s ə ɾ ə β ɾ 'a t s
desclot	d ə s k l 'ɔ t
descobert	d ə s k o β 'ɛ ɾ t
descoberta	d ə s k o β 'ɛ ɾ t ə
descobertes	d ə s k o β 'ɛ ɾ t ə s
descoberts	d ə s k o β 'ɛ ɾ s
descobreix	d ə s k o β ɾ 'ə ʃ
descobreixen	d ə s k o β ɾ 'ə ʃ ə n
descobreixes	d ə s k o β ɾ 'ə ʃ ə s
descobreixi	d ə s k o β ɾ 'ə ʃ i
descobreixin	d ə s k o β ɾ 'ə ʃ i n
descobreixo	d ə s k o β ɾ 'ə ʃ o
descobria	d ə s k o β ɾ 'i ə
descobridor	d ə s k o β ɾ i ð 'o
descobridors	d ə s k o β ɾ i ð 'o s
descobrim	d ə s k o β ɾ 'i m
descobriment	d ə s k o β ɾ i m 'e n t
descobriments	d ə s k o β ɾ i m 'e n s
descobrint	d ə s k o β ɾ 'i n t
descobrir	d ə s k o β ɾ 'i
descobriran	d ə s k o β ɾ i ɾ 'a n
descobrirem	d ə s k o β ɾ i ɾ 'ə m
descobriren	d ə s k o β ɾ 'i ɾ ə n
descobrireu	d ə s k o β ɾ i ɾ 'ɛ w
descobrirhi	d ə s k o β ɾ 'i ɾ i
descobrirho	d ə s k o β ɾ 'i ɾ o
descobrirles	d ə s k o β ɾ 'i ɾ l ə s
descobrirlo	d ə s k o β ɾ 'i ɾ l o
descobrirne	d ə s k o β ɾ 'i ɾ n ə
descobrirse	d ə s k o β ɾ 'i ɾ s ə
descobrirà	d ə s k o β ɾ i ɾ 'a
descobriré	d ə s k o β ɾ i ɾ 'e
descobrissin	d ə s k o β ɾ 'i s i n
descobriu	d ə s k o β ɾ 'i w
descobrí	d ə s k o β ɾ 'i
descobrís	d ə s k o β ɾ 'i s
descobríssim	d ə s k o β ɾ 'i s i m
descodificador	d ə s k o ð i f i k ə ð 'o
descodificadors	d ə s k o ð i f i k ə ð 'o s
descodificar	d ə s k o ð i f i k 'a
descolocada	d ə s k o l o k 'a ð ə
descolocar	d ə s k o l o k 'a
descolocat	d ə s k o l o k 'a t
descolocats	d ə s k o l o k 'a t s
descolonització	d ə s k o l o n i d z ə s i 'o
descompensació	d ə s k o m p ə n s ə s i 'o
descompensat	d ə s k o m p ə n s 'a t
descompondre	d ə s k o m p 'o n d ɾ ə
descomponen	d ə s k o m p 'o n ə n
descomposició	d ə s k o m p o z i s i 'o
descompostes	d ə s k o m p 'o s t ə s
descompressió	d ə s k o m p ɾ ə s i 'o
descomprimida	d ə s k o m p ɾ i m 'i ð ə
descompta	d ə s k 'o m t ə
descomptada	d ə s k o m t 'a ð ə
descomptant	d ə s k o m t 'a n t
descomptar	d ə s k o m t 'a
descomptat	d ə s k o m t 'a t
descompte	d ə s k 'o m t ə
descomptem	d ə s k o m t 'ə m
descompten	d ə s k 'o m t ə n
descomptes	d ə s k 'o m t ə s
descompto	d ə s k 'o m t o
descomunal	d ə s k o m u n 'a l
descomunals	d ə s k o m u n 'a l s
desconcentració	d ə s k o n s ə n t ɾ ə s i 'o
desconcentrats	d ə s k o n s ə n t ɾ 'a t s
desconcert	d ə s k o n s 'ɛ ɾ t
desconcerta	d ə s k o n s 'ɛ ɾ t ə
desconcertada	d ə s k o n s ə ɾ t 'a ð ə
desconcertant	d ə s k o n s ə ɾ t 'a n t
desconcertants	d ə s k o n s ə ɾ t 'a n s
desconcertar	d ə s k o n s ə ɾ t 'a
desconcertat	d ə s k o n s ə ɾ t 'a t
desconcertats	d ə s k o n s ə ɾ t 'a t s
desconec	d ə s k o n 'ɛ k
desconeguda	d ə s k o n ə ɣ 'u ð ə
desconegudes	d ə s k o n ə ɣ 'u ð ə s
desconeguin	d ə s k o n 'ɛ ɣ i n
desconegut	d ə s k o n ə ɣ 'u t
desconeguts	d ə s k o n ə ɣ 'u t s
desconegués	d ə s k o n ə ɣ 'e s
desconeix	d ə s k o n 'ə ʃ
desconeixem	d ə s k o n ə ʃ 'ə m
desconeixement	d ə s k o n ə ʃ ə m 'e n t
desconeixen	d ə s k o n 'ə ʃ ə n
desconeixença	d ə s k o n ə ʃ 'ɛ n s ə
desconeixes	d ə s k o n 'ə ʃ ə s
desconeixeu	d ə s k o n ə ʃ 'ɛ w
desconeixia	d ə s k o n ə ʃ 'i ə
desconeixien	d ə s k o n ə ʃ 'i ə n
desconeixíem	d ə s k o n ə ʃ 'i ə m
desconfia	d ə s k o m f 'i ə
desconfiada	d ə s k o m f i 'a ð ə
desconfiances	d ə s k o m f i 'a n s ə s
desconfiança	d ə s k o m f i 'a n s ə
desconfiar	d ə s k o m f i 'a
desconfiat	d ə s k o m f i 'a t
desconfiats	d ə s k o m f i 'a t s
desconfien	d ə s k o m f 'i ə n
descongelació	d ə s k o n ʒ ə l ə s i 'o
descongelar	d ə s k o n ʒ ə l 'a
descongestionar	d ə s k o n ʒ ə s t i o n 'a
desconnecta	d ə s k o n n 'e t t ə
desconnectada	d ə s k o n n ə t t 'a ð ə
desconnectar	d ə s k o n n ə t t 'a
desconnectaria	d ə s k o n n ə t t ə ɾ 'i ə
desconnectaries	d ə s k o n n ə t t ə ɾ 'i ə s
desconnectarles	d ə s k o n n ə t t 'a ɾ l ə s
desconnectarse	d ə s k o n n ə t t 'a ɾ s ə
desconnectat	d ə s k o n n ə t t 'a t
desconnectats	d ə s k o n n ə t t 'a t s
desconnexions	d ə s k o n n ə t s i 'o n s
desconnexió	d ə s k o n n ə t s i 'o
desconsideracions	d ə s k o n s i ð ə ɾ ə s i 'o n s
desconsideració	d ə s k o n s i ð ə ɾ ə s i 'o
desconsiderat	d ə s k o n s i ð ə ɾ 'a t
desconsol	d ə s k o n s 'ɔ l
desconsolada	d ə s k o n s o l 'a ð ə
descontaminació	d ə s k o n t ə m i n ə s i 'o
descontent	d ə s k o n t 'e n t
descontenta	d ə s k o n t 'e n t ə
descontentament	d ə s k o n t ə n t ə m 'e n t
descontentes	d ə s k o n t 'e n t ə s
descontents	d ə s k o n t 'e n s
descontrol	d ə s k o n t ɾ 'ɔ l
descontrola	d ə s k o n t ɾ 'ɔ l ə
descontrolada	d ə s k o n t ɾ o l 'a ð ə
descontrolades	d ə s k o n t ɾ o l 'a ð ə s
descontrolar	d ə s k o n t ɾ o l 'a
descontrolat	d ə s k o n t ɾ o l 'a t
descontrolats	d ə s k o n t ɾ o l 'a t s
desconvoca	d ə s k o m v 'o k ə
desconvocada	d ə s k o m v o k 'a ð ə
desconvocar	d ə s k o m v o k 'a
desconvocaries	d ə s k o m v o k ə ɾ 'i ə s
desconvocat	d ə s k o m v o k 'a t
desconvocatòria	d ə s k o m v o k ə t 'ɔ ɾ i ə
desconvoquen	d ə s k o m v 'o k ə n
desconèixer	d ə s k o n 'ə ʃ ə
descoordinació	d ə s k o o ɾ ð i n ə s i 'o
descoratjador	d ə s k o ɾ ə dʒ ə ð 'o
descoratjadors	d ə s k o ɾ ə dʒ ə ð 'o s
descosit	d ə s k o z 'i t
descosits	d ə s k o z 'i t s
descregut	d ə s k ɾ ə ɣ 'u t
descreguts	d ə s k ɾ ə ɣ 'u t s
descric	d ə s k ɾ 'i k
descripcions	d ə s k ɾ i t s i 'o n s
descripció	d ə s k ɾ i t s i 'o
descriptible	d ə s k ɾ i t t 'i b b l ə
descriptiu	d ə s k ɾ i t t 'i w
descriptius	d ə s k ɾ i t t 'i w s
descriptiva	d ə s k ɾ i t t 'i v ə
descriptores	d ə s k ɾ i t t 'o ɾ ə s
descrit	d ə s k ɾ 'i t
descrita	d ə s k ɾ 'i t ə
descrites	d ə s k ɾ 'i t ə s
descrits	d ə s k ɾ 'i t s
descriu	d ə s k ɾ 'i w
descriuen	d ə s k ɾ 'i w ə n
descriure	d ə s k ɾ 'i w ɾ ə
descriurel	d ə s k ɾ i w ɾ 'ɛ l
descriurela	d ə s k ɾ i w ɾ 'ɛ l ə
descriurem	d ə s k ɾ i w ɾ 'ə m
descrivia	d ə s k ɾ i v 'i ə
descrèdit	d ə s k ɾ 'ə ð i t
descubertes	d ə s k u β 'ɛ ɾ t ə s
descubriment	d ə s k ˌ u β ɾ i m 'e n t
descubrimientos	d ə s k u β ɾ i m i 'e n t o s
descuida	d ə s k 'u j ð ə
descuidar	d ə s k u j ð 'a
descuidat	d ə s k u j ð 'a t
descuiden	d ə s k 'u j ð ə n
descuit	d ə s k 'u j t
descurança	d ə s k u ɾ 'a n s ə
descàrrega	d ə s k 'a r ə ɣ ə
descàrregues	d ə s k 'a r ə ɣ ə s
desde	d 'e z ð ə
