a	ə
buscaraons	b u s k ə ɾ ə 'o n s
buscarem	b u s k ə ɾ 'ɛ m
buscareu	b u s k ə ɾ 'ɛ w
buscarhi	b u s k 'a ɾ i
buscarho	b u s k 'a ɾ u
buscaria	b u s k ə ɾ 'i ə
buscaries	b u s k ə ɾ 'i ə s
buscarla	b u s k 'a r l ə
buscarles	b u s k 'a r l ə s
buscarli	b u s k 'a r l i
buscarlo	b u s k 'a r l u
buscarlos	b u s k 'a r l u s
buscarne	b u s k 'a r n ə
buscarse	b u s k 'a r s ə
buscarà	b u s k ə ɾ 'a
buscaré	b u s k ə ɾ 'e
buscat	b u s k 'a t
buscats	b u s k 'a t s
buscava	b u s k 'a β ə
buscaven	b u s k 'a β ə n
busco	b 'u s k u
buscàvem	b u s k 'a β ə m
bush	b 'u s
busos	b 'u z u s
busquem	b u s k 'ɛ m
busquen	b 'u s k ə n
busques	b 'u s k ə s
busqueu	b u s k 'ɛ w
busqueuvos	b u s k 'ɛ w β u s
busqui	b 'u s k i
busquin	b 'u s k i n
busquis	b 'u s k i s
busqués	b u s k 'e s
busquéssiu	b u s k 'e s i w
busseig	b u s 'ɛ tʃ
busseja	b u s 'ɛ ʒ ə
bussejadors	b u s ə ʒ ə ð 'o s
bussos	b 'u s u s
bust	b 'u s t
bustos	b 'u s t u s
butaca	b u t 'a k ə
butaner	b u t ə n 'e
butaques	b u t 'a k ə s
butlla	b 'u ʎ ʎ ə
butlleta	b u ʎ ʎ 'ɛ t ə
butlletes	b u ʎ ʎ 'ɛ t ə s
butlletins	b u ʎ ʎ ə t 'i n s
butlletí	b u ʎ ʎ ə t 'i
butxaca	b u t ʃ 'a k ə
butxaques	b u t ʃ 'a k ə s
butà	b u t 'a
bàculs	b 'a k u l s
bàdminton	b 'a d m i n t u n
bàlsam	b 'a l s ə m
bàltica	b 'a l t i k ə
bàltics	b 'a l t i k s
bàltiques	b 'a l t i k ə s
bàndol	b 'a n d u l
bàndols	b 'a n d u l s
bàrbar	b 'a ɾ β ə
bàrbara	b 'a ɾ β ə ɾ ə
bàrbares	b 'a ɾ β ə ɾ ə s
bàrbars	b 'a ɾ β ə s
bàrman	b 'a r m ə n
bàscula	b 'a s k u l ə
bàscules	b 'a s k u l ə s
bàsic	b 'a z i k
bàsica	b 'a z i k ə
bàsics	b 'a z i k s
bàsiques	b 'a z i k ə s
bàsquet	b 'a s k ə t
bèlgica	b 'ɛ l ʒ i k ə
bèlic	b 'ɛ l i k
bèlica	b 'ɛ l i k ə
bèlics	b 'ɛ l i k s
bèliques	b 'ɛ l i k ə s
bèstia	b 'ɛ s t i ə
bèsties	b 'ɛ s t i ə s
bètic	b 'ɛ t i k
bètica	b 'ɛ t i k ə
bètics	b 'ɛ t i k s
bé	b 'e
béns	b 'e n s
bíblia	b 'i β l i ə
bíblic	b 'i β l i k
bíblica	b 'i β l i k ə
bíblics	b 'i β l i k s
bíbliques	b 'i β l i k ə s
bíceps	b 'i s ə p s
bífidus	b 'i f i ð u s
bípede	b 'i p ə ð ə
bòfia	b 'ɔ f i ə
bòlit	b 'ɔ l i t
bóta	b 'o t ə
búfal	b 'u f ə l
búfals	b 'u f ə l s
búlgar	b 'u l ɣ ə r
búlgara	b 'u l ɣ ə ɾ ə
búlgars	b 'u l ɣ ə r s
búnquer	b 'u ŋ k ə r
búnquers	b 'u ŋ k ə r s
bústia	b 'u s t i ə
bústies	b 'u s t i ə s
ca	k 'a
cabal	k ə β 'a l
cabals	k ə β 'a l s
cabana	k ə β 'a n ə
cabanes	k ə β 'a n ə s
cabanya	k ə β 'a ɲ ə
cabanyes	k ə β 'a ɲ ə s
cabaret	k ə β ə ɾ 'ɛ t
cabareter	k ə β ə ɾ ə t 'e
cabaretera	k ə β ə ɾ ə t 'e ɾ ə
cabarets	k ə β ə ɾ 'ɛ t s
cabassos	k ə β 'a s u s
cabdal	k ə b d 'a l
cabdals	k ə b d 'a l s
cabdell	k ə b d 'e ʎ
cabdells	k ə b d 'e ʎ s
cabdill	k ə b d 'i ʎ
cabdills	k ə b d 'i ʎ s
cabell	k ə β 'ɛ ʎ
cabellera	k ə β ə ʎ 'e ɾ ə
cabelleres	k ə β ə ʎ 'e ɾ ə s
cabells	k ə β 'ɛ ʎ s
cabem	k ə β 'ɛ m
caben	k 'a β ə n
cabia	k ə β 'i ə
cabien	k ə β 'i ə n
cabilencs	k ə β i l 'ɛ ŋ s
cabina	k ə β 'i n ə
cabines	k ə β 'i n ə s
cabirol	k ə β i ɾ 'ɔ l
cabirons	k ə β i ɾ 'o n s
cablatge	k ə b b l 'a d ʒ ə
cable	k 'a b b l ə
cablejades	k ə b b l ə ʒ 'a ð ə s
cablejar	k ə b b l ə ʒ 'a
cablejat	k ə b b l ə ʒ 'a t
cablejats	k ə b b l ə ʒ 'a t s
cablemòdem	k ə b b l ə m 'ɔ ð ə m
cableoperador	k ə b b l ə u p ə ɾ ə ð 'o
cables	k 'a b b l ə s
cabo	k 'a β u
cabota	k ə β 'ɔ t ə
cabra	k 'a β ɾ ə
cabran	k ə β ɾ 'a n
cabre	k 'a β ɾ ə
cabrera	k ə β ɾ 'e ɾ ə
cabres	k 'a β ɾ ə s
cabretes	k ə β ɾ 'ɛ t ə s
cabriola	k ə β ɾ i 'ɔ l ə
cabrioles	k ə β ɾ i 'ɔ l ə s
cabron	k ə β ɾ 'o n
cabrons	k ə β ɾ 'o n s
cabró	k ə β ɾ 'o
cabuda	k ə β 'u ð ə
cabàs	k ə β 'a s
cabíem	k ə β 'i ə m
cabòria	k ə β 'ɔ ɾ i ə
cabòries	k ə β 'ɔ ɾ i ə s
cac	k 'a k
caca	k 'a k ə
cacaolat	k ə k ə u l 'a t
cacarea	k ə k ə ɾ 'ɛ ə
cacau	k ə k 'a w
cacen	k 'a s ə n
cacera	k ə s 'e ɾ ə
caceres	k ə s 'e ɾ ə s
caces	k 'a s ə s
cacic	k ə s 'i k
cacics	k ə s 'i k s
caciquil	k ə s i k 'i l
caciquisme	k ə s i k 'i z m ə
cactus	k 'a k t u s
cacumen	k ə k 'u m ə n
cada	k 'a ð ə
cadafal	k ə ð ə f 'a l
cadascuns	k ə ð ə s k 'u n s
cadastral	k ə ð ə s t ɾ 'a l
cadastrals	k ə ð ə s t ɾ 'a l s
cadastre	k ə ð 'a s t ɾ ə
cadavegadaque	k ə ð ə β ə ɣ ə ð 'a k ə
cadell	k ə ð 'e ʎ
cadells	k ə ð 'e ʎ s
cadena	k ə ð 'ɛ n ə
cadenat	k ə ð ə n 'a t
cadenes	k ə ð 'ɛ n ə s
cadeneta	k ə ð ə n 'ɛ t ə
cadernera	k ə ð ə r n 'e ɾ ə
cadet	k ə ð 'ɛ t
cadira	k ə ð 'i ɾ ə
cadirarobot	k ə ð i ɾ ə ɾ u β 'ɔ t
cadires	k ə ð 'i ɾ ə s
cadireta	k ə ð i ɾ 'ɛ t ə
cadiretes	k ə ð i ɾ 'ɛ t ə s
cadis	k 'a ð i s
cadmi	k 'a d m i
caduc	k ə ð 'u k
caduca	k ə ð 'u k ə
caducada	k ə ð u k 'a ð ə
caducades	k ə ð u k 'a ð ə s
caducar	k ə ð u k 'a
caducat	k ə ð u k 'a t
caducats	k ə ð u k 'a t s
caducitat	k ə ð u s i t 'a t
caducs	k ə ð 'u k s
caduquen	k ə ð 'u k ə n
caduques	k ə ð 'u k ə s
cadàver	k ə ð 'a β ə r
cadàvers	k ə ð 'a β ə r s
cadència	k ə ð 'ɛ n s i ə
cadències	k ə ð 'ɛ n s i ə s
cadí	k ə ð 'i
cafetera	k ə f ə t 'e ɾ ə
cafeteria	k ə f ə t ə ɾ 'i ə
cafeteries	k ə f ə t ə ɾ 'i ə s
cafetó	k ə f ə t 'o
cafeïna	k ə f ə 'i n ə
cafè	k ə f 'ɛ
cafès	k ə f 'ɛ s
cafèteatre	k ə f 'ɛ t e ə t ɾ ə
caga	k 'a ɣ ə
cagada	k ə ɣ 'a ð ə
cagades	k ə ɣ 'a ð ə s
caganer	k ə ɣ ə n 'e
caganers	k ə ɣ ə n 'e s
cagar	k ə ɣ 'a
cagarla	k ə ɣ 'a r l ə
cagat	k ə ɣ 'a t
cagats	k ə ɣ 'a t s
cago	k 'a ɣ u
cagués	k ə ɣ 'e s
caiac	k ə j 'a k
caic	k 'a j k
caiem	k ə j 'ɛ m
caient	k ə j 'e n
caiguda	k ə j ɣ 'u ð ə
caigudes	k ə j ɣ 'u ð ə s
caiguessin	k ə j ɣ 'e s i n
caigueu	k ə j ɣ 'ɛ w
caigui	k 'a j ɣ i
caiguin	k 'a j ɣ i n
caigut	k ə j ɣ 'u t
caiguts	k ə j ɣ 'u t s
caigué	k ə j ɣ 'e
caigués	k ə j ɣ 'e s
caire	k 'a j ɾ ə
caixa	k 'a ʃ ə
caixer	k ə ʃ 'e
caixera	k ə ʃ 'e ɾ ə
caixeres	k ə ʃ 'e ɾ ə s
caixers	k ə ʃ 'e s
caixes	k 'a ʃ ə s
caixeta	k ə ʃ 'ɛ t ə
caixetes	k ə ʃ 'ɛ t ə s
caixmirians	k ə ʃ m i ɾ i 'a n s
caixó	k ə ʃ 'o
cal	k 'a l
cala	k 'a l ə
calabossos	k ə l ə β 'o s u s
calabruix	k ə l ə β ɾ 'u ʃ
calabruixar	k ə l ə β ɾ u ʃ 'a
calabruixarà	k ə l ə β ɾ u ʃ ə ɾ 'a
calabós	k ə l ə β 'o s
calades	k ə l 'a ð ə s
calaix	k ə l 'a ʃ
calaixera	k ə l ə ʃ 'e ɾ ə
calaixeres	k ə l ə ʃ 'e ɾ ə s
calaixets	k ə l ə ʃ 'ɛ t s
calaixos	k ə l 'a ʃ u s
calamars	k ə l ə m 'a r s
calamarsa	k ə l ə m 'a r s ə
calamarsada	k ə l ə m ə r s 'a ð ə
calamitat	k ə l ə m i t 'a t
calamitats	k ə l ə m i t 'a t s
calant	k ə l 'a n
calar	k ə l 'a
calarse	k ə l 'a r s ə
calat	k ə l 'a t
calataiud	k ə l ə t ə j 'u t
calavera	k ə l ə β 'e ɾ ə
calaveres	k ə l ə β 'e ɾ ə s
calb	k 'a l p
calba	k 'a l β ə
calbs	k 'a l p s
calc	k 'a l k
calcada	k ə l k 'a ð ə
calcades	k ə l k 'a ð ə s
calcar	k ə l k 'a
calcari	k ə l k 'a ɾ i
calcat	k ə l k 'a t
calcats	k ə l k 'a t s
calcen	k 'a l s ə n
calces	k 'a l s ə s
calci	k 'a l s i
calcinada	k ə l s i n 'a ð ə
calcinades	k ə l s i n 'a ð ə s
calcinar	k ə l s i n 'a
calcinat	k ə l s i n 'a t
calcinats	k ə l s i n 'a t s
calcula	k ə l k 'u l ə
calculada	k ə l k u l 'a ð ə
calculades	k ə l k u l 'a ð ə s
calculador	k ə l k u l ə ð 'o
calculadora	k ə l k u l ə ð 'o ɾ ə
calculadores	k ə l k u l ə ð 'o ɾ ə s
calculant	k ə l k u l 'a n
calcular	k ə l k u l 'a
calcularà	k ə l k u l ə ɾ 'a
calculat	k ə l k u l 'a t
calculats	k ə l k u l 'a t s
calculava	k ə l k u l 'a β ə
calculaven	k ə l k u l 'a β ə n
calculem	k ə l k u l 'ɛ m
calculen	k ə l k 'u l ə n
calcules	k ə l k 'u l ə s
calculi	k ə l k 'u l i
calculo	k ə l k 'u l u
calcària	k ə l k 'a ɾ i ə
calcàries	k ə l k 'a ɾ i ə s
calda	k 'a l d ə
caldencs	k ə l d 'ɛ ŋ s
caldera	k ə l d 'e ɾ ə
calderers	k ə l d ə ɾ 'e s
calderos	k ə l d 'e ɾ u s
calders	k ə l d 'e s
caldersiana	k ə l d ə r s i 'a n ə
caldes	k 'a l d ə s
caldo	k 'a l d u
caldran	k ə l d ɾ 'a n
caldre	k 'a l d ɾ ə
caldria	k ə l d ɾ 'i ə
caldrien	k ə l d ɾ 'i ə n
caldrà	k ə l d ɾ 'a
calefacció	k ə l ə f ə k s i 'o
calella	k ə l 'e ʎ ə
calen	k 'a l ə n
calendari	k ə l ə n d 'a ɾ i
calendaris	k ə l ə n d 'a ɾ i s
calent	k ə l 'e n
calenta	k ə l 'e n t ə
calentador	k ə l ə n t ə ð 'o
calentes	k ə l 'e n t ə s
calentons	k ə l ə n t 'o n s
calents	k ə l 'e n s
calentó	k ə l ə n t 'o
caler	k ə l 'ɛ
cales	k 'a l ə s
caleta	k ə l 'ɛ t ə
calfreds	k ə l f ɾ 'ɛ t s
calgui	k 'a l ɣ i
calguin	k 'a l ɣ i n
calgut	k ə l ɣ 'u t
calgué	k ə l ɣ 'e
calgués	k ə l ɣ 'e s
calia	k ə l 'i ə
calibració	k ə l i β ɾ ə s i 'o
calibrar	k ə l i β ɾ 'a
calibre	k ə l 'i β ɾ ə
calidesa	k ə l i ð 'ɛ z ə
calidoscopi	k ə l i ð u s k 'ɔ p i
calidoscòpica	k ə l i ð u s k 'ɔ p i k ə
calien	k ə l 'i ə n
califa	k ə l 'i f ə
califat	k ə l i f 'a t
californiana	k ə l i f u r n i 'a n ə
californianes	k ə l i f u r n i 'a n ə s
californians	k ə l i f u r n i 'a n s
californià	k ə l i f u r n i 'a
califòrnia	k ə l i f 'ɔ r n i ə
caligrafia	k ə l i ɣ ɾ ə f 'i ə
calitja	k ə l 'i d ʒ ə
caliu	k ə l 'i w
call	k 'a ʎ
calla	k 'a ʎ ə
callada	k ə ʎ 'a ð ə
callades	k ə ʎ 'a ð ə s
callant	k ə ʎ 'a n
callar	k ə ʎ 'a
callarà	k ə ʎ ə ɾ 'a
callat	k ə ʎ 'a t
callats	k ə ʎ 'a t s
callava	k ə ʎ 'a β ə
callaven	k ə ʎ 'a β ə n
callem	k ə ʎ 'ɛ m
callen	k 'a ʎ ə n
calles	k 'a ʎ ə s
calli	k 'a ʎ i
callin	k 'a ʎ i n
callo	k 'a ʎ u
calls	k 'a ʎ s
calm	k 'a l m
calma	k 'a l m ə
calmada	k ə l m 'a ð ə
calmant	k ə l m 'a n
calmar	k ə l m 'a
calmarse	k ə l m 'a r s ə
calmarvos	k ə l m 'a ɾ β u s
calmat	k ə l m 'a t
calmats	k ə l m 'a t s
calmes	k 'a l m ə s
calmi	k 'a l m i
calor	k ə l 'o
calories	k ə l u ɾ 'i ə s
calorosa	k ə l u ɾ 'o z ə
calorosos	k ə l u ɾ 'o z u s
calors	k ə l 'o s
calorós	k ə l u ɾ 'o s
calumnia	k ə l u m n 'i ə
calumniadors	k ə l u m n i ə ð 'o s
calumniar	k ə l u m n i 'a
calvari	k ə l β 'a ɾ i
calze	k 'a l z ə
calàbria	k ə l 'a β ɾ i ə
calç	k 'a l s
calça	k 'a l s ə
calçada	k ə l s 'a ð ə
calçades	k ə l s 'a ð ə s
calçador	k ə l s ə ð 'o
calçat	k ə l s 'a t
calçoina	k ə l s 'ɔ j n ə
calçons	k ə l s 'o n s
calçot	k ə l s 'ɔ t
calçotada	k ə l s u t 'a ð ə
calçotets	k ə l s u t 'ɛ t s
calçots	k ə l s 'ɔ t s
calés	k ə l 'e s
calòrica	k ə l 'ɔ ɾ i k ə
caló	k ə l 'o
calúmnia	k ə l 'u m n i ə
calúmnies	k ə l 'u m n i ə s
cama	k 'a m ə
camada	k ə m 'a ð ə
camafeu	k ə m ə f 'ɛ w
camaleons	k ə m ə l ə 'o n s
camaleònic	k ə m ə l ə 'ɔ n i k
camaleònica	k ə m ə l ə 'ɔ n i k ə
camaleó	k ə m ə l ə 'o
camarada	k ə m ə ɾ 'a ð ə
camaraderia	k ə m ə ɾ ə ð ə ɾ 'i ə
camarades	k ə m ə ɾ 'a ð ə s
camarilla	k ə m ə ɾ 'i ʎ ə
cambotja	k ə m b 'ɔ d ʒ ə
cambotjana	k ə m b u d ʒ 'a n ə
cambra	k 'a m b ɾ ə
cambrer	k ə m b ɾ 'e
cambrera	k ə m b ɾ 'e ɾ ə
cambreres	k ə m b ɾ 'e ɾ ə s
cambrers	k ə m b ɾ 'e s
cambres	k 'a m b ɾ ə s
cambrils	k ə m b ɾ 'i l s
cambrística	k ə m b ɾ 'i s t i k ə
camell	k ə m 'e ʎ
camells	k ə m 'e ʎ s
cameral	k ə m ə ɾ 'a l
camerals	k ə m ə ɾ 'a l s
camerino	k ə m ə ɾ 'i n u
camerinos	k ə m ə ɾ 'i n u s
camerunesos	k ə m ə ɾ u n 'ɛ z u s
camerunès	k ə m ə ɾ u n 'ɛ s
camerí	k ə m ə ɾ 'i
cames	k 'a m ə s
camina	k ə m 'i n ə
caminada	k ə m i n 'a ð ə
caminades	k ə m i n 'a ð ə s
caminal	k ə m i n 'a l
caminant	k ə m i n 'a n
caminants	k ə m i n 'a n s
caminar	k ə m i n 'a
caminat	k ə m i n 'a t
caminava	k ə m i n 'a β ə
caminaven	k ə m i n 'a β ə n
caminem	k ə m i n 'ɛ m
caminen	k ə m 'i n ə n
caminets	k ə m i n 'ɛ t s
caminis	k ə m 'i n i s
camino	k ə m 'i n u
camins	k ə m 'i n s
camioner	k ə m i u n 'e
camioners	k ə m i u n 'e s
camioneta	k ə m i u n 'ɛ t ə
camionetes	k ə m i u n 'ɛ t ə s
camions	k ə m i 'o n s
camisa	k ə m 'i z ə
camises	k ə m 'i z ə s
camiseta	k ə m i z 'ɛ t ə
camisetes	k ə m i z 'ɛ t ə s
camió	k ə m i 'o
camp	k 'a m
campa	k 'a m p ə
campament	k ə m p ə m 'e n
campaments	k ə m p ə m 'e n s
campana	k ə m p 'a n ə
campanada	k ə m p ə n 'a ð ə
campanades	k ə m p ə n 'a ð ə s
campanar	k ə m p ə n 'a
campanars	k ə m p ə n 'a s
campanes	k ə m p 'a n ə s
campaneta	k ə m p ə n 'ɛ t ə
campanetes	k ə m p ə n 'ɛ t ə s
campanya	k ə m p 'a ɲ ə
campanyes	k ə m p 'a ɲ ə s
campen	k 'a m p ə n
camperol	k ə m p ə ɾ 'ɔ l
camperola	k ə m p ə ɾ 'ɔ l ə
camperoles	k ə m p ə ɾ 'ɔ l ə s
camperols	k ə m p ə ɾ 'ɔ l s
campestre	k ə m p 'e s t ɾ ə
campi	k 'a m p i
campiona	k ə m p i 'o n ə
campionat	k ə m p i u n 'a t
campionats	k ə m p i u n 'a t s
campiones	k ə m p i 'o n ə s
campions	k ə m p i 'o n s
campista	k ə m p 'i s t ə
campió	k ə m p i 'o
campo	k 'a m p u
camps	k 'a m s
campus	k 'a m p u s
camufla	k ə m 'u f l ə
camuflada	k ə m u f l 'a ð ə
camuflades	k ə m u f l 'a ð ə s
camuflar	k ə m u f l 'a
camuflat	k ə m u f l 'a t
camuflatge	k ə m u f l 'a d ʒ ə
camuflats	k ə m u f l 'a t s
camèlies	k ə m 'ɛ l i ə s
camí	k ə m 'i
canadenc	k ə n ə ð 'ɛ ŋ
canadenca	k ə n ə ð 'ɛ ŋ k ə
canadencs	k ə n ə ð 'ɛ ŋ s
canadenques	k ə n ə ð 'ɛ ŋ k ə s
canadà	k ə n ə ð 'a
canal	k ə n 'a l
canalitza	k ə n ə l 'i d z ə
canalitzacions	k ə n ə l i d z ə s i 'o n s
canalització	k ə n ə l i d z ə s i 'o
canalitzar	k ə n ə l i d z 'a
canalitzarles	k ə n ə l i d z 'a r l ə s
canalitzarà	k ə n ə l i d z ə ɾ 'a
canalitzat	k ə n ə l i d z 'a t
canalitzats	k ə n ə l i d z 'a t s
canalitzen	k ə n ə l 'i d z ə n
canalitzeu	k ə n ə l i d z 'ɛ w
canalitzeules	k ə n ə l i d z 'ɛ w l ə s
canalla	k ə n 'a ʎ ə
canalles	k ə n 'a ʎ ə s
canals	k ə n 'a l s
canari	k ə n 'a ɾ i
canaris	k ə n 'a ɾ i s
canberra	k ə m b 'ɛ r ə
cancela	k ə n s 'ɛ l ə
cancelacions	k ə n s ə l ə s i 'o n s
cancelació	k ə n s ə l ə s i 'o
cancelada	k ə n s ə l 'a ð ə
cancelar	k ə n s ə l 'a
cancelat	k ə n s ə l 'a t
cancelats	k ə n s ə l 'a t s
canceller	k ə n s ə ʎ 'e
cancelleria	k ə n s ə ʎ ə ɾ 'i ə
cancelleries	k ə n s ə ʎ ə ɾ 'i ə s
cancelo	k ə n s 'ɛ l u
cancerigen	k ə n s ə ɾ 'i ʒ ə n
canceroses	k ə n s ə ɾ 'o z ə s
cancerígena	k ə n s ə ɾ 'i ʒ ə n ə
cancerígenes	k ə n s ə ɾ 'i ʒ ə n ə s
cancerígens	k ə n s ə ɾ 'i ʒ ə n s
cancún	k ə ŋ k 'u n
candaus	k ə n d 'a w s
candeletes	k ə n d ə l 'ɛ t ə s
candent	k ə n d 'e n
candents	k ə n d 'e n s
candi	k 'a n d i
candidat	k ə n d i ð 'a t
candidata	k ə n d i ð 'a t ə
candidates	k ə n d i ð 'a t ə s
candidats	k ə n d i ð 'a t s
candidatura	k ə n d i ð ə t 'u ɾ ə
candidatures	k ə n d i ð ə t 'u ɾ ə s
candidesa	k ə n d i ð 'ɛ z ə
canell	k ə n 'e ʎ
canells	k ə n 'e ʎ s
canelobre	k ə n ə l 'ɔ β ɾ ə
canelobres	k ə n ə l 'ɔ β ɾ ə s
cangur	k ə ŋ g 'u r
cangurs	k ə ŋ g 'u r s
canibalisme	k ə n i β ə l 'i z m ə
canibalitzar	k ə n i β ə l i d z 'a
canicular	k ə n i k u l 'a r
canina	k ə n 'i n ə
canins	k ə n 'i n s
caniques	k ə n 'i k ə s
canoa	k ə n 'o ə
canonada	k ə n u n 'a ð ə
canonades	k ə n u n 'a ð ə s
canoners	k ə n u n 'e s
canonge	k ə n 'ɔ n ʒ ə
canonges	k ə n 'ɔ n ʒ ə s
canonitzacions	k ə n u n i d z ə s i 'o n s
canonització	k ə n u n i d z ə s i 'o
canonitzat	k ə n u n i d z 'a t
canons	k ə n 'o n s
canor	k ə n 'o
canotatge	k ə n u t 'a d ʒ ə
cansa	k 'a n s ə
cansada	k ə n s 'a ð ə
cansades	k ə n s 'a ð ə s
cansalada	k ə n s ə l 'a ð ə
cansament	k ə n s ə m 'e n
cansant	k ə n s 'a n
cansar	k ə n s 'a
cansaran	k ə n s ə ɾ 'a n
cansarem	k ə n s ə ɾ 'ɛ m
cansarme	k ə n s 'a r m ə
cansat	k ə n s 'a t
cansats	k ə n s 'a t s
cansem	k ə n s 'ɛ m
cansen	k 'a n s ə n
canses	k 'a n s ə s
canso	k 'a n s u
cant	k 'a n
canta	k 'a n t ə
cantada	k ə n t 'a ð ə
cantades	k ə n t 'a ð ə s
cantadors	k ə n t ə ð 'o s
cantaire	k ə n t 'a j ɾ ə
cantaires	k ə n t 'a j ɾ ə s
cantant	k ə n t 'a n
cantants	k ə n t 'a n s
cantar	k ə n t 'a
cantaran	k ə n t ə ɾ 'a n
cantarella	k ə n t ə ɾ 'e ʎ ə
cantarem	k ə n t ə ɾ 'ɛ m
cantaria	k ə n t ə ɾ 'i ə
cantarles	k ə n t 'a r l ə s
cantarlos	k ə n t 'a r l u s
cantarà	k ə n t ə ɾ 'a
cantaré	k ə n t ə ɾ 'e
cantat	k ə n t 'a t
cantata	k ə n t 'a t ə
cantates	k ə n t 'a t ə s
cantats	k ə n t 'a t s
cantautor	k ə n t ə w t 'o
cantautora	k ə n t ə w t 'o ɾ ə
cantautors	k ə n t ə w t 'o s
cantava	k ə n t 'a β ə
cantaven	k ə n t 'a β ə n
cantells	k ə n t 'e ʎ s
cantem	k ə n t 'ɛ m
canten	k 'a n t ə n
cantes	k 'a n t ə s
canteu	k ə n t 'ɛ w
canti	k 'a n t i
cantimplora	k ə n t i m p l 'ɔ ɾ ə
cantin	k 'a n t i n
cantina	k ə n t 'i n ə
cantis	k 'a n t i s
canto	k 'a n t u
cantonada	k ə n t u n 'a ð ə
cantonades	k ə n t u n 'a ð ə s
cantonal	k ə n t u n 'a l
cantoneres	k ə n t u n 'e ɾ ə s
cantons	k ə n t 'o n s
cantor	k ə n t 'o
cantors	k ə n t 'o s
cants	k 'a n s
cantàbria	k ə n t 'a β ɾ i ə
cantàvem	k ə n t 'a β ə m
cantés	k ə n t 'e s
cantó	k ə n t 'o
canuda	k ə n 'u ð ə
canut	k ə n 'u t
canvi	k 'a m b i
canvia	k ə m b 'i ə
canviada	k ə m b i 'a ð ə
canviades	k ə m b i 'a ð ə s
canviador	k ə m b i ə ð 'o
canviant	k ə m b i 'a n
canviants	k ə m b i 'a n s
canviar	k ə m b i 'a
canviaran	k ə m b i ə ɾ 'a n
canviarem	k ə m b i ə ɾ 'ɛ m
canviaren	k ə m b i 'a ɾ ə n
canviareu	k ə m b i ə ɾ 'ɛ w
canviarho	k ə m b i 'a ɾ u
canviari	k ə m b i 'a ɾ i
canviaria	k ə m b i ə ɾ 'i ə
canviarien	k ə m b i ə ɾ 'i ə n
canviaries	k ə m b i ə ɾ 'i ə s
canviaris	k ə m b i 'a ɾ i s
canviarla	k ə m b i 'a r l ə
canviarles	k ə m b i 'a r l ə s
canviarlo	k ə m b i 'a r l u
canviarlos	k ə m b i 'a r l u s
canviarne	k ə m b i 'a r n ə
canviarse	k ə m b i 'a r s ə
canviarà	k ə m b i ə ɾ 'a
canviaré	k ə m b i ə ɾ 'e
canviat	k ə m b i 'a t
canviats	k ə m b i 'a t s
canviava	k ə m b i 'a β ə
canviaven	k ə m b i 'a β ə n
canviem	k ə m b i 'ɛ m
canviemlos	k ə m b i 'e m l u s
canvien	k ə m b 'i ə n
canviessin	k ə m b i 'e s i n
canvieu	k ə m b i 'ɛ w
canvio	k ə m b 'i u
canvis	k 'a m b i s
canvistes	k ə m b 'i s t ə s
canvià	k ə m b i 'a
canviés	k ə m b i 'e s
canviï	k ə m b 'i i
canviïn	k ə m b 'i i n
canya	k 'a ɲ ə
canyella	k ə ɲ 'e ʎ ə
canyelles	k ə ɲ 'e ʎ ə s
canyes	k 'a ɲ ə s
canyissos	k ə ɲ 'i s u s
canyòning	k ə ɲ 'ɔ n i ŋ
canària	k ə n 'a ɾ i ə
canàries	k ə n 'a ɾ i ə s
cançoner	k ə n s u n 'e
cançoneta	k ə n s u n 'ɛ t ə
cançons	k ə n s 'o n s
cançó	k ə n s 'o
caníbal	k ə n 'i β ə l
caníbals	k ə n 'i β ə l s
canícula	k ə n 'i k u l ə
canònic	k ə n 'ɔ n i k
canònica	k ə n 'ɔ n i k ə
canònics	k ə n 'ɔ n i k s
canó	k ə n 'o
caoba	k ə 'ɔ β ə
caos	k 'a o s
cap	k 'a p
capa	k 'a p ə
capaces	k ə p 'a s ə s
capacitació	k ə p ə s i t ə s i 'o
capacitada	k ə p ə s i t 'a ð ə
capacitades	k ə p ə s i t 'a ð ə s
capacitat	k ə p ə s i t 'a t
capacitats	k ə p ə s i t 'a t s
capaladreta	k ə p ə l ə ð ɾ 'ɛ t ə
capalesquerra	k ə p ə l ə s k 'ɛ r ə
capallà	k ə p ə ʎ 'a
capaon	k ə p ə 'o n
capaquí	k ə p ə k 'i
caparrós	k ə p ə r 'o s
capaç	k ə p 'a s
capaços	k ə p 'a s u s
capbussa	k ə b b 'u s ə
capbussada	k ə b b u s 'a ð ə
capbussament	k ə b b u s ə m 'e n
capbussar	k ə b b u s 'a
capbussarse	k ə b b u s 'a r s ə
capbussat	k ə b b u s 'a t
capcinada	k ə p s i n 'a ð ə
capdesetmana	k ə b d ə z ə d m 'a n ə
capdesetmanaire	k ə b d ə z ə d m ə n 'a j ɾ ə
capell	k ə p 'e ʎ
capella	k ə p 'e ʎ ə
capellans	k ə p ə ʎ 'a n s
capelles	k ə p 'e ʎ ə s
capelletes	k ə p ə ʎ 'ɛ t ə s
capellà	k ə p ə ʎ 'a
capes	k 'a p ə s
capficada	k ə p f i k 'a ð ə
capficament	k ə p f i k ə m 'e n
capficat	k ə p f i k 'a t
capficats	k ə p f i k 'a t s
capfiqueu	k ə p f i k 'ɛ w
