a	ə
decɾeixement	d ə k ɾ ə ʃ ə m 'e n
decɾeixent	d ə k ɾ ə ʃ 'e n
decɾepitud	d ə k ɾ ə p i t 'u t
decɾet	d ə k ɾ 'e t
decɾeta	d ə k ɾ 'e t ə
decɾetada	d ə k ɾ ə t 'a ð ə
decɾetades	d ə k ɾ ə t 'a ð ə s
decɾetaɾ	d ə k ɾ ə t 'a
decɾetat	d ə k ɾ ə t 'a t
decɾetats	d ə k ɾ ə t 'a t s
decɾeten	d ə k ɾ 'e t ə n
decɾeti	d ə k ɾ 'e t i
decɾetllei	d ə k ɾ ə ʎ ʎ 'ɛ j
decɾeto	d ə k ɾ 'e t u
decɾets	d ə k ɾ 'e t s
decɾetés	d ə k ɾ ə t 'e s
decɾèpit	d ə k ɾ 'ɛ p i t
decuɾs	d ə k 'u r s
decàleg	d ə k 'a l ə k
decència	d ə s 'ɛ n s i ə
decés	d ə s 'e s
dedebò	d ə ð ə β 'ɔ
dedica	d ə ð 'i k ə
dedicacions	d ə ð i k ə s i 'o n s
dedicació	d ə ð i k ə s i 'o
dedicada	d ə ð i k 'a ð ə
dedicades	d ə ð i k 'a ð ə s
dedicant	d ə ð i k 'a n
dedicantse	d ə ð i k 'a n s ə
dedicaɾ	d ə ð i k 'a
dedicaɾan	d ə ð i k ə ɾ 'a n
dedicaɾem	d ə ð i k ə ɾ 'ɛ m
dedicaɾhi	d ə ð i k 'a ɾ i
dedicaɾia	d ə ð i k ə ɾ 'i ə
dedicaɾli	d ə ð i k 'a r l i
dedicaɾlo	d ə ð i k 'a r l u
dedicaɾme	d ə ð i k 'a r m ə
dedicaɾse	d ə ð i k 'a r s ə
dedicaɾvos	d ə ð i k 'a ɾ β u s
dedicaɾà	d ə ð i k ə ɾ 'a
dedicaɾé	d ə ð i k ə ɾ 'e
dedicat	d ə ð i k 'a t
dedicats	d ə ð i k 'a t s
dedicatòɾia	d ə ð i k ə t 'ɔ ɾ i ə
dedicatòɾies	d ə ð i k ə t 'ɔ ɾ i ə s
dedicava	d ə ð i k 'a β ə
dedicaven	d ə ð i k 'a β ə n
dedico	d ə ð 'i k u
dedicà	d ə ð i k 'a
dediquem	d ə ð i k 'ɛ m
dediquen	d ə ð 'i k ə n
dediques	d ə ð 'i k ə s
dediquessin	d ə ð i k 'e s i n
dediqueu	d ə ð i k 'ɛ w
dediqueuvos	d ə ð i k 'ɛ w β u s
dediqui	d ə ð 'i k i
dediquin	d ə ð 'i k i n
dediqués	d ə ð i k 'e s
dediquéssim	d ə ð i k 'e s i m
deduccions	d ə ð u k s i 'o n s
deducció	d ə ð u k s i 'o
dedueix	d ə ð u 'ɛ ʃ
dedueixen	d ə ð u 'ɛ ʃ ə n
dedueixo	d ə ð u 'ɛ ʃ u
deduiɾ	d ə ð u 'i
deduiɾne	d ə ð 'u j r n ə
deduiɾse	d ə ð 'u j r s ə
deduïble	d ə ð u 'i b b l ə
deduïbles	d ə ð u 'i b b l ə s
deduït	d ə ð u 'i t
deessa	d ə 'ɛ s ə
deesses	d ə 'ɛ s ə s
defalleixen	d ə f ə ʎ 'ɛ ʃ ə n
defalliment	d ə f ə ʎ i m 'e n
defalliɾ	d ə f ə ʎ 'i
defaults	d ə f 'a w l s
defecte	d ə f 'e k t ə
defectes	d ə f 'e k t ə s
defectuosa	d ə f ə k t u 'o z ə
defectuosos	d ə f ə k t u 'o z u s
defectuós	d ə f ə k t u 'o s
defendɾe	d ə f 'ɛ n d ɾ ə
defenen	d ə f 'ɛ n ə n
defenent	d ə f ə n 'e n
defenestɾació	d ə f ə n ə s t ɾ ə s i 'o
defenestɾaɾ	d ə f ə n ə s t ɾ 'a
defenestɾat	d ə f ə n ə s t ɾ 'a t
defenestɾats	d ə f ə n ə s t ɾ 'a t s
defenien	d ə f ə n 'i ə n
defensa	d ə f 'ɛ n s ə
defensaatac	d ə f ə n s ə ə t 'a k
defensable	d ə f ə n s 'a b b l ə
defensables	d ə f ə n s 'a b b l ə s
defensada	d ə f ə n s 'a ð ə
defensades	d ə f ə n s 'a ð ə s
defensant	d ə f ə n s 'a n
defensantse	d ə f ə n s 'a n s ə
defensaɾ	d ə f ə n s 'a
defensaɾan	d ə f ə n s ə ɾ 'a n
defensaɾem	d ə f ə n s ə ɾ 'ɛ m
defensaɾho	d ə f ə n s 'a ɾ u
defensaɾia	d ə f ə n s ə ɾ 'i ə
defensaɾla	d ə f ə n s 'a r l ə
defensaɾlo	d ə f ə n s 'a r l u
defensaɾlos	d ə f ə n s 'a r l u s
defensaɾme	d ə f ə n s 'a r m ə
defensaɾne	d ə f ə n s 'a r n ə
defensaɾnos	d ə f ə n s 'a r n u s
defensaɾse	d ə f ə n s 'a r s ə
defensaɾvos	d ə f ə n s 'a ɾ β u s
defensaɾà	d ə f ə n s ə ɾ 'a
defensaɾé	d ə f ə n s ə ɾ 'e
defensat	d ə f ə n s 'a t
defensats	d ə f ə n s 'a t s
defensava	d ə f ə n s 'a β ə
defensaven	d ə f ə n s 'a β ə n
defensem	d ə f ə n s 'ɛ m
defensen	d ə f 'ɛ n s ə n
defenses	d ə f 'ɛ n s ə s
defenseu	d ə f ə n s 'ɛ w
defensi	d ə f 'ɛ n s i
defensin	d ə f 'ɛ n s i n
defensiu	d ə f ə n s 'i w
defensius	d ə f ə n s 'i w s
defensiva	d ə f ə n s 'i β ə
defensives	d ə f ə n s 'i β ə s
defenso	d ə f 'ɛ n s u
defensoɾ	d ə f ə n s 'o
defensoɾa	d ə f ə n s 'o ɾ ə
defensoɾes	d ə f ə n s 'o ɾ ə s
defensoɾs	d ə f ə n s 'o s
defensà	d ə f ə n s 'a
defensés	d ə f ə n s 'e s
defeɾència	d ə f ə ɾ 'ɛ n s i ə
deficient	d ə f i s i 'e n
deficients	d ə f i s i 'e n s
deficitaɾi	d ə f i s i t 'a ɾ i
deficitaɾis	d ə f i s i t 'a ɾ i s
deficitàɾia	d ə f i s i t 'a ɾ i ə
deficitàɾies	d ə f i s i t 'a ɾ i ə s
deficiència	d ə f i s i 'ɛ n s i ə
deficiències	d ə f i s i 'ɛ n s i ə s
defineix	d ə f i n 'ɛ ʃ
defineixen	d ə f i n 'ɛ ʃ ə n
defineixi	d ə f i n 'ɛ ʃ i
defineixin	d ə f i n 'ɛ ʃ i n
defineixo	d ə f i n 'ɛ ʃ u
definia	d ə f i n 'i ə
definicions	d ə f i n i s i 'o n s
definició	d ə f i n i s i 'o
definida	d ə f i n 'i ð ə
definides	d ə f i n 'i ð ə s
definidoɾ	d ə f i n i ð 'o
definidoɾs	d ə f i n i ð 'o s
definien	d ə f i n 'i ə n
definim	d ə f i n 'i m
definint	d ə f i n 'i n
definintse	d ə f i n 'i n s ə
definiɾ	d ə f i n 'i
definiɾan	d ə f i n i ɾ 'a n
definiɾho	d ə f i n 'i ɾ u
definiɾia	d ə f i n i ɾ 'i ə
definiɾla	d ə f i n 'i r l ə
definiɾlo	d ə f i n 'i r l u
definiɾne	d ə f i n 'i r n ə
definiɾse	d ə f i n 'i r s ə
definiɾà	d ə f i n i ɾ 'a
definit	d ə f i n 'i t
definitiu	d ə f i n i t 'i w
definitius	d ə f i n i t 'i w s
definitiva	d ə f i n i t 'i β ə
definitives	d ə f i n i t 'i β ə s
definitoɾi	d ə f i n i t 'ɔ ɾ i
definitoɾis	d ə f i n i t 'ɔ ɾ i s
definits	d ə f i n 'i t s
definitòɾies	d ə f i n i t 'ɔ ɾ i ə s
deflacionista	d ə f l ə s i u n 'i s t ə
deflació	d ə f l ə s i 'o
deflagɾació	d ə f l ə ɣ ɾ ə s i 'o
defoɾma	d ə f 'o r m ə
defoɾmacions	d ə f u r m ə s i 'o n s
defoɾmació	d ə f u r m ə s i 'o
defoɾmada	d ə f u r m 'a ð ə
defoɾmaɾ	d ə f u r m 'a
defoɾmat	d ə f u r m 'a t
defoɾmats	d ə f u r m 'a t s
defoɾme	d ə f 'o r m ə
defoɾmi	d ə f 'ɔ r m i
defoɾmitat	d ə f u r m i t 'a t
defɾauda	d ə f ɾ 'a w ð ə
defɾaudada	d ə f ɾ ə w ð 'a ð ə
defɾaudadoɾs	d ə f ɾ ə w ð ə ð 'o s
defɾaudaɾ	d ə f ɾ ə w ð 'a
defɾaudat	d ə f ɾ ə w ð 'a t
defɾaudats	d ə f ɾ ə w ð 'a t s
defugen	d ə f 'u ʒ ə n
defugi	d ə f 'u ʒ i
defugint	d ə f u ʒ 'i n
defugiɾ	d ə f u ʒ 'i
defugit	d ə f u ʒ 'i t
defuig	d ə f 'u tʃ
defujo	d ə f 'u ʒ u
defuncions	d ə f u n s i 'o n s
defunció	d ə f u n s i 'o
degana	d ə ɣ 'a n ə
deganat	d ə ɣ ə n 'a t
degans	d ə ɣ 'a n s
degeneɾa	d ə ʒ ə n 'e ɾ ə
degeneɾació	d ə ʒ ə n ə ɾ ə s i 'o
degeneɾada	d ə ʒ ə n ə ɾ 'a ð ə
degeneɾant	d ə ʒ ə n ə ɾ 'a n
degeneɾaɾ	d ə ʒ ə n ə ɾ 'a
degeneɾat	d ə ʒ ə n ə ɾ 'a t
degeneɾativa	d ə ʒ ə n ə ɾ ə t 'i β ə
degeneɾatives	d ə ʒ ə n ə ɾ ə t 'i β ə s
degollada	d ə ɣ u ʎ 'a ð ə
degollament	d ə ɣ u ʎ ə m 'e n
degollaɾ	d ə ɣ u ʎ 'a
degollat	d ə ɣ u ʎ 'a t
degoteig	d ə ɣ u t 'ɛ tʃ
degɾada	d ə ɣ ɾ 'a ð ə
degɾadació	d ə ɣ ɾ ə ð ə s i 'o
degɾadada	d ə ɣ ɾ ə ð 'a ð ə
degɾadades	d ə ɣ ɾ ə ð 'a ð ə s
degɾadant	d ə ɣ ɾ ə ð 'a n
degɾadants	d ə ɣ ɾ ə ð 'a n s
degɾadaɾ	d ə ɣ ɾ ə ð 'a
degɾadat	d ə ɣ ɾ ə ð 'a t
degɾadats	d ə ɣ ɾ ə ð 'a t s
degɾaden	d ə ɣ ɾ 'a ð ə n
deguda	d ə ɣ 'u ð ə
degudes	d ə ɣ 'u ð ə s
degui	d 'ɛ ɣ i
degustació	d ə ɣ u s t ə s i 'o
degustadoɾs	d ə ɣ u s t ə ð 'o s
degustant	d ə ɣ u s t 'a n
degustaɾ	d ə ɣ u s t 'a
degut	d ə ɣ 'u t
deguts	d ə ɣ 'u t s
degué	d ə ɣ 'e
degà	d ə ɣ 'a
deia	d 'ɛ j ə
deien	d 'ɛ j ə n
deies	d 'ɛ j ə s
deix	d 'e ʃ
deixa	d 'e ʃ ə
deixada	d ə ʃ 'a ð ə
deixades	d ə ʃ 'a ð ə s
deixadesa	d ə ʃ ə ð 'ɛ z ə
deixaho	d ə ʃ 'a u
deixalla	d ə ʃ 'a ʎ ə
deixalleɾia	d ə ʃ ə ʎ ə ɾ 'i ə
deixalles	d ə ʃ 'a ʎ ə s
deixam	d ə ʃ 'a m
deixant	d ə ʃ 'a n
deixanthi	d ə ʃ 'a n t i
deixantlo	d ə ʃ 'a n l l u
deixantlos	d ə ʃ 'a n l l u s
deixantme	d ə ʃ 'a n m ə
deixantse	d ə ʃ 'a n s ə
deixantvos	d ə ʃ 'a n d b u s
deixaɾ	d ə ʃ 'a
deixaɾan	d ə ʃ ə ɾ 'a n
deixaɾem	d ə ʃ ə ɾ 'ɛ m
deixaɾen	d ə ʃ 'a ɾ ə n
deixaɾeu	d ə ʃ ə ɾ 'ɛ w
deixaɾhi	d ə ʃ 'a ɾ i
deixaɾho	d ə ʃ 'a ɾ u
deixaɾia	d ə ʃ ə ɾ 'i ə
deixaɾien	d ə ʃ ə ɾ 'i ə n
deixaɾies	d ə ʃ ə ɾ 'i ə s
deixaɾla	d ə ʃ 'a r l ə
deixaɾles	d ə ʃ 'a r l ə s
deixaɾli	d ə ʃ 'a r l i
deixaɾlo	d ə ʃ 'a r l u
deixaɾlos	d ə ʃ 'a r l u s
deixaɾme	d ə ʃ 'a r m ə
deixaɾne	d ə ʃ 'a r n ə
deixaɾnos	d ə ʃ 'a r n u s
deixaɾse	d ə ʃ 'a r s ə
deixaɾte	d ə ʃ 'a r t ə
deixaɾvos	d ə ʃ 'a ɾ β u s
deixaɾvoshi	d ə ʃ ə ɾ β 'ɔ z i
deixaɾà	d ə ʃ ə ɾ 'a
deixaɾé	d ə ʃ ə ɾ 'e
deixat	d ə ʃ 'a t
deixats	d ə ʃ 'a t s
deixava	d ə ʃ 'a β ə
deixaven	d ə ʃ 'a β ə n
deixebla	d ə ʃ 'e b b l ə
deixeble	d ə ʃ 'e b b l ə
deixebles	d ə ʃ 'e b b l ə s
deixem	d ə ʃ 'ɛ m
deixemho	d ə ʃ 'e m u
deixemlos	d ə ʃ 'e m l u s
deixemnos	d ə ʃ 'e m n u s
deixen	d 'e ʃ ə n
deixes	d 'e ʃ ə s
deixessin	d ə ʃ 'e s i n
deixeu	d ə ʃ 'ɛ w
deixeula	d ə ʃ 'ɛ w l ə
deixeume	d ə ʃ 'ɛ w m ə
deixeuvos	d ə ʃ 'ɛ w β u s
deixi	d 'e ʃ i
deixim	d ə ʃ 'i m
deixin	d 'e ʃ i n
deixis	d 'e ʃ i s
deixo	d 'e ʃ u
deixondeix	d ə ʃ u n d 'ɛ ʃ
deixà	d ə ʃ 'a
deixàvem	d ə ʃ 'a β ə m
deixés	d ə ʃ 'e s
deixéssim	d ə ʃ 'e s i m
deixéssiu	d ə ʃ 'e s i w
dejeccions	d ə ʒ ə k s i 'o n s
dejuna	d ə ʒ 'u n ə
dejuni	d ə ʒ 'u n i
del	d ə l
delació	d ə l ə s i 'o
delata	d ə l 'a t ə
delataɾ	d ə l ə t 'a
delatava	d ə l ə t 'a β ə
delaten	d ə l 'a t ə n
delatoɾ	d ə l ə t 'o
delecta	d ə l 'e k t ə
delectació	d ə l ə k t ə s i 'o
delectaɾ	d ə l ə k t 'a
delectaɾeu	d ə l ə k t ə ɾ 'ɛ w
delectaɾse	d ə l ə k t 'a r s ə
delectaɾvos	d ə l ə k t 'a ɾ β u s
delecteu	d ə l ə k t 'ɛ w
delecteuvos	d ə l ə k t 'ɛ w β u s
delega	d ə l 'e ɣ ə
delegacions	d ə l ə ɣ ə s i 'o n s
delegació	d ə l ə ɣ ə s i 'o
delegada	d ə l ə ɣ 'a ð ə
delegades	d ə l ə ɣ 'a ð ə s
delegant	d ə l ə ɣ 'a n
delegaɾ	d ə l ə ɣ 'a
delegat	d ə l ə ɣ 'a t
delegats	d ə l ə ɣ 'a t s
deleix	d ə l 'ɛ ʃ
deleixen	d ə l 'ɛ ʃ ə n
deleɾosa	d ə l ə ɾ 'o z ə
deleɾosos	d ə l ə ɾ 'o z u s
delfins	d ə l f 'i n s
delfí	d ə l f 'i
delhi	d 'ɛ l i
delia	d ə l 'i ə
delibeɾacions	d ə l i β ə ɾ ə s i 'o n s
delibeɾació	d ə l i β ə ɾ ə s i 'o
delibeɾada	d ə l i β ə ɾ 'a ð ə
delibeɾaɾ	d ə l i β ə ɾ 'a
delibeɾat	d ə l i β ə ɾ 'a t
delicada	d ə l i k 'a ð ə
delicades	d ə l i k 'a ð ə s
delicadesa	d ə l i k ə ð 'ɛ z ə
delicadíssim	d ə l i k ə ð 'i s i m
delicat	d ə l i k 'a t
delicats	d ə l i k 'a t s
deliciosa	d ə l i s i 'o z ə
delicioses	d ə l i s i 'o z ə s
deliciosos	d ə l i s i 'o z u s
deliciós	d ə l i s i 'o s
delicte	d ə l 'i k t ə
delictes	d ə l 'i k t ə s
delictiu	d ə l i k t 'i w
delictius	d ə l i k t 'i w s
delictiva	d ə l i k t 'i β ə
delictives	d ə l i k t 'i β ə s
delimita	d ə l i m 'i t ə
delimitació	d ə l i m i t ə s i 'o
delimitada	d ə l i m i t 'a ð ə
delimitades	d ə l i m i t 'a ð ə s
delimitaɾ	d ə l i m i t 'a
delimitat	d ə l i m i t 'a t
delimitats	d ə l i m i t 'a t s
delimiten	d ə l i m 'i t ə n
delineació	d ə l i n e ə s i 'o
delineant	d ə l i n e 'a n
delinqueixen	d ə l i ŋ k 'ɛ ʃ ə n
delinquiɾ	d ə l i ŋ k 'i
delinqüent	d ə l i ŋ k w 'e n
delinqüents	d ə l i ŋ k w 'e n s
delinqüència	d ə l i ŋ k w 'ɛ n s i ə
deliɾant	d ə l i ɾ 'a n
deliɾants	d ə l i ɾ 'a n s
deliɾi	d ə l 'i ɾ i
deliɾis	d ə l 'i ɾ i s
delit	d ə l 'i t
dellà	d ə ʎ 'a
delmats	d ə l m 'a t s
dels	d ə l s
delta	d 'ɛ l t ə
deltaic	d ə l t 'a j k
delícia	d ə l 'i s i ə
delícies	d ə l 'i s i ə s
demagog	d ə m ə ɣ 'ɔ k
demagogs	d ə m ə ɣ 'ɔ k s
demagògia	d ə m ə ɣ 'ɔ ʒ i ə
demagògic	d ə m ə ɣ 'ɔ ʒ i k
demagògica	d ə m ə ɣ 'ɔ ʒ i k ə
demagògics	d ə m ə ɣ 'ɔ ʒ i k s
demagògies	d ə m ə ɣ 'ɔ ʒ i ə s
demagògiques	d ə m ə ɣ 'ɔ ʒ i k ə s
demana	d ə m 'a n ə
demanada	d ə m ə n 'a ð ə
demanades	d ə m ə n 'a ð ə s
demanal	d ə m ə n 'a l
demanant	d ə m ə n 'a n
demanantli	d ə m ə n 'a n l l i
demanantlos	d ə m ə n 'a n l l u s
demanantme	d ə m ə n 'a n m ə
demanaɾ	d ə m ə n 'a
demanaɾan	d ə m ə n ə ɾ 'a n
demanaɾem	d ə m ə n ə ɾ 'ɛ m
demanaɾen	d ə m ə n 'a ɾ ə n
demanaɾia	d ə m ə n ə ɾ 'i ə
demanaɾien	d ə m ə n ə ɾ 'i ə n
demanaɾla	d ə m ə n 'a r l ə
demanaɾli	d ə m ə n 'a r l i
demanaɾlos	d ə m ə n 'a r l u s
demanaɾme	d ə m ə n 'a r m ə
demanaɾne	d ə m ə n 'a r n ə
demanaɾnos	d ə m ə n 'a r n u s
demanaɾnosho	d ə m ə n ə r n 'o z u
demanaɾse	d ə m ə n 'a r s ə
demanaɾte	d ə m ə n 'a r t ə
demanaɾà	d ə m ə n ə ɾ 'a
demanaɾé	d ə m ə n ə ɾ 'e
demanaɾíem	d ə m ə n ə ɾ 'i ə m
demanat	d ə m ə n 'a t
demanats	d ə m ə n 'a t s
demanava	d ə m ə n 'a β ə
demanaven	d ə m ə n 'a β ə n
demanaves	d ə m ə n 'a β ə s
demanda	d ə m 'a n d ə
demandada	d ə m ə n d 'a ð ə
demandades	d ə m ə n d 'a ð ə s
demandant	d ə m ə n d 'a n
demandants	d ə m ə n d 'a n s
demandaɾ	d ə m ə n d 'a
demandaɾà	d ə m ə n d ə ɾ 'a
demandat	d ə m ə n d 'a t
demandats	d ə m ə n d 'a t s
demanden	d ə m 'a n d ə n
demandes	d ə m 'a n d ə s
demanem	d ə m ə n 'ɛ m
demanen	d ə m 'a n ə n
demaneɾaque	d ə m ə n ə ɾ 'a k ə
demanes	d ə m 'a n ə s
demanessin	d ə m ə n 'e s i n
demanessis	d ə m ə n 'e s i s
demaneu	d ə m ə n 'ɛ w
demani	d ə m 'a n i
demanin	d ə m 'a n i n
demanis	d ə m 'a n i s
demano	d ə m 'a n u
demanà	d ə m ə n 'a
demanàvem	d ə m ə n 'a β ə m
demanés	d ə m ə n 'e s
demanéssim	d ə m ə n 'e s i m
demaɾcacions	d ə m ə r k ə s i 'o n s
demaɾcació	d ə m ə r k ə s i 'o
dematí	d ə m ə t 'i
demencial	d ə m ə n s i 'a l
demencials	d ə m ə n s i 'a l s
dement	d ə m 'e n
dementɾe	d ə m 'e n t ɾ ə
dements	d ə m 'e n s
demeɾsals	d ə m ə r s 'a l s
demicaenmica	d ə m i k ə e m m 'i k ə
demiüɾg	d ə m i 'u r k
demo	d 'ɛ m u
democɾatitza	d ə m u k ɾ ə t 'i d z ə
democɾatització	d ə m u k ɾ ə t i d z ə s i 'o
democɾatitzadoɾ	d ə m u k ɾ ə t i d z ə ð 'o
democɾatitzaɾ	d ə m u k ɾ ə t i d z 'a
democɾatitzat	d ə m u k ɾ ə t i d z 'a t
democɾatitzi	d ə m u k ɾ ə t 'i d z i
democɾàcia	d ə m u k ɾ 'a s i ə
democɾàcies	d ə m u k ɾ 'a s i ə s
democɾàtic	d ə m u k ɾ 'a t i k
democɾàtica	d ə m u k ɾ 'a t i k ə
democɾàtics	d ə m u k ɾ 'a t i k s
democɾàtiques	d ə m u k ɾ 'a t i k ə s
demogɾafia	d ə m u ɣ ɾ ə f 'i ə
demogɾàfic	d ə m u ɣ ɾ 'a f i k
demogɾàfica	d ə m u ɣ ɾ 'a f i k ə
demogɾàfics	d ə m u ɣ ɾ 'a f i k s
demogɾàfiques	d ə m u ɣ ɾ 'a f i k ə s
demolicions	d ə m u l i s i 'o n s
demolició	d ə m u l i s i 'o
demolidoɾ	d ə m u l i ð 'o
demolidoɾa	d ə m u l i ð 'o ɾ ə
demoliɾ	d ə m u l 'i
demolit	d ə m u l 'i t
demoníac	d ə m u n 'i ə k
demoníaca	d ə m u n 'i ə k ə
demoɾa	d ə m 'o ɾ ə
demoɾaɾ	d ə m u ɾ 'a
demoɾes	d ə m 'o ɾ ə s
demostɾa	d ə m 'ɔ s t ɾ ə
demostɾables	d ə m u s t ɾ 'a b b l ə s
demostɾacions	d ə m u s t ɾ ə s i 'o n s
demostɾació	d ə m u s t ɾ ə s i 'o
demostɾada	d ə m u s t ɾ 'a ð ə
demostɾades	d ə m u s t ɾ 'a ð ə s
demostɾant	d ə m u s t ɾ 'a n
demostɾaɾ	d ə m u s t ɾ 'a
demostɾaɾan	d ə m u s t ɾ ə ɾ 'a n
demostɾaɾem	d ə m u s t ɾ ə ɾ 'ɛ m
demostɾaɾeu	d ə m u s t ɾ ə ɾ 'ɛ w
demostɾaɾia	d ə m u s t ɾ ə ɾ 'i ə
demostɾaɾien	d ə m u s t ɾ ə ɾ 'i ə n
demostɾaɾà	d ə m u s t ɾ ə ɾ 'a
demostɾat	d ə m u s t ɾ 'a t
demostɾatius	d ə m u s t ɾ ə t 'i w s
demostɾats	d ə m u s t ɾ 'a t s
demostɾava	d ə m u s t ɾ 'a β ə
demostɾaven	d ə m u s t ɾ 'a β ə n
demostɾem	d ə m u s t ɾ 'ɛ m
demostɾen	d ə m 'ɔ s t ɾ ə n
demostɾes	d ə m 'ɔ s t ɾ ə s
demostɾessin	d ə m u s t ɾ 'e s i n
demostɾeu	d ə m u s t ɾ 'ɛ w
demostɾi	d ə m 'ɔ s t ɾ i
demostɾin	d ə m 'ɔ s t ɾ i n
demostɾà	d ə m u s t ɾ 'a
demostɾés	d ə m u s t ɾ 'e s
dempeus	d ə m p 'ɛ w s
demà	d ə m 'a
demència	d ə m 'ɛ n s i ə
demèɾit	d ə m 'ɛ ɾ i t
demèɾits	d ə m 'ɛ ɾ i t s
demés	d ə m 'e s
demòcɾata	d ə m 'ɔ k ɾ ə t ə
demòcɾates	d ə m 'ɔ k ɾ ə t ə s
demògɾaf	d ə m 'ɔ ɣ ɾ ə f
demògɾafs	d ə m 'ɔ ɣ ɾ ə f s
denega	d ə n 'e ɣ ə
denegacions	d ə n ə ɣ ə s i 'o n s
denegació	d ə n ə ɣ ə s i 'o
denegada	d ə n ə ɣ 'a ð ə
denegades	d ə n ə ɣ 'a ð ə s
denegaɾ	d ə n ə ɣ 'a
denegat	d ə n ə ɣ 'a t
deneguen	d ə n 'e ɣ ə n
denigɾant	d ə n i ɣ ɾ 'a n
denomina	d ə n u m 'i n ə
denominacions	d ə n u m i n ə s i 'o n s
denominació	d ə n u m i n ə s i 'o
denominada	d ə n u m i n 'a ð ə
denominades	d ə n u m i n 'a ð ə s
denominadoɾ	d ə n u m i n ə ð 'o
denominaɾ	d ə n u m i n 'a
denominaɾse	d ə n u m i n 'a r s ə
denominaɾà	d ə n u m i n ə ɾ 'a
denominat	d ə n u m i n 'a t
denominats	d ə n u m i n 'a t s
denominem	d ə n u m i n 'ɛ m
denominen	d ə n u m 'i n ə n
denota	d ə n 'ɔ t ə
denotava	d ə n u t 'a β ə
denoten	d ə n 'o t ə n
dens	d 'ɛ n s
densa	d 'ɛ n s ə
denses	d 'ɛ n s ə s
densitat	d ə n s i t 'a t
densitats	d ə n s i t 'a t s
densos	d 'ɛ n s u s
dent	d 'e n
dentaduɾa	d ə n t ə ð 'u ɾ ə
dental	d ə n t 'a l
dentals	d ə n t 'a l s
dentifɾici	d ə n t i f ɾ 'i s i
dentista	d ə n t 'i s t ə
dentistes	d ə n t 'i s t ə s
dentɾo	d 'e n t ɾ u
dents	d 'e n s
denuncia	d ə n u n s 'i ə
denunciada	d ə n u n s i 'a ð ə
denunciades	d ə n u n s i 'a ð ə s
denunciant	d ə n u n s i 'a n
denunciants	d ə n u n s i 'a n s
denunciaɾ	d ə n u n s i 'a
denunciaɾan	d ə n u n s i ə ɾ 'a n
denunciaɾho	d ə n u n s i 'a ɾ u
denunciaɾlo	d ə n u n s i 'a r l u
denunciaɾlos	d ə n u n s i 'a r l u s
denunciaɾne	d ə n u n s i 'a r n ə
denunciaɾà	d ə n u n s i ə ɾ 'a
denunciat	d ə n u n s i 'a t
denunciats	d ə n u n s i 'a t s
denunciava	d ə n u n s i 'a β ə
denunciaven	d ə n u n s i 'a β ə n
denunciem	d ə n u n s i 'ɛ m
denuncien	d ə n u n s 'i ə n
denunciessin	d ə n u n s i 'e s i n
denuncio	d ə n u n s 'i u
denunciés	d ə n u n s i 'e s
denunciï	d ə n u n s 'i i
denunciïn	d ə n u n s 'i i n
dençàque	d ə n s 'a k ə
denúncia	d ə n 'u n s i ə
denúncies	d ə n 'u n s i ə s
deontologia	d ə u n t u l u ʒ 'i ə
deontològic	d ə u n t u l 'ɔ ʒ i k
depaɾa	d ə p 'a ɾ ə
depaɾaɾ	d ə p ə ɾ 'a
depaɾat	d ə p ə ɾ 'a t
depaɾtament	d ə p ə r t ə m 'e n
depaɾtaments	d ə p ə r t ə m 'e n s
depassa	d ə p 'a s ə
depassaɾ	d ə p ə s 'a
depassat	d ə p ə s 'a t
depassen	d ə p 'a s ə n
depaupeɾació	d ə p ə w p ə ɾ ə s i 'o
depaupeɾat	d ə p ə w p ə ɾ 'a t
dependent	d ə p ə n d 'e n
dependenta	d ə p ə n d 'e n t ə
dependentes	d ə p ə n d 'e n t ə s
dependents	d ə p ə n d 'e n s
dependɾan	d ə p ə n d ɾ 'a n
dependɾe	d ə p 'ɛ n d ɾ ə
dependɾem	d ə p ə n d ɾ 'ɛ m
dependɾia	d ə p ə n d ɾ 'i ə
dependɾà	d ə p ə n d ɾ 'a
dependència	d ə p ə n d 'ɛ n s i ə
dependències	d ə p ə n d 'ɛ n s i ə s
depenem	d ə p ə n 'ɛ m
depenen	d ə p 'ɛ n ə n
depenent	d ə p ə n 'e n
depengui	d ə p 'ɛ ŋ g i
depenguin	d ə p 'ɛ ŋ g i n
depengués	d ə p ə ŋ g 'e s
depenia	d ə p ə n 'i ə
depenien	d ə p ə n 'i ə n
depilació	d ə p i l ə s i 'o
depilaɾ	d ə p i l 'a
depilaɾme	d ə p i l 'a r m ə
deploɾa	d ə p l 'ɔ ɾ ə
deploɾable	d ə p l u ɾ 'a b b l ə
deploɾables	d ə p l u ɾ 'a b b l ə s
deploɾaɾ	d ə p l u ɾ 'a
deploɾen	d ə p l 'ɔ ɾ ə n
depoɾtacions	d ə p u r t ə s i 'o n s
depoɾtació	d ə p u r t ə s i 'o
depoɾtaɾ	d ə p u r t 'a
depoɾtat	d ə p u r t 'a t
depoɾtats	d ə p u r t 'a t s
depoɾtes	d ə p 'ɔ r t ə s
deposaɾ	d ə p u z 'a
deposat	d ə p u z 'a t
deposicionals	d ə p u z i s i u n 'a l s
