A	'ə
sistèmica	s i s t 'ɛ m i k ə
sistèmics	s i s t 'ɛ m i k s
sistèmiques	s i s t 'ɛ m i k ə s
sit	s 'i t
Sitges	s 'i d ʒ ə s
sitgetà	s i d ʒ ə t 'a
siti	s 'i t i
sitiar	s i t i 'a
sitiet	s i t i 'ɛ t
sitja	s 'i d ʒ ə
situa	s i t 'u ə
situació	s i t u ə s i 'o
situada	s i t u 'a ð ə
situades	s i t u 'a ð ə s
situar	s i t u 'a
situares	s i t u 'a ɾ ə s
situaria	s i t u ə ɾ 'i ə
situat	s i t u 'a t
situats	s i t u 'a t s
situava	s i t u 'a β ə
situes	s i t 'u ə s
situo	s i t 'u u
sivella	s i β 'e ʎ ə
só	s 'o
sobec	s u β 'ɛ k
sobirà	s u β i ɾ 'a
sobirania	s u β i ɾ ə n 'i ə
sobra	s 'ɔ β ɾ ə
sobralles	s u β ɾ 'a ʎ ə s
sobrança	s u β ɾ 'a n s ə
sobrar	s u β ɾ 'a
sobrassada	s u β ɾ ə s 'a ð ə
sobre	s 'o β ɾ ə
sobrealimentada	s u β ɾ e ə l i m ə n t 'a ð ə
sobrealimentades	s u β ɾ e ə l i m ə n t 'a ð ə s
sobrealimentat	s u β ɾ e ə l i m ə n t 'a t
sobrealimentats	s u β ɾ e ə l i m ə n t 'a t s
sobreescalfada	s u β ɾ ə ə s k ə l f 'a ð ə
sobreescalfades	s u β ɾ ə ə s k ə l f 'a ð ə s
sobreescalfat	s u β ɾ ə ə s k ə l f 'a t
sobreescalfats	s u β ɾ ə ə s k ə l f 'a t s
sobreestimada	s u β ɾ ə ə s t i m 'a ð ə
sobreestimades	s u β ɾ ə ə s t i m 'a ð ə s
sobreestimat	s u β ɾ ə ə s t i m 'a t
sobreestimats	s u β ɾ ə ə s t i m 'a t s
sobrepassada	s u β ɾ ə p ə s 'a ð ə
sobrepassades	s u β ɾ ə p ə s 'a ð ə s
sobrepassares	s u β ɾ ə p ə s 'a ɾ ə s
sobrepassat	s u β ɾ ə p ə s 'a t
sobrepassats	s u β ɾ ə p ə s 'a t s
sobresortida	s u β ɾ ə z u r t 'i ð ə
sobresortides	s u β ɾ ə z u r t 'i ð ə s
sobresortit	s u β ɾ ə z u r t 'i t
sobresortits	s u β ɾ ə z u r t 'i t s
sobretot	s u β ɾ ə t 'o t
sobreviscuda	s u β ɾ ə β i s k 'u ð ə
sobreviscudes	s u β ɾ ə β i s k 'u ð ə s
sobreviscut	s u β ɾ ə β i s k 'u t
sobreviscuts	s u β ɾ ə β i s k 'u t s
sobrevolada	s u β ɾ ə β u l 'a ð ə
sobrevolades	s u β ɾ ə β u l 'a ð ə s
sobrevolat	s u β ɾ ə β u l 'a t
sobrevolats	s u β ɾ ə β u l 'a t s
sobri	s 'ɔ β ɾ i
sòbria	s 'ɔ β ɾ i ə
sòbries	s 'ɔ β ɾ i ə s
sobrin	s 'ɔ β ɾ i n
sobris	s 'ɔ β ɾ i s
sobro	s 'ɔ β ɾ u
sobta	s 'o p t ə
sobtar	s u p t 'a
sobten	s 'ɔ p t ə n
sobtes	s 'ɔ p t ə s
sobti	s 'ɔ p t i
sobtin	s 'ɔ p t i n
sobtis	s 'ɔ p t i s
sobto	s 'ɔ p t u
soc	s 'ɔ k
sóc	s 'o k
soca	s 'ɔ k ə
socarrada	s u k ə r 'a ð ə
socarrades	s u k ə r 'a ð ə s
socarrar	s u k ə r 'a
socarrat	s u k ə r 'a t
socarrats	s u k ə r 'a t s
socarrim	s u k ə r 'i m
socarrimar	s u k ə r i m 'a
socarrimat	s u k ə r i m 'a t
soci	s 'ɔ s i
sòcia	s 'ɔ s i ə
social	s u s i 'a l
socialització	s u s i ə l i d z ə s i 'o
socialitzada	s u s i ə l i d z 'a ð ə
socialitzades	s u s i ə l i d z 'a ð ə s
socialitzar	s u s i ə l i d z 'a
socialitzat	s u s i ə l i d z 'a t
socialitzats	s u s i ə l i d z 'a t s
socials	s u s i 'a l s
societat	s u s i ə t 'a t
socioculturals	s u s i u k u l t u ɾ 'a l s
sociòleg	s u s i 'ɔ l ə k
sociòloga	s u s i 'ɔ l u ɣ ə
sociologia	s u s i u l u ʒ 'i ə
sociològic	s u s i u l 'ɔ ʒ i k
sociològica	s u s i u l 'ɔ ʒ i k ə
sociològics	s u s i u l 'ɔ ʒ i k s
sociològiques	s u s i u l 'ɔ ʒ i k ə s
sociòpata	s u s i 'ɔ p ə t ə
socis	s 'ɔ s i s
sòcol	s 'ɔ k u l
socórrer	s u k 'o r ə
socorrisme	s u k u r 'i z m ə
socorrista	s u k u r 'i s t ə
Sòcrates	s 'ɔ k ɾ ə t ə s
sodi	s 'ɔ ð i
sòdic	s 'ɔ ð i k
sòdica	s 'ɔ ð i k ə
sòdics	s 'ɔ ð i k s
sòdiques	s 'ɔ ð i k ə s
sodomia	s u ð u m 'i ə
sodomitzà	s u ð u m i d z 'a
sodomitzada	s u ð u m i d z 'a ð ə
sodomitzades	s u ð u m i d z 'a ð ə s
sodomitzar	s u ð u m i d z 'a
sodomitzat	s u ð u m i d z 'a t
sodomitzats	s u ð u m i d z 'a t s
sofà	s u f 'a
sofàs	s u f 'a s
sofert	s u f 'ɛ r t
soferta	s u f 'ɛ r t ə
sofertes	s u f 'ɛ r t ə s
soferts	s u f 'ɛ r s
Sofia	s u f 'i ə
sofisma	s u f 'i z m ə
sofista	s u f 'i s t ə
sofistes	s u f 'i s t ə s
sofisticada	s u f i s t i k 'a ð ə
sofisticades	s u f i s t i k 'a ð ə s
sofisticar	s u f i s t i k 'a
sofisticat	s u f i s t i k 'a t
sofisticats	s u f i s t i k 'a t s
Sofonies	s u f u n 'i ə s
sofraja	s u f ɾ 'a ʒ ə
sofre	s 'o f ɾ ə
sofregir	s u f ɾ ə ʒ 'i
sofregit	s u f ɾ ə ʒ 'i t
sofrença	s u f ɾ 'ɛ n s ə
sofriment	s u f ɾ i m 'e n
sofrir	s u f ɾ 'i
soga	s 'ɔ ɣ ə
sogar	s u ɣ 'a
soges	s 'ɔ ʒ ə s
sogo	s 'ɔ ɣ u
sogra	s 'ɔ ɣ ɾ ə
sogre	s 'ɔ ɣ ɾ ə
sogres	s 'ɔ ɣ ɾ ə s
soguen	s 'ɔ ɣ ə n
sogues	s 'ɔ ɣ ə s
sogui	s 'ɔ ɣ i
soguin	s 'ɔ ɣ i n
soguis	s 'ɔ ɣ i s
soja	s 'ɔ ʒ ə
sol	s 'ɔ l
sòl	s 'ɔ l
sola	s 'ɔ l ə
solà	s u l 'a
solada	s u l 'a ð ə
solades	s u l 'a ð ə s
solana	s u l 'a n ə
solans	s u l 'a n s
solapar	s u l ə p 'a
solar	s u l 'a r
solarem	s u l ə ɾ 'ɛ m
solares	s u l 'a ɾ ə s
solaria	s u l ə ɾ 'i ə
solat	s u l 'a t
solatge	s u l 'a d ʒ ə
solats	s u l 'a t s
solava	s u l 'a β ə
solc	s 'ɔ l k
solca	s 'ɔ l k ə
solcar	s u l k 'a
solcat	s u l k 'a t
solco	s 'ɔ l k u
solda	s 'ɔ l d ə
soldà	s u l d 'a
soldada	s u l d 'a ð ə
soldades	s u l d 'a ð ə s
soldanat	s u l d ə n 'a t
soldar	s u l d 'a
soldat	s u l d 'a t
soldats	s u l d 'a t s
solden	s 'ɔ l d ə n
soldes	s 'ɔ l d ə s
soldi	s 'ɔ l d i
soldin	s 'ɔ l d i n
soldis	s 'ɔ l d i s
soldo	s 'ɔ l d u
soldre	s 'ɔ l d ɾ ə
soledat	s u l ə ð 'a t
solell	s u l 'ɛ ʎ
solem	s u l 'ɛ m
solemne	s u l 'ɛ m n ə
solen	s 'ɔ l ə n
solera	s u l 'e ɾ ə
soles	s 'ɔ l ə s
soleta	s u l 'ɛ t ə
solfatara	s u l f ə t 'a ɾ ə
solgui	s 'ɔ l ɣ i
solguin	s 'ɔ l ɣ i n
solguis	s 'ɔ l ɣ i s
soli	s 'ɔ l i
sòlid	s 'ɔ l i t
sòlida	s 'ɔ l i ð ə
solidar	s u l i ð 'a
solidari	s u l i ð 'a ɾ i
solidària	s u l i ð 'a ɾ i ə
solidàries	s u l i ð 'a ɾ i ə s
solidaris	s u l i ð 'a ɾ i s
solidaritat	s u l i ð ə ɾ i t 'a t
sòlides	s 'ɔ l i ð ə s
solidificada	s u l i ð i f i k 'a ð ə
solidificades	s u l i ð i f i k 'a ð ə s
solidificar	s u l i ð i f i k 'a
solidificat	s u l i ð i f i k 'a t
solidificats	s u l i ð i f i k 'a t s
soliditat	s u l i ð i t 'a t
sòlids	s 'ɔ l i t s
solin	s 'ɔ l i n
solis	s 'ɔ l i s
solista	s u l 'i s t ə
sòlit	s 'ɔ l i t
solitari	s u l i t 'a ɾ i
solitària	s u l i t 'a ɾ i ə
solitàries	s u l i t 'a ɾ i ə s
solitaris	s u l i t 'a ɾ i s
solitud	s u l i t 'u t
soll	s 'o ʎ
solla	s 'ɔ ʎ ə
sollar	s u ʎ 'a
sollen	s 'ɔ ʎ ə n
solleric	s u ʎ ə ɾ 'i k
solles	s 'ɔ ʎ ə s
solli	s 'ɔ ʎ i
sollin	s 'ɔ ʎ i n
sollis	s 'ɔ ʎ i s
sollo	s 'ɔ ʎ u
solo	s 'ɔ l u
solos	s 'ɔ l u s
solquen	s 'o l k ə n
solques	s 'ɔ l k ə s
solqui	s 'ɔ l k i
solquin	s 'ɔ l k i n
solquis	s 'ɔ l k i s
solraig	s u l r 'a t ʃ
sols	s 'ɔ l s
solsonenc	s u l s u n 'ɛ ŋ
Solsonès	s u l s u n 'ɛ s
solsoní	s u l s u n 'i
solstici	s u l s t 'i s i
solta	s 'ɔ l t ə
soltar	s u l t 'a
solten	s 'ɔ l t ə n
solter	s u l t 'e
soltes	s 'ɔ l t ə s
solti	s 'ɔ l t i
soltin	s 'ɔ l t i n
soltis	s 'ɔ l t i s
solto	s 'ɔ l t u
soluble	s u l 'u b b l ə
solució	s u l u s i 'o
solucionada	s u l u s i u n 'a ð ə
solucionades	s u l u s i u n 'a ð ə s
solucionar	s u l u s i u n 'a
solucionat	s u l u s i u n 'a t
solucionats	s u l u s i u n 'a t s
som	s 'o m
somali	s u m 'a l i
Somàlia	s u m 'a l i ə
somall	s u m 'a ʎ
somàtic	s u m 'a t i k
somàtica	s u m 'a t i k ə
somàtics	s u m 'a t i k s
somàtiques	s u m 'a t i k ə s
somereta	s u m ə ɾ 'ɛ t ə
somiada	s u m i 'a ð ə
somiades	s u m i 'a ð ə s
somiar	s u m i 'a
somiat	s u m i 'a t
somiats	s u m i 'a t s
somic	s u m 'i k
somicar	s u m i k 'a
somni	s 'ɔ m n i
somniar	s u m n i 'a
somnífera	s u m n 'i f ə ɾ ə
somníferes	s u m n 'i f ə ɾ ə s
somnífers	s u m n 'i f ə r s
somnis	s 'ɔ m n i s
somnolència	s u m n u l 'ɛ n s i ə
somriguda	s u m r i ɣ 'u ð ə
somrigudes	s u m r i ɣ 'u ð ə s
somrigut	s u m r i ɣ 'u t
somriguts	s u m r i ɣ 'u t s
somrís	s u m r 'i s
somriure	s u m r 'i w ɾ ə
son	s 'ɔ n
són	s 'o n
sona	s 'ɔ n ə
sonada	s u n 'a ð ə
sonades	s u n 'a ð ə s
sonall	s u n 'a ʎ
sonar	s u n 'a
sonat	s u n 'a t
sonata	s u n 'a t ə
sonats	s u n 'a t s
sonda	s 'o n d ə
sondar	s u n d 'a
sondeig	s u n d 'ɛ t ʃ
sondejada	s u n d ə ʒ 'a ð ə
sondejades	s u n d ə ʒ 'a ð ə s
sondejar	s u n d ə ʒ 'a
sondejat	s u n d ə ʒ 'a t
sondejats	s u n d ə ʒ 'a t s
sonden	s 'ɔ n d ə n
sondes	s 'o n d ə s
sondi	s 'ɔ n d i
sondin	s 'ɔ n d i n
sondis	s 'ɔ n d i s
sondo	s 'ɔ n d u
sondrollar	s u n d ɾ u ʎ 'a
sonen	s 'ɔ n ə n
sones	s 'ɔ n ə s
sonet	s u n 'ɛ t
soni	s 'ɔ n i
sònic	s 'ɔ n i k
sònica	s 'ɔ n i k ə
sònics	s 'ɔ n i k s
sonin	s 'ɔ n i n
sòniques	s 'ɔ n i k ə s
sonis	s 'ɔ n i s
sonor	s u n 'o r
sonora	s u n 'o ɾ ə
sonoritat	s u n u ɾ i t 'a t
sons	s 'ɔ n s
sonso	s 'ɔ n s u
sopa	s 'o p ə
sopà	s u p 'a
sopada	s u p 'a ð ə
sopades	s u p 'a ð ə s
sopar	s u p 'a
sopat	s u p 'a t
sopats	s u p 'a t s
sopen	s 'o p ə n
sopes	s 'o p ə s
sopi	s 'ɔ p i
sopin	s 'ɔ p i n
sopis	s 'ɔ p i s
sopluig	s u p l 'u t ʃ
sopo	s 'ɔ p u
sopor	s u p 'o r
soprano	s u p ɾ 'a n u
soques	s 'ɔ k ə s
sor	s 'o
sord	s 'o r t
sorgí	s u r ʒ 'i
sorgida	s u r ʒ 'i ð ə
sorgides	s u r ʒ 'i ð ə s
sorgiment	s u r ʒ i m 'e n
sorgir	s u r ʒ 'i
sorgit	s u r ʒ 'i t
sorgits	s u r ʒ 'i t s
Sòria	s 'ɔ ɾ i ə
sorn	s 'o r n
sorna	s 'o r n ə
sorneguer	s u r n ə ɣ 'e
soroll	s u ɾ 'o ʎ
sorollar	s u ɾ u ʎ 'a
sorollós	s u ɾ u ʎ 'o s
sororitat	s u ɾ u ɾ i t 'a t
sorprenentment	s u r p ɾ ə n ə m m 'e n
sorprès	s u r p ɾ 'ɛ s
sorpresa	s u r p ɾ 'ɛ z ə
sorpreses	s u r p ɾ 'ɛ z ə s
sorpresos	s u r p ɾ 'ɛ z u s
sorra	s 'o r ə
sorral	s u r 'a l
sorrar	s u r 'a
sorrejar	s u r ə ʒ 'a
sorren	s 'ɔ r ə n
sorrenc	s u r 'ɛ ŋ
sorri	s 'ɔ r i
sorrin	s 'ɔ r i n
sorris	s 'ɔ r i s
sorro	s 'ɔ r u
sorrut	s u r 'u t
sort	s 'ɔ r t
sorteig	s u r t 'ɛ t ʃ
sortejar	s u r t ə ʒ 'a
sortenc	s u r t 'ɛ ŋ
sortida	s u r t 'i ð ə
sortides	s u r t 'i ð ə s
sortidor	s u r t i ð 'o
sortíleg	s u r t 'i l ə k
sortilegi	s u r t i l 'ɛ ʒ i
sortilla	s u r t 'i ʎ ə
sortir	s u r t 'i
sortit	s u r t 'i t
sortits	s u r t 'i t s
sosa	s 'o z ə
soscaire	s u s k 'a j ɾ ə
soscavar	s u s k ə β 'a
sospir	s u s p 'i r
sospirar	s u s p i ɾ 'a
sospita	s u s p 'i t ə
sospitada	s u s p i t 'a ð ə
sospitades	s u s p i t 'a ð ə s
sospitar	s u s p i t 'a
sospitat	s u s p i t 'a t
sospitats	s u s p i t 'a t s
sospitós	s u s p i t 'o s
sostenibilitat	s u s t ə n i β i l i t 'a t
sostenible	s u s t ə n 'i b b l ə
sostenibles	s u s t ə n 'i b b l ə s
sostenidor	s u s t ə n i ð 'o
sostenidors	s u s t ə n i ð 'o s
sostenir	s u s t ə n 'i
sostracció	s u s t ɾ ə k s i 'o
sostre	s 'ɔ s t ɾ ə
sostres	s 'ɔ s t ɾ ə s
sostreure	s u s t ɾ 'ɛ w ɾ ə
sot	s 'ɔ t
sota	s 'o t ə
sotal	s u t 'a l
sotana	s u t 'a n ə
soterrada	s u t ə r 'a ð ə
soterrades	s u t ə r 'a ð ə s
soterrament	s u t ə r ə m 'e n
soterrani	s u t ə r 'a n i
soterrar	s u t ə r 'a
soterrat	s u t ə r 'a t
soterrats	s u t ə r 'a t s
sotgen	s 'ɔ d ʒ ə n
sotges	s 'ɔ d ʒ ə s
sotgi	s 'ɔ d ʒ i
sotgin	s 'ɔ d ʒ i n
sotgis	s 'ɔ d ʒ i s
sotja	s 'ɔ d ʒ ə
sotjar	s u d ʒ 'a
sotjo	s 'ɔ d ʒ u
sotmès	s u d m 'ɛ s
sotmesa	s u d m 'ɛ z ə
sotmeses	s u d m 'ɛ z ə s
sotmesos	s u d m 'ɛ z u s
sotmetiment	s u d m ə t i m 'e n
sotmetre	s u d m 'ɛ t ɾ ə
sotrac	s u t ɾ 'a k
sotragar	s u t ɾ ə ɣ 'a
sotragueig	s u t ɾ ə ɣ 'ɛ t ʃ
sotraguejar	s u t ɾ ə ɣ ə ʒ 'a
sotsobrar	s u t s u β ɾ 'a
sotsobre	s u t s 'ɔ β ɾ ə
sotsprefectura	s u t s p ɾ ə f ə k t 'u ɾ ə
sou	s 'o w
sous	s 'ɔ w s
soviètica	s u β i 'ɛ t i k ə
sovint	s u β 'i n
sovintejada	s u β i n t ə ʒ 'a ð ə
sovintejades	s u β i n t ə ʒ 'a ð ə s
sovintejar	s u β i n t ə ʒ 'a
sovintejat	s u β i n t ə ʒ 'a t
sovintejats	s u β i n t ə ʒ 'a t s
sua	s 'u ə
Suàbia	s u 'a β i ə
suada	s u 'a ð ə
suades	s u 'a ð ə s
suar	s u 'a
suara	s u 'a ɾ ə
suarà	s u ə ɾ 'a
suaràs	s u ə ɾ 'a s
suarem	s u ə ɾ 'ɛ m
suàrem	s u 'a ɾ ə m
suares	s u 'a ɾ ə s
suaria	s u ə ɾ 'i ə
suassana	s u ə s 'a n ə
suat	s u 'a t
suats	s u 'a t s
suau	s u 'a w
suaus	s u 'a w s
suava	s u 'a β ə
suavitat	s u ə β i t 'a t
suavitzar	s u ə β i d z 'a
subaltern	s u p ə l t 'ɛ r n
subalterna	s u p ə l t 'ɛ r n ə
subalternes	s u p ə l t 'ɛ r n ə s
subaquàtic	s u p ə k w 'a t i k
subclasse	s u p k l 'a s ə
subconjunt	s u p k u n ʒ 'u n
subcontractista	s u p k u n t ɾ ə k t 'i s t ə
subcutani	s u p k u t 'a n i
subcutània	s u p k u t 'a n i ə
subcutànies	s u p k u t 'a n i ə s
subcutanis	s u p k u t 'a n i s
subdivisió	s u b d i β i z i 'o
subducció	s u b d u k s i 'o
subduir	s u b d u 'i
subdural	s u b d u ɾ 'a l
subestima	s u p ə s t 'i m ə
subestimà	s u p ə s t i m 'a
subestimada	s u p ə s t i m 'a ð ə
subestimades	s u p ə s t i m 'a ð ə s
subestimant	s u p ə s t i m 'a n
subestimar	s u p ə s t i m 'a
subestimarà	s u p ə s t i m ə ɾ 'a
subestimaran	s u p ə s t i m ə ɾ 'a n
subestimaràs	s u p ə s t i m ə ɾ 'a s
subestimaré	s u p ə s t i m ə ɾ 'e
subestimarem	s u p ə s t i m ə ɾ 'ɛ m
subestimàrem	s u p ə s t i m 'a ɾ ə m
subestimaren	s u p ə s t i m 'a ɾ ə n
subestimares	s u p ə s t i m 'a ɾ ə s
subestimareu	s u p ə s t i m ə ɾ 'ɛ w
subestimàreu	s u p ə s t i m 'a ɾ ə w
subestimaria	s u p ə s t i m ə ɾ 'i ə
subestimaríem	s u p ə s t i m ə ɾ 'i ə m
subestimarien	s u p ə s t i m ə ɾ 'i ə n
subestimaries	s u p ə s t i m ə ɾ 'i ə s
subestimaríeu	s u p ə s t i m ə ɾ 'i ə w
subestimat	s u p ə s t i m 'a t
subestimats	s u p ə s t i m 'a t s
subestimava	s u p ə s t i m 'a β ə
subestimàvem	s u p ə s t i m 'a β ə m
subestimaven	s u p ə s t i m 'a β ə n
subestimaves	s u p ə s t i m 'a β ə s
subestimàveu	s u p ə s t i m 'a β ə w
subestimem	s u p ə s t i m 'ɛ m
subestimen	s u p ə s t 'i m ə n
subestimes	s u p ə s t 'i m ə s
subestimés	s u p ə s t i m 'e s
subestiméssim	s u p ə s t i m 'e s i m
subestiméssiu	s u p ə s t i m 'e s i w
subestimeu	s u p ə s t i m 'ɛ w
subestimi	s u p ə s t 'i m i
subestimí	s u p ə s t i m 'i
subestimin	s u p ə s t 'i m i n
subestimis	s u p ə s t 'i m i s
subestimo	s u p ə s t 'i m u
subgegant	s u b ʒ ə ɣ 'a n
subhasta	s u β 'a s t ə
subhastada	s u β ə s t 'a ð ə
subhastades	s u β ə s t 'a ð ə s
subhastar	s u β ə s t 'a
subhastat	s u β ə s t 'a t
subhastats	s u β ə s t 'a t s
subjecte	s u b ʒ 'e k t ə
subjectiu	s u b ʒ ə k t 'i w
subjectivada	s u b ʒ ə k t i β 'a ð ə
subjectivades	s u b ʒ ə k t i β 'a ð ə s
subjectivat	s u b ʒ ə k t i β 'a t
subjectivats	s u b ʒ ə k t i β 'a t s
subjugació	s u b ʒ u ɣ ə s i 'o
subjugada	s u b ʒ u ɣ 'a ð ə
subjugades	s u b ʒ u ɣ 'a ð ə s
subjugar	s u b ʒ u ɣ 'a
subjugat	s u b ʒ u ɣ 'a t
subjugats	s u b ʒ u ɣ 'a t s
subjuntiu	s u b ʒ u n t 'i w
sublim	s u β l 'i m
sublimar	s u β l i m 'a
submarinista	s u b m ə ɾ i n 'i s t ə
submergida	s u b m ə r ʒ 'i ð ə
submergides	s u b m ə r ʒ 'i ð ə s
submergir	s u b m ə r ʒ 'i
submergit	s u b m ə r ʒ 'i t
submergits	s u b m ə r ʒ 'i t s
subministrada	s u b m i n i s t ɾ 'a ð ə
subministrades	s u b m i n i s t ɾ 'a ð ə s
subministrament	s u b m i n i s t ɾ ə m 'e n
subministrar	s u b m i n i s t ɾ 'a
subministrat	s u b m i n i s t ɾ 'a t
subministrats	s u b m i n i s t ɾ 'a t s
submís	s u b m 'i s
subnana	s u b n 'a n ə
suborn	s u β 'o r n
subornà	s u β u r n 'a
subornada	s u β u r n 'a ð ə
subornades	s u β u r n 'a ð ə s
subornant	s u β u r n 'a n
subornar	s u β u r n 'a
subornarà	s u β u r n ə ɾ 'a
subornaran	s u β u r n ə ɾ 'a n
subornaràs	s u β u r n ə ɾ 'a s
subornaré	s u β u r n ə ɾ 'e
subornarem	s u β u r n ə ɾ 'ɛ m
subornàrem	s u β u r n 'a ɾ ə m
subornaren	s u β u r n 'a ɾ ə n
subornares	s u β u r n 'a ɾ ə s
subornareu	s u β u r n ə ɾ 'ɛ w
subornàreu	s u β u r n 'a ɾ ə w
subornaria	s u β u r n ə ɾ 'i ə
subornaríem	s u β u r n ə ɾ 'i ə m
subornarien	s u β u r n ə ɾ 'i ə n
subornaries	s u β u r n ə ɾ 'i ə s
subornaríeu	s u β u r n ə ɾ 'i ə w
subornat	s u β u r n 'a t
subornats	s u β u r n 'a t s
subornava	s u β u r n 'a β ə
subornàvem	s u β u r n 'a β ə m
subornaven	s u β u r n 'a β ə n
subornaves	s u β u r n 'a β ə s
subornàveu	s u β u r n 'a β ə w
subornem	s u β u r n 'ɛ m
subornés	s u β u r n 'e s
subornéssim	s u β u r n 'e s i m
subornéssiu	s u β u r n 'e s i w
suborneu	s u β u r n 'ɛ w
suborní	s u β u r n 'i
suborns	s u β 'o r n s
subratllades	s u β ɾ ə ʎ ʎ 'a ð ə s
subratllar	s u b r ə ʎ ʎ 'a
subregió	s u β ɾ ə ʒ i 'o
subrogar	s u b r u ɣ 'a
subsaharià	s u p s ə ə ɾ i 'a
subscriptor	s u p s k ɾ i p t 'o
subscriure	s u p s k ɾ 'i w ɾ ə
subsegüent	s u p s ə ɣ w 'e n
subseguir	s u p s ə ɣ 'i
subsistència	s u p s i s t 'ɛ n s i ə
subsistències	s u p s i s t 'ɛ n s i ə s
subsistida	s u p s i s t 'i ð ə
subsistir	s u p s i s t 'i
subsistit	s u p s i s t 'i t
substància	s u p s t 'a n s i ə
substancial	s u p s t ə n s i 'a l
substantiu	s u p s t ə n t 'i w
substantius	s u p s t ə n t 'i w s
substitució	s u p s t i t u s i 'o
substituïda	s u p s t i t u 'i ð ə
substituïdes	s u p s t i t u 'i ð ə s
substituint	s u p s t i t u 'i n
substituir	s u p s t i t u 'i
substituïres	s u p s t i t u 'i ɾ ə s
substituït	s u p s t i t u 'i t
substituïts	s u p s t i t u 'i t s
substitut	s u p s t i t 'u t
substituta	s u p s t i t 'u t ə
substitutes	s u p s t i t 'u t ə s
substituts	s u p s t i t 'u t s
substrat	s u p s t ɾ 'a t
subterrani	s u p t ə r 'a n i
subtil	s u p t 'i l
subtítol	s u p t 'i t u l
subtracció	s u p t ɾ ə k s i 'o
subtropical	s u p t ɾ u p i k 'a l
subversiu	s u b b ə r s 'i w
subvertida	s u b b ə r t 'i ð ə
subvertides	s u b b ə r t 'i ð ə s
subvertir	s u b b ə r t 'i
subvertit	s u b b ə r t 'i t
subvertits	s u b b ə r t 'i t s
suc	s 'u k
sucada	s u k 'a ð ə
sucades	s u k 'a ð ə s
sucar	s u k 'a
sucat	s u k 'a t
sucats	s u k 'a t s
succedani	s u k s ə ð 'a n i
succeïda	s u k s ə 'i ð ə
succeïdes	s u k s ə 'i ð ə s
succeir	s u k s ə 'i
succeït	s u k s ə 'i t
succeïts	s u k s ə 'i t s
successiu	s u k s ə s 'i w
successius	s u k s ə s 'i w s
successiva	s u k s ə s 'i β ə
successives	s u k s ə s 'i β ə s
successor	s u k s ə s 'o
sucre	s 'u k ɾ ə
súcube	s 'u k u β ə
sucursal	s u k u r s 'a l
sucursals	s u k u r s 'a l s
sud	s 'u t
Sudan	s u ð 'a n
sudanès	s u ð ə n 'ɛ s
sudanesa	s u ð ə n 'ɛ z ə
sudaneses	s u ð ə n 'ɛ z ə s
sudanesos	s u ð ə n 'ɛ z u s
suec	s u 'ɛ k
sueca	s u 'ɛ k ə
Suècia	s u 'ɛ s i ə
suem	s u 'ɛ m
sues	s 'u ə s
suèter	s u 'ɛ t ə r
sueu	s u 'ɛ w
suficiència	s u f i s i 'ɛ n s i ə
suficient	s u f i s i 'e n
suficientment	s u f i s i ə m m 'e n
sufix	s u f 'i k s
sufocar	s u f u k 'a
sufragani	s u f ɾ ə ɣ 'a n i
sufragània	s u f ɾ ə ɣ 'a n i ə
sufragànies	s u f ɾ ə ɣ 'a n i ə s
sufraganis	s u f ɾ ə ɣ 'a n i s
suí	s u 'i
suïcidada	s u i s i ð 'a ð ə
suïcidades	s u i s i ð 'a ð ə s
suïcidar	s u i s i ð 'a
suïcidat	s u i s i ð 'a t
suïcidats	s u i s i ð 'a t s
suïcidi	s u i s 'i ð i
suís	s u 'i s
Suïssa	s u 'i s ə
suïssa	s u 'i s ə
suïsses	s u 'i s ə s
suïssos	s u 'i s u s
sulfat	s u l f 'a t
sulfatar	s u l f ə t 'a
sulfur	s u l f 'u r
sulfuri	s u l f 'u ɾ i
sulfúria	s u l f 'u ɾ i ə
sulfúric	s u l f 'u ɾ i k
sulfúries	s u l f 'u ɾ i ə s
sulfuris	s u l f 'u ɾ i s
sultà	s u l t 'a
sultanat	s u l t ə n 'a t
suma	s 'u m ə
sumac	s u m 'a k
sumada	s u m 'a ð ə
sumades	s u m 'a ð ə s
sumar	s u m 'a
sumari	s u m 'a ɾ i
sumària	s u m 'a ɾ i ə
sumàries	s u m 'a ɾ i ə s
sumaris	s u m 'a ɾ i s
sumat	s u m 'a t
sumats	s u m 'a t s
sumeri	s u m 'ɛ ɾ i
sumerigrama	s u m ə ɾ i ɣ ɾ 'a m ə
sumerigrames	s u m ə ɾ i ɣ ɾ 'a m ə s
sumi	s 'u m i
summe	s 'u m m ə
sumo	s 'u m u
sunnita	s u n n 'i t ə
sunnites	s u n n 'i t ə s
suo	s 'u u
suor	s u 'o
supeditar	s u p ə ð i t 'a
súper	s 'u p ə r
supera	s u p 'e ɾ ə
superabundància	s u p ə ɾ ə β u n d 'a n s i ə
superada	s u p ə ɾ 'a ð ə
superades	s u p ə ɾ 'a ð ə s
superar	s u p ə ɾ 'a
superares	s u p ə ɾ 'a ɾ ə s
superaria	s u p ə ɾ ə ɾ 'i ə
superat	s u p ə ɾ 'a t
superats	s u p ə ɾ 'a t s
superava	s u p ə ɾ 'a β ə
superàvit	s u p ə ɾ 'a β i t
superàvits	s u p ə ɾ 'a β i t s
superficial	s u p ə r f i s i 'a l
