A	'ə
cabriolats	k ə β ɾ i u l 'a t s
cabrit	k ə β ɾ 'i t
cabritilla	k ə β ɾ i t 'i ʎ ə
cabrits	k ə β ɾ 'i t s
cabró	k ə β ɾ 'o
cabrons	k ə β ɾ 'o n s
cabrú	k ə β ɾ 'u
cabuda	k ə β 'u ð ə
cabudes	k ə β 'u ð ə s
cabussar	k ə β u s 'a
cabusset	k ə β u s 'ɛ t
cabussó	k ə β u s 'o
cabut	k ə β 'u t
cabuts	k ə β 'u t s
caça	k 'a s ə
caçada	k ə s 'a ð ə
caçades	k ə s 'a ð ə s
caçador	k ə s ə ð 'o
caçamines	k ə s ə m 'i n ə s
caçar	k ə s 'a
caçarem	k ə s ə ɾ 'ɛ m
caçares	k ə s 'a ɾ ə s
caçat	k ə s 'a t
caçats	k ə s 'a t s
cacau	k ə k 'a w
cacauet	k ə k ə w 'ɛ t
cacaus	k ə k 'a w s
cacem	k ə s 'ɛ m
cacera	k ə s 'e ɾ ə
Càceres	k 'a s ə ɾ ə s
caces	k 'a s ə s
cacic	k ə s 'i k
cacicat	k ə s i k 'a t
caciquejar	k ə s i k ə ʒ 'a
caço	k 'a s u
cactus	k 'a k t u s
cada	k 'a ð ə
cadafal	k ə ð ə f 'a l
Cadaqués	k ə ð ə k 'e s
cadascú	k ə ð ə s k 'u
cadascun	k ə ð ə s k 'u n
cadàver	k ə ð 'a β ə r
cadavèric	k ə ð ə β 'ɛ ɾ i k
cadavèrica	k ə ð ə β 'ɛ ɾ i k ə
cadavèrics	k ə ð ə β 'ɛ ɾ i k s
cadavèriques	k ə ð ə β 'ɛ ɾ i k ə s
càdec	k 'a ð ə k
cadell	k ə ð 'e ʎ
cadena	k ə ð 'ɛ n ə
cadenat	k ə ð ə n 'a t
cadenats	k ə ð ə n 'a t s
cadència	k ə ð 'ɛ n s i ə
cadències	k ə ð 'ɛ n s i ə s
cadinè	k ə ð i n 'ɛ
cadira	k ə ð 'i ɾ ə
cadiral	k ə ð i ɾ 'a l
cadires	k ə ð 'i ɾ ə s
cadireta	k ə ð i ɾ 'ɛ t ə
Cadis	k 'a ð i s
cadmi	k 'a d m i
caduc	k ə ð 'u k
caducar	k ə ð u k 'a
caducifoli	k ə ð u s i f 'ɔ l i
caducitat	k ə ð u s i t 'a t
caducitats	k ə ð u s i t 'a t s
caduf	k ə ð 'u f
caduquejar	k ə ð u k ə ʒ 'a
cafè	k ə f 'ɛ
cafeïna	k ə f ə 'i n ə
cafeteria	k ə f ə t ə ɾ 'i ə
cafeteries	k ə f ə t ə ɾ 'i ə s
cafetó	k ə f ə t 'o
càfila	k 'a f i l ə
caga	k 'a ɣ ə
cagada	k ə ɣ 'a ð ə
cagades	k ə ɣ 'a ð ə s
caganer	k ə ɣ ə n 'e
cagar	k ə ɣ 'a
cagarada	k ə ɣ ə ɾ 'a ð ə
cagares	k ə ɣ 'a ɾ ə s
cagaria	k ə ɣ ə ɾ 'i ə
cagarro	k ə ɣ 'a r u
cagat	k ə ɣ 'a t
cagatripa	k ə ɣ ə t ɾ 'i p ə
cagats	k ə ɣ 'a t s
cagava	k ə ɣ 'a β ə
cago	k 'a ɣ u
cagues	k 'a ɣ ə s
caiac	k ə j 'a k
caient	k ə j 'e n
caiguda	k ə j ɣ 'u ð ə
caigudes	k ə j ɣ 'u ð ə s
caigut	k ə j ɣ 'u t
caiguts	k ə j ɣ 'u t s
Caín	k ə 'i n
Caire	k 'a j ɾ ə
caire	k 'a j ɾ ə
caires	k 'a j ɾ ə s
caireta	k ə j ɾ 'ɛ t ə
caironada	k ə j ɾ u n 'a ð ə
caironades	k ə j ɾ u n 'a ð ə s
caironat	k ə j ɾ u n 'a t
caironats	k ə j ɾ u n 'a t s
caiuc	k ə j 'u k
caixa	k 'a ʃ ə
caixer	k ə ʃ 'e
caixes	k 'a ʃ ə s
caixubi	k ə ʃ 'u β i
cal	k 'a l
cala	k 'a l ə
calà	k ə l 'a
calabós	k ə l ə β 'o s
calabre	k ə l 'a β ɾ ə
calabrès	k ə l ə β ɾ 'ɛ s
calabrés	k ə l ə β ɾ 'e s
calabresa	k ə l ə β ɾ 'ɛ z ə
calabreses	k ə l ə β ɾ 'ɛ z ə s
calabresos	k ə l ə β ɾ 'ɛ z u s
Calàbria	k ə l 'a β ɾ i ə
calàbria	k ə l 'a β ɾ i ə
calabruix	k ə l ə β ɾ 'u ʃ
calabruixa	k ə l ə β ɾ 'u ʃ ə
calabruixar	k ə l ə β ɾ u ʃ 'a
Calabuig	k ə l ə β 'u t ʃ
calada	k ə l 'a ð ə
calades	k ə l 'a ð ə s
calaix	k ə l 'a ʃ
calaixos	k ə l 'a ʃ u s
càlam	k 'a l ə m
calamarsa	k ə l ə m 'a r s ə
calamarsada	k ə l ə m ə r s 'a ð ə
calamarsades	k ə l ə m ə r s 'a ð ə s
calamarsejar	k ə l ə m ə r s ə ʒ 'a
calamarses	k ə l ə m 'a r s ə s
calamitat	k ə l ə m i t 'a t
calamitats	k ə l ə m i t 'a t s
calamitós	k ə l ə m i t 'o s
calàndria	k ə l 'a n d ɾ i ə
calàpat	k ə l 'a p ə t
calàpet	k ə l 'a p ə t
calar	k ə l 'a
calarà	k ə l ə ɾ 'a
calaràs	k ə l ə ɾ 'a s
calarem	k ə l ə ɾ 'ɛ m
calàrem	k ə l 'a ɾ ə m
calares	k ə l 'a ɾ ə s
calàreu	k ə l 'a ɾ ə w
calaria	k ə l ə ɾ 'i ə
calat	k ə l 'a t
calatge	k ə l 'a d ʒ ə
calats	k ə l 'a t s
calau	k ə l 'a w
calava	k ə l 'a β ə
calàvem	k ə l 'a β ə m
calavera	k ə l ə β 'e ɾ ə
calaverada	k ə l ə β ə ɾ 'a ð ə
calàveu	k ə l 'a β ə w
calazi	k ə l 'a z i
calb	k 'a l p
calba	k 'a l β ə
calbesa	k ə l β 'ɛ z ə
calbs	k 'a l p s
calc	k 'a l k
calç	k 'a l s
calça	k 'a l s ə
calçada	k ə l s 'a ð ə
calçades	k ə l s 'a ð ə s
calcani	k ə l k 'a n i
calcanis	k ə l k 'a n i s
calçapeu	k ə l s ə p 'ɛ w
calçar	k ə l s 'a
calcari	k ə l k 'a ɾ i
calçasses	k ə l s 'a s ə s
calçat	k ə l s 'a t
calçats	k ə l s 'a t s
calcedònia	k ə l s ə ð 'ɔ n i ə
Calcedònia	k ə l s ə ð 'ɔ n i ə
calcedònies	k ə l s ə ð 'ɔ n i ə s
calces	k 'a l s ə s
calcetí	k ə l s ə t 'i
calcetins	k ə l s ə t 'i n s
calci	k 'a l s i
càlcic	k 'a l s i k
càlcica	k 'a l s i k ə
calcícola	k ə l s 'i k u l ə
càlcics	k 'a l s i k s
calcificada	k ə l s i f i k 'a ð ə
calcificades	k ə l s i f i k 'a ð ə s
calcificar	k ə l s i f i k 'a
calcificat	k ə l s i f i k 'a t
calcificats	k ə l s i f i k 'a t s
calcigar	k ə l s i ɣ 'a
càlciques	k 'a l s i k ə s
calcografia	k ə l k u ɣ ɾ ə f 'i ə
calçotada	k ə l s u t 'a ð ə
calcs	k 'a l k s
càlcul	k 'a l k u l
calcula	k ə l k 'u l ə
calculà	k ə l k u l 'a
calculable	k ə l k u l 'a b b l ə
calculables	k ə l k u l 'a b b l ə s
calculada	k ə l k u l 'a ð ə
calculades	k ə l k u l 'a ð ə s
calcular	k ə l k u l 'a
calcularà	k ə l k u l ə ɾ 'a
calcularàs	k ə l k u l ə ɾ 'a s
calcularem	k ə l k u l ə ɾ 'ɛ m
calculares	k ə l k u l 'a ɾ ə s
calcularia	k ə l k u l ə ɾ 'i ə
calculat	k ə l k u l 'a t
calculats	k ə l k u l 'a t s
calculava	k ə l k u l 'a β ə
calculem	k ə l k u l 'ɛ m
calcules	k ə l k 'u l ə s
calculo	k ə l k 'u l u
càlculs	k 'a l k u l s
caldejada	k ə l d ə ʒ 'a ð ə
caldejades	k ə l d ə ʒ 'a ð ə s
caldejar	k ə l d ə ʒ 'a
caldejat	k ə l d ə ʒ 'a t
caldejats	k ə l d ə ʒ 'a t s
caldera	k ə l d 'e ɾ ə
caldereta	k ə l d ə ɾ 'ɛ t ə
caldrà	k ə l d ɾ 'a
caldran	k ə l d ɾ 'a n
caldre	k 'a l d ɾ ə
caldria	k ə l d ɾ 'i ə
calé	k ə l 'e
Caledònia	k ə l ə ð 'ɔ n i ə
calefacció	k ə l ə f ə k s i 'o
calefaccions	k ə l ə f ə k s i 'o n s
calefactar	k ə l ə f ə k t 'a
calem	k ə l 'ɛ m
calendari	k ə l ə n d 'a ɾ i
calendàric	k ə l ə n d 'a ɾ i k
calendaris	k ə l ə n d 'a ɾ i s
calent	k ə l 'e n
caler	k ə l 'ɛ
cales	k 'a l ə s
calfada	k ə l f 'a ð ə
calfades	k ə l f 'a ð ə s
calfar	k ə l f 'a
calfat	k ə l f 'a t
calfats	k ə l f 'a t s
calfred	k ə l f ɾ 'ɛ t
calguda	k ə l ɣ 'u ð ə
calgudes	k ə l ɣ 'u ð ə s
calgui	k 'a l ɣ i
calguin	k 'a l ɣ i n
calgut	k ə l ɣ 'u t
calguts	k ə l ɣ 'u t s
calia	k ə l 'i ə
càlid	k 'a l i t
caliditat	k ə l i ð i t 'a t
calien	k ə l 'i ə n
califa	k ə l 'i f ə
califes	k ə l 'i f ə s
californi	k ə l i f 'ɔ r n i
californià	k ə l i f u r n i 'a
californiana	k ə l i f u r n i 'a n ə
caliginós	k ə l i ʒ i n 'o s
calitja	k ə l 'i d ʒ ə
caliu	k ə l 'i w
call	k 'a ʎ
callada	k ə ʎ 'a ð ə
callades	k ə ʎ 'a ð ə s
callar	k ə ʎ 'a
callat	k ə ʎ 'a t
callats	k ə ʎ 'a t s
Càller	k 'a ʎ ə r
callerès	k ə ʎ ə ɾ 'ɛ s
callis	k 'a ʎ i s
callista	k ə ʎ 'i s t ə
calls	k 'a ʎ s
calma	k 'a l m ə
calmada	k ə l m 'a ð ə
calmades	k ə l m 'a ð ə s
calmaria	k ə l m ə ɾ 'i ə
calmat	k ə l m 'a t
calmats	k ə l m 'a t s
calmes	k 'a l m ə s
calmi	k 'a l m i
Calmúquia	k ə l m 'u k i ə
calo	k 'a l u
caló	k ə l 'o
calons	k ə l 'o n s
calor	k ə l 'o
caloria	k ə l u ɾ 'i ə
calòric	k ə l 'ɔ ɾ i k
calories	k ə l u ɾ 'i ə s
calorimètric	k ə l u ɾ i m 'ɛ t ɾ i k
calorimètrica	k ə l u ɾ i m 'ɛ t ɾ i k ə
calorimètrics	k ə l u ɾ i m 'ɛ t ɾ i k s
calorimètriques	k ə l u ɾ i m 'ɛ t ɾ i k ə s
calós	k ə l 'o s
calostre	k ə l 'ɔ s t ɾ ə
calota	k ə l 'ɔ t ə
calta	k 'a l t ə
caluga	k ə l 'u ɣ ə
calúmnia	k ə l 'u m n i ə
calúmnies	k ə l 'u m n i ə s
calvície	k ə l β 'i s i ə
calvícies	k ə l β 'i s i ə s
calze	k 'a l z ə
calzes	k 'a l z ə s
Cam	k 'a m
cama	k 'a m ə
camafeu	k ə m ə f 'ɛ w
camal	k ə m 'a l
camaleó	k ə m ə l ə 'o
camaleons	k ə m ə l ə 'o n s
camàlic	k ə m 'a l i k
camamilla	k ə m ə m 'i ʎ ə
camàndula	k ə m 'a n d u l ə
camanegre	k ə m ə n 'ɛ ɣ ɾ ə
camarada	k ə m ə ɾ 'a ð ə
camaraderia	k ə m ə ɾ ə ð ə ɾ 'i ə
camarades	k ə m ə ɾ 'a ð ə s
camarlenc	k ə m ə r l 'ɛ ŋ
cambra	k 'a m b ɾ ə
cambrada	k ə m b ɾ 'a ð ə
cambrer	k ə m b ɾ 'e
cambrera	k ə m b ɾ 'e ɾ ə
cambres	k 'a m b ɾ ə s
cambreta	k ə m b ɾ 'ɛ t ə
Cambrils	k ə m b ɾ 'i l s
cambró	k ə m b ɾ 'o
camell	k ə m 'e ʎ
càmera	k 'a m ə ɾ ə
càmeres	k 'a m ə ɾ ə s
camerino	k ə m ə ɾ 'i n u
Camerun	k ə m ə ɾ 'u n
cames	k 'a m ə s
cameta	k ə m 'ɛ t ə
camfè	k ə m f 'ɛ
càmfora	k 'a m f u ɾ ə
càmfores	k 'a m f u ɾ ə s
camí	k ə m 'i
caminada	k ə m i n 'a ð ə
caminades	k ə m i n 'a ð ə s
caminador	k ə m i n ə ð 'o
caminal	k ə m i n 'a l
caminar	k ə m i n 'a
caminat	k ə m i n 'a t
caminats	k ə m i n 'a t s
camins	k ə m 'i n s
camió	k ə m i 'o
camioner	k ə m i u n 'e
camions	k ə m i 'o n s
camisa	k ə m 'i z ə
camises	k ə m 'i z ə s
camiseta	k ə m i z 'ɛ t ə
camp	k 'a m
campament	k ə m p ə m 'e n
campana	k ə m p 'a n ə
campanades	k ə m p ə n 'a ð ə s
campanar	k ə m p ə n 'a
campanes	k ə m p 'a n ə s
campaneta	k ə m p ə n 'ɛ t ə
Campaneta	k ə m p ə n 'ɛ t ə
Campània	k ə m p 'a n i ə
campanya	k ə m p 'a ɲ ə
campanyes	k ə m p 'a ɲ ə s
campar	k ə m p 'a
camperol	k ə m p ə ɾ 'ɔ l
campi	k 'a m p i
campió	k ə m p i 'o
campionat	k ə m p i u n 'a t
campions	k ə m p i 'o n s
camps	k 'a m s
campus	k 'a m p u s
camuflar	k ə m u f l 'a
camuflatge	k ə m u f l 'a d ʒ ə
camuflatges	k ə m u f l 'a d ʒ ə s
camussa	k ə m 'u s ə
camusses	k ə m 'u s ə s
can	k 'a n
cana	k 'a n ə
canabassa	k ə n ə β 'a s ə
Canadà	k ə n ə ð 'a
canadenc	k ə n ə ð 'ɛ ŋ
canadenca	k ə n ə ð 'ɛ ŋ k ə
canadencs	k ə n ə ð 'ɛ ŋ s
canadenques	k ə n ə ð 'ɛ ŋ k ə s
canal	k ə n 'a l
canalització	k ə n ə l i d z ə s i 'o
canalitzacions	k ə n ə l i d z ə s i 'o n s
canalla	k ə n 'a ʎ ə
canallada	k ə n ə ʎ 'a ð ə
canalles	k ə n 'a ʎ ə s
canals	k ə n 'a l s
canana	k ə n 'a n ə
cananes	k ə n 'a n ə s
canapè	k ə n ə p 'ɛ
canari	k ə n 'a ɾ i
canària	k ə n 'a ɾ i ə
Canàries	k ə n 'a ɾ i ə s
canàries	k ə n 'a ɾ i ə s
canaris	k ə n 'a ɾ i s
canceller	k ə n s ə ʎ 'e
càncer	k 'a n s ə r
cancerós	k ə n s ə ɾ 'o s
canceroses	k ə n s ə ɾ 'o z ə s
càncers	k 'a n s ə r s
cançó	k ə n s 'o
cançoner	k ə n s u n 'e
cançons	k ə n s 'o n s
candau	k ə n d 'a w
candaus	k ə n d 'a w s
candela	k ə n d 'ɛ l ə
candelilla	k ə n d ə l 'i ʎ ə
càndid	k 'a n d i t
càndida	k 'a n d i ð ə
candidat	k ə n d i ð 'a t
candidates	k ə n d i ð 'a t ə s
candidats	k ə n d i ð 'a t s
candidatura	k ə n d i ð ə t 'u ɾ ə
candidatures	k ə n d i ð ə t 'u ɾ ə s
càndides	k 'a n d i ð ə s
càndids	k 'a n d i t s
candor	k ə n d 'o
canela	k ə n 'ɛ l ə
caneles	k ə n 'ɛ l ə s
canell	k ə n 'e ʎ
canells	k ə n 'e ʎ s
canelobre	k ə n ə l 'ɔ β ɾ ə
cànem	k 'a n ə m
canemàs	k ə n ə m 'a s
canemuixa	k ə n ə m 'u ʃ ə
canes	k 'a n ə s
canet	k ə n 'ɛ t
caní	k ə n 'i
caníbal	k ə n 'i β ə l
canibalisme	k ə n i β ə l 'i z m ə
canibalismes	k ə n i β ə l 'i z m ə s
caníbals	k ə n 'i β ə l s
Canigó	k ə n i ɣ 'o
canilla	k ə n 'i ʎ ə
canina	k ə n 'i n ə
canines	k ə n 'i n ə s
canins	k ə n 'i n s
cànnabis	k 'a n n ə β i s
canó	k ə n 'o
canoa	k ə n 'o ə
Cànoes	k 'a n u ə s
cànon	k 'a n u n
canonada	k ə n u n 'a ð ə
canonades	k ə n u n 'a ð ə s
canonge	k ə n 'ɔ n ʒ ə
canònic	k ə n 'ɔ n i k
canonització	k ə n u n i d z ə s i 'o
canonitzacions	k ə n u n i d z ə s i 'o n s
canons	k ə n 'o n s
cànons	k 'a n u n s
cans	k 'a n s
cansada	k ə n s 'a ð ə
cansades	k ə n s 'a ð ə s
cansalada	k ə n s ə l 'a ð ə
cansaladeria	k ə n s ə l ə ð ə ɾ 'i ə
cansalades	k ə n s ə l 'a ð ə s
cansament	k ə n s ə m 'e n
cansar	k ə n s 'a
cansat	k ə n s 'a t
cansats	k ə n s 'a t s
cant	k 'a n
cantable	k ə n t 'a b b l ə
càntabre	k 'a n t ə β ɾ ə
Cantàbria	k ə n t 'a β ɾ i ə
cantàbric	k ə n t 'a β ɾ i k
cantada	k ə n t 'a ð ə
cantades	k ə n t 'a ð ə s
cantador	k ə n t ə ð 'o
cantant	k ə n t 'a n
cantants	k ə n t 'a n s
cantar	k ə n t 'a
cantaria	k ə n t ə ɾ 'i ə
cantat	k ə n t 'a t
cantata	k ə n t 'a t ə
cantates	k ə n t 'a t ə s
cantats	k ə n t 'a t s
cantautor	k ə n t ə w t 'o
cantava	k ə n t 'a β ə
càntic	k 'a n t i k
càntics	k 'a n t i k s
cantimplora	k ə n t i m p l 'ɔ ɾ ə
cantina	k ə n t 'i n ə
canto	k 'a n t u
cantó	k ə n t 'o
cantonada	k ə n t u n 'a ð ə
cantonades	k ə n t u n 'a ð ə s
cantonal	k ə n t u n 'a l
cantonès	k ə n t u n 'ɛ s
cantons	k ə n t 'o n s
cantor	k ə n t 'o
cantors	k ə n t 'o s
cants	k 'a n s
canvi	k 'a m b i
canvia	k ə m b 'i ə
canviable	k ə m b i 'a b b l ə
canviada	k ə m b i 'a ð ə
canviades	k ə m b i 'a ð ə s
canviar	k ə m b i 'a
canviat	k ə m b i 'a t
canviats	k ə m b i 'a t s
canvis	k 'a m b i s
canya	k 'a ɲ ə
canyaferla	k ə ɲ ə f 'ɛ r l ə
canyafístula	k ə ɲ ə f 'i s t u l ə
canyar	k ə ɲ 'a
canyella	k ə ɲ 'e ʎ ə
canyes	k 'a ɲ ə s
canyet	k ə ɲ 'ɛ t
canyís	k ə ɲ 'i s
canyissar	k ə ɲ i s 'a
canyó	k ə ɲ 'o
canyota	k ə ɲ 'ɔ t ə
caos	k 'a o s
caòtic	k ə 'ɔ t i k
cap	k 'a p
capa	k 'a p ə
capaç	k ə p 'a s
capacitat	k ə p ə s i t 'a t
capacitats	k ə p ə s i t 'a t s
capacitisme	k ə p ə s i t 'i z m ə
capada	k ə p 'a ð ə
capades	k ə p 'a ð ə s
Capadòcia	k ə p ə ð 'ɔ s i ə
capadòcia	k ə p ə ð 'ɔ s i ə
capadòcies	k ə p ə ð 'ɔ s i ə s
capar	k ə p 'a
caparra	k ə p 'a r ə
caparreta	k ə p ə r 'ɛ t ə
capat	k ə p 'a t
capats	k ə p 'a t s
capbussó	k ə b b u s 'o
capça	k 'a p s ə
capçada	k ə p s 'a ð ə
capçades	k ə p s 'a ð ə s
capçal	k ə p s 'a l
capçalera	k ə p s ə l 'e ɾ ə
capciós	k ə p s i 'o s
Capcir	k ə p s 'i
capçó	k ə p s 'o
capdavall	k ə b d ə β 'a ʎ
capdavanter	k ə b d ə β ə n t 'e
capelina	k ə p ə l 'i n ə
capelines	k ə p ə l 'i n ə s
capellà	k ə p ə ʎ 'a
capellans	k ə p ə ʎ 'a n s
capellet	k ə p ə ʎ 'ɛ t
caperó	k ə p ə ɾ 'o
capes	k 'a p ə s
capficada	k ə p f i k 'a ð ə
capficades	k ə p f i k 'a ð ə s
capficar	k ə p f i k 'a
capficat	k ə p f i k 'a t
capficats	k ə p f i k 'a t s
capgirada	k ə b ʒ i ɾ 'a ð ə
capgirades	k ə b ʒ i ɾ 'a ð ə s
capgirar	k ə b ʒ i ɾ 'a
capgirat	k ə b ʒ i ɾ 'a t
capgirats	k ə b ʒ i ɾ 'a t s
capibara	k ə p i β 'a ɾ ə
capicua	k ə p i k 'u ə
capida	k ə p 'i ð ə
capides	k ə p 'i ð ə s
capipota	k ə p i p 'ɔ t ə
capiró	k ə p i ɾ 'o
capironat	k ə p i ɾ u n 'a t
capit	k ə p 'i t
capità	k ə p i t 'a
capitació	k ə p i t ə s i 'o
capitacions	k ə p i t ə s i 'o n s
capital	k ə p i t 'a l
capitalisme	k ə p i t ə l 'i z m ə
capitalismes	k ə p i t ə l 'i z m ə s
capitalista	k ə p i t ə l 'i s t ə
capitalistes	k ə p i t ə l 'i s t ə s
capitalitats	k ə p i t ə l i t 'a t s
capitals	k ə p i t 'a l s
capitana	k ə p i t 'a n ə
capitanes	k ə p i t 'a n ə s
capitans	k ə p i t 'a n s
capítols	k ə p 'i t u l s
capits	k ə p 'i t s
capitulació	k ə p i t u l ə s i 'o
capitulacions	k ə p i t u l ə s i 'o n s
capitulada	k ə p i t u l 'a ð ə
capitular	k ə p i t u l 'a
capitulat	k ə p i t u l 'a t
capitulats	k ə p i t u l 'a t s
capó	k ə p 'o
capolada	k ə p u l 'a ð ə
capolades	k ə p u l 'a ð ə s
capolar	k ə p u l 'a
capolat	k ə p u l 'a t
capolats	k ə p u l 'a t s
capoll	k ə p 'o ʎ
caporal	k ə p u ɾ 'a l
cappare	k ə p p 'a ɾ ə
caprici	k ə p ɾ 'i s i
capricis	k ə p ɾ 'i s i s
capritx	k ə p ɾ 'i t ʃ
capritxos	k ə p ɾ 'i t ʃ u s
caps	k 'a p s
capsa	k 'a p s ə
capsaïcina	k ə p s ə i s 'i n ə
capses	k 'a p s ə s
capseta	k ə p s 'ɛ t ə
càpsida	k 'a p s i ð ə
capsigrany	k ə p s i ɣ ɾ 'a ɲ
càpsula	k 'a p s u l ə
capsular	k ə p s u l 'a
càpsules	k 'a p s u l ə s
capta	k 'a p t ə
captació	k ə p t ə s i 'o
captacions	k ə p t ə s i 'o n s
captada	k ə p t 'a ð ə
captades	k ə p t 'a ð ə s
captant	k ə p t 'a n
captar	k ə p t 'a
captarem	k ə p t ə ɾ 'ɛ m
captares	k ə p t 'a ɾ ə s
captat	k ə p t 'a t
captats	k ə p t 'a t s
captem	k ə p t 'ɛ m
capteniment	k ə p t ə n i m 'e n
captes	k 'a p t ə s
captinyós	k ə p t i ɲ 'o s
captiu	k ə p t 'i w
captius	k ə p t 'i w s
captiva	k ə p t 'i β ə
captivada	k ə p t i β 'a ð ə
captivades	k ə p t i β 'a ð ə s
captivar	k ə p t i β 'a
captivat	k ə p t i β 'a t
captivats	k ə p t i β 'a t s
captives	k ə p t 'i β ə s
captivitat	k ə p t i β i t 'a t
captivitats	k ə p t i β i t 'a t s
capto	k 'a p t u
captura	k ə p t 'u ɾ ə
capturada	k ə p t u ɾ 'a ð ə
capturades	k ə p t u ɾ 'a ð ə s
capturar	k ə p t u ɾ 'a
capturares	k ə p t u ɾ 'a ɾ ə s
capturat	k ə p t u ɾ 'a t
capturats	k ə p t u ɾ 'a t s
caputxa	k ə p 'u t ʃ ə
caputxeta	k ə p u t ʃ 'ɛ t ə
caputxí	k ə p u t ʃ 'i
caputxina	k ə p u t ʃ 'i n ə
caputxino	k ə p u t ʃ 'i n u
caputxins	k ə p u t ʃ 'i n s
caputxó	k ə p u t ʃ 'o
capvespre	k ə b b 'e s p ɾ ə
capvuitada	k ə b b u j t 'a ð ə
caqui	k 'a k i
caquis	k 'a k i s
car	k 'a r
cara	k 'a ɾ ə
carabassa	k ə ɾ ə β 'a s ə
carabassejar	k ə ɾ ə β ə s ə ʒ 'a
carabasses	k ə ɾ ə β 'a s ə s
carabassó	k ə ɾ ə β ə s 'o
carablanc	k ə ɾ ə b b l 'a ŋ
caracarà	k ə ɾ ə k ə ɾ 'a
caràcter	k ə ɾ 'a k t ə r
característic	k ə ɾ ə k t ə ɾ 'i s t i k
característica	k ə ɾ ə k t ə ɾ 'i s t i k ə
característiques	k ə ɾ ə k t ə ɾ 'i s t i k ə s
caracteritzacions	k ə ɾ ə k t ə ɾ i d z ə s i 'o n s
caracteritzada	k ə ɾ ə k t ə ɾ i d z 'a ð ə
caracteritzades	k ə ɾ ə k t ə ɾ i d z 'a ð ə s
caracteritzar	k ə ɾ ə k t ə ɾ i d z 'a
caracteritzat	k ə ɾ ə k t ə ɾ i d z 'a t
caracteritzats	k ə ɾ ə k t ə ɾ i d z 'a t s
caragolí	k ə ɾ ə ɣ u l 'i
caragolina	k ə ɾ ə ɣ u l 'i n ə
carall	k ə ɾ 'a ʎ
caralls	k ə ɾ 'a ʎ s
carambola	k ə ɾ ə m b 'ɔ l ə
caramel	k ə ɾ ə m 'ɛ l
caramuixa	k ə ɾ ə m 'u ʃ ə
carantoines	k ə ɾ ə n t 'ɔ j n ə s
caravana	k ə ɾ ə β 'a n ə
caravanes	k ə ɾ ə β 'a n ə s
carca	k 'a r k ə
carcaix	k ə r k 'a ʃ
càrcer	k 'a r s ə
carcerari	k ə r s ə ɾ 'a ɾ i
carcinomatós	k ə r s i n u m ə t 'o s
carculla	k ə r k 'u ʎ ə
card	k 'a r t
carei	k ə ɾ 'ɛ j
Carèlia	k ə ɾ 'ɛ l i ə
carena	k ə ɾ 'ɛ n ə
carenar	k ə ɾ ə n 'a
carència	k ə ɾ 'ɛ n s i ə
cares	k 'a ɾ ə s
careta	k ə ɾ 'ɛ t ə
cària	k 'a ɾ i ə
cariada	k ə ɾ i 'a ð ə
cariades	k ə ɾ i 'a ð ə s
cariat	k ə ɾ i 'a t
cariats	k ə ɾ i 'a t s
caribeny	k ə ɾ i β 'ɛ ɲ
caribs	k ə ɾ 'i p s
caricatura	k ə ɾ i k ə t 'u ɾ ə
caricaturar	k ə ɾ i k ə t u ɾ 'a
caricatures	k ə ɾ i k ə t 'u ɾ ə s
caricaturesc	k ə ɾ i k ə t u ɾ 'ɛ s k
caricaturista	k ə ɾ i k ə t u ɾ 'i s t ə
caricaturistes	k ə ɾ i k ə t u ɾ 'i s t ə s
carícia	k ə ɾ 'i s i ə
carícies	k ə ɾ 'i s i ə s
càries	k 'a ɾ i ə s
carilló	k ə ɾ i ʎ 'o
carinat	k ə ɾ i n 'a t
Caríntia	k ə ɾ 'i n t i ə
carinyo	k ə ɾ 'i ɲ u
carinyos	k ə ɾ 'i ɲ u s
carismàtic	k ə ɾ i z m 'a t i k
carismàtica	k ə ɾ i z m 'a t i k ə
carismàtics	k ə ɾ i z m 'a t i k s
carismàtiques	k ə ɾ i z m 'a t i k ə s
caritat	k ə ɾ i t 'a t
caritatiu	k ə ɾ i t ə t 'i w
caritatius	k ə ɾ i t ə t 'i w s
caritativa	k ə ɾ i t ə t 'i β ə
caritatives	k ə ɾ i t ə t 'i β ə s
caritats	k ə ɾ i t 'a t s
Carles	k 'a r l ə s
carlí	k ə r l 'i
carlina	k ə r l 'i n ə
carlins	k ə r l 'i n s
carmanyola	k ə r m ə ɲ 'ɔ l ə
Carme	k 'a r m ə
carmeltazita	k ə r m ə l t ə z 'i t ə
carmesí	k ə r m ə z 'i
carmí	k ə r m 'i
carmins	k ə r m 'i n s
carn	k 'a r n
carnal	k ə r n 'a l
carnals	k ə r n 'a l s
carnassa	k ə r n 'a s ə
carnaval	k ə r n ə β 'a l
carnavalesc	k ə r n ə β ə l 'ɛ s k
carnavals	k ə r n ə β 'a l s
carnet	k ə r n 'ɛ t
carni	k 'a r n i
carnisser	k ə r n i s 'e
carnisseria	k ə r n i s ə ɾ 'i ə
carnisseries	k ə r n i s ə ɾ 'i ə s
carnívor	k ə r n 'i β u r
carnós	k ə r n 'o s
carns	k 'a r n s
carnuda	k ə r n 'u ð ə
carnudes	k ə r n 'u ð ə s
carnut	k ə r n 'u t
carnuts	k ə r n 'u t s
caro	k 'a ɾ u
Caro	k 'a ɾ u
